"start","end","text"
"7109","8090"," Maybe that's better."
"46650","48150"," Maybe that's better right now."
"48570","50070"," So let me know if it's better. "
"64500","65560"," I think that's better."
"83750","88270"," Let me know in the chat if that's better."
"98760","99280"," Stop. "
"103430","106330"," Check your cogwheel and see if it's on 720p."
"115600","118780"," I don't know why my broadcast isn't in 1080p."
"118960","127740"," I got to check my settings and see why I'm not. "
"127919","129419"," I should be streaming in 1080p and I'm not."
"135950","136550"," That's better."
"137890","140570"," Yeah, some big buyers just stepped in on the spy. "
"141890","143810"," So this reversal that you see right here."
"145290","146770"," Brought right back up, no problem."
"147490","149890"," They got this some buyers stepped right in. "
"150570","156450"," Big buyers stepped in on 380s, 380c for the first."
"157030","167010"," And then big buyers stepped in on June, on 630, 380c for the 30th and the"
"167010","167250"," first."
"169550","171050"," And this quick roll over right here. "
"174390","180850"," I probably started above 381 currently, but I'm long here."
"186420","188280"," VIX is breaking down right now too."
"188420","189500"," You should see a nice squeeze higher. "
"191400","193480"," VIX is breaking down to that 2850 level."
"195160","197440"," There's a giant gap that needs to be filled there as well."
"200540","202560"," I should get a decent squeeze here. "
"202560","203340"," I want to show you guys."
"203380","204500"," I'm going to show you guys something here."
"206440","207180"," Hold on here. "
"209160","210160"," See, they can show it."
"213740","216380"," I want to show some gaps here."
"218560","228440"," I'm going to bring"
"228440","229680"," this over here for you real quick. "
"231500","239690"," There's a giant gap that needs to be filled"
"239690","248830"," right there."
"249490","250090"," A giant gap."
"250970","251950"," See it back here. "
"254210","255250"," Resting back on that."
"255370","256690"," This is from yesterday where they crossed."
"259550","262110"," So we'll see if we can get this breakdown below. "
"262430","265630"," If this gap gets filled down here, we should get some nice fat squeezing."
"267290","268990"," Something right down there, right?"
"269650","273130"," That should lead to a decent squeeze in the spot."
"274850","276990"," I'm long calls right now just as it heads up. "
"276990","279090"," I think we squeezed the 3810."
"284780","290900"," 3D3s are now up to $1.47. I'm going to put some stops in here."
"298070","300830"," I'm going to stop at $1.40 on 3D3s. "
"306390","308570"," That doesn't mean you trade to 383."
"308650","309830"," It means you trade to 381."
"310470","311770"," You're just looking for the print on it. "
"312490","317710"," Changing my stops now to $1.50. Making some fat money here."
"328790","330770"," This is where these huge buyers stepped in here."
"331930","333430"," So you can see it right in here. "
"336960","338580"," Stepped in with calls as well."
"339460","344760"," They bought real money buyers and they were options buyers at the same time."
"345660","347040"," 380c's are now up to $3. "
"348180","350220"," On the day those are up, 350%."
"350840","352980"," They started out the day at like 80 cents."
"352980","357580"," I think not the day but we started actually moving up, confirmed moving up. "
"357800","359540"," They're around 80 cents now, $3."
"360260","365060"," Those are for the first banging calls."
