"start","end","text"
"33610","35590"," Unsure if I'm live right now."
"35990","36790"," Let's find out."
"40260","41520"," Find out on the spydicks. "
"43600","44000"," Unsubscribe."
"47570","59470"," Looks like we"
"59470","60770"," got the bears out this morning."
"62150","63510"," Got some pissed off bears. "
"65330","66770"," I don't know if I'm live or not."
"69980","70960"," That looks like I'm at the live."
"72220","72980"," Yeah, I am. "
"74720","75340"," Right on."
"75480","78960"," Yeah, you know what I did is I plugged in my condenser mic on that video I made last night"
"78960","79200"," guys."
"79200","82100"," And I did not. "
"82520","84840"," I guess the I think the volume reset itself or something."
"85180","86040"," I don't know why."
"86860","90200"," So I raised up my my condenser mics input this morning. "
"90680","91440"," Good morning everybody."
"92480","93400"," How y'all doing?"
"100520","106060"," So just a heads up so you guys know the markets really aren't down this morning on the open."
"106060","111600"," They we had a supposedly a south side imbalance. "
"114820","117040"," Oh yeah, little quiet cat."
"117760","117980"," Okay."
"119780","126900"," So yeah, last yesterday at the close we supposedly had a south side but we had some forced buying"
"126900","127780"," in the close yesterday. "
"128400","130960"," And so you'll see that pullback in the following day."
"132660","134300"," So markets look fine to me."
"134460","135700"," I don't know why everybody's in a panic. "
"135960","138340"," You guys want to know tell me why everybody's panic in this morning."
"142120","145040"," You'll see everything is thin right now until the bell that's coming up."
"146240","150900"," Good morning everybody good morning CJ Danny and Andre blood stunt Bobby HP Brad. "
"151700","152620"," Good morning Eric."
"153260","153820"," John."
"155940","157160"," Jasmine good morning Eric. "
"157400","157760"," Good morning."
"158180","159020"," Andre good morning."
"159740","160500"," F once. "
"162860","163980"," Hey Todd."
"164060","164900"," I lost my toad."
"165980","167320"," Fronto or front. "
"167680","169620"," Fronto Alex."
"169780","170000"," Good morning."
"170220","171320"," Henry Gerald X."
"171780","171820"," Speed. "
"172020","173300"," Euro Boomer right on."
"173380","174020"," That's a great name."
"174680","175840"," Yeah, let's trade some Tesla. "
"176620","177260"," Mourn Chas."
"177780","179760"," We'll check on IWM to you."
"179760","183820"," I don't just say you guys know I don't have some some good morning Steve. "
"185740","186620"," More than endless."
"187120","189620"," So we've got some so a couple things."
"191640","194100"," Tesla everybody's got in for 1000 right off the belt. "
"194100","194920"," Just so you guys know."
"195160","195220"," Okay."
"196040","200080"," You can take a look right here heading to nine thirty that we've got buyers below at nine fifty"
"200080","200700"," nine thirty. "
"204740","206880"," So there should be a buy in here."
"207120","209380"," We should tag nine fifty and go straight up."
"209840","212000"," You can see that the sellers are at one thousand. "
"214640","217000"," We have more buyers stepping in at nine forty."
"219380","220760"," Right off the bell here too."
"220920","221900"," So you've got some power here. "
"225540","230340"," Let me take a look at some other stuff as we open and just so you guys know IWM is"
"230340","230680"," looking at nine fifty."
"230680","232460"," I'm looking looking rock this morning."
"232640","236740"," I want to see what's up with the IWM on another computer screen here. "
"240400","242980"," Right now you're seeing you can see this right here."
"243120","244560"," The shorts are coming in hard and heavy."
"245080","246180"," Some sellers are coming in above. "
"247000","253420"," That is some angry angry bears that those sellers were not there yesterday."
"257399","259600"," Angry bears coming in right off the bow."
"260899","262280"," Look at Apple. "
"262720","265660"," Apple is going to the moon right now."
"266160","267120"," Yee-haw Apple."
"270740","273060"," This is blowing up some shorts this morning. "
"273620","275540"," I was wondering why I was on a tizzy this morning."
"276060","279640"," I almost posted like what's everybody in a what's every panic about."
"280260","284280"," What I panicked this morning is shorts and bears getting wrecked. "
"289540","291120"," That's the only panic this morning."
"294780","296580"," No offense to bears out there."
"296640","297340"," I love you guys too. "
"297440","300320"," But yeah, you can see this by right off the bell."
"300540","303680"," I think this is the spy right here."
"306700","311080"," Why am I getting this goofiness that Tesla buyers stepping in right off the bell at nine fifty"
"311080","311540"," seven. "
"312220","316920"," You saw that wave of buyers come right in down there at nine fifty five."
"316920","317760"," They stepped in."
"317940","320640"," You'll also see at nine fifty nine forty. "
"322320","323620"," Lots of buyers below."
"324620","326860"," And everyone knows that the cell is at one thousand."
"328040","333060"," You've got some at nine eighty but the real resistance is above. "
"333480","334780"," No one's going to be waiting for this either."
"335200","336640"," This is going to move this morning."
"336820","337440"," I guarantee it. "
"340180","341520"," Tasa will move today."
"342840","344220"," Mark my words on this one."
"348240","349020"," Hang tight here. "
"349080","350760"," I'm going to get a couple of things you got to do."
"351820","353080"," Yeah, Tesla spy."
"356980","358480"," Yeah, zero panic this morning. "
"358660","362220"," I don't know what is going on with the bears this morning."
"362420","363140"," They're just in a panic."
"363580","365260"," They were expecting that doom and gloom. "
"366320","368520"," My all my eyes are on I don't have you on this morning too."
"370160","372520"," Anything down here for me is a buy on IWM."
"372520","377160"," And this looks like short covering on IWM for me. "
"377920","378800"," Look at NDX."
"382140","382900"," This too."
"383580","384460"," Yeah, this is all normal. "
"385080","390160"," So like if you watch last night's video, you will see where the buy was this morning on NDX."
"390360","391460"," We're tapping there right now."
"392460","395480"," I don't think it's looking a little bit weak, but it shouldn't be. "
"396180","397620"," I don't think it should crank today."
"397620","401180"," And you can see Tasa coming right out the gate."
"401500","402600"," It's just blasting off. "
"402640","407060"," It's at 972.76. You can see where we are right now."
"407080","411200"," We're going to encounter at 980 some sellers, but that cell wall is very thin."
"411360","411500"," Okay. "
"412940","418080"," You still have lots of strength down below at 949.50. And the moment we break through that."
"418200","419860"," Let's say you've just bought this bell right here."
"419860","421580"," You buy that bell that drop in the bell. "
"421820","424100"," You're going to briefly sell out at that 980."
"424100","425300"," Take some profit."
"425300","430940"," Let the banks work through that grinding through that minor resistance at 980. "
"431460","433580"," And then it'll blast off to 1000 door fail."
"434160","435580"," We'll see right now if that happens."
"441330","443070"," I'm going to go back and check out you guys. "
"447480","448220"," Morning, everybody."
"448440","449040"," Morning, T-Crown."
"449320","449420"," Joe. "
"449580","450020"," Good morning."
"451720","452160"," Okay."
"452260","452840"," Tesla nine. "
"453100","453180"," Fiddy."
"454100","455660"," We loaded some Tesla leaps yesterday."
"456100","456360"," Hell yeah. "
"456620","457360"," Hell yeah, everybody."
"458080","458600"," Good morning, everybody."
"458900","460120"," Hope you're just joining us right now. "
"460880","462460"," This is a book map live stream."
"462580","464940"," This shows you live where the buyers are."
"465300","468380"," This also shows you where the sellers are. "
"468560","473280"," You can see that there are nice, large green balls up here at 974."
"473940","475560"," These are consuming the sellers."
"475900","477060"," I'll show you guys right now. "
"477640","479300"," We'll take a look and see."
"481160","483640"," We do have slightly more sellers right now at this moment."
"483800","484660"," So you might see a little bit of grind. "
"485180","488400"," We've got 180,000 buyers, 338,000 sellers."
"488400","489840"," These are all shorts."
"490180","490400"," Oh, man. "
"490520","492160"," These are these are banks with shorts."
"492700","494160"," I'll tell you exactly with who this is."
"494460","496660"," These are banks with shorts and they own stock. "
"497120","504260"," So what they'll do is actively shorten a stock and I'll actually sell position to create weakness"
"504260","506940"," so that my shorts don't get wrecked."
"508280","510800"," This isn't just normal like Joe in the street."
"511559","512380"," Jim Bob on the street. "
"513659","517679"," This is, you know, this is real gangster shit, I guess."
"520740","522679"," Everyone knows it's going to a thousand today."
"524580","525720"," So hold on one second. "
"526180","527620"," One more look at something else here."
"530880","532240"," Guarantee tussles hot today."
"532760","540460"," I'm looking at here. "
"545180","546880"," Oh, you know what I'm doing right here?"
"548060","549360"," I am on the wrong."
"551480","558940"," You got more buyers stepping in."
"558940","565060"," If you check the bottom right hand side of my screen on CVD buyers and CVD sellers, you got a"
"565060","566660"," lot of buyers stepping up right now. "
"566660","567480"," It was much lower."
"568080","569520"," It was at like two or 170."
"570060","572540"," So you're seeing some interest in Tesla at the open this morning. "
"573280","574000"," We just second here."
"574080","575200"," We had to set some stuff up."
"577940","589290"," And yeah,"
"589290","591990"," the delay right now is not so bad. "
"592570","597670"," It delays only like 30 seconds, maybe a minute at most."
"597670","603310"," So you guys are you guys are getting close to a pretty pretty live live feed."
"608010","611410"," I'll do some market commentary for you here in just a moment. "
"611790","613970"," I just got to set up some charts and my."
"614630","615730"," Open up my brokerage."
"615750","618690"," Look at my things bleeding or not. "
"634220","636360"," Get nice volume today on Tesla."
"675080","677080"," Get some Tesla gang coming in here."
"677620","681180"," They're probably going to be logging in here to check this out in just a minute. "
"684760","689440"," Maybe we'll get some Tesla Q types in here to this morning so they can see where to sell, right?"
"689760","693440"," You know that's how you know some Tesla Q will jump in this morning."
"696960","699020"," Looks like I got a lot of Tesla gang."
"699020","701200"," Well, I joined the stream this morning. "
"701360","702960"," If you're Tesla gang, welcome."
"704440","706440"," If you're Tesla Q, you're welcome."
"706760","710000"," Welcome to you this morning to get nothing bad to say any guys. "
"712580","717720"," I don't mind test the queue if they're reasonable logical."
"719080","722820"," Same goes for Tesla gang, you know, just rational logical investors."
"722820","723120"," Traders. "
"725620","726460"," I like them all."
"728640","729360"," All right."
"730160","731240"," Let's take a look here. "
"737160","739560"," I like people when they when they like."
"739760","740260"," Hold on."
"740620","741180"," Take a look at this. "
"741540","742200"," Oh, yeah."
"743760","744620"," That's pretty good."
"744700","745160"," Do it better. "
"745580","746860"," We're getting a bit in the market."
"746860","748060"," I can tell in my calls."
"748480","749140"," So I've been on. "
"749380","753500"," I've owned some calls since that rock rock rock bottom and it shows."
"754880","757820"," In the premium that the market has a bed."
"762170","763230"," Markets looking good. "
"764550","768470"," Sometimes you can see the market still go down and you'll your calls will be green."
"769090","771390"," Or when we're switching."
"772490","773570"," Yeah, I'm making money. "
"774510","775550"," Right on right on."
"776130","776830"," I like it."
"781680","784420"," Yeah, we're so so you guys know, right?"
"784640","786400"," This when you're looking at this right now, right?"
"786400","788260"," We're at one, we're at nine, seven, eight right now. "
"788560","791140"," We are just grinding through sellers right now."
"791640","792800"," You guys can see this, right?"
"793180","797340"," This is a minor resistance and we're, we're going to move our way up to 1000."
"797680","799160"," 100% or at least right now. "
"799320","802840"," Unless we see a sea of liquidity buyers disappear here."
"803280","807720"," If you see a big swoop down and I want to point you out to a couple of the things."
"808300","810200"," You'll see this nice thin blue line down here. "
"811060","813280"," This nice thin blue line down here."
"813280","816180"," These are where you call this mark money down here."
"816680","819000"," And they swooped up this morning right off the bell. "
"819260","822740"," You saw them as we, as we dipped down in the past here."
"823220","825620"," We can show you some of this."
"826100","829280"," You could see that earlier, they swooped in. "
