"start","end","text"
"13850","16810"," I don't think I have this right or not, figure it out."
"17510","20710"," Maybe somebody else show up, play it as a fuck."
"25410","28890"," I don't even know if anyone, I don't know if anyone's gonna show up. "
"28890","32830"," I don't know, I don't know."
"33050","36250"," Anyways, I can't catch you this late night."
"39210","48690"," Two straight guys here, John Estes here, Snotos, Michelle, Matt Chambers, 23, Eric Dillon. "
"49690","52090"," You've got to take it."
"53450","56550"," What a speedy, doggy thing."
"56930","60650"," Spidex Paul, S-O-S. "
"61270","63530"," Stocks Anonymous U-Trope."
"64310","66730"," Paul asked King 14 dogs."
"67850","69390"," Andy Biggie, Randall Josh. "
"71530","73530"," A hair's getting wild in there."
"74030","74910"," Don't know what it was saying."
"75030","76750"," It was crazy wild in there. "
"77510","79010"," Hello David H."
"79210","79550"," Tegan."
"80630","81390"," Zipharto."
"82110","83070"," All the way. "
"84410","85270"," Benjamin C."
"87330","88830"," Ben Godfrey, check it in."
"89930","91210"," Hello, Joshua L."
"92210","93210"," Zoom's O7."
"95110","96230"," How y'all doing?"
"98830","99470"," Patrick L."
"99970","100330"," Two years. "
"101090","101590"," March 2020."
"103310","105690"," How do you call this March 2020?"
"105690","110010"," How do you jump on the right bus since 2020?"
"111010","112930"," Scott, Johnny Five, what up?"
"115970","117010"," Love that movie."
"117510","118710"," Jason Hendricks. "
"119990","125390"," The man is just dropping knowledge inside the desk, inside the Discord."
"126970","128850"," Tegan, Betty Mac."
"130090","132730"," The weight of the crew, Betty Mac. "
"133990","135910"," One day at a time, Alex."
"136370","137130"," How's it going?"
"137770","138210"," RS."
"139330","140970"," Short the entire Diablo. "
"143790","145330"," They finally got us."
"145630","148930"," All right, so we're going to go to the live stream real quick here."
"149010","149830"," I think I got this right. "
"149950","150370"," It could be wrong."
"150710","151610"," Okay, we're going to start right here."
"151890","152370"," It's kind of weird. "
"154850","155690"," Hello, Dylan."
"156890","157890"," Yeah, Dylan."
"158070","159270"," It's good to see Josh here. "
"161410","164130"," Good to see you, Jason, John, Betty Mac."
"164810","167230"," It's really good to see everybody here."
"167570","168790"," Brad, good to see you, brother. "
"171270","175650"," It really is like we have to just talk about that stuff."
"175970","180690"," Jill, pleasure to have you make your pleasant presence."
"181430","182730"," Maybe Mary will stop in tonight. "
"184130","185150"," Good to see a lot of people."
"185490","186130"," Good to see you, Josh."
"186130","188130"," I got to say something. "
"188430","189030"," I had a conversation."
"189390","190210"," Tea Crown, good to see you."
"190270","191770"," I had a conversation with a guy earlier tonight. "
"192770","193710"," I was talking about Josh."
"193950","194430"," I'll tell you what."
"195210","196450"," Tell you what. "
"197570","202030"," It takes balls of steel nails, hard nails to be Josh."
"202750","203830"," A lot of traders can't be that."
"204010","204630"," It's very rare. "
"205490","209110"," I've lost a lot of money by not being Josh."
