"start","end","text"
"4810","5630"," Check one, two."
"44180","45700"," Good morning."
"47540","48660"," Special walls. "
"48940","50100"," What's going on, baby?"
"53820","55220"," The right into it this morning."
"55960","57340"," How's everybody doing today?"
"58040","61520"," So, yeah, I'm gonna have a stream up this morning."
"61940","63739"," Although I don't know. "
"66460","70920"," If I will be here most of it, I'll be here parts of it."
"73000","77780"," But I was asked last night to put a stream up for the inflation reports."
"80180","81460"," Good morning. "
"82220","82620"," And..."
"83420","84880"," Hang tight one quick second here."
"86120","91320"," So, it's not 8.30 just yet, but I wanted to put the stream up early because..."
"92100","96680"," I realize that we're getting busier, right?"
"97200","98440"," We got a bunch of stuff coming up."
"100180","101440"," Well, one quick second here. "
"104800","105880"," Well, we've got a bunch."
"106180","106700"," Hold on a second here."
"118900","122220"," It's weird I'm having some issues with..."
"122800","124260"," Let me one quick second here. "
"124760","125980"," I got some stuff I gotta do."
"126180","127440"," I got some good news for you guys."
"129500","130700"," Good morning, everybody. "
"131940","135080"," I got some good news for you."
"139520","141700"," So, we'll talk about that this morning as well."
"142500","147020"," Good morning, everybody. "
"148100","148700"," You're all doing well?"
"150480","153280"," Jill Matolo, good morning to you."
"153740","154400"," Good to see you."
"154500","155700"," Spyplex, good to see you. "
"157120","158620"," One quick second here, guys."
"166640","167200"," Uh..."
"167200","172060"," Save all this."
"174300","174860"," Alright. "
"177480","179320"," One quick second here."
"179880","180420"," Good morning, everybody."
"180660","182000"," I got some good news for you guys. "
"183460","185100"," Oh, boy, I got some good news."
"188060","189100"," You guys want to see..."
"189100","191940"," You guys want to take first spin around the block?"
"192160","193000"," You guys want to see what's up?"
"194140","195080"," Hold on one second here."
"196160","197800"," You got a couple more things I gotta do here. "
"203300","204980"," I'm reading what you guys are saying, I think."
"206340","207420"," Hold on one second here."
"209180","212020"," So, I've been diligently working in the background. "
"212680","215610"," All this fluff and stuff and talking and..."
"219180","220680"," We're actually ready."
"221280","222260"," We're like right there."
"222820","226940"," So, we've got people, we have members right now. "
"227400","235080"," We've got admins and moderators that are testing the tool."
"238200","238680"," And..."
"240140","244560"," We've got a bunch of stuff going on in the background."
"244940","245580"," That is wild. "
"248640","250920"," So, we'll take a look at the tool."
"251740","255339"," The funny part is we've got more work going on with the tool."
"257880","259720"," So, we're ready to launch the tool. "
"260399","265480"," And then I've got a whole bunch of other stuff that isn't launched with it, which isn't ready to"
"265480","267460"," launch, but once that's ready to launch, it's going to be awesome."
"272590","273350"," Yeah, baby."
"273490","274250"," You guys want to see it?"
"274850","275870"," You want to see the hand?"
"276130","277470"," You guys want to see how it reacts?"
"277730","278930"," You guys want to watch it really quick?"
"279890","281150"," Hold on one quick second here. "
"281870","283610"," So, what do we got going on with..."
"285430","287490"," What's going on with today's earnings calendar?"
"287950","291630"," I'm looking at the calendar for the next two weeks, and I was on the phone with Pinky last"
"291630","297350"," yesterday morning, and I'm like, let's go through all this stuff, and it was like boom, boom, boom,"
"297350","297870"," boom."
"298890","301990"," We've got four witches, we've got..."
"305970","308670"," Vickspiration, we've got the Fed."
"312070","319950"," We've got CPI at 8.30. So, I get leaving that up for you right now. "
"322890","327510"," And one quick thing I got to take care of here, I got some stuff I got to do here"
"327510","328170"," in the background."
"330110","331630"," Give me one quick second here."
"332510","335830"," I got some stuff I got to do here in the background. "
"336250","337230"," Give me one quick second here."
"342550","343770"," Let's see here."
"350650","360240"," get some light housekeeping stuff I got to take care of here where we got here I don't always know"
"360240","366060"," what I'm doing here I'm like I think I know just what I think I know what I'm doing I"
"366060","412240"," don't close"
"424750","431950"," all that that's really odd get some where to I"
"434480","442560"," don't know what like YouTube is like the thing"
"442560","452120"," and not the thing YouTube sometimes is the"
"452120","459740"," turn on this we got the squacker going on in the background here so we'll listen to the squacker as"
"459740","469340"," those numbers come out let me see if I can pull up no"
"469340","479020"," I got to do one more thing here how do I do this off I don't know"
"493060","502600"," look I'm having really weird YouTube right now in the background I guess I'll do that later you're"
"502600","507020"," sitting here and I'm moving traffic thankfully today I don't have to bring my kids to and froze"
"507020","525510"," froze school I got"
"525510","531810"," some real walking it's going on on a book map so in ten minutes time now at the both of"
"531810","536670"," the hour do you get the US CPI data for the month of August the headline event for the day"
