"start","end","text"
"72990","75210"," Good morning, good morning, good morning."
"76170","78690"," I'm late this morning."
"79610","87010"," I've been working all weekend here, burning the candle at literally every week. "
"89950","91470"," Give me just a second here."
"96470","98050"," We're going to have a little chat this morning."
"105690","106250"," All right. "
"110390","111130"," Hope you all did."
"111270","112670"," Well, hope you all had a great weekend."
"125320","129820"," Okay, so I've got the rock on the background. "
"131020","133160"," I'm going to bring up."
"134980","137220"," Oh, what's that right there?"
"139200","139880"," What's that?"
"140840","143660"," Oh, what's that right there?"
"146860","152140"," Yeah, I'll get rid of that one right there."
"153120","154860"," Yeah, this is important, right?"
"155540","159200"," We closed above the green line. "
"160140","161500"," We know what happened."
"162220","163480"," We've only got a few minutes until."
"164860","167220"," We only have nine minutes until we open. "
"167560","172720"," So there's a few things we got to talk about here this morning that are important."
"174500","176920"," And I'll do the levels with the hair in just a moment."
"180980","182040"," And look at that. "
"182280","186800"," Our three are to and why did we gap up all that kind of stuff we're going to go under."
"186940","187400"," Go over."
"191420","192120"," Look at that. "
"192220","194040"," S one S two eight out here."
"195460","196980"," We left that gap behind."
"196980","198120"," I'm sure we'll come back. "
"198260","201680"," Well, not sure, but I think we'll come back to fill that some point."
"203460","204760"," Then we'll get back to that gap."
"205040","206860"," And what are you guys thinking about the open?"
"207320","211180"," What do I think about the open this morning and some of the important stuff here?"
"214000","216440"," I want to see us come back here. "
"217220","224460"," I want to see us come back here to these lower levels, fellow let lower levels, but there's there's"
"224460","225660"," how bullish are we?"
"227300","229540"," And how bullish we can become."
"231720","233340"," Not a retest, but."
"235320","238580"," I'll show it to hear what I'm talking about real quick for you open. "
"238580","239680"," I'm going to explain some here."
"240120","241060"," Very simple."
"241440","241580"," Okay. "
"242320","243160"," This morning."
"243160","249000"," And the power."
"251020","252360"," What's happening right now?"
"253320","254400"," We're going to get rid of this. "
"254580","256540"," This is just this is insane, right?"
"257160","258959"," See this big blue line right here coming up."
"259420","262720"," This be what just ripping green line under here."
"262880","264500"," We're going to go and look at the four hour. "
"265460","265940"," Right."
"266320","267980"," We're underneath here in the four hour."
"268820","270420"," And now we're on the daily, right?"
"271260","272260"," This is what I want you to see. "
"272260","274980"," So let's look at the daily here."
"276960","278760"," And where we actually are, right?"
"279020","282580"," You can see this green line here three, nine, forty nine."
"284600","288060"," Personally, I would like to have seen, you know, we come up here. "
"288600","289460"," It bounced off."
"290900","295460"," The cats right here at like three eighty six, three eighty eight or so."
