"start","end","text"
"1740","3160"," Can't believe this is gonna happen."
"3160","3760"," This is wild."
"3760","13520"," Whoo wild Telling it's wild check one two mike check"
"23590","51680"," Check one"
"51680","68440"," two mike check That's"
"68440","69720"," the one right there, baby. "
"69900","70500"," What's going on?"
"78530","79610"," Here we go."
"79710","80670"," How's everybody doing?"
"82810","89010"," Good Afternoon, we got a we got a special program coming up for you here in just a moment I"
"89010","92210"," got a lot of stuff here to I got some technical stuff."
"92310","101750"," I got to do in the background, but Just got off the phone with a close friend of mine, and"
"101750","110570"," we're gonna get right into it here Whoa, whoa, whoa kicking around on our two right now How's"
"110570","118410"," everybody doing out there people just joining and I got a special we got a special day coming up"
"118410","118990"," for you here. "
"119030","130030"," I'm gonna leave The chats open right now or today Give me one quick second here So"
"130030","135290"," if you're joining us, I'm gonna try to open up the twitch chat here in just a minute As we"
"135290","146930"," got something special For you today You want quick second here Back"
"146930","157730"," over there and take care of that A little bit of a roll here happening And one quick"
"157730","172550"," second here Close that there Oh on there"
"172550","182550"," Oh Let's get that posted All right, how's everybody doing out"
"182550","182810"," there?"
"184330","186830"," Are y'all doing you know how you doing stretching walls?"
"187090","187710"," How are you doing?"
"190370","194310"," I'm out of my spread I sold my spread I am very happy with it."
"194590","195250"," Thanks for asking."
"195410","202690"," I appreciate that What's going on here Turn that off over there. "
"202790","213150"," I don't know what that's all about Hello, can you go Hold on here We"
"213150","221090"," got a couple things we got to do so For today, so let's take a couple we have some stuff"
"221090","227910"," to talk about quickly get let me get some of you some YouTube stuff here I Gotta do some editing"
"227910","228690"," here in the background."
"228790","230390"," I'm so excited right now."
"230390","239710"," I actually heard back today for a close friend of mine and We don't get to talk as much as"
"239710","243390"," we'd like to He's been very busy. "
"243390","243870"," Of course."
"244170","253830"," I've been very busy and He right now is stuck in Right now he has"
"253830","259209"," stuck my friend here stuck in Israel, I don't know if I'll tell you where he is in Israel."
"259610","264850"," I mean if he wants to tell you where he is he can So we're gonna leave the I'm gonna"
"264850","271850"," leave the chat open today in YouTube Two subscribers, which means you don't have to sign up for"
"271850","271970"," anything. "
"272210","274310"," You just click subscribe on YouTube."
"274650","282510"," You can just chat there and then on Twitch I'm gonna attempt right now if I can to open up"
"282510","285130"," the chat To anyone."
"285550","286770"," So give me just a second here. "
"286850","291610"," Let me see if I can do that Let me see if I can chat set a chat settings hold"
"291610","301570"," on here Well everybody will talk today subscriber only chat turn that off Okay, so"
"301570","312730"," it looks like everybody can chat today On Twitch and YouTube Yeah,"
"312850","319470"," so if you guys don't know who Jamerrill and is he owns a meme stock watch meme stock watch on"
"320890","326370"," The internet you can look that up meme stock watch or meme stock watch calm."
"327010","331450"," He also has a great discord community On discord."
"331810","333470"," I'm actually a member of his community. "
"333850","343930"," He's got great people That belong to his community Like loyal help each other out retailers His"
"343930","349230"," name is James role and also known as J role We're gonna attempt to get him on the show here"
"349230","357030"," in just a few moments Because he was vacationing in Israel and I haven't seen him I heard he was"
"357030","364770"," stuck there I Contacted him through signal This morning and he was actually able to get through"
"364770","371570"," using signal to talk to him this morning And so we're gonna have him on the show here in just"
"371570","376850"," a little bit We're gonna do an interview with him from From Israel."
"377270","378850"," I know that some people are asking about him."
"378930","382770"," Yes, sir We talked about him in the show yesterday and so that's what we're gonna try to do today"
"382770","387370"," is get him on the show find out how he's doing and Check in with him. "
"387690","389410"," He's gives great market insights."
"389530","399210"," If you don't follow him already You can follow him at J R O L 1 7"
"399210","407850"," underscore You can actually just I mean as a matter of fact, I just posted the link To this video"
"407850","416210"," this live stream on Twitter So if you could if you would reap if you'd like that of that post"
"416210","421490"," that I just made and Reposted I would appreciate it if you're watching right now if you could"
"421490","428290"," repost the link to this This show specific show On your Twitter handle I'd appreciate it because"
"428290","432830"," there's a lot of people that love James Roland He's got a lot of followers out there on Twitter and"
"432830","433430"," stuff like that."
"433590","438810"," We have a lot of friends in common as well I said appreciate if you could reap whoever just be"
"438810","445610"," posted that someone just be posted it right now, so I appreciate whoever it was Now that reposted"
"445610","455610"," that Yeah, baby you double geek instruction walls, I appreciate it man So we're gonna get we're"
"455610","461430"," gonna get him to stop in and you know, it's funny too is James and I both have similar viewpoints"
"461430","471150"," on life politics all that kind of stuff and You know as talking to him earlier and"
"471150","478030"," you know his take is the same as mine, you know, it's it's really close so We're gonna get him"
"478030","479550"," on here in just one moment here. "
"480310","488530"," We just one quick second Let me ask you personally I find what you guys are saying inside the chat"
"488530","496890"," here they go through the chat How y'all doing out there, so We broke through our two Let's do"
"496890","500110"," one quick market update and talk about the market really quick, okay?"
"501110","509410"," So let's let's first do a market update here Now we got some stuff to look at We're coming into"
"509410","519049"," some resistance on HYG at 73 40, okay 73 40 now There's a giant gap to close on HYG"
"519730","527270"," Up to 73 90 or so Dixie is blasting down to the depths of hell."
"527430","534930"," That's always good to see They have a real nut firm, but a big two sign posts on Dixie would"
"534930","545830"," be 105 43 108 So we're getting close to that another key point here is keep your eyes on Nasdaq"
"545830","547050"," number yesterday in stream."
"547310","554570"," I said to you That that big target to the upside for Nasdaq was 15 288 or something like that. "
"554570","561470"," It's right there right now And so it is there at this moment Tesla with a little bit of a"
"561470","568470"," role on it at this point a little bit of flattening out of Apple and Some kind of bottoming going"
"568470","576470"," on and Vix at the moment Now so all in all this could be This could be you know the"
"576470","580670"," end of this run There's a little bit of flattening here if you watch a little bit of flattening"
"580670","585910"," going on in price here We like what we like when the white line is vertical and starts to flatten"
"586450","594710"," It's not necessarily bearish But it is a signpost Here to show that some of the some of the upward"
"594710","600210"," thrust is slowing slightly now as long as the one-minute trigger And even a recheck of the five "
"600210","608730","-hold Without a cross still bullish here to the upside But keep your wits about you as we as we"
"608730","609930"," attempt to trade this now."
"610110","617010"," There's one thing on your side If you are a bull here or not not not necessarily one thing in"
"617010","622790"," your side, but An important thing that I want you to realize that's happening here We switch over"
"622790","628830"," to the trigger screen screen, but I want to show you guys something okay So you might be where"
"628830","631930"," we're sitting right parked here on our two our two, right?"
"633050","636730"," You have two crosses taking place right now."
"636890","645250"," You've got the half hour and the hourly trigger set up to cross here very soon But if we can"
"645250","653870"," get these crosses Above the daily trigger by the half hour and full hour trigger I'd be interested"
"653870","661010"," to see What the reaction will be if there's some kind of a roll to the downside and Check of"
"661010","668350"," those half hour and one hour triggers If they'll hold this gray line comes up Green line comes up"
"669070","676370"," Come down here check these things If you get this confirmation check on the daily trigger with"
"676370","682690"," price and the hourly trigger and They were successfully hold it's extremely bullish. "
"683390","692910"," It sets up the possibility for Highly reduced volatility and Much higher"
"692910","701010"," prices to the upside That's that 4,400 in that 4,500 Targets that are that are way up there."
"701230","706870"," So we're gonna pay attention to this as these crosses take place You should see a reaction as the"
"706870","712150"," half hour crosses a small reaction then as this if this hourly trigger crosses You should see"
"712150","715230"," another Valent move to the upside believe it or not."
"715790","723140"," So we'll wait and see how that rule how that rolls itself out Well, let me see what you guys"
"723140","730860"," are talking about I Appreciate that anymore caffeine Let's see we got here yoga Biden speaking it"
"730860","735380"," was well 1 p.m Yeah Yeah, I made money. "
"735540","736240"," I'm very happy."
"736440","738160"," I made all my fall money."
"738720","740680"," I've made all my fall money at this point. "
"740920","746420"," So I Can day trade for the next fucking three months and not worry about anything."
"746880","753300"," So I'm pretty happy here where we are So we got one more target to the upside."
"753540","757820"," We've got 440 point 31 Give me just a second here. "
"757900","764560"," I'm gonna invite I'm gonna try to send an invitation link right now to James rolling to J roll And"
"764560","765840"," see if we can get him on the show."
"765900","776490"," So just give me a brief moment here as I set this up And"
"776490","782230"," we'll probably have to hop probably have to look at AMC and We'll look at cues and AMC and GME"
"782810","788330"," And we'll get the insights as well from from James here and just a quick second here."
"788410","802470"," Give me one quick second How"
"802470","816600"," many people out there were I'm going I got a bunch of questions for you guys hold on here See"
"816600","826480"," here if I can get this up Started instantly probably have to turn some stuff"
"826480","837160"," off here hold on a second here I'm probably going to have to Let"
"837160","851560"," me see how I can go about doing this Turn this off and I'll turn this off Check"
"851560","855100"," one two can you hear me on this microphone on the the stream?"
"855260","862530"," Yeah, you can We can hear me on the stream Let me"
"862530","873560"," see how I invite I"
"873560","883820"," wonder if I can just invite him from here See"
"883820","889460"," if we can get him on the show here You want quick second I got a send him a text"
"889460","903800"," message I"
"903800","910540"," Hold on one second here Maybe I can send it We"
"910540","932990"," want a"
"932990","942700"," quick second here where is Where is the cool app cam"
"942700","955740"," there it is right there Start cool app cam Poppy"
"955740","979520"," link All"
"989790","999140"," right, let's see what's let's see if let's see if we get James rolling there I should probably"
"999140","1002420"," switch Give me one quick second here. "
"1002420","1008580"," I'm going to try to switch some of this up How do I do that?"
"1010580","1013860"," How do I do how do I change this up?"
"1017840","1024780"," How y'all doing out there Yeah, J-roll's gonna be live on the show here in just a moment."
"1025200","1033300"," I'm gonna try to switch over to Let me see if I can get him see if he can even"
