"start","end","text"
"2780","8370"," Multistream content."
"9450","10690"," Check one to my check."
"20090","20870"," Good morning. "
"33480","34500"," What's going on here?"
"35480","40020"," I need some walking this this morning."
"50440","52220"," Turn that shit off and just get right into it."
"61000","62300"," We're going to switch right into it. "
"62300","64280"," I'm not going to wait for the intro this morning."
"65000","68860"," Just a heads up that we did open above the hourly trigger this morning."
"68860","71320"," And we're coming back to defend it right now. "
"71680","75040"," So if you're here early, just a heads up on that."
"75420","78260"," I'm still long right now at some calls that I bought yesterday."
"79840","84000"," We also have a bull plane in premarket right down here. "
"84440","85800"," I had some 434s."
"86160","87620"," I want you to see this right here."
"87820","88800"," Big old cross to the upside. "
"88800","96740"," And we lasted right through hourly trigger came back down to defend the hourly trigger again."
"96960","100280"," So I am long here yesterday."
"100700","102420"," We did have a sell off. "
"103040","107400"," After the initial push yesterday into the stage T yesterday."
"108340","112020"," We traded up to it on the opening bell and sold down off of it."
"112400","114380"," So maybe we do get our trend day today. "
"117950","122170"," Good morning, by the way, trading 47 cents."
"122410","125290"," I was buying yesterday in the 30s, the 20s."
"125370","129229"," I think about my DCA was 26 cents yesterday. "
"129590","130670"," Something like that."
"131370","134970"," So still long right now 100 contracts 434 C."
"135910","139910"," There's 55,000 contracts on 433 C on the opening bell."
"141170","143210"," This morning, I'm only in for 100 bucks. "
"143490","145790"," So we'll see for 100 contracts."
"146230","147990"," I think it's 2,600 or something like that."
"148570","150730"," I paid now trading 48 cents. "
"151210","154750"," So maybe I can make back some of my losses yesterday."
"155170","155910"," I lost a lot of money."
"155990","158890"," It's less like 6,300 bucks or something like that. "
"159610","165150"," So I'm back now like 20, maybe 2,800 or 2,900 or something like that."
"165430","166210"," Halfway back right now."
"168710","169390"," Good morning. "
"170450","172230"," But wait a minute, I'm going to go back and do that on YouTube."
"172750","173590"," Give me a couple seconds here."
"173690","174110"," I got a couple of things. "
"174210","177430"," I got to go over in the background."
"180750","183670"," I wanted to get on as fast as I possibly could for you."
"186090","187070"," Just a second. "
"187130","189350"," I got some technical stuff I have to do in the background."
"200210","204110"," It's really weird to now trade in 52 cents on 434 C."
"205770","209250"," So it opened this morning and went to 41 cents."
"210270","212750"," And then it like backtracked to 36 cents. "
"212950","214190"," I was kind of pissed about that."
"214190","217110"," They repriced them down to 31 cents."
"218110","222550"," And then it bounced right back up to 43 or something like that. "
"225150","229450"," So it's like when you're doing zero or one day, it's it's always directional, right?"
"229970","230910"," You take the money and run."
"231030","234190"," I didn't take the money and run this morning."
"240650","241410"," Hold on here. "
"241670","242350"," China's office."
"242530","243890"," We second a couple of things here in the background."
"244090","247670"," I got to do 7 spot 2066 versus the dollar. "
"270890","272470"," What is going on with this YouTube?"
"272470","274030"," This one on issues here."
"275470","275930"," Issues."
"277790","278570"," There we go. "
"294640","299080"," According to the Wall Street Journal, Ford plans to lay off at least 1000 workers."
"312580","314680"," This stream is sponsored by Tickshrike."
"315100","317900"," Tickshrike allow this stream is sponsored by to the tick. "
"318440","324820"," Get free daily points, Fibonacci and market profile levels by signing up at to the tick dot com."
"327080","332290"," A second here."
"333950","334970"," Oh, there we go. "
"335890","336790"," Good morning."
