"start","end","text"
"34820","54420"," Check one to check to get"
"54420","60920"," that Oh, yeah, baby."
"61340","62340"," Good morning."
"62400","63819"," How's everybody doing out there?"
"66380","75720"," We're always doing well Yeah, I guess I guess a few things got to do this morning I'm intentionally"
"75720","77320"," running a little bit late. "
"78760","88740"," I don't want to be It's a good morning to let the market open"
"88740","92360"," up I'm going to insert one ad right here."
"92820","94880"," So if you get stuck in it, don't worry about it."
"94960","102510"," I got to do at least one And let me do some I got to do some stuff in the"
"102510","103510"," background for you. "
"104330","113890"," So And then customization,"
"113890","118550"," drivers, integration, I apologize."
"119030","124830"," I've got a We've got some technical stuff I got to do in the background here while we open up"
"124830","134760"," the show here All right, how are y'all"
"134760","135420"," doing this morning?"
"140320","145940"," Wait, everybody loads up in here So wait a minute here."
"146080","146940"," Sorry about that. "
"147340","153900"," Okay, so Couple things to be watching here this morning."
"154420","161000"," You don't want to be a bag holder on You don't want to be a bag holder."
"161240","173820"," There's a few things You know the balls coming off you've got calls and puts That You've"
"173820","178900"," got calls and puts See if we can let this cool off for a minute here. "
"178940","180000"," There's a dip to buy too."
"180180","185760"," Just so you know whether you know this or not There is a dip to buy this morning Just a"
"185760","203160"," second here We"
"203160","216540"," really want to be watching this morning is You don't"
"216540","219900"," want to get caught in the options chain bag holding this morning."
"220460","224560"," So if you try to buy calls this morning stuff like that Let's see if you look here. "
"224660","232860"," So the point this morning is going to be at 411.35 Right there."
"233000","242320"," I'm gonna get rid of this You know your pivot is S1 this morning is 409 "
"242320","252280",".72 There's S1 for you."
"252540","262480"," S2 this morning is going to be or S2 this morning is 406.62 What about there get rid"
"262480","279320"," of that one See there's some gaps down below here Still and then S3 is 404.99 S2"
"279320","290950"," S3 S1 S2 S3 And let's see if I can find any Move these up here Move"
"290950","301130"," these above get rid of that crap up there R1 R2 R3 S3"
"301130","308810"," there's our three back here I have them all here as fun as just three. "
"308930","318330"," There's one more down below S3 we've got 404.99 And then R1 above"
"318330","328150"," is 41445 Kind of morning where you let things"
"328150","337890"," open up a little bit You don't want to be stuck 41608 roughly right there There's"
"337890","345130"," R2 And there's probably a dip to buy this morning So the thing is on days like today We've got"
"345130","350830"," some more of all coming in tomorrow But you don't want to get stuck here You've got just whether"
"350830","358670"," you know this or not There are people that are stuck right now in Calls and puts both calls and"
"358670","364990"," puts And they're looking to not get or not not get trapped or not get trapped right we know"
"364990","370890"," yesterday in the bell that People had calls here right there like four bucks for zero dates and"
"370890","375210"," they're coming in this bell And they're just begging and pleading So there's horse trading going on"
"375210","379130"," right on the opening bell this morning dealers are like I'm not paying you I'm not paying your puts"
"379130","386390"," I'm not paying your calls And sell them while you can right Then you've got some some bulls and"
"386390","392190"," bears don't want to jump in on this this morning And that's all they want to do They want in"
"392190","397810"," right they want to buy the dip You've got bears that think we're going down this morning So you got"
"397810","404970"," to get a bunch of horse trading here And see you you want to let it open up is the"
"404970","410090"," first part here So right now if the bell we're winning a two trigger cluster right here winning the"
"410090","419850"," one minute Currently and the believe it or not the the hourly Or yeah the hourly so the you"
"419850","424650"," can't see it right now, but you're winning the hourly and the one minute So this trade might be"
"424650","431150"," good if we stay above the the white line here This trade might be good until right here at four"
"431150","432630"," twelve thirty seven though."
"432870","440250"," I wouldn't trust it on a daily today And then we've got more of all coming tomorrow It really is"
"440250","447510"," just good to let the market kind of hair out a little bit Let this ball burn off the market"
"447510","456010"," briefly and let it just let it do its thing at this point Oh, we're already a hundred eighty"
"456010","456430"," viewers."
"456710","456930"," Wow. "
"457430","466840"," It's early Let's take a look at some coffee What you really want to do is let this market open"
"466840","467080"," up."
"467180","467840"," It's very important."
"468340","469900"," You know it was like last night. "
"469980","474200"," I was looking at the For the clothes you guys well first off."
"474380","476600"," Let's say thank you to Omar yesterday in the chat."
"476820","482320"," We were talking to Omar And he put pretty much nailed it right he even he even used the verbiage"
"482320","488620"," He is the right verbiage for what CPI was going to be this morning And I thought that was hilarious"
"488620","497560"," like the way he'd waste said it yesterday Was hilarious and of course Of course, that's what that's"
"497560","497580"," it. "
"497700","503360"," We got exactly what that the manufacturer bullshit was this morning So Omar is in here right now"
"503360","508160"," congrats to you We were I think I even chatted with you in stream or talked about you in stream"
"508160","513179"," yesterday because I'm like Omar's base I was Omar I think it was Omar that said it in was it"
"513179","519280"," Omar that said it in stream towards in the day I was asking you guys what you expect tomorrow And"
"519280","523300"," you see us right now is a bunch of horse trading It's all dealers right now and you're gonna have"
"523300","526380"," bulls telling you by the dip by the dip by the dip by the dip by the dip by the"
"526380","532600"," dip the reality is that The reality is that There's like bulls."
"532920","536600"," Let's say if it's a bull and I'm gonna $4.00. They're dating I just want to get crushed the"
"536600","540740"," two bucks and now I want to sell it for two bucks And I'm just begging you right now."
"540940","541660"," Please buy it at two. "
"542060","548840"," It's likely gonna be like 30 cents In about 15 or 20 minutes Well, so I'm looking at him right"
"548840","554600"," now for 12s right now our dollar forty seven I don't I can we could go up right here, but"
"554600","559840"," I don't want to buy this of dollar forty seven if this guy this rips backwards here Comes back down"
"559840","566860"," to 70 cents or 30 cents I'm gonna get back when I get bag held right And you're probably watching"
"566860","571620"," a call holder right now just hoping begging and pleading that we start blasting off and go back"
"571620","575200"," Three or four bucks By end of days a lot of horse trading there."
"575300","581820"," No these days normally I Don't like trading them anymore I just don't I didn't mind."
"582220","588500"," I didn't mind the idea of puts here at some point either But then they built this shit up into"
"588500","592740"," the clothes yesterday the trade was into the clothes yesterday and that was it right We had two"
"592740","599260"," great dip buys yesterday So right now, I have no interest in this at this moment now We can trade"
"599260","601200"," this here from this white line right up here to this red line. "
"601480","606720"," That's for 12 30 as a target I just before it So if you wanted to trade just this one"
"606720","615060"," little quick rip from here to here Now we've got a concentration of put for today at a 410 piece"
"615060","621040"," for a dollar 21 and But there's a dip to buy it is what whether you know this or not."
"621200","625040"," We've got I'll bring this up for you Just briefly look at from yesterday."
"625760","635220"," Let me see if I can Bring this up here for you So you can see it JP Morgan's game"
"635220","641400"," plan and CPI day above 6.5 percent will be down 2.5 to 3 percent, okay?"
"642300","647300"," 6.4 to 6.5 percent notice how it's like one one point right below, right?"
"648340","654740"," Probability is 25 percent down Point 75 to up 1.5 percent. "
"654980","657880"," So we nailed what 2 percent before the open this morning?"
"658680","666180"," So we're in line with the expected move And then down 0.75 percent The expectation though was that"
"666180","670140"," it was 65 percent up 1.5 to 2 percent."
"670220","672800"," So they still got their money already on the day, right?"
"673220","678020"," We didn't get the big 2.5 to 3 percent this morning So we're going to take a look back"
"678020","685160"," on yesterday and just quickly look At some of the targets that we hit we already hit 416 58"
"685160","694940"," yesterday Are in the early morning hours, so we're going to keep note of that target above To"
"694940","701040"," try to retest that above It would make sense to retest this at some point Today, I've got no wishes"
"701040","707800"," that we've got a low back here and a gap down below From yesterday, so we'll tag a little line"
"707800","710760"," back in there Right, you see it right down in here the low from yesterday."
"711320","716740"," There's love to get their hands in there And try to get a new low on the day I know"
"716740","721960"," you guys know about the big bull flag that's been sticking around you guys like trading boxes and"
"721960","728140"," stuff We'll get rid of that one that I believe that was the implied move from today Take a quick"
"728140","734420"," look at how this is shaping up And this on the background just so you know, we're tagging right now"
"735100","740740"," The five minute right here if you want to trade this From this point higher, right?"
"741020","746960"," So if you took profit here You want to see a new high right now You want to see this"
"746960","753900"," this white line come up this red line go underneath And you want to see continuation on the one"
"753900","758640"," minute trigger here if we're going to get it So you take money right here And you wait to see"
"758640","762300"," if we can get this one minute to catch back up at the five minute And you're going to get"
"762300","763700"," a what what do we call that yesterday?"
"763860","769380"," We're talking about something planes yesterday So we'll see if we get that from this point forward"
"769900","778260"," Remember we've got the uh the touch above here at 416 60 We'll just let this play out I have"
"778260","779660"," no interest in taking calls here. "
"780000","784700"," I'm just going to let this do its thing this morning And let me get some uh stuff up for"
"784700","785480"," you right over right now."
"785480","799630"," It's gonna be a second You"
"799630","804430"," know, I'll tell you the reason why is because i've gotten caught in this stuff before And i've got"
"804430","808790"," i'll get i'll get i'll get in early in these events and let's say i buy something for like a"
"808790","813510"," buck 50 or something That was four bucks and then it goes down like 30 cents some directionally"
"813510","820350"," right and Them some fucking bag hold in a 30 cents or something like that and i'm like damn it"
"820350","843520"," I have to uh now i've got a triple down to get the direction that I want Just"
"843520","847200"," second here and i'll get the uh book map up 42 so you can see where where all your levels"
"847200","850140"," are Good morning."
"850140","850820"," How's everybody doing?"
"854480","908140"," Y'all doing well out there i'm hoping I"
"908140","923680"," don't know what's going on with my uh camera there All"
"925700","932180"," right, it's better right there having some issues this morning Just want to see this uh five minute"
