"start","end","text"
"220","640"," Let's start at the beginning."
"5020","5940"," Want to hear anything?"
"8800","14440"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"14440","16040"," before the film begins."
"19040","21020"," I don't know if everything is on. "
"24800","27840"," This leader is provided to permit the projectionist."
"32530","33130"," No."
"34230","35330"," No, I'm sorry. "
"51930","52750"," Come on, baby."
"55770","56170"," Seriously."
"69170","70170"," Check 1-2. "
"74070","75150"," Oh, we'll be there everywhere."
"75690","76290"," Oh, yes."
"86030","87250"," Dude, I kid you not. "
"87510","88230"," I am..."
"89550","91170"," Yeah, did I live in a third world country?"
"91470","92030"," I shit you not."
"92330","94530"," I don't know what the fuck is going on with..."
"95290","96110"," Michigan here."
"100420","101700"," They just said the F word. "
"101840","103340"," They're going to demonetize me."
"105020","109760"," They're like, you can't say the F word in the first five minutes or something like that."
"111800","112240"," Sweet. "
"112460","113100"," Hold on a second here."
"114160","116380"," I got some stuff I got to do."
"125600","128139"," My power has been out for..."
"130380","131920"," Oh, not since I got home. "
"132060","132940"," I got home and then it went out."
"136880","138440"," One quick second here."
"143360","145720"," Couple of seconds I got a couple of things I got to do in the background. "
"148320","150160"," And so my power has been out."
"150660","152300"," So I have what's called DTE."
"154060","160540"," If you go to, there's a DTE outage map for Detroit, Michigan, there's been power out all over the"
"160540","160740"," city. "
"160740","163380"," Not a ton, but enough, right?"
"163540","166740"," The barrel down 78 cents or zero spot 99%."
"169620","171740"," And I don't know if it's a..."
"171740","173740"," Anyways, one second."
"173940","174240"," Give me a second. "
"176880","177440"," Members."
"178880","179440"," Save."
"184500","185820"," Just a second here. "
"190160","190720"," Copy."
"191240","191320"," Close."
"198370","206590"," And I actually, it's summertime, so my house cannot take the heat either. "
"206810","211310"," So I have a generator, but it is not large enough."
"212310","213590"," It's a 5,000 watt generator."
"214430","215050"," It's loud too. "
"215230","219590"," I've got an inverter, a small inverter, but I wound up having to go out and buy a 9,500"
"219590","223870"," I think generator for my house."
"224650","233250"," To handle just basic stuff like the air con, the power being on, and then of course refrigeration"
"233250","234090"," and all that kind of stuff."
"234770","235430"," I've got a deep freezer. "
"236890","241130"," And, but it being summertime, my jetty."
"241410","244170"," So my jetty that I normally have is..."
"244170","252190"," I don't usually run everything off of it, but running my summertime, like 100 degrees here."
"254530","255990"," Let's go put that up right there. "
"263280","265980"," So I wound up getting a, I think it was a predator."
"268700","271580"," 9500 or something like that generator from Harbor Freight."
"271720","273140"," And it was reasonably priced. "
"273760","274360"," It wasn't too bad."
"274460","275280"," It was 2,500 bucks."
"276220","278020"," You know, 26 or something like that. "
"280760","282640"," Why no Tesla power wall?"
"283280","285320"," That's the function of DTE as well."
"285780","286620"," They are one of the worst."
"286920","292340"," They say that they're, they say that as a company, they say they're pro solar, but they're not. "
"293760","295300"," Like they are, but they're not."
"297620","299220"," I have thought about the power wall."
"299580","300640"," I haven't thought about the power wall. "
"301260","305480"," I thought about putting just solar on the house with a battery bank."
"308580","310460"," I live in a third world country called Michigan."
"315190","317230"," No, I'm not running a generator right now. "
"317490","320330"," I could not run my setup with a generator."
"322110","325570"," Even with the 9500 watts, I was afraid to run everything."
"326390","328450"," So I have to keep gassing it up, all that kind of stuff. "
"328630","330350"," Cost me like a fucking $500 in gas."
"330570","330870"," I'm stupid."
"331310","333430"," And I've got a bunch of tight tanks of gas outside now. "
"334110","339830"," I'm now the proud owner of, oh, I don't know, probably 10 gas tanks or something like that."
"342410","344170"," So let's take a look at the market though."
"344270","346290"," It's important that we look at the market together here. "
"346670","348710"," And there's a reason I want to look at the market with you guys."
"351030","353350"," So on Friday, it was Friday, right?"
"353910","355410"," We got a spike."
"358070","360830"," We got a squeeze to close the gap above. "
"361550","364030"," We're going to talk about, it's important that I get this out to incase it."
"364630","365590"," And now I might lose power."
"365730","366450"," I have to say this again. "
"366610","367750"," I might lose power again."
"368150","371010"," I'm not sure that has happened to me before."
"372930","376270"," So I want to be clear with you that it might not be over. "
"376530","383240"," So now we want to talk about Friday here."
"385200","388460"," So this is a, we saw this take place on Friday, right?"
"388660","389540"," Follow my cursor right here."
"390220","393780"," I think I posted on Twitter that we should gap up here. "
"395220","397400"," To return to the scene of the crime, right?"
"397580","398140"," And that's what we did."
"399020","400240"," So we came back up here."
"400540","402740"," We failed to close the entire gap. "
"403380","404320"," Closed most of it."
"405240","407680"," Squeeze higher and then rolled right back down again."
"408780","411120"," We're kind of in that situation right now. "
"412480","416940"," So I think some of you out there probably think we're done with this down move."
"416940","421500"," Or maybe you thought on Friday, I was wondering if people thought if we were down or done with the"
"421500","424540"," down move on Friday, if this was the bottom."
"424740","427480"," It shouldn't be the bottom at this point. "
"427940","431800"," I want to be clear with you on that that we have not changed direction yet."
"432400","434040"," And I'm going to show you that right now."
"436140","439180"," Now I am impressed with small caps. "
"439360","444020"," We're going to talk about them in just a moment, but I do want you to see that."
"445660","448640"," We're still at least according to zigzag channels."
"448640","450580"," We're still in a down move here, right?"
"451120","452720"," Came down touch the bottom here. "
"454040","455300"," Shot back up here."
"455500","457820"," You saw the squeeze on Friday."
"458360","459400"," They get posted on Twitter. "
"459920","460460"," We're going to squeeze."
"460800","463220"," We're going to return to the scene of the crime or at least close the gap."
"463740","464860"," That's what we did, right?"
"465140","465680"," Squeeze up here. "
"465780","466340"," Close the gap."
"467200","468920"," Back under right now."
"469420","472440"," Now, velocity is saying we're going to go higher again. "
"474940","477680"," We have the potential to go higher right where we are."
"479340","481340"," Let's take a look at velocity real quick, Vellow."
"481680","485280"," Now, there's some concern here, at least from my side. "
"485660","490340"," And you can see here, this is the daily is coming down."
"490660","493400"," Daily velocity is still stepping lower."
"494320","495340"," I want you to see that here. "
"496160","497600"," This daily Vellow is coming down."
"499260","501400"," It's important to pay attention to daily Vellow."
"503640","506500"," In the fact that it's stair casing down. "
"507500","510380"," It shows that the downtrend is still happening."
"510820","515539"," We're still coming down, even if we have an hourly bullish session."
"516740","518080"," There's a chance here. "
"519140","520380"," This is the 19th."
"520659","522820"," I think I had said the 15th to 19th."
"523360","525020"," Expect for us to have a down move. "
"525420","526520"," Even though we're heading down."
"527600","528700"," I want you to see this real quick."
"529740","533140"," See how we're in a downward channel here, right?"
"533460","536200"," This bottom has not been confirmed yet. "
"537520","541540"," Some of you out there probably think this is a double bottom and that we're going to the moon and"
"541540","542420"," correction over."
"544060","545480"," We can't call that yet."
"545620","547480"," We're still in a downward pattern. "
"548760","553600"," So before you can call that and say, yeah, correction over, there are some things that need to"
"553600","553900"," happen."
"554080","555980"," And I want to talk to you about what happened on Friday as well."
"557700","560060"," This is in our white paper, believe it or not. "
"560240","566120"," When you get a move above the daily Vellow or the hourly Vellow, do you see this move right here?"
"567240","568120"," And it's explosive."
"569320","570840"," There's two things you want to know."
"573040","575260"," One, we almost always come back. "
"576280","582800"," Like high probability that if you have that explosive of a move in one day, you're going to come"
"582800","584200"," back down at minimum."
"584960","588360"," You're coming back to check the hourly velocity again."
"588780","589260"," That's minimum. "
"590880","593540"," Likely that that squeeze is all that it is."
"593700","594340"," It's just a squeeze."
"595300","602120"," You really want to see some time spent on the hourly velocity, which is happening right now. "
