"start","end","text"
"89990","94350"," We got to change that to the stock market show."
"94630","95270"," I got work to do."
"112320","113120"," Good morning. "
"114620","115980"," I'm going to get right into it."
"116740","118500"," We're not going to take too long here."
"125720","126960"," What's everybody doing this morning?"
"130400","135300"," I figured I come on early this morning here. "
"138390","139090"," Give me a second."
"147710","150330"," In terms of this time now, 9.15 a.m. Eastern time."
"150610","152710"," Do you get the US Industrial Production Month over month?"
"153430","160310"," Forecast is 0% from the prior minus 0.1%. Range is 0.3 to minus 0.5%. That data"
"160310","160990"," is for November. "
"161930","167590"," The US capacity utilization forecast is 79 spot 8% from the prior 79 spot 9%."
"167590","173570"," The US Industrial Production Year over year forecast of minus 0.2% from the prior 3.2% to"
"173570","174330"," 8%."
"174330","180750"," The US Manufacturing Output Month over month saw a prior rate of 0.1%. How's everybody doing this"
"180750","180950"," morning?"
"181470","184530"," Just to make you aware, ECB's regard is currently answering questions now. "
"185350","186390"," Good morning, Hiroshi."
"186430","186730"," Good morning."
"186950","187690"," Pay is on. "
"187830","195800"," I got to do a real quick post here for 0.0% from the prior."
"196980","201000"," I've got some stuff I got to do here in the background."
"201720","203140"," We're going to start early this morning. "
"203480","205780"," We're going to take a look at Tesla specifically."
"207100","216860"," We have a lot to do in terms of OPEC's and"
"224410","225790"," it's a lot to do."
"225790","227450"," Spy and rebalancing. "
"228590","235630"," It's falling to 141 spot 13 basis points lowest level since around December of 2020."
"235630","245530"," And we're"
"248320","253760"," probably coming into some form of a trend change today."
"254100","261260"," So as we come into this trend change, we're going to start to look at any pace that have to"
"261260","262320"," be read together. "
"264500","265940"," See if I got this right here."
"271440","273460"," We're going to look at Tesla this one."
"273560","274960"," Oh, what did I do wrong there?"
"277740","281840"," It's obvious that it's obvious that we should expect 50 basis point hikes for a period of time. "
"281840","285860"," That's easy because the guard saying it's obvious that we should expect 50 basis point hikes for a"
"285860","286540"," period of time."
"289060","291200"," I'm going to mute this here."
"292760","294840"," Okay, ECB is coming out right now. "
"295360","297460"," We're going to take a look at Tesla this morning."
"302440","304660"," And before we get started, a couple of things are going to do this morning."
"304880","305400"," So it's nine away. "
"305480","306100"," We've got 20 minutes."
"307040","308400"," We're going to take a quick look at Tesla."
"308740","311100"," Let's first of all, let's say good morning to all you guys here. "
"311680","313640"," Morning Jay Cortini, good morning, AKA Tegan."
"314680","315480"," Who else is here?"
"317920","320560"," Sue Spyplex, Liam, Gary, Sam."
"320800","321460"," Good to see you. "
"321460","322680"," Our Lee B."
"322800","322860"," D."
"323180","323180"," Troy."
"323180","323960"," Good to see you."
"325560","326400"," Ryan Dean. "
"326720","327160"," Exu."
"327360","327720"," Rohit."
"327960","328660"," Euro Boomer. "
"329080","329840"," Eric Granstrom."
"330720","331680"," Richard James."
"332100","332560"," Gary Patrick. "
"332880","333880"," Good to see all of you guys this morning."
"334760","335280"," Yes."
"335300","339060"," We've got some some weakness today, which is nice to see. "
"339740","344100"," I started clearing charts in here because we're going to be looking for a trend change."
"345180","348100"," So just looking at a fit on a five hour 50."
"348280","349360"," Let's look at a 15 minute chart. "
"350380","354260"," And I just want you to see all the moving averages are beginning to roll over down below here."
"355580","357240"," We're going to go over to Tesla there just a moment."
"357340","361740"," But if you are out there, hopefully you read the posts that I made for you this morning. "
"362340","365800"," This is kind of like the bull's last chance for a holiday rally down here."
"365880","367860"," And there's there's some options positioning."
"368440","372840"," I wasn't able to I'm going to try to take a break at some point this morning and show you"
"372840","375420"," the options data from the CBOE. "
"375740","377140"," I did download it last night."
"377280","377900"," It was kind of wonky."
"378040","381160"," And then this morning I want to wait until the market opens to download it. "
"381160","382920"," So you can see the repositioning in the market."
"383400","388440"," That's taking place for a trend reversal."
"388800","389700"," And I want you to see this. "
"389960","398080"," So if you are a bull here or a bear, you are looking for this breakdown below here."
"398080","399820"," I think it's 390-17."
"402720","406640"," And this is the only support kind of holding up the market here, right?"
"406920","411340"," When you're looking for an hourly, usually you're looking for an hourly trend reversal. "
"412320","413940"," And this is kind of where we're at right now."
"414040","418920"," You can kind of see moving averages starting to roll over trying to push down the market below here"
"418920","423140"," and start a new hourly trend for much lower lows."
"423480","426140"," So what we'll do is we're going to plan for that. "
"427140","435080"," The bears want to, at least that's where the options market's really not showing us getting below"
"435080","440440"," into this 32 to 382, 385, but you'd really want to see this in a Friday."
"441540","447780"," Some kind of a close down here for bears to see that trend reversal for much lower lows."
"448280","452020"," If we break down here, we should get some nice fat trend change. "
"452760","458640"," I would say to the bears only one last thing where the option market is positioned, there is a fair"
"458640","462580"," chance that the bulls will try to buy down here somewhere."
"463240","465320"," So just be conscious of that."
"465400","470160"," If you're going to take any profit off the table down here and restart a new short down below this"
"470160","473960"," zone here, this 390 would be the next short in the market. "
"474600","478680"," So 390, you're looking for a break for a trend reversal as a bear."
"478680","482120"," As a bull, this is your last chance for an alpha alley."
"482280","483280"," I'll be honest with you, 390. "
"483880","486500"," You don't get any other chances."
"486980","491160"," As a matter of fact, you broke the pivot this morning."
"491520","493880"," I'll post all this stuff up here for you as we move on. "
"494520","496480"," But this is kind of a key zone down here."
"497080","498700"," Last chance for your alpha alley."
"499320","502400"," The moment you start breaking 390 down here, there's no hope for you. "
"502500","505100"," You're going to see the bears try to get underneath."
"506880","510240"," 393, start rejecting and start moving us down."
"510980","517960"," This is the time when you can become more confident as a bear below these levels for some much,"
"517960","520380"," much, much larger lows, big trend change. "
"521020","522700"," The meat of that trade is down here."
"523260","526320"," We talk about where the meat of the trade is on bottoms and on tops."
"527040","529140"," And the bears are totally looking for this 100%. "
"530120","531800"," We've been up here for how long now?"
"532080","532860"," I mean, you guys know, right?"
"532860","536140"," This has been going on since mid or early October, right?"
"536580","542560"," And we've just spent the entire month, almost three quarters of the month of November here."
"543400","550380"," And, of course, we're coming into the OPEX of right at the end of the year."
"551200","551620"," Quad-witching. "
"551940","553140"," We've got the 31st."
"553480","557440"," All this time for the bears to just get back down under here and start hitting some lows."
"558000","559780"," Look at the JPM call at some point today. "
"559780","563520"," How deep can we get on that JPM call?"
"563680","564780"," There's a couple other callers."
"564960","565980"," I think January and February."
"566500","570240"," We can talk about those as well as we get through the program. "
"570420","571060"," So we're making it."
"571280","573220"," We're looking to make this turn here."
"573500","575900"," Bears have been waiting for this for two months. "
"576200","581460"," It's a long time, not two months, but close enough month and a half for bears to be like, please,"
"582020","582620"," trend reverse."
"582700","583560"," And we haven't done it, right?"
"584120","589680"," This is where the market stays irrational longer than you anticipated."
"589680","592420"," You're buying like crash puts over here. "
"592980","595220"," And, you know, we've been sitting here for a month and a half."
"595860","597220"," We're looking for some kind of reversal."
"599440","601640"," So we're going to switch over to Tesla real quick. "
"601820","603680"," Okay, we're just going to look at a few things on Tesla."
"604420","606320"," And I want to help the Tesla gang out."
"606660","607440"," Tesla bears out too. "
"607820","609180"," Bull's bears doesn't really matter."
"609320","611220"," We're just going to take a quick, fast look."
"612300","616640"," And then what we'll do is we'll start charting for a trend reversal. "
"617400","618620"," How deep does it go?"
"618820","619580"," How bad does it get?"
"620280","626760"," It's going to be crucial for you as we look at where Tesla is, where Tesla is going, where the"
"626760","630140"," market's going in the positioning."
"630600","632420"," Just right away, first off, okay?"
"633060","637760"," We have broken below the weekly moving average on Tesla."
"638600","647140"," These are key places where a stock or an index wants to keep or have a reaction bounce off of"
"647140","648900"," this moving average. "
"648900","650860"," These are on much larger timeframes."
"652280","659980"," We've only seen Tesla break below a weekly moving average on very, very, very rare occasions."
"661420","662800"," Very rare occasions. "
"663520","664760"," It's not a frequent occurrence."
"665320","670680"," And it starts to bring up questions about how deep does that go, right?"
"671540","673900"," How often have we seen those moments in Tesla?"
"673900","676520"," They're very few and very far between."
"677140","685720"," And you can see back here in 2019, there was one of these moments where Tesla blew right through it"
"685720","687660"," and it was really ugly, right?"
"687820","693320"," This is going on from April into May or June, excuse me, June 19th. "
"693820","698020"," So some major declines when they've broken down below."
"698300","702040"," There's some other examples here where they've touched around and rocket shipped off."
"702040","708500"," Same here back in 2016, February of 2016, and then again in November, 2016. "
"708980","712960"," It's kind of the scenario if we trade the market sideways, you'll be looking for in Tesla."
"713820","717080"," But this one over here is a crash moment in Tesla."
"717740","721400"," Very brutal in its history back in 2019, if I remember that. "
"721880","728360"," I want to say that this was sometime, I want to say that this right around here was when Elon,"
"728360","732920"," I think, did the lemon tweet or something and it was over like a long weekend."
"733880","738380"," I think I remember I was in Wall Street Beths one morning at like 4 a.m. and Elon came"
"738380","743900"," into the sub, I believe, and tweeted something and then we had a major reversal."
"745260","748300"," So this is kind of a key moment here in the life of Tesla. "
"749040","755380"," We're back to that moment again right now where there could be some real damage done to Tesla."
"755380","758540"," How deep can that damage go in Tesla?"
"759460","760640"," It's kind of the question, right?"
"761640","767380"," We're down here breaking through right now some known support, right?"
"769900","771580"," Start to plug in some of this here."
"772520","774720"," Some known consolidation, this wasn't distribution. "
"775660","783720"," We have another level below with less distribution and this is what people are wondering about is"
"783720","784580"," how bad does it get."
"785500","789540"," I was talking to someone last night about how many times have they split?"
"790380","793220"," How much damage is actually being done?"
"794500","796120"," You get gaps below here."
"796800","800280"," This can get really, really nasty, really fast here for Tesla. "
"800660","804100"," I think that's the question that people are asking, a nice huge thrust up here."
"804520","809540"," Another thrust down here, consolidations, a very small consolidation phase down here."
"809540","816820"," If you start to break through this level right here at $61, I think yesterday I always was saying,"
"817440","824920"," do people really know where the banks are in on a stock or major holders on Tesla or in?"
"825820","826880"," It is much lower. "
"827680","832960"," If you start to break through those levels and you want to see what real support is, $24 is not"
"832960","834320"," out of the realm of possibility."
"835100","839780"," I think it's $46 is another one, $29."
"840480","842180"," Does that mean we get this low?"
"842600","849180"," No, but if you go into a crash type scenario, you start looking at these numbers down below and"
"849180","851100"," wondering how bad can it actually get. "
"851480","852960"," That's the one that I was going to have, $46."
"854740","857680"," My targets in here were somewhere around $96."
"858500","863600"," I was expecting some kind of a reaction bounce here around $136. "
"865000","867180"," I'll show you where I was looking for a reaction here."
"868980","873980"," Let me see if I can make a see if I can think it's over here."
"876380","882400"," Let me see where I always forget where it is, but just a second. "
"882500","883540"," I don't know why I'm not finding this."
"883660","884600"," I'm just waking up now."
"888300","895700"," Somewhere in here at this $136 zone is you're kind of looking for some kind of a buy down in"
"895700","895900"," here. "
"896820","903800"," Let me make this, or at least a reaction type move or buy down here."
"903960","905600"," $136 is kind of it right here."
"906100","908640"," You can kind of see this gap down below here. "
"909220","910280"," It's $140, $136."
"911040","916300"," Sometimes when you see a stock, this is like a classic."
"916600","921300"," If you're looking at this chart right, this is a classic look off over here. "
"922800","929760"," You're kind of looking for this impulsive move down, this one big red candle down here, and then a"
"929760","930480"," reaction trade."
"930840","932960"," Do I think the trade is over for Tesla going lower?"
"933220","933680"," I don't."
"934820","936900"," My buy zone is down around this $96. "
"937920","942680"," But after this past week and the stuff that's been going on, I mean, does beg the question of can"
"942680","944820"," you get down to the 45 and the 67?"
"945740","947780"," It's on Tesla at some point."
