"start","end","text"
"2890","3750"," Alright, let's see here."
"3850","4670"," Can you guys hear me?"
"4850","5570"," Sounds like you can."
"8450","9670"," A multi-stream here. "
"15620","16840"," Let me just second here."
"17580","19440"," Yeah, you guys, am I back up and running for you guys?"
"19840","20460"," Give me just a second here."
"20580","21800"," I got a bunch of stuff I got to do in the background. "
"23560","25560"," I just want to make sure I got the stream up and running."
"26980","29600"," There's no, no, like, as least lag as possible."
"31320","31700"," Pain streams. "
"40100","41500"," A couple of things I got to do here in the background."
"75760","76180"," I'm here."
"76440","79440"," I just, you know, I'm doing a few things in the background so you guys don't have me talking. "
"79440","81720"," It's only because I got some details."
"82480","86380"," He keeps kind of like a clunky."
"87000","89040"," Even with streamlabs, it's still kind of clunky. "
"91620","94260"," There's still things I have to do every morning."
"104760","105280"," Save."
"107000","108720"," I'm going to post this really quick. "
"109240","109680"," Post that."
"110460","110560"," Close."
"129810","130690"," Part two. "
"139860","142100"," Send that so we can get back."
"142200","143540"," Everybody else back up in here right now."
"146620","152360"," The daily trigger is down here at 409.73. I got this right here. "
"153080","153820"," Somewhere in here."
"156080","156720"," Here's your pivot."
"157000","158900"," Here's your hourly trigger above here. "
"159100","159700"," Three trigger cluster."
"160660","162340"," You can see right off the bell this morning."
"163200","164340"," Sorry, I couldn't be here. "
"164440","165540"," Well, let me start off with it."
"165740","167340"," I apologize not being able to be here this morning."
"167780","170100"," You can see right here on a five-minute chart. "
"170760","173160"," Big old bear cross right here, bear plane."
"173360","177480"," Hopefully somebody said something about this inside of the stream."
"178720","180580"," We're breaking through the pivot right now. "
"180600","181460"," Close up."
"183980","184740"," Previous lows."
"185060","186780"," We have two previous lows back here. "
"186840","189360"," We've got one to tag here at 41027."
"189360","196500"," And then the low from the previous day down here at 409.96. And the daily trigger is kind of"
"196500","197480"," hanging out down here."
"201720","202720"," Just a second here. "
"203560","223550"," I want to"
"223550","224790"," trade too, so hold on."
"236540","238180"," I want to trade with you guys."
"241940","246240"," I sold some calls on the open this morning, but I was at a meeting, a conference call this morning. "
"246380","248060"," I couldn't sell that open with you."
"250220","255040"," It's like the third time this week that I haven't been able to sell the open because I'm like, you"
"255040","258200"," start the stream and it's like, I can't monitor the first half an hour."
"258380","259300"," I can't really monitor. "
"260180","261680"," Well, I'm blabbing and all that kind of stuff."
"262380","264560"," So Friday came up open this morning."
"264700","265860"," It was a gorgeous open this morning. "
"266440","267620"," Hopefully you took profit on the open."
"267780","269620"," You know that my take on this."
"269760","271460"," I think I said it in the stream earlier this morning. "
"272140","273720"," Each trade is a new trade, right?"
"275080","276680"," Each trade is a new is a new trade."
"276860","282320"," I try to close my calls on the bell, take the money and run and renegotiate the next trade."
"282800","285020"," You can see we had this consolidation here. "
"285040","289960"," You can see that we had a bear our bear plane form in a five minute, which is quite bearish"
"289960","290200"," normally."
"290580","295680"," And then we also broke underneath the hourly trigger the moment that we get like so when we get"
"295680","298760"," underneath a one minute of five minute an hourly."
"298760","305200"," It becomes even more bearish and more pronounced more explosive to the downside or the upside. "
"305660","312220"," So if you turn this chart upside down and you would have this would become a bull plane, right?"
"312760","316120"," And if you break through on the hourly, pretend this is upside down, right?"
"316340","319320"," Then you check it right up here and it's confirmed."
"320020","324400"," You know you're going to make your way down and right now we are heading down to S one right"
"324400","324740"," now."
"326420","330260"," We just traded four ten seventy six on the five minute. "
"332940","336940"," Almost near this four ten fifty eight and S one is probably going to continue to go down here."
"337060","338080"," I haven't looked yet though."
"338520","339180"," So I'm just getting a moment. "
"339300","342240"," There's probably what that red bar is down there on book map."
"342780","343420"," How y'all doing?"
"343540","344360"," Happy Friday everybody."
"344480","345200"," Hope you're all doing well. "
"346040","347920"," I gotta take I gotta go to the potty too."
"347960","350000"," I didn't take a potty break after this conference call."
"350340","353440"," I just I literally just like I get to get the stream up and running for everybody. "
"355980","360240"," Do you mean just a minute here and let me work on some stuff in the background here."
"370920","372260"," Hope you're all doing well today."
"373240","374300"," Happy Friday dudes. "
"374680","376860"," It's a long ass week like for me specifically."
"377960","383520"," I found this week to be extremely extremely long."
"383740","384920"," I was just like oh. "
"387060","393040"," It was brutal for me."
"393200","394040"," I couldn't do it."
"394040","401620"," Like the slowness of the market the past week was just like you know you're like in the worst part"
"401620","402500"," is you know where it's going. "
"402500","405040"," You're like it's going up slowly."
"405680","408220"," It's going down slowly."
"415750","421650"," So this whole week has just been like it's like watching a Zamboni go back and forth on the ice. "
"421650","426850"," You're just like we're going up we're going up and then like two hours later you're like we tagged"
"426850","429190"," it or overnight we tagged it."
"429190","432070"," And then the next day we're like it's going down it's going down."
"433610","435610"," It's like eleven thirty. "
"437090","439870"," It's going down it's twelve thirty."
"440630","444930"," It's going down it's one thirty you're like shit."
"447630","451570"," Like three hours later it's like a SpongeBob episode. "
"458330","459910"," I don't know remove that one."
"460490","470430"," A lot of I've got something like I'm constantly like putting people on my tweet deck and"
"470430","474250"," then removing them for my tweet deck."
"476050","479250"," Like I like them on like so like it's weird like my Twitter. "
"479970","485830"," Twitter is like a cool thing like like you got like people that you like to see once a week"
"485830","487810"," once a month once a day."
"488450","492990"," And then you've got like so I've got this tweet deck set up for day trading right so you're like."
"500860","510280"," You want like day trader so they can let you guys know about here I'm going to add this guy"
"510280","510660"," in here. "
"511980","517200"," You're like whether it doesn't matter if it's news it's like so I try to put like some news feeds"
"517200","518919"," up on tweet deck."
"519640","524020"," No they don't want me on tweet deck what I want me on tweet deck for."
"526100","530620"," Press return. "
"536320","537080"," There we go."
"545270","550590"," So when it's a slow day I can read off people that are tweeting a market important information."
"555630","557930"," And like Walter Bloomberg went offline yesterday. "
"559330","561930"," So I was like to read his stuff to you guys on stream."
"564930","570190"," So okay so if you're if you're a bear right you're still in charge right now if you're selling"
"570190","574710"," right here you've been selling since the open you're still in charge right now we're teeing off on"
"574710","575470"," the six EMA."
"576810","582030"," And even if we squeeze higher here at any point you're still in control up to the four twelve"
"582030","582550"," eleven. "
"584390","589390"," To go lower believe it or not we go look around some stuff here in the background."
"590110","594450"," So VIX is consolidating right now we'll take a look at the VIX real quick."
"602750","606710"," Here's the VIX right now on the daily right on the VIX. "
"606710","614390"," Just starting to get bullish on the hourly on the VIX hasn't been able if you look here it like"
"614390","616910"," just hasn't been able to get over the hourly right."
"617830","624090"," So it's just been struggling it's been rejected off the daily as well the one the five minutes is"
"624090","625890"," becoming bearish on VIX."
"626310","633910"," But even so there's this there's this nasty consolidation down here and you know can the can the"
"633910","636250"," VIX go higher on a Friday right is the question. "
"636710","641530"," Remember yesterday in the close I'm like the one thing I don't like here is the VIX being so low."
"642270","649870"," We got the VIX down to 1643 1638 retesting the previous lows we see what happens when that happens"
"649870","655090"," we blast up into the hourly trigger will that happen again today I don't know what we're going to"
"655090","656170"," find out if it's going to go up."
"656170","665790"," But as long as price stays above on the VIX above 1679 we'll get that move higher to 1790 that's"
"665790","671270"," at least the hope there is another little checkpoint right here at 1728. "
"671830","678070"," So there's two places for you to keep your eyes on 1728 you can see his previous high here previous"
"678070","681010"," high right here and this line right here is important to that."
"683070","692590"," So trade in 1701 look for 1728 as a sign post and then look for that's"
"692590","701570"," 1793 on the VIX right now VIX looks bullish which it's saying which signals more down for the"
"701570","701930"," market."
"702690","708270"," We know though that sometimes it doesn't quite make it to the daily at least for right now the"
"708270","710990"," expectation is that the VIX is going to at least come up to 1790. "
"717890","730300"," What does that translate to hold on a second here what did I just do hold on"
"730300","740940"," I just fucked everything up hold on a second here well how does"
"740940","744600"," that translate to the spy or S&P 500."
"748200","751880"," Right in here there's a couple of things you should be looking at here's that early trigger above"
"751880","758160"," it's at 412-44 and while it consolidates that can mean that the spy can go up here or even"
"758160","763560"," up here and then come back down and tag that 409-60 on the downside okay."
"764500","771740"," So there's the spy for you in the one minute chart and the VIX is trying to consolidate for that"
"771740","772600"," move higher. "
"774440","781460"," So here's your hourly trigger above you get a quick squeeze on the spy and then hope for that roll"
"781460","788820"," back down to finally tag S1 or even possibly that daily trigger at 490-409-73."
"791120","797020"," The hourly though I'll give something to the bulls if you wanted a place to buy a dip it's getting"
"797020","799020"," kind of long in the tooth on spy at least."
"799760","809660"," Now the hourly is down to minus 14 minus 15 I still would like"
"809660","818420"," to see the hourly velocity lower like minus 25 minus 25 minus 50 be awesome. "
"818820","825200"," For a capitulation move to the downside would be great it's got more high probability by the dip so"
"825200","830520"," I'm not I'm going to dip by here personally when I do come in when I am trying to do"
"830520","831440"," up by a dip down here."
"832720","838120"," When I am trying to buy a dip down there or say hey this is bottom something like that I'm"
"838120","843780"," looking for two things I'm looking for the hourly velocity to be like minus 25 minus 50."
"845560","853660"," I'm looking for price to do some consolidation bullshit down here I'm looking for the white line to"
"853660","854500"," flatten out. "
"856120","866040"," I'm looking for the red line to get underneath and I'm looking for price to get it back above at"
"866040","872620"," least right like price to get above this is a five minute chart price to get above and start making"
"872620","874700"," its way up like getting caught in this bullshit."
"875420","879900"," You can win money like in a one minute chart we can win money doing this stuff but on a"
"879900","884520"," five minute chart it's just a matter of it's a matter of waiting game right bears are in charge"
"884520","887880"," right now that they are in charge is not no no two ways about it."
"888580","892580"," So it's not really like hey let's buy a dip or let's let's make some money here. "
"893140","898320"," You can catch a bounce and do a five minute trade like this here's a 15 minute trade right here"
"898320","903060"," one two and three right so one will show us on a one minute chart."
"905350","909630"," You know it's like yesterday we were buying dips like quick dipping rips and here's one right here"
"909630","916530"," bam quick by the dip and then it rolls right there's another one that rolls on a one minute chart"
"916530","920050"," so if you're going to like buy a dip all day long this isn't the place is it."
"920350","927570"," You kind of need that you need that bottoming process or capitulation move or a level of some kind"
"927570","932550"," that you can buy a bounce off of and truly to go even hot to go higher you need to"
"932550","933070"," have that. "
"933070","939170"," That consolidation in the in the in the price to be over that one minute white line we're not"
"939170","942570"," seeing that right now right now right that white line is way up here at four twelve oh one."
"943250","950630"," So without seeing that line down there there is no dip buy for a for a for a bull."
"953090","958850"," No dip lot no dip for a bull to buy here so this is like sell sell sell keep selling"
"958850","962370"," and I will wait to see if you want to really buy it up here. "
"962370","967350"," You're looking for the you're looking for a vix to bounce off the daily trigger and you're looking"
"967350","968950"," for spite of bounce off the daily trigger."
"977650","980830"," It's a beautiful sell job right here I wish I'd be able to trade this shit."
"981450","987130"," It's like gorgeous look at that bam big old cross right at four thirteen oh one you got the cross. "
"987830","993290"," And it's been what what's the price there for thirteen oh one and right now price is four ten"
"993290","996450"," eighty one so it's a kick ass sell job down there."
