"start","end","text"
"6700","7620"," Check one two."
"13070","13890"," Test one."
"16250","16770"," Check. "
"17690","23120"," All right, what's going on here?"
"34440","35140"," As well."
"60520","61960"," Good morning out there."
"62120","62800"," How's everybody doing?"
"65350","67210"," What I got going on here?"
"67310","67890"," Memory card. "
"67990","68230"," Can I have a look at it?"
"68230","68470"," I'm going to play."
"69330","69890"," Come on."
"70030","70570"," Tell me it's on. "
"71670","72770"," How y'all doing out there?"
"73870","75090"," Bring it right over real quick."
"75270","76570"," We'll go right to the mainstream here."
"77290","81030"," We're not going to waste too much time with the intro this morning. "
"81950","82830"," Let me just second here."
"82830","84890"," I got to do one quick thing."
"92930","94750"," Go over a few things this morning. "
"95870","98250"," You can see we regained the pivot point."
"98590","101270"," I said that you would see us be flat by open."
"101270","105390"," We've been close enough for hand grenades and horseshoes, I'm assuming. "
"106110","109470"," If you're a bear, you better have sold off that bell if you had puts."
"110750","113610"," I did post that this morning on Twitter."
"114350","117190"," You are seeing a trade higher off the bell this morning. "
"120320","121760"," It's like magic, right?"
"122220","124100"," You should have expected the same."
"124920","126420"," We'll talk about that here in just a minute."
"132520","133300"," Hold on. "
"139240","140960"," Just a second here."
"149130","150070"," All right."
"152410","153870"," So much to do in the morning. "
"153970","154130"," Okay."
"154850","156470"," So let's look at a few things here."
"156870","157170"," Good morning. "
"157310","158170"," How's everybody doing out there?"
"159050","160350"," Everybody doing well this morning?"
"161610","162410"," All right."
"162750","164410"," So it's weird."
"164810","168750"," PPI came out and the tweets that I saw were brutal. "
"169490","171750"," The tweets were a doom and gloom."
"174410","176490"," The one thing I would say is this."
"177350","178590"," I think I think. "
"178850","183010"," I probably made a good comment as well about this yesterday."
"183890","185870"," If you're just looking at this chart right here, right?"
"186770","192630"," Yesterday we talked about I showed you yesterday that I showed you yesterday that the"
"192630","200830"," dealers are pretty much trying to."
"201690","204530"," Rain in the market into CPI. "
"205070","205250"," Okay."
"206510","210810"," That was a key point yesterday was they're going to try to stabilize it into CPI."
"212590","219150"," Now, regardless of what what PPI was this morning, had you seen a rip higher today?"
"219550","222670"," You'd more than likely be see selling into strength still. "
"222670","225670"," We saw that yesterday twice, right?"
"225810","229330"," We saw selling a very strong moves yesterday in the stock market."
"229970","235210"," And I think we had more buyers and sellers in the moment that we that we traded up high enough."
"235210","238730"," You saw that trigger in selling into strength. "
"239310","246330"," GS yesterday zero heads made a comment or been opposed yesterday saying that GS was not selling"
"246330","249890"," into strength block trading into strength in regular market hours."
"249890","251210"," We know that's not true."
"251250","253030"," We could see it yesterday. "
"253270","258370"," You could see it in the into the bell yesterday and you can actually see it in the bell as"
"258370","259430"," well the day before."
"260529","266190"," We made notes here in the program about that that you're seeing this like this unusual selling"
"266190","268990"," activity only triggered into any kind of string."
"269690","272710"," We said yesterday under normal circumstances, you would see a rip. "
"273610","277830"," First day after you you'd see a kind of a gap up here gap up there."
"278010","282530"," We talked to on this day on this day here this last day I said to you, you might not"
"282530","285510"," see a rip until Friday or Monday, right?"
"285850","287390"," We're seeing that play out."
"289090","290330"," Now, all week long. "
"290990","292350"," We've seen it all week long."
"292610","296610"," You see the battery port come in and then here's the other side of it."
"296610","300310"," Remember the other night we were awake at one two o'clock in the morning. "
"300850","302870"," We're watching futures."
"303450","311610"," Globex were watching the sell off into the touch the small and peepee down below of the quote"
"311610","312390"," unquote channel."
