"start","end","text"
"30980","36800"," So you can put this one on here, background, you know, mute."
"47630","52570"," So, I don't know if that can help, but I'll bring this out."
"53550","54010"," Hello, Robert. "
"55690","57970"," Hello, your wife's boyfriend, Omar."
"59270","59970"," Go Bills."
"61970","63890"," Can't pump those futures, baby. "
"68510","69750"," How y'all doing?"
"70570","71170"," Thank you."
"71270","71630"," How are you doing?"
"72970","73830"," Hi, Miha."
"75210","76390"," Don't pump it, John. "
"77770","78550"," Good evening, Jill."
"78810","79110"," How are you?"
"79850","80850"," Hope you all had a wonderful weekend."
"82590","83550"," Good evening, everybody. "
"83890","84790"," Good evening, Dougie."
"86050","87430"," Pump up the shame."
"90540","91870"," Good evening, hop into foreign. "
"92730","93510"," Hello, John."
"94890","95630"," It's Sunday."
"96470","97570"," Hey, your wife's boyfriend, how are you?"
"98390","99550"," Good morning, Sue. "
"100050","100370"," Mac Chambers."
"101110","101450"," Edie."
"102010","102230"," Or Eddie. "
"103810","104850"," I am scents."
"105150","105670"," I am C."
"107510","107610"," Vicki."
"107790","108050"," How are you?"
"110430","111590"," I got a little bit of rest. "
"112170","112670"," I skied."
"113830","114410"," Hi, Chase."
"114670","114950"," How are you?"
"116330","118030"," Thanks for getting me out of this shit movie. "
"118030","118850"," My wife picked."
"120810","121610"," Hello, Phillip."
"122830","124150"," Do you have a list by chance?"
"126210","126930"," Thank you. "
"128750","130610"," Probably have to keep this under here for me."
"132470","133270"," How's everybody doing?"
"134490","136930"," Let me see if I can switch over to the live stream here."
"137690","138090"," All right. "
"138930","140310"," I hope y'all had a great weekend."
"141850","142450"," Hey, Tom."
"142610","142890"," How are you?"
"144290","144870"," Yeah, great. "
"145050","145370"," How today?"
"145830","146470"," Hey, Carrie."
"147870","148650"," I took a break."
"148710","149170"," I needed it. "
"149370","151490"," I was this week was a brutal."
"152290","156650"," It doesn't matter which side of the which side of the market you were on."
"157170","158410"," It was really straight. "
"158590","160950"," Did anybody find this past week stressful or is it just me?"
"161530","163030"," By Friday, I felt very worn out."
"164630","166230"," I skied in Michigan."
"166230","168490"," I'm originally from West. "
"169130","176170"," I'm from Colorado, Utah, New Mexico, but I've been living in Michigan, so I'm stuck here."
"177930","183370"," I spent a lot of winters in the West still, but I'm trying to move back to the West."
"183570","187730"," I should be back in the West permanently this year. "
"188590","188930"," Soon."
"189270","190230"," Spring time, I think."
"191110","195310"," I have a trip to do down south to Florida, but I'm hoping to get back out West. "
"197710","199150"," Yeah, this past week was brutal."
"201210","204230"," Yeah, the whole not stressful fun."
"204610","207810"," It was exhausting for me. "
"208450","209450"," You know, it's it's pan."
"209590","210510"," You know, for me, it's."
"211530","214750"," Last week's moves are can be brutal for a lot of people. "
"215670","218690"," You guys can you guys can you saw with me, Kevin, right?"
"220250","223830"," I guess there's some other videos came out this weekend with a lot of."
"224390","226630"," Long only YouTube channels."
"226630","228490"," They were having round table discussions all weekend. "
"229050","234750"," You know, it's and even as a new YouTuber, you know, it kind of hit me last week."
"236030","237670"," Because we've been trading this market."
"238110","239850"," We traded it up on this live stream. "
"240150","242610"," We have used to make videos, but we used to trade it."
"242670","246510"," We traded it all the way up to 4.39. And then we traded it down to the first support,"
"246510","247490"," traded it back up."
"248310","250670"," And we we called the next turn down. "
"251370","255769"," But even then, a lot of people are which they should be, right?"
"256190","258350"," Our markets been going up straight for two straight years."
"259990","266710"," And, you know, people who put a lot of time, effort and money and into into this market."
"267470","270390"," And so people people's livelihoods are on the line. "
"270610","271930"," People's retirements are on the line."
"273930","278290"," You know, and you don't want to call stuff that can hurt people's."
"279610","281870"," You want to make the wrong call, all those kind of things. "
"282690","284710"," And I'm the biggest dip buyer out there."
"285110","286110"," That's what I'm known for."
"286290","291270"," I mean, I'm always sticking my finger in the pudding, trying to grab a dip. "
"291510","296290"," Now, with that said, I hope you're all having a great night right now."
"296390","299570"," There's only 41 of you here right now, which is perfect, perfect size."
"299770","300890"," People can come back and watch this later. "
"301890","309250"," I'm going to make this kind of short tonight because I went back onto YouTube and everything I've"
"309250","312490"," said on Friday, everything that I've said all weekend."
"314210","319370"," People are now making videos about people are now talking about it on Wall Street Bats."
"319530","320850"," They're now talking about it on Twitter. "
"321510","322030"," And that's fine."
"322250","322770"," That's all good."
"323890","327050"," You know, but we have to stay one step ahead of everyone else. "
"328850","334810"," So we're going to talk about that tonight, staying one step ahead of people and where we are in the"
"334810","336790"," market and where we really are in the market."
"339130","340890"," There's some things you have to talk about."
"341650","343530"," And, you know, futures are green right now. "
"343850","345930"," Futures could turn red at any point tonight."
"346710","348730"," I'll show you in a little bit why that is."
"349270","351330"," I don't think they're going to turn red, but they could. "
"352570","359550"," And we want to talk about that because it's important to have market perspective and anticipate"
"359550","365230"," what the moves are going to be the next day, the following week."
"366290","369710"," Before they happen so that if they go your way, you have a plan."
"370110","373570"," If they don't go your way, you have a plan as well, right?"
"373770","376650"," We don't want to be thinking about at the end of the day on Friday. "
"376890","380330"," What do we think is going to happen and then, you know, and then make the wrong moves into Monday."
"381050","385170"," And we're already actually playing out as we thought what would happen into Monday."
"386570","389550"," And we discussed it on Friday after the bell as well. "
"390010","392190"," We discussed it into the 14 for 15 hour."
"392330","393910"," We discussed it on Twitter."
"394690","399450"," I think I even made a post on Friday around 6 p.m. Just to clarify and make sure everybody"
"399450","401230"," knew where I thought we were. "
"402890","405390"," Now on that subject, we got to talk about some stuff."
"406370","409130"," So this week on the economic calendar."
"411520","413640"," You know, Monday we've got PMI Tuesday. "
"413640","419460"," We've got the National Home Price Index Consumer Confidence Index, but no one really cares, right?"
"420020","424260"," The only thing everybody cares about is the Fed Chair speech, right?"
"424700","427000"," News conference is at 2.30 p.m. in the afternoon."
"428340","431340"," We do have some more."
"431820","434280"," We've got, you know, claims and continuing claims. "
"435140","437320"," We've got some inflation stuff heading into Friday."
"439040","442920"," I would be concerned about consumer sentiment."
"442920","444800"," But we know most of this stuff, right?"
"445100","451780"," And we know, actually, the FOMC, the Fed Chair, what are the expectations for the Fed Chair?"
"452380","459880"," And I made a post this week on Twitter saying that I always trade against wherever everyone is on"
"459880","465320"," the Fed Chair speech, typically around 1.1.30 in the afternoon, the minutes as well. "
"466600","468880"," And to date, it has always worked."
"469720","476320"," To date, I've never had a problem not trading against wherever everybody was at."
"476680","480160"," So if everyone's loaded up on puts, I usually take the call side. "
"480240","483180"," If everybody's loaded up on calls, I take the put side."
"483540","485980"," It even worked the last Fed minutes we had."
"486420","488240"," Everybody was loaded up on calls side. "
"489220","492300"," Everybody knew that we were priced in and we sold down."
"493040","495320"," Do I think it'll work again this week on Wednesday?"
"496080","496800"," We'll see."
"496800","500120"," We don't know what's happening on Monday, Tuesday, leading into Wednesday. "
"501700","506280"," But we do have some insight into what the banks did on Friday."
"506820","511039"," What the banks did was they closed their short positions."
"512159","516780"," They took protection into February 18th. "
"516840","520840"," And, mind you, we don't even have an FOMC in February."
"521080","522380"," We don't have one again until March."
"524100","526260"," So we have just this one, right?"
"526400","531420"," But they did take protection into the following OPEX into February 18th. "
"531660","533240"," And that's cause for some concern."
"534100","539740"," Because what they're doing is they have the long the market for a snapback play on Monday, maybe"
"539740","540640"," even into Tuesday."
"541360","547700"," And then they're able to cover themselves if that snapback play fails all the way into February"
"547700","548360"," 18th. "
