"start","end","text"
"69580","71700"," Yeah, that's right."
"71700","72680"," Good morning, Daddy."
"74480","75580"," What up, Winky?"
"76440","77460"," Good morning, everybody. "
"77920","78560"," Pays on."
"79240","81040"," Hell yes in the house, kid."
"81840","82420"," Time. "
"83180","83800"," James Andreas."
"85120","87860"," Binky's in the house, Devin's in here, unexpected visit."
"88260","88260"," Woo. "
"88440","88920"," Good morning."
"92340","93280"," Here we go."
"94140","94640"," Good morning, everybody. "
"94900","95400"," How's everybody doing?"
"96580","97900"," Thanks for joining us again."
"97900","99660"," I appreciate y'all being here every morning, of course."
"101400","104380"," More in Garrett, more in Ryan, more in Shitzlamer. "
"106860","108160"," Good morning, Shitzlamer."
"108320","108640"," How are you?"
"111060","113780"," Morning, everybody."
"114020","122580"," Happy Thanksgiving if you're in the U.S. If you're not, hopefully you can enjoy your weekend as"
"122580","122760"," well. "
"125040","129039"," It's time for us to get together with our families and friends if we have any or not to and"
"129039","129800"," be alone."
"130380","131440"," Sometimes people are happier."
"134760","135700"," Good morning, Satcha. "
"135800","136320"," Good morning, Jess."
"138300","139560"," Yeah, good morning, Shitzlamer."
"140580","141320"," Morning, Satcha. "
"141500","143920"," Good morning, Pat, man, AA, AAA."
"145180","147380"," All the way to the mayor's."
"147460","148540"," Good morning, Patrick Thomas. "
"151980","152740"," Good to see you, Bink."
"156300","158900"," Yeah, or when does Vix go to zero?"
"159440","161620"," People have got to be freaking out this morning, right?"
"162700","164360"," What's the only thing that's bad, Pat?"
"165220","166000"," Morning, Mario."
"166000","167940"," Good morning, ATown, Metamorphic Morning. "
"168420","169100"," How's everybody doing?"
"170320","173040"," So I guess that by the dip was right yesterday on Tesla, right?"
"174860","180640"," It was a lead, I guess a lag, or an indicator of what was pinning the market."
"182580","189220"," The hold up on that, and then, of course, Tesla, this morning is doing quite well, it seems."
"190700","192140"," So we'll swing right over there right now. "
"193120","194820"," Let's turn that off and get right into it."
"195420","196240"," I've only got a few minutes left."
"198320","199880"," 9.22, you get eight minutes to the opening bell. "
"201340","202180"," Now we're going to open right up here."
"202540","204300"," Just want to briefly go over a few things with you."
"206380","208680"," What's going on, a larger time frame here real quick. "
"212350","216470"," You know, I was trying to look at this last night again and again and again."
"218970","220970"," Well, first off, last night I got stuck."
"221330","228030"," I have a tenet that left me a voicemail message yesterday saying that their furnace was off. "
"228370","231050"," And of course, that's going to cost me a couple of grand, and I'm like, I don't want to fucking"
"231050","231470"," pay that."
"232830","238490"," So I pulled off the induction motor and it was dry, so clean that up or whatever."
"239850","241090"," Let's just take a quick look, okay. "
"241490","243450"," I mean, there's a couple ways to look at this, right?"
"244010","247310"," We know we have volatility coming in, but a couple of things I don't need to know before they open"
"247310","247530"," here."
"249770","254710"," And, you know, we're in positive, whenever you see this pivot, that pivot point that I post every"
"254710","259649"," day, that's pretty much a positive and negative, well, intraday positive and negative gamma."
"260550","264630"," This morning, the pivot point lowered, and we bounced right off at this morning. "
"265330","269750"," I have to get my daughter to post that stuff early in the morning so that you guys have like"
"269750","273670"," seven in the morning, because you could have, you could have seen this morning, right?"
"273810","275970"," When we opened, that we were going up."
"278390","282470"," And we were in positive gamma, where we slip in and out of it, but we're in positive gamma, so"
"282470","286390"," we haven't, we're going to have a tendency for supportive markets."
"286750","287550"," I just want to be aware of that. "
"287690","289050"," We're in a supportive market right now."
"289050","292810"," We talked about it yesterday and we are in a supportive market."
"292810","294010"," That means you buy the dip. "
"294250","297690"," If there's a dip you buy, there's a dip you buy, not sell the rip."
"298070","302030"," Now, once we get up, the call wall is somewhere up here."
"302390","303670"," This is where R3 was yesterday. "
"304850","308430"," It is now further down today."
"309190","315170"," So we have some compression going on, and we likely have a sell the rip somewhere today around 390."
"316210","317310"," We'll get a little bit smaller. "
"317750","320430"," So we should be, we should be seeing something like this."
"321930","327830"," And then some volatility, of course, tomorrow, and then a decision, or a pause somewhere in here at"
"327830","330050"," this pivot point, and then a move higher or lower."
"330730","331690"," We're just going to kind of suck. "
"332490","336490"," So even if we get a move today higher, which makes sense, if you're going to short the market into"
"336490","342910"," tomorrow and you're a bank, if you're trying to do tax loss harvest, Tesla, or anything, any other"
"342910","346510"," kicker that you're going to tax loss harvest this year, you're going to take your finger off the"
"346510","348290"," scale and try to get the best price that you can."
"348370","349510"," That's what distribution is, right?"
"349510","353410"," You sell selling high until you get to a predetermined number."
"353610","358670"," We saw it in Tesla yesterday that the banks were selling or algorithms were selling it. "
"358870","360830"," It was perfect level to level to level."
"361970","365090"," So you'll probably see something like that today as well, right?"
"365650","369390"," They're taking their finger off of the pressure on the market."
"369650","370890"," They don't care about the VIX. "
"370950","372990"," VIX bulls got to be pissed this morning without a doubt."
"373710","375930"," But this is like textbook stuff right here."
"376030","377210"," We've got five minutes off to the open. "
"378470","383770"," So do you think that we trade up here, watching my cursor up to this 406 level today?"
"384290","384870"," Is it possible?"
"385650","387110"," Yeah, I guess it can be possible."
"387550","388290"," I'm going to get rid of that."
"389410","393170"," I'm going to get rid of that because this line is now gone as well. "
"394930","395950"," Let's get rid of all that."
"396130","401730"," But the implied move today is only up to about 397.8, 397.8 somewhere in there."
"403030","404810"," So we put a little red box in here. "
"405290","407590"," And I'm not going to expect us to trade any higher than that."
"407890","410170"," We could even trade sideways right off the bell here."
"410290","415050"," When we hit this bell, we could squeeze up and then trade sideways and down the rest of the day. "
"415730","420750"," So you'll see the markets be supportive probably the rest of today and then await the Fed meeting"
"420750","423970"," coming into tomorrow."
"424610","426790"," So let's take a look at that on a smaller time frame here."
"428110","429850"," Weebles kind of acting kind of wonky. "
"429850","432090"," We have a previous high above at 39702."
"433250","437930"," We'll switch over to book map as we come into this open as well so you can take a look"
"437930","438190"," at that."
"438910","440650"," And you'll see there's sellers right above us. "
"441170","445450"," You can see we've got some, let me see if I can bring my thing over here."
"446550","455230"," You've got some resistance here right at 397 9.50. That's about at 3967 7."
"455230","460210"," And then just above that we have some more sellers at 3984."
"461310","464170"," That looks like the previous high that we have marked off on the chart. "
"466050","467670"," And then we'll look slightly higher here."
"477720","484080"," We actually have some that call wall above at 4,000."
"484260","485460"," That's at 3900. "
"485580","486280"," That's actually forming."
"486580","487600"," We didn't have that yesterday."
"487860","490580"," So there might be some implication that we could trade higher today. "
"490580","493840"," But just taking a look you'll see there's some immediate selling off the bell."
"494300","500700"," So my thought would be that off this bell this morning we're going to reject and then trade down"
"500700","503060"," and try to find support at 3970."
"503420","506160"," Just by looking at the at book map or at the bell. "
"506500","507880"," We could squeeze right through it at the bell."
"509000","516179"," This chain or spot or book map will change immediately after some volume comes into the market."
"516500","523039"," But what we'll do is we'll look for I'm going to hope for now when we have these opens and"
"523039","529280"," we're already up here right instead of buying the dip here we'll come over here. "
"529840","533440"," When I'm hoping we get right over I guess if you're a bull what you're hoping for this is our"
"533440","538740"," one is you're going to be looking for you're going to hope we get this down here to make this"
"538740","542600"," leg up higher right today and then hopefully sell this."
"543420","545480"," That would be the bull case for today."
"546860","555340"," The theta case for today would be to buy some wide butterflies and sell them by end of day right"
"555340","559580"," and that would be where we do a quick rip reject off the previous closing high. "
"559960","563820"," And then we do this bullshit awaiting tomorrow right."
"564320","567400"," That's the theta that's theta gang kind of trade for the day today."
"568160","575240"," And then the bear trade for today is of course we open slam off our two or even here these"
"575240","579960"," these would be these two levels that are that was on book map and we just start trading it down"
"579960","586820"," in sideways and down into the known volatility that's coming to the market tomorrow for the"
"586820","587120"," minutes. "
"587720","590360"," And if I have some time today I'm going to take a quick break."
"591560","594880"," I haven't had yesterday I got caught up with some stuff I had to do last night."
"594980","601720"," I got done with streaming yesterday and I had ECB synthesis as a recession on its own won't solve"
"601720","606400"," inflation issues and says the ECB will take interest rates to restrictive levels. "
"606800","608220"," This is premature to pick the next."
"608600","612900"," Had some issues with attendance and then I had some issues with dinner last night."
"613760","618560"," A very rare occurrence that we had a bad dinner and had to get a different dinner and then you"
"618560","620600"," know as the night I've got children all that kind of stuff. "
"621360","626680"," So but I do want to get a chart for you or look at a chart at some point this"
"626680","630380"," morning that shows you we don't always sell the minutes."
"630500","637720"," Sometimes we do about 90 percent of the time we sell the minutes we buy the the meeting."
"639020","643920"," So I guess the my my thought process would be let's just look we have got how many we got"
"643920","644500"," 30 seconds. "
"646880","650300"," My thought process here as we open let's watch and see what happens in the open."
"651120","660580"," But my thought process here is that we sell the minutes and then or my my original thought process"
"660580","666720"," was that we would sell the minutes excuse me we would buy the minutes and then we would sell the"
"666720","667780"," J-POW talk."
"668100","676480"," I thought the J-POW talk was tomorrow somehow somewhere someone I don't know if I misread it but"
"676480","681240"," they were talking about let me go put up my trip my thing because I might want to take a"
"681240","681660"," trade here. "
"683180","686960"," Somehow I thought that J-POW was going to talk during these minutes because it was Thanksgiving."
"687860","695800"," But he's not he is not talking I believe until Friday so that I had misinformation or I read my"
"695800","698000"," information wrong a couple days ago."
"699180","709040"," My initial thought was that the the minutes would actually be dovish and so we've got some"
"709040","714140"," calls coming in right off the belt 397c a couple thousand calls rolling in right away. "
"714140","717780"," I don't know if we're going to buy that because you're going to hold that for just a few moments"
"717780","718760"," if we keep ripping higher."
"723400","727300"," I'm going to wait I would wait for a dip or I'm going to wait for a dip just but"
"727300","734000"," a my initial thought was that the minutes would be dovish and we would get initial rip off it and"
"734000","739040"," then J-POW come out and talk and tone it down right sell the market."
"740480","749240"," But if we're going to get the minutes tomorrow and then J-POW on Friday I wonder if we get"
"749240","757760"," that volatility into the minutes the minutes look dovish we get the rip up into Friday where we"
"757760","763760"," close Wednesday for Thanksgiving on the high and then J-POW comes back in and"
"763760","773740"," shits on the at least the first or somewhere in there and try to hold a"
"773740","781480"," hold that 385 or whatever that wherever that is more of the highest and it's weird we have a we"
"781480","791320"," have some mixed signals on oscillators some very mixed signals and people are taking sides"
"791320","799880"," on oscillators this is looking down the road so you get the call side now switch the algos have now"
"799880","807740"," switched to the put side pretty fast action going on in the options chain right now let's look at a"
"807740","817240"," larger time frame here so we've got a 23rd 24th 25th right and I think we've got J-POW coming"
"817240","828540"," out on the 25th and talking here we'll put we'll put this one up here this"
"828540","834180"," is when you try to I'm trying to anticipate the news before it happens right you try you guys all"
"834180","840660"," you guys all love the news and stuff but the reality is you're looking for where the market is when"
"840660","849560"," the news comes out and how it's how it's implied to move the market before it happens right so my"
"849560","857260"," point would be that you get some kind of a lead in and some some doom into the meeting uh"
"857260","864600"," it actually did dovish in the initial reaction is good we rip higher into um Friday and then J-POW"
"864600","870940"," just shifts on the market and it's next week is heading into the first over here somewhere in here"
"870940","880760"," um so it'd be something like this and then we have a decision coming into uh the"
"880760","888000"," first right the first would give that uh do we have a more Christmas rally tax loss harvesting into"
"888000","894880"," end of year something like this I'm not not as concerned yet but uh there is some interest"
"894880","901800"," interesting things here if something like this were to play out my point to you is that if any of"
"901800","908200"," this were to play out here and we're able to get up and over 400 into the first of the"
"908200","915820"," year that would put like 430 440 on the table which is I don't can't believe I'm saying that I"
"918090","927810"," can't because I I can't see us going there I feel like this trade higher is a low probability"
"927810","940010"," trade it's like 15 to 30 percent chance I think that the likelihood is"
"940010","952350"," down I think that is the trade I think it's I don't think that the trade is um is"
"952350","962770"," up there this is the the larger time frame this is the larger time frame uh where we should this"
"962770","967690"," is where I was talking about to come down to this right down here J-POW takes a giant shit"
"967690","975390"," we head down to the first we get somewhere up into the 15th here and we start rolling it over"
"976890","983170"," that's where you actually get that roll and that looks this looks reasonable like if you look at"
"983170","992410"," the way this move boom something like that big power push up you can claim that you got your"
"992410","1000410"," holiday rally bears are happy they waited until we hit this major resistance up here this this"
"1000410","1006810"," looks logical like if if there was something to play out this doesn't look unreasonable maybe"
"1006810","1013630"," there's a there's a dip right here catches a but catches a bear off guard and then we have that"
"1013630","1019270"," last final push and end a month trying to look at this from the perspective of when you look back"
"1019270","1023550"," on a chart and you say oh yeah I should have seen all this I should have known we were"
"1023550","1029290"," going to do something like this this makes sense and this this isn't irrational like looking at"
"1029290","1034349"," this here this kind of a move you get your one two and your three and then a power move"
"1034349","1042130"," up and then we start the big sell and you start to see the the uh I always tell like"
"1042130","1052350"," the the the bulguru's explaining that it's tax harvesting so I'm interested in this trade here uh"
"1052350","1062350"," I know that the bears want like sell down and we're we're out because this is their"
"1062350","1068790"," only hope gay pal and this actually gives this other trade here something like this I would say"
"1068790","1075750"," would be anyway something like that right this actually would take some pressure off of um the VIX"
"1075750","1083590"," if you had this dip down below up and then we actually break through the the volatility would kick"
"1083590","1093170"," in down here just breaking that would would kick the volatility you'd trap the VIX bulls and then"
"1093170","1098170"," you'd rip it higher we probably still get to like just down a 20 up here and then rule it"
"1098170","1104090"," back over matter of fact if we went up here now we'd get we'd get volatility again up here as"
"1104090","1109990"," well you get it down here and you'd get it up here so uh if you're a VIX bull you're"
"1109990","1117990"," probably going to be it's going to be uh like a Han Solo ammonium falcon type a couple weeks for"
"1117990","1125610"," you uh in here let me know in chat what you think of this uh idea here that we get"
"1125610","1134190"," some some vol into the event it seems dovish on the outside jpop comes out and says on friday fuck"
"1134190","1139810"," you know it isn't but the reality is it is dovish uh but his initial statements dumped the market"
"1139810","1148510"," uh now if they were doing rates cuts or pauses uh that would should be an initial bump but then"
"1148510","1153350"," I think that the market's going to realize that's not what I think we actually would burn the"
"1153350","1158190"," market if they pause I think that we do burn the market that's the other option too like we don't"
"1158190","1162070"," this is all unknown information if they say they're pausing or they're going to cut rates it's"
"1162070","1171090"," going to get fucking nasty um quick now I'd be looking for like a spike up actually tomorrow and"
"1171090","1177930"," that tomorrow or friday and that's my one one one concern is that uh he was so he was so"
"1177930","1187790"," hawkish interview trying to downplay the discussion on pausing rates uh into tomorrow"
"1187790","1195050"," so or or into december or the discussion about pausing rates because coming into support down here"
"1195050","1202610"," in r1 let me know in the chat what you think is going to happen I'm interested to see what"
"1202610","1207710"," your thoughts are here so we're sitting on some pretty decent support here if this holds I'm going"
"1207710","1213470"," to expect us to trade higher uh I'm going to pop a little box in and um see if this"
"1213470","1219470"," does hold or not and we'll know if we're going to trade down from here if you're bearish you want"
"1219470","1229670"," to break through that that uh this when we're breaking through this r1 you know"
"1229670","1234350"," you can do this on your own charts at home wherever you are show you here in the live stream"
"1234350","1241950"," I just popped in this little yellow box right here you could probably put this box down to right"
"1241950","1249350"," here somewhere so right where this yellow line is right here you want to see this hold and if this"
"1249350","1260060"," doesn't hold um we're probably going to head back down to that pivot we'll"
"1260060","1268200"," see if this holds or not I'll go back to book that for you okay let me make let me"
"1268200","1274840"," make this a little bit lighter because you can't really see through it right now I don't know if I"
"1274840","1283520"," can make this I can't really see through I'm gonna get rid of that box because it's uh you can't"
"1283520","1296220"," see shit the ticker the lines work just fine for me I still"
"1296220","1307540"," have uh 25,000 contracts on 396p and puts let's"
"1307540","1314440"," see if this holds let me check your chat see what you guys are saying here about uh what your"
"1314440","1324200"," thoughts are heading in I'm interested to know what your thoughts are coffee and cap yeah good"
"1324200","1333240"," morning uh if you all are having coffee this morning what do you see here let's see you guys are"
"1333240","1339440"," saying this morning what I don't know if I'm looking at to choose the options yeah I'm looking at"
"1339440","1349420"," today's options hey thanks for being here as well Liam good morning"
"1349420","1360640"," Eric how are you morning Omar how are you yeah you"
"1360640","1368240"," know what I do uh I'm trading I'm trading the Tuesday or the Tuesday options but I do scroll over"
"1368240","1376380"," to the other options for the rest of the week and I see what how everything is lining up what"
"1376380","1385400"," you can do is you like look through the next week to month out options and and uh take a"
"1385400","1390380"," look at the regular chart here and see the positioning of everybody see where however one's"
"1390380","1399330"," positioned and then when if you see if I see a switch on the the nearest expiring date I will"
"1399330","1409190"," then check farther down the road and see if they've also closed those as well uh"
"1409190","1417910"," might buy some calls here come on some on November 22nd options here $3.98"
"1417910","1427490"," $3.99 or only $0.18 $3.98 or $0.35 okay a second here I'm going to load up"
"1427490","1441050"," some some calls just in case yep $0.98 all"
"1441050","1450270"," right there we go uh let me switch back so you guys can see where I'm at here it's possible"
