"start","end","text"
"430","2730"," Before the film began, step one, two, baby."
"4810","6030"," Step one, two."
"8530","9050"," Yeah. "
"12930","13450"," Woohoo!"
"13810","14990"," I don't think it's a copy going to."
"16410","19370"," A brand-in, a brand-in, a brand-in."
"19670","20190"," Yeah. "
"25040","26440"," They say, woah!"
"29700","31080"," Step one, two."
"31740","32260"," Up."
"35060","35580"," Baby. "
"35900","36160"," Pang, pang."
"40520","41320"," Won't pang."
"41740","44300"," Well, uh, pang, uh, um, uh, uh, um, uh, uh, uh, uh. "
"47290","48270"," Good cut."
"55390","56210"," Here we go."
"59630","60510"," You-you. "
"60630","61350"," Good morning, everybody."
"63010","63530"," Hello."
"63629","64050"," You're all here. "
"64330","65350"," How y'all doin' this morning?"
"66330","69630"," Uh, we're getting a bounce right now on..."
"69630","75050"," We're getting a bounce right now on, um..."
"75590","81250"," on the half hour trigger but someone's just asking to see someone asking in the chat right now."
"81830","86690"," Catch it about on the half hour trigger right now but we'll talk about it."
"86770","91710"," We'll look at it at it here in just a minute so let me just one quick second. "
"92010","92790"," There's no rush here."
"93250","99350"," If you're already short you should catch the bounce and get a rejection above."
"99610","100370"," We'll look at it right now. "
"101850","102510"," Hang tight."
"104470","105510"," What are you going to do here?"
"105890","106270"," I'm going to leave."
"106530","115630"," I'm going to keep out the Russian sex bots and stuff but keep those people out and then here"
"115630","119230"," we'll go right over it so it'll hold on here. "
"119710","124990"," Alright so you're seeing a bounce right now if you look on the top right hand side of your screen"
"124990","131150"," you're seeing the bounce on the half hour trigger now so this is something if you have the tool I'm"
"131150","135990"," going to talk to you about this okay so just because you bounce on the half hour trigger does that"
"135990","142290"," mean does that mean that you buy it and continue on price still needs to be above the one in"
"142290","146090"," five minute trigger okay so if like so you need to get above that."
"147010","153070"," Yeah I guess you could take a five minute trade or something like that but you need to get above"
"153070","157010"," to be bullish you get above the one in five minute trigger so price needs to be above the one"
"157010","165010"," in five minute even if it slams down on the half hour hour daily doesn't matter so hey good morning"
"165010","171570"," everybody how is everybody fucking doing this morning I swore in the first five minutes today was"
"173630","181770"," outstanding as a really as a matter of fact this whole week's been good and I'm very happy covid"
"181770","191250"," gone which is good to see hold on here give me one quick second here we got a bunch of"
"191250","199530"," stuff to go over today busy day they're busier than it might even seem so we will go over a"
"199530","204130"," bunch of numbers so what you should see happen here is you should see a bounce off the half hour"
"204130","212370"," trigger if you're bearish you are looking for a continuation to the downside and a rejection up"
"212370","219910"," here okay to slam back down slam into that hourly trigger and then continue to make our way down"
"219910","225210"," the other thing that you're looking for is I'm going to switch over here it says to lower rates"
"225210","229710"," you'd need to be confident inflation is headed back to two percent and we got a lot of talking to"
"229710","235270"," do here like so yesterday I read or hello we'll go over the wee bold chart really quick just split"
"235270","245070"," chart right now and if you're gonna look at SPX right so here's SPX let's take a quick peek at"
"245070","252450"," SPX over here had this gorgeous squeeze up here right whoo-hoo went all the way up and we want"
"252450","258149"," to come back down and bounce off of four five seven five to build up what we need to get"
"258149","267190"," up there and trade that 4600 now we pulled back right to the 45 75 and we're underneath it right"
"267190","273290"," now so what we don't want to see is we do not want to see the squeeze up break underneath"
"273290","281390"," and begin to reject here in this 45 75 because that will likely lead to more downside to come or"
"281390","286190"," at least to close this gap down below here so you see this big fat gap right here that needs"
"286190","291030"," to be closed doesn't need to be closed but it should be closed you don't see a lot of gaps"
"291030","299250"," on we turn the shit off you don't normally see a ton of gaps on SPX you will sometimes see"
"299250","306510"," gaps on SPX but it's very rare you'll see them on spy more frequently not so much on on SPX"
"306510","312570"," so this gap likely needs to be closed the high probability of it and then and then what we'll do"
"312570","319830"," is we'll look for a trade so I'm expecting at this point for this for this gap to be closed"
"319830","326410"," let rest this gapage down here and you can actually see the gapage over here and spoons or spy"
"326410","333570"," excuse me so it not surprised me to see all this be gone okay for a pullback and to close"
"333570","341630"," up all of those gaps to the downside so is there a trade here for you unless you're in put"
"341630","346370"," I had some puts a few minutes ago I actually sold this right here oh wait you can't see that"
"346370","350690"," I sold that I basically sold this right here for a brief bit but then I had put the show"
"350690","356850"," on so I got to fucking close this stuff and then get with you guys so what we'll do is"
"356850","362990"," I will this one's on one minute chart right here on the bottom let me see I can bring this"
"362990","369530"," up so you can see this for the rest of today and this was the first target was hit up"
"369530","375750"," here next target above is this one right here this is the I believe this is the summertime high I"
"375750","384950"," believe this is the I think it's 40 45 80 90 I believe is the don't quote me on that"
"384950","391670"," I believe this is the the summertime previous highly take out so give me one quick second here"
"391670","399190"," we'll go right back to the main screen here how are you guys doing good morning how's everybody"
"399190","405630"," doing out there hope you're all doing well let me let me look at what you guys are saying good"
"405630","412810"," morning limit buyer spaceman Jamont jail mighty bear town sheriff Merp for life what up spaceman"
"412810","414590"," protron alpine dr."
"414890","423090"," gone stretching walls in the house oh no am I still holding my calls fuck though I asked I went"
"423090","428690"," on to Twitter and told people I'm selling right here so I sold this red bar right here let"
"428690","437350"," everybody know on I got a dollar 32 for I think 24 cents or something like that but I did"
"437350","443010"," sell my calls on the rip up and let people know on Twitter good morning everybody how y'all do"
"443010","449350"," I think I'm gonna do a quick thing here I got to post this live stream just we post this"
"449350","454270"," live stream I always forget to post the live stream on Twitter so I just let me just post this"
"454270","466770"," really quick and QQQ and we're gonna do GME we're gonna do Tesla we're gonna do GME"
"466770","476570"," SPX yes yes and I guess I should have done in Q2 but and Q we can"
"476570","490450"," do WM2 at some point we'll talk I WM at some point here with Tesla"
"490450","500350"," plan here post that okay so that's posted now"
"500350","509570"," oh yeah be pumping up baby it's a good song okay so let me read through the rest of what"
"509570","514610"," you guys are saying here cap is good she has good morning you ran with the money on puts Fed"
"514610","517970"," running it today what's up champ come a good morning to the point how you doing good morning stock"
"517970","525310"," market show starting now when members that's me can you give the sub with points you all right so"
"525310","528950"," we'll get into the points thing in just a minute but I will get back to you on that good"
"528950","535310"," morning Johnny how you doing brother yeah dude puts working out great thanks hey you're welcome"
"535310","545150"," space man captain potty mouth yeah dude I don't have Bob alert how are you all doing out there"
"545150","554210"," this morning it's a really good morning so yeah give me one quick second here I miss this I miss"
"554210","563380"," this right here hold on I'm gonna grab some 4"
"563380","574660"," 55s here and try to try to be can sell this sell this bad boy down how are"
"574660","583800"," y'all doing here good morning so trend we know is 4 55 61 let me see I can write"
"583800","592240"," this in right down here this is trend down here 4 55 61 right there that's trend a"
"592240","598080"," little bit more down to go not too much though we're gonna get rid of that one we already took"
"598080","604800"," that one out so get rid of that one this R3 is the last one up above I've got a"
"604800","614740"," 4 55 P's if you want to know yeah I went on to I went out someone asked me"
"614740","619220"," on Twitter this morning if I was going to sell the open and I told them on Twitter that we"
"619220","625560"," should green bar it up and I'm gonna hold so I did tell someone on Twitter this morning that I"
"625560","632680"," was gonna hold I was waiting until the end to see if I was gonna wait I think I waited"
"632680","639760"," until 9 15 to figure it out if I was gonna hold past the open or not but this morning"
"639760","646860"," it they wanted to green bar it up and take out that that red bar above it did so I'm"
"646860","651980"," pretty happy with it we do have some stuff to talk about we should talk about the JPM caller"
"651980","660600"," December we should we're gonna talk about small caps historical precedence for small caps this"
"660600","666060"," morning so we're gonna talk about what to expect into December and we're gonna talk about what to"
"666060","675860"," expect into the new year this is something that you want to watch your you need to watch this you"
"675860","681320"," should go grab your friends today go on fin to it matter fact you should go on fin to it"
"681320","689680"," and I just posted a link to the show and here I'll do a twitch link to tell your friends"
"689680","699680"," together around because we have some chatting to do about what to expect coming down the road and"
"699680","705000"," what does it all mean that kind of stuff now I want to say something here too you know who"
"705000","710820"," made a really good point this morning was Jedi Marcus made a great point this morning and he said"
"710820","717280"," he said let me see what he posted this morning we find Jedi Marcus this morning and see what he"
