"start","end","text"
"12420","13660"," Let's see if we're up."
"38760","40700"," It doesn't look like I'm capturing anything."
"44690","45650"," More in Chas. "
"46250","47370"," Good morning, stocks on this."
"47490","48390"," Can you guys hear me this morning?"
"52640","54680"," I'm having some technical difficulties."
"55880","56580"," Good morning, MA. "
"58680","63379"," I don't know if anything's coming up on my screen here."
"69060","70120"," Good morning, Tom."
"72440","74300"," Let me just take a look at my screener here. "
"78080","81660"," Well, you know what?"
"82320","83440"," Hold on one second."
"83960","85000"," Hey, one second, guys."
"85180","85900"," I'm going to try to get. "
"100360","104400"," I think you guys can hear me, but I don't think you can see a screen or so."
"104580","106440"," Let me add a screener real quick here."
"108890","109450"," No vid. "
"114410","115330"," Thanks for the coffee."
"116310","117130"," All right."
"117730","120290"," Let me see if I can add. "
"122990","124570"," Give me just a second here."
"127490","137410"," Let me reboot this thing real quick and give me just a second and what I'll do is I'm going"
"137410","138550"," to reboot it one more time."
"138730","140170"," Give me just one moment, all right?"
"140390","140890"," I apologize. "
"141130","141570"," Oh, no, you know what?"
"141730","145330"," I think I can add a display capture here."
"148810","150030"," Hang tight here."
"163020","164100"," See if that works. "
"166520","168560"," Yeah, we've got PPI in just a few minutes."
"168940","169140"," You know what?"
"170120","173240"," Let me reboot this thing and just see what's going on here."
"174020","176140"," Give me just a second and I will try again. "
"177500","178460"," Technical difficulties."
"178460","179260"," Ugh. "
