"start","end","text"
"330","12530"," He's stank ass these stank ass Russian bots These stinky Pete Russian bots They"
"12530","13910"," don't like it, huh?"
"14610","21410"," They don't want to see the squeeze Is that what is stinky butthole stinky butthole?"
"22250","23690"," Just leave this down here."
"23690","32350"," Oh, it looks nasty doesn't it look at it These stinky bears Stinky bears don't want to see it"
"33910","43690"," They're all piling in now they're like a ugly that thing looks Good ugly that little thing right"
"43690","54480"," there looks I'm gonna have to play everything Oh,"
"54480","60680"," no people are saying that it went down on Twitter people are saying that a twitch went down on"
"60680","70360"," Twitter They're right now texting me on Twitter that it went down We're back up and running though"
"71880","75060"," Maybe you didn't notice the service interruption on your end."
"83750","97160"," Oh Look it's the whole dragon going YouTube is down right now Fucking"
"97160","102880"," a man The YouTube is like what is he doing over there?"
"102880","112640"," I Don't know what's happening on my end my internet is fine You're watching both streams. "
"112660","130200"," Thank you Yeah, I"
"130200","131480"," shouldn't be going down either."
"131640","138840"," I've got um you got I've got fucking bomb internet like because as good as you can get Commercial"
"138840","154240"," internet, so I don't know why it's going down There we"
"154240","159920"," go, we'll keep it back up for the for the Yeah, you want to park it?"
"181770","187250"," Yeah, I just noticed that this is like the third I don't I don't know what to do on my"
"187250","200050"," end It might come down to where I need to reset everything every single day Yeah,"
"200230","209490"," and there's what I've got 900 as the target for For nvda trade is dead in my view I'm pulling"
"209490","210170"," itself back."
"210350","211970"," Hey, look at I'm really quick. "
"212030","213130"," Notice this right here."
"213230","218510"," Look at I'm pulling itself back up here Be can't watch this shit down here because they're gonna"
"218510","223890"," try to fucking price in Not a rate cut tomorrow, but a future rate cut here."
"224170","230770"," There's a lot of manipulation going on an IWM right now A whole ton of it whole ton of of"
"230770","231430"," get out of here. "
"231530","237490"," You I want you I want you to be a buyer and I Wm way above Same thing I've been"
"237490","243910"," talking about that for a few days now Since I think last week like be be a buyer down here"
"243910","249150"," and I Wm be a bull down here and I Wm I don't care about these dips down below don't"
"249150","249830"," care about this."
"250150","255029"," You're a buyer of IWM for an upside move a Pricing end of small caps."
"255329","256170"," There is a warning here. "
"256350","262570"," There could be some doom If they don't cut rates tomorrow, but you know what they fucking I'll tell"
"262570","272550"," you what I Will tell you what right now They won't have an excuse to keep blowing IWM off anymore"
"273250","277310"," Right, they're gonna have they're going to have to price in I have you up He doesn't have any more"
"277310","284080"," room not to cut after this rate decision All right, I'll be back."
"284240","370210"," I need five minutes just five minutes And just a"
"370210","379130"," note here drawing in expectations Expectations here for spoos Target"
"379130","388950"," 518 into the clothes here 518 into the clothes Oh man, I'm gonna throw up"
"388950","398270"," dude so throw up If you want to know what the ultimate target is Five-thirty five-thirty"
"398270","407170"," Five-thirty on spoos so target of 518 and a target of five-thirty now that doesn't mean we're not"
"407170","419520"," gonna get ball pull pullbacks But there you go Dude, I'm a fucking hurl here They"
"419520","427600"," got 441 on cues Let's just get rid of this now because we're gonna go to 441 Then VDA is"
"427600","428400"," gonna blast up."
"428500","429320"," What do we have 443?"
"430840","440420"," So suppose so we got Right there All"
"440420","449220"," right, whoa, don't get away from you there get back over your excuse right away right there We're"
"449220","456940"," gonna do that bad boy right there prediction of a squeeze up into the clothes right now very"
"456940","466690"," dangerous trade For 40 441 0 3"
"466690","476370"," 440 point 70 on spoos into end of the day Coming back now to check the five minute trigger"
"476370","490190"," on S&P 500 and spy That is the projection though 518 518 is the projection Gerald"
"490190","492290"," saying they're gonna Jared just said they're gonna park it. "
"493590","502930"," I don't think so maybe maybe Then they might park it but that thought that the right down here"
"502930","510170"," watch down here this QQ Q Even if they even if they do a pullback that what let me go"
"510170","520210"," down to this So even down here on this one right here Even if they do a pullback So"
"520210","528510"," they pull this back down right there and then they go up we get rid of that one Even if"
"528510","536790"," they pull this one down right here just be aware of be aware of this hourly trigger right here You"
"536790","538310"," see it and I'll show it."
"538410","548250"," I'll show up better down here I'll drop better for you It's a different time frames right so even"
"548250","553190"," if we go down here, it's still to 518 right there Doesn't matter if we go all the way down"
"553190","561010"," to this hour you can't see it Even if we go down to this hourly trigger down here even go"
"561010","569170"," all the way down here targets remains the same 5A gamut 518 don't care if it's the five-minute"
"569170","576710"," trigger don't care if it's the hourly trigger fire of gifts here 100% Fire of gifts in the five "
"576710","590220","-minute fire of gifts in the hourly upside target 518 Does not matter 518"
"590220","599940"," okay There's still reaching from here."
"600020","601400"," I'm not saying we got there, but they are. "
"601540","604200"," Yeah, absolutely You're a buyer of all dips here."
"604820","612920"," They are targeting 518 into the clothes So if you're on an hour or a half hour you guys get"
"612920","618360"," off the one-minute handle get off seriously Listen to closely get off the fucking one-minute chart"
"619360","636320"," Get off the one-minute chart, please Get off the one-minute chart Easy"
"636320","645820"," easy, I realize they can send this down here my real you gotta hear let's do it this way Let's"
"645820","655020"," look down let's look down here I'll say this If you lose 51.59"
"655020","664120"," I'll say yes to you, so if you lose Yeah, if you lose if you lose the hourly trigger in"
"664120","675620"," here Basically if you lose you by the time you get there there if you lose 51350"
"677400","684700"," If you lose 51350 I Will give you the we ain't go we ain't going to here."
"684860","685380"," I'll write it. "
"685520","687180"," I'll write it in here It's gonna be so sloppy."
"687220","693240"," I hate this slop We already did the old Jim burrows we're gonna move them over."
"693580","705990"," They don't need that anymore Trade is valid Unless"
"708090","718880"," We lose 513.50 All right There"
"718880","728820"," you go There you go, I think that works Trade is valid unless we"
"728820","734540"," lose five five fifteen five thirteen fifty That trade is valid to the upside. "
"737280","748240"," Oh Really That sucks I like him a lot I'll"
"748240","789130"," write that I'll post that on a post on Twitter So that everybody's aware Maybe"
"789130","799840"," that'll help Mr."
"800360","801660"," Yen is raging right now."
"801660","802920"," Yeah, I like him a lot."
"803240","804760"," I hope that he's not short. "
"806040","808480"," I Don't want to see anybody get hurt."
"808640","809800"," I like him in general."
"810040","814360"," He was a guy that I look up to he's I trust him more than more than Anything like he's"
"814360","991650"," what he's unlike my top 10 list of I trust I"
"1065150","1073530"," Go over here Let's take a look at this over here I"
"1073530","1077410"," mean look at that right there. "
"1077410","1079630"," Oh, yeah, 52 70."
"1086970","1093550"," I Like this down here I Mean this is this kind of gnarly right here."
"1093650","1098810"," You see these buyers kicking in right here So we can roll down here, but even if we roll down"
"1098810","1106210"," I just want you to see this down here 52 18 52 19 52 24 all that kind of stuff"
"1107770","1114230"," See if we can kind of bring it back a little bit here I mean look at that right there"
"1116410","1119610"," That's your support right there, right coming into it right now. "
"1119710","1122190"," Just look at that giant fucking green bar Right there."
"1122270","1126030"," That's got to piss somebody off Somebody's got to be pissed out there."
"1126430","1135220"," I mean just look at that right there block They got a rug pull this whole fucking thing right here"
"1135220","1145190"," I mean that that's gnarly right I"
"1145190","1148430"," would be scared chills if I was short if I was looking at that at home I'd be like, yeah,"
"1148470","1154270"," I don't know like we need a rug pull That's very mean like we need a fucking rug pull like"
"1154270","1154670"," stat. "
"1155290","1164790"," We need some bad news We need some bad news"
"1172290","1195090"," Yeah Yeah,"
"1195110","1201730"," I'm pretty confident with this down here Even if we even if we go down here unless unless they"
"1201730","1211270"," remove that rug pull There's like a giant massive buyers like right here Giant massive them"
"1211270","1212950"," you can see it right on book map."
"1213190","1216610"," So Let's see if they buy it or not."
"1216770","1227420"," We'll see if they stay here Yeah,"
"1231550","1234170"," time to close the lap if you're a bear out there close the laptop. "
"1234430","1235030"," You're a bear."
"1235290","1244110"," That's like short into Friday or Short into like Monday or something like just just like close the"
"1244110","1255190"," laptop Just go close the laptop come back and like a day or two two three days Hit"
"1255190","1383160"," the maintenance button I'm"
"1383160","1472780"," totally shit posting right now on I'm totally shit posting right now on Twitter It's"
"1472780","1477180"," so terrible no so terrible right here."
"1676880","1677160"," I'm back. "
"1677260","1687140"," I'm back So you can see right down here the"
"1687140","1698740"," hourly trigger You can see the rug pull right over here right there That"
"1698740","1717110"," is support I I"
"1717110","1726070"," Just saw ass face Dre on the moon posted two dangers here and I concur with him He said it's"
"1726070","1729510"," too dangerous to call it either way, and I'm like I agree with you 100%."
