"start","end","text"
"580","2500"," Good multi-stream."
"51230","56650"," It's a step one, two, maybe."
"64640","66700"," Holy shit, people are here, I can't even see it. "
"68440","73340"," I can't see any of the chat right now, but I can see it up there on the YouTube."
"74340","75140"," Good morning, everybody."
"75420","76080"," Hold on, I gotta go through. "
"76860","78420"," I got one quick thing to do here."
"78420","78620"," here."
"80260","82480"," Oh, what do I got to do here?"
"83580","85060"," Like I haven't streamed before. "
"87100","91060"," All right, hold on here."
"91200","94480"," I got a I'll leave the chat open today."
"95440","99900"," So whoever's here say, we're gonna leave the chat open for everybody. "
"100760","102440"," I don't know why that's over there."
"103100","103600"," Okay."
"103600","103660"," Okay. "
"104920","107160"," And I'll try to open it up for."
"110100","120050"," We're gonna go to switch and open up that chat to get ready"
"120050","120410"," to do it."
"120470","121310"," Your boys girls. "
"121890","123710"," All right."
"124410","125790"," Well, heads up here."
"125990","126390"," I am long. "
"126730","133330"," Some calls among 451 C's for 43 cents that I bought down there at the bottom."
"133450","134150"," So just heads up."
"134430","137250"," I don't know if they're gonna be, it's gonna be a good trade or not. "
"138850","140790"," But I am on that trade right now."
"141050","142530"," Take additional firming off the table."
"142550","145190"," And let me turn on the chat for Twitch. "
"145370","147970"," Hold on here for everybody."
"149550","150470"," All right, turn."
"150770","153230"," So notice that anybody anybody can chat on Twitch here. "
"153610","153870"," Okay."
"156870","157490"," All right."
"157590","159570"," So we got a bunch to talk about, don't we?"
"162270","166390"," First, I can't see all of the stream chat at the moment. "
"166390","171450"," I don't know why, but I'm gonna go through right now and try to find everybody and say good morning"
"171450","172550"," and hello to all of you."
"173090","181190"," Good morning, stretching walls, K dog, Scott Conley, she Kim of the Princess King, Andre Harushi"
"181190","188810"," James and so Johnny on the spot would buy a Harushi baby poke juice box RS victors in the house"
"188810","190770"," motivation that healings in the house."
"191050","193630"," Ash Andre Justin Nathan. "
"194830","196110"," And so recovering."
"196110","197310"," It was very hollow."
"197530","201990"," I love that name still career lows now, Austin Steve milling the path to 2% of you have a"
"201990","202950"," chance to jump on calls. "
"203050","208170"," I just told you we're gonna talk about will be on the path to 2% there shouldn't be a"
"208170","211790"," ton of money made today, but we get a bunch of stuff to go over."
"211930","213010"," We have a ton of crap."
"213010","218470"," So remember when we were rolling when we were at the bottom and everybody was calling for a stock"
"218470","219110"," market crash. "
"219170","223530"," Now we're kind of the top looking for a role."
"223890","227730"," How much of a role is that going to be seeing some good news on shelter inflation?"
"228250","229310"," Turn this shit off here."
"229390","229710"," Hold on. "
"232190","237770"," So we got a ton of stuff we got like miles and books to go over here."
"238030","244950"," So so I want you to know so any of you bears out there."
"245330","247290"," We're going to start with this. "
"248850","250010"," Hold on here."
"250910","252470"," So I'm gonna give you guys a quick heads up."
"252630","254050"," Let me put firstly post this on. "
"254610","256070"," Let me post this on."
"257430","258930"," We post this on fin to it."
"259010","259329"," Hold on. "
"260070","263330"," So I want to get any trouble here for being like, Oh, you didn't do this."
"263410","264250"," You didn't do that."
"265070","266090"," Because I forget shit all the time. "
"266270","266550"," Roll band."
"268770","270910"," We got a ton of stuff."
"271170","272330"," Get a paper and a pen out. "
"274510","276710"," Because I want you to write this stuff down."
"276910","279010"," Open up a notepad whatever it is you have to do."
"284060","285560"," Don't say I didn't tell you. "
"286460","290760"," Don't show up to the stream in three hours and be like, What's going on?"
"290920","293680"," Or you said this or whatever the fuck it is you guys say."
"294720","295780"," I think it's COVID."
"296560","298620"," Someone said that the other day about COVID. "
"298760","301460"," They're like, everybody's fucked up now."
"301580","304660"," And I'm actually we'll talk about COVID here in a second."
"304900","305820"," So I did get COVID. "
"305880","311220"," You guys saw me retest on a stream and I was still COVID positive too."
"311680","317620"," Some of you saw that I actually did a test here on stream and I was positive again."
"319100","320220"," It hadn't left. "
"320720","322060"," So hold on here."
"322160","322640"," What are I gonna do?"
"322780","325140"," We gotta go to fucking thin twin post this shit."
"327900","330220"," Hold on. "
"331540","333480"," Number one, I'm alive."
"335960","337620"," Any of you that care from alive?"
"337960","338500"," Yes, I'm alive."
"338920","343720"," I don't think I'm I was doing some cognitive testing last week. "
"344680","348860"," I was afraid I'd go down that whole right be damaged from my brain."
"350920","352380"," Very scared."
"352380","353860"," We'll talk about COVID. "
"353860","354600"," We'll get into COVID."
"354740","356320"," But if you're a bear, I got to talk to you about something."
"356600","358640"," Okay, you're a bear, you're a seller. "
"359800","361640"," We got a chat about something here."
"361780","362680"," Give me one quick second."
"363740","368560"," So we got a bunch to go over this morning, which papers and pens out and all that kind of"
"368560","368740"," stuff. "
"368900","378280"," So number one, there's $2.2 trillion of options, notional expiring today on SPX"
"378280","380380"," in the morning."
"381520","384720"," Spy weekly, spy, single-socks options in the afternoon."
"385200","388180"," Okay, so SPX is this morning. "
"388200","390300"," And then later on today, we got spy and all the other crap."
"391080","394820"," Almost 40% of the gamma will roll off on Monday."
"395560","396880"," So I want you to be aware of that. "
"397000","404180"," If you're a seller, you're looking for that gamma to roll off the market into Monday, not to not"
"404180","405320"," right now at this moment."
"405340","411280"," So that weakness that you just saw on the opening bell is likely those SPX options that are"
"411280","411820"," expiring."
"412100","416980"," You're likely going to see spy it into the end of the day, some other stuff in the end of"
"416980","418780"," the day, expire as well. "
"419100","422880"," Now, what does that mean to the market?"
"423760","430560"," It means that the squeezing, the relentless squeezing that going higher can likely, there's an"
"430560","435240"," opportunity for that squeezing to be important."
"436700","444940"," Or for a seller at least, right, freeze the markets will unclench, or lack of a better word, or has"
"444940","448380"," the ability to unclench, but not today, Monday."
"448800","452660"," Okay, they're going to pin this Friday, OPEC's going to park this shit, they're going to get all"
"452660","453580"," their spreads paid. "
"454540","458480"," I don't see the doom today that you guys might out there might be seeing."
"459600","462880"," It's possible, we can talk about if there is doom, what to look for."
"463180","468620"," So right now, we're sitting on this this hourly trigger here, right?"
"469440","472760"," And this hourly trigger is influenced by the daily trigger. "
"472980","479140"," So we're going to talk about that to daily velocity matters on the hourly velocity and the hourly"
"479140","479600"," trigger."
"479980","484900"," So if if the daily trigger is was a couple of things here, prices blow the hourly trigger, that's"
"484900","485520"," bearish, right?"
"486460","493340"," Number two, you're going to expect support on the hourly trigger as the daily velocity is just"
"493340","494740"," ramping becoming bullish."
"495760","499240"," So let's say daily velocity was maxed out, right?"
"500260","505580"," And we came down into the hourly velocity, I'd expect us to break through and start to bust through"
"505580","506040"," and down. "
"507160","510960"," But for right now, daily velocity is just beginning to ramp."
"511260","515980"," So you're going to expect the hourly, maybe the daily, we might break through and go to the daily,"
"516100","519840"," but you're going to expect those to be supportive for more upside."
"520000","524240"," Now we're going to go over a bunch of crap here, I'm going to show you some examples too of,"
"524600","529200"," uh, prior examples of rotation in the market. "
"529400","537380"," So this role that we're expecting, I wouldn't be as bearish as some of you might be, uh, the"
"537380","539820"," expectation, like everything is normal, we're going to roll down."
"540000","544580"," I'm going to show you some prior examples of rotation in the market, where we can actually trade"
"544580","553620"," sideways and up to a full rotation and the downside move is not as severe as one might think it's"
"553620","554120"," going to be."
"554340","561680"," So if you're a bear out there, uh, we talk about this, the market breath indicator too. "
"563500","568860"," And sometimes you'll see market breath go down in that rotation and then ramp back up at price on"
"568860","572140"," spoos won't go down, follow down, right?"
"572320","575360"," Price is not following that rotation, not following that move down."
"575480","582220"," And there's a high probability of that happening in this, uh, in this, this week or two or even"
"582220","588580"," possibly into end of December with a ramp up end to end of December for the end of quarter."
"589520","593340"," So if you're a bear, this is probably the show for you. "
"593340","596120"," If you're a seller, this is probably the show for you."
"596180","598220"," You probably want to pay attention to this show today."
"598220","603900"," Uh, now Gemma is a concentrate between 4,545 and 15. "
"604460","609640"," The next node above it, I think I posted this on Twitter, is four, five, five, zero."
"609960","612620"," So there's another node above that we can go to from here."
"613280","614440"," Do I think we're going to pull back?"
"614720","614800"," Yes. "
"615000","615620"," Do I think we're going to rotate?"
"616080","616080"," Yes."
"616200","618380"," Do I think that we're going to trade sideways and down?"
"618860","618940"," Yes."
"619420","622920"," But not what I think that some of you think is going to happen here. "
"623340","624960"," We're going to go over like Mike Barry said."
"625060","627100"," Mike Barry's got a big short on the market, I guess."
"627400","628340"," I didn't know about that. "
"628560","629500"," I learned about it later."
"629760","633760"," And, uh, his big short, we'll talk about that."
"634020","637980"," And when it's going to be good, like when it's going to pay and stuff like that. "
"637980","642600"," And you know, I get like how long it can wait for that short pay and how much money he"
