"start","end","text"
"7820","9020"," Check one to check."
"100960","102080"," Open the casino."
"103420","112960"," Get right into it this morning. "
"114960","116440"," Happy mopex."
"118800","120940"," Got a minute left until the market opens there."
"121040","124140"," I was trying to set the tone here. "
"124300","124560"," Hold on."
"132550","135210"," My voice is kind of trashed today."
"136670","139950"," This week has been a lot of talking. "
"140730","143930"," Four thirteen ninety one is the pivot this morning."
"178190","180010"," Four seventeen eighteen."
"180010","181730"," Well, so it's up. "
"182270","207760"," Two nineteen thirteen."
"212810","213750"," Two."
"215150","218390"," Three four twenty two forty. "
"221790","223170"," We're there."
"223430","224490"," I haven't seen this one in"
"226830","237290"," a"
"237290","237290"," while."
"237290","240210"," Twenty two forty is our three. "
"243490","246470"," To be a bear."
"249000","250120"," It's not easy."
"252120","259140"," To pay a subseller. "
"260200","261460"," It's not easy."
"265260","267120"," Four eleven ninety six."
"270360","273300"," I guess that trade always works out eventually, right?"
"274000","275600"," It's not like you can't get that trade. "
"277300","278760"," It's a matter of time, right?"
"278860","279720"," It's always a matter of time."
"279940","280800"," Four eight sixty nine."
"280800","286120"," I say it enough. "
"286340","287420"," It'll eventually be right."
"290900","292640"," Four six seventy four."
"297820","299040"," Happy mopex, everybody. "
"300000","300720"," So in a month."
"305260","312620"," Not, you know, it's not the end of the month, but mopex two quarters or two months of this quarter"
"312620","313060"," down."
"315280","315720"," Congratulations. "
"316140","319540"," If you're still out there and you haven't been blown out of this market yet."
"328680","331780"," We'll check on the early and daily trigger for this morning."
"332540","334980"," Have a little bit of a cross over this morning. "
"334980","335840"," This is the five minute chart."
"338460","341900"," I'm not going to expect too much today."
"343180","347120"," You know, crazy selling crazy buying that kind of stuff. "
"350840","352220"," It's a opex today."
"352360","353600"," If you didn't know, I think it is."
"355540","359180"," I get a little bit of a bear flag here and a bear flag with bear cross on the five"
"359180","359580"," minute here. "
"365590","366770"," Right there forming."
"367150","369690"," See if it tees off and starts to come down."
"371230","374790"," We do have a pre market low of four fourteen thirty two. "
"378410","379450"," Below that."
"383810","388670"," If we erase all this down here, your s one is below four eleven ninety seven."
"392070","393790"," There's also another little. "
"395250","397900"," Right there."
"406890","409710"," We still have a bunch of."
"410630","416110"," I'm not a bunch, but we can look at it here. "
"422290","423570"," Check these previous."
"423950","425710"," Yeah, that's previous high right there."
"427910","429430"," Top of the world. "
"442800","444720"," This is a May 4th."
"447700","450220"," Going all the way back to May 4th right there."
"464440","466740"," This is Octo or August right here. "
"469820","471620"," Slap one of these bad boys in there."
"472080","472240"," Bam."
"473200","474640"," Four thirty one. "
"481780","483160"," So you can see it here."
"484180","485840"," Four or eight sixteen."
"485860","486640"," Excuse me. "
"487340","488780"," August sixteenth."
"491580","494020"," Four thirty one sixty four."
"494460","495340"," Do we get there?"
"495700","496080"," I don't know. "
"508510","510030"," There it is right there."
"510270","511030"," Four thirty one."
"511830","513409"," Do I think we get there right now?"
"513409","514090"," Probably not. "
"516490","518409"," Am I on that trade to get there?"
"518710","523330"," Hell yes, I am expressing it through IWM."
"525050","526310"," Not through the spy."
"529910","532450"," The the fly in the ointment for me is. "
"535430","536210"," Small caps."
"538270","544910"," Well, I'm assuming if I'm assuming that you look at small caps and you know that it's on the cusp"
"544910","546990"," of a crash right or it looks like it is."
"547330","553730"," I think there's an apparent. "
"554470","557790"," I think we all know that right."
"557910","558430"," We all look at it."
"558530","561370"," We're like man, small caps about to crash to the depths of hell. "
"562050","564350"," I'm assuming that the Fed is looking at that as well."
"576280","578180"," So oil futures extend losses."
"578480","580460"," Brent crude down by one dollar a barrel now. "
"584680","587180"," Still haven't had that affiliate winky on."
"589640","590900"," Those oil calls."
"625070","625670"," Six. "
