"start","end","text"
"17800","18580"," All right."
"20640","21720"," We're almost there."
"21980","22540"," Hang tight, guys. "
"22920","23640"," See the second?"
"35210","37390"," Let me see if I can bring this up."
"42340","44900"," See if it's going there."
"49820","50360"," Hang tight, guys. "
"51020","52860"," Can any of you hear me out there?"
"53020","53120"," Yeah."
"57420","61560"," Just type something like be quiet."
"63099","66020"," All right, so on the left there, you'll see that's a flow algo. "
"66560","67580"," It's one of a few."
"67580","71400"," I use trade ticks and flow algo."
"72900","73880"," So I'm just going to keep. "
"75180","80720"," Can any of you hear me out there?"
"80900","80980"," Yeah."
"82200","83300"," I'm going to mute this."
"87350","88150"," All right. "
"88610","88990"," Let's see."
"89530","90390"," Can you hear it?"
"90390","91830"," Hey, Mr. Brown, can you hear me?"
"92410","92510"," Fine."
"92970","94690"," No, there's no reverb or anything. "
"98660","99200"," Right on."
"99480","99860"," Thanks, guys."
"100840","102040"," I switched over to Apple. "
"102340","103240"," Do you guys want me to watch?"
"103340","105880"," Like, is there a consensus on what you guys want me to watch?"
"105880","109140"," Watch your watch by Apple the cues specific."
"109860","129900"," I typically tend"
"129900","133140"," to watch the spy into the clothes here, where we're still early."
"133360","133780"," It's only 250. "
"142580","143260"," Thanks, guys."
"143880","145180"," Let me give me a second here."
"145220","147200"," I'm going to bring up tweet deck and all that kind of stuff. "
"150200","154960"," I don't know if you guys heard that."
"155000","155500"," That's my dog."
"155540","159600"," He's he needs some attention. "
"168040","170300"," Give me just a second, guys."
"170540","186420"," Yeah, someone's"
"186420","190680"," saying someone's talking about Tesla's volume is very low today."
"191140","193560"," That's typical for stocks. "
"193860","199260"," When stocks move up, everyone seems to think that lots of volume makes a stock go up."
"199260","208660"," But in reality, the less volume you have, the better your luck of it going up."
"209100","213900"," I'm not wording that properly here, but low volume days on a stock will tend to make it rip much"
"213900","214140"," higher. "
"214580","218580"," You can see on the volume that came into a lot of stocks though today, or at least into the"
"218580","221400"," indexes and in some stocks that were kind of tamped down."
"221900","222960"," It was nice to see."
"223180","232340"," Yeah, there's some there's some and video. "
"236060","237200"," Let's take a look through here."
"238860","240500"," You can see all that apple flow."
"241020","247600"," I was surprised to see more snap or snap puts come in even though there's still some calls coming"
"247600","248040"," in here. "
"254340","257700"," Can you guys see the ticker symbols on the left hand side of the screen?"
"258459","260459"," You guys don't want to let me know if you can see the actual ticker symbol."
"261360","265060"," I don't know if you got there's a little bit of delay here."
"265680","268640"," I put this up with land too so it would be faster. "
"269420","272840"," You can see the ticker signs or I can on my screen."
"273580","274960"," Let me know if you can see those okay."
"276200","278800"," So a lot of people right now are talking on Twitter. "
"279180","282240"," I posted earlier about possibly taking along into the close."
"282980","286460"," It'd be something that you'd have to take and then hold and dump into the close."
"286760","291780"," If it does spring, you do see some other stocks in big tech that hold up spy doing that right"
"291780","292060"," now. "
"292460","298100"," You saw apple make a rip to the highs and you already know that the Tesla gang is going to"
"298100","299580"," be hoping for that same thing right?"
"300240","302380"," You know Tesla gang sees it up here."
"302420","309180"," It just sprung slightly to 1065 and I think Tesla gang is hoping and praying that it gets that that"
"309180","311720"," quick meteor shot to 1095."
"312400","318840"," I think that's what I measured R."
"318940","322000"," I was posting on Twitter and I said that the measured move should be 10. "
"322340","324020"," I think it was 1095 that I tagged."
"325800","327440"," Let's take a look at 1090s R."
"327580","327700"," No."
"328320","328560"," No. "
"328880","329000"," Yeah."
"329220","329340"," No."
"329420","330500"," I tag over here. "
"330760","336360"," I think it was 1095 for the measured move 1096 or something like that could have been lower."
"337040","341300"," But I think that's what Tesla bulls are looking for today is that is that strong finish."
"341940","344560"," That could bring spy up with apple being as high as it is. "
