"start","end","text"
"290","590"," Film begins."
"109450","118110"," So yesterday into the close, we were talking about not buying calls and that you would have"
"118110","124850"," dealers, market makers getting neutral into that bell and this was a bear or a bull trap, excuse"
"124850","130670"," me, and you saw that teeing off just once again on that on that gray love bar up here."
"130830","131750"," So that's two in a row. "
"131770","136710"," We have three actually one up top, two and three should see some acceleration of the downside."
"138430","144890"," There is a bounce, I shouldn't say acceleration, cues down here."
"144970","147590"," So this is cues in the bottom left hand side of your chart down here. "
"147610","153390"," I'm going to expect a bounce on cues, but then maybe some consolidation down here and try to get"
"153390","155830"," underneath at some point today."
"155970","163050"," So just be careful on the cues on the open this morning for some bounce ability."
"164190","167830"," I think today one second here, boys and girls. "
"168550","173710"," There is some more supply down below on book map as well right down in here."
"173710","174130"," See that?"
"174290","176010"," That's that nice market down there."
"176810","180770"," Right down there. "
"180910","187010"," If we can get down here and break through on SPX and spy spoons, yes, to get down here."
"188510","195050"," We also talked yesterday about that about that bounce on NASDAQ, but not spy."
"195430","203350"," So I'm a little bit more bearish on spy or grinding down consolidation that I am on tech. "
"203590","213570"," So just be wary on tech of the bounce, but yet some dogging action inside of ES, the sworn spoons."
"215710","217130"," One second air."
"219430","221110"," Santa Claus rally is in trouble. "
"222710","224790"," Reading the headlines right now by."
"226630","227870"," Hang tight one second air."
"234580","235820"," One quick second air. "
"238200","241340"," And I'm going to take a look at a couple things for you this morning just to get you up"
"241340","242260"," to speed for the day."
"246560","247880"," One quick second here."
"253470","257430"," Let's check the gamma levels this morning and see if anything has changed. "
"267770","270130"," Yeah, nothing that I can see right now has changed."
"274200","279820"," If you're bottom left hand screen, you'll see yesterday we crossed below the gamma flip."
"281320","286140"," And this looks like a little bit of outcome right here. "
"286280","289660"," We got a blast down below you watch the your bottom screen."
"291260","295100"," That bottom right or the bottom left hand or here."
"295240","298360"," Let me just get me do the famous mystery and down here. "
"298680","300080"," Follow my cursor down here."
"303360","305360"," And you'll see price action."
"305780","309080"," We broke below the gamma flip that that's the gamma flip right there. "
"309120","310140"," We've traded below it."
"310280","313820"," Have a nice confirmation underneath that got gamma flip."
"313820","317380"," So I'd like to see some more action to the downside here on SPX today. "
"317980","323020"," Target down below 4661.45. Sorry for my nose."
"323980","329540"," I got very sick over New Year's and I've got RSV."
"329840","333020"," So RSV is the weird thing. "
"333140","335560"," I've never I don't think I've ever had it since maybe I was a kid."
"335560","338520"," So my I guess this stuff like comes in waves."
"339300","342780"," Like first you get the first you get the temperature. "
"343100","346380"," Then you get the like stripped road or some shit."
"346520","349360"," And then it goes to your lungs and you get like lungs sick and stuff."
"349560","351680"," So still battling that right now. "
"352380","358340"," Keep your eye on this dilly trigger down below here and note that the gamma flip currently is"
"358340","361940"," sitting at 4740 this morning."
"361940","366360"," So about 10 ticks off that 4750 yesterday."
"367180","368280"," So it has dropped slightly. "
"369600","373140"," You get S3 below down here at 46768."
"373580","376680"," And then the target of 46411."
"377880","381640"," It would be nice to see this morning on these minutes if we can get it. "
"382760","384800"," I'd love to see it down here."
"386120","389440"," Catch that nice bounce off the dilly trigger or a break below."
"390340","394520"," Trap in some of these sellers and then the move the actual move higher. "
"398100","399780"," So I'll leave this up like this."
"399940","406920"," If anything changes we'll switch back to the or we'll start looking at that that target to the"
"406920","407160"," downside."
"407680","408940"," But just keep note of that this morning. "
"409480","416780"," If anyone asks inside of the chats the target or the dilly trigger is 4611."
"416780","422440"," And that effort has been evident in supporting the global economy specifically over the past years"
"422440","424280"," and having short market stability."
"426480","427860"," One quick second here. "
"428020","428800"," Get some stuff I got to do."
"431560","438620"," Hopefully if you were a bull yesterday you took you heated my warning yesterday."
"439420","448400"," You didn't get that great love bars. "
"448800","454120"," We talked even about that yesterday about how almost it's exactly to the tick where they step in to"
"454120","454340"," sell."
"458030","459630"," Good morning by the way."
"459830","461250"," Still happy new year to everybody. "
"462190","466690"," I also want to remember that training is still light."
"466930","471250"," Don't be all geeked out because we're selling the past couple days."
"471610","475710"," Market gets really back into it next this upcoming Monday. "
"477190","478470"," Let me see here."
"485960","488420"," One quick second here."
"488700","491280"," Mom dad comes back all the partying going on. "
"498690","499930"," All that right there."
"505390","506070"," Save."
"509050","511110"," What else we got going on here. "
"514450","515870"," Hit that right there."
"519289","521090"," Good morning all the out there."
"522630","525680"," Let me see here. "
"526280","528000"," What am I doing in the background here."
"539880","540980"," There we go."
"541400","542560"," Okay we're good on that end. "
"543680","549620"," I'm going to read some stuff off to you this morning as well before your day starts here."
"554080","555940"," Let me one quick second here."
"559700","566540"," Remember if you're a seller you just one more word of warning to you this morning that if you are"
"566540","568380"," a seller you need to be very tactful. "
"569960","572840"," You know you need your blinders on more than a bull does."
"572840","575100"," A bull is looking for a dip to buy."
"575320","577840"," We are still on an upside trend. "
"578700","582220"," So if you're a seller here right don't get all crazy town."
"585000","587120"," Number one do not get crazed out."
"587260","589260"," You're a seller you're being tactful there right. "
"589460","592880"," You're selling below the hourly trigger targeting that daily trigger."
"594540","599460"," If we get underneath the daily trigger and you get some rejection there we'll start talking about"
"599460","601620"," an actual trend reversal."
"602440","604800"," Bulls are still on trend right now. "
"604880","610940"," I know it can seem extremely bearish or whatever out there to you in social media."
"612740","615520"," So if you're a seller you are still very tactful."
"615940","618220"," Buyers are still there to stay on trend. "
"624510","625790"," What do I got for you here."
"625890","631610"," Tensions in the Middle East are heating up but treasuries the former ultimate safe haven asset are"
"631610","637910"," not getting bought with two-year yields up to BPS and 10-year yields up 3.6 BPS currently but"
"637910","641450"," are rather sold due to the impact of oil on the inflation premium."
"642670","650810"," SPX dealer gamma is turning negative while at the money of volatility has shifted higher relative"
"650810","651830"," to yesterday. "
"653270","655750"," SPX gamma at a glance this morning."
"656470","662190"," The gamma flip already went over this it's at 47.40. So it's down 10 points."
"663050","665150"," The SPX straddles at 26 bucks. "
"665970","669130"," The put wall right now sits at 4600."
"670170","675690"," Negative gamma is abundant in the zone between 4600 and 4750."
"676310","681850"," So be aware of that okay so I heard someone talking about 4700 as a target. "
"682710","690770"," There is with ease we can trade 4600 and from a systematic investor standpoint CTA's continue to be"
"690770","694430"," maxed long in equities and bonds which skews the risk to the downside."
"696910","702870"," For the Middle East this morning is on top it is being monitored closely according to Runers to"
"702870","708430"," explosions caused by terrorist attacks killed more than 70 people and wounded scores at a ceremony"
"708430","715710"," in Iran to commemorate top commander Soleimani who was killed in the 2020 U.S. drone attack."
"716150","724850"," Libya's Shaharara oil field unexpectedly shut down a mid-mass protests removing 265k BPD and daily"
"724850","728190"," output per Libyan Alarara. "
"729830","736150"," Alarara protesters from the local residents of Ubari Southwestern Libya have shut down the Shaharra"
"736150","741110"," oil field one of the largest and most important fields in the oil revenue reliant country in a"
