"start","end","text"
"8840","14200"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"14200","15940"," before the film begins."
"76340","77420"," We're going to scope them fires."
"86180","88540"," Coming right into a little bit of resistance right now. "
"95150","98030"," First point of resistance right now to the tick."
"109530","111650"," Coming into a little bit of resistance right now."
"114420","116100"," We head right over and take a look. "
"119840","122400"," Probably need my hair or something."
"123180","123940"," My hair is all crazy."
"124280","124820"," It took a shower. "
"127979","129160"," Didn't quite get ready."
"129160","131580"," Coming right into R1 right now."
"133800","136380"," Like it's nothing like butter. "
"140100","143300"," Oh, oh, how'd that feel?"
"144060","145600"," How's that for an opening quarter?"
"147200","148120"," How's that about?"
"148400","149000"," How's that for?"
"149320","152000"," How's that for to the fucking tick on a Monday?"
"153200","154660"," Is that okay right there?"
"154760","155820"," You feeling that one right there?"
"157100","158320"," How's that feel pretty good?"
"164920","166580"," What do we have above it?"
"169160","169920"," Smoking."
"171700","173780"," All kinds of stuff."
"174720","176860"," We get our two above it for 12. "
"178000","178640"," 88."
"181800","183600"," R3 up there at 416."
"188920","192580"," We'll take a look here across the landscape. "
"197540","200280"," I'm going to bet that everybody was short."
"202860","204160"," If I had to guess."
"206720","208160"," Everybody was short. "
"210440","212920"," Oh, yeah, what's going on up there?"
"214180","214900"," Oh, baby."
"215880","216760"," So much."
"217460","218620"," Look at that R3 up there. "
"220780","222400"," Pairs in the veil right here."
"222600","223880"," Pairs in the veil up here."
"224620","225860"," Take a closer look at it. "
"227200","228880"," Oh, look at that, baby."
"229680","230600"," First tick right here."
"230740","231160"," You see it?"
"231300","231820"," That red one?"
"233300","234700"," Here's first tick right here. "
"234960","236220"," Second tick somewhere up in here."
"237820","240220"," We've got another couple of guys hanging out back here."
"240220","241380"," We've got some. "
"242620","244140"," We've got this little guy right here."
"244760","251740"," A whole bunch of stuff take out one right there."
"253320","254600"," Another one right there. "
"255360","256640"," I've got another one right here."
"258279","263200"," I think I made a post on Sunday saying take out every stop to all time highs."
"266040","267200"," Take them all out. "
"268560","269920"," There goes the first one."
"271940","272420"," First."
"272900","273620"," H line. "
"274640","275600"," Almost to the tick."
"275760","276720"," Four eleven thirty one."
"276920","278860"," Next one is at four twelve fifty three up here. "
"284390","285170"," Oh, baby."
"285350","285650"," Look at that."
"285790","286270"," Repricing. "
"287590","288250"," Inflation's coming."
"288510","289590"," Roaring back, baby."
"289790","291230"," You got to reprice that stock market. "
"292150","293630"," You got to pass the buck."
"294410","295970"," Four eleven thirty one."
"299330","299810"," Slamming. "
"301770","303810"," Kevin James is streaming right now."
"303950","304170"," Let's see."
"304270","304770"," How do we get back?"
"304770","305210"," Let me see. "
"305290","307090"," I want to see your channel."
"307390","308270"," Oh, there goes the comments."
"308610","308930"," There we go. "
"309090","309590"," Comments section."
"312550","313350"," Rotation trade."
"317130","320070"," It's a rotation trade, but it's not just rotation. "
"321710","323610"," We get a bunch of stuff to look at this morning."
"324070","324950"," A happy end of quarter."
"326290","331010"," Hopefully any of you that had calls on Thursday of last week held them all day long into the end"
"331010","337150"," of Friday. "
"337910","340690"," They did very, very well into the end of the day."
"342070","345410"," And then, of course, I'm sure that everybody was short at four fourteen."
"346370","347210"," Almost positive. "
"347870","350710"," We're going to talk about that around the open this morning and talk about that."
"351390","352170"," Just see y'all know."
"353670","355050"," So here, we'll start here. "
"359160","361800"," And just by just looking around the market itself."
"363580","364800"," What's a bunch of stuff to look at?"
