"start","end","text"
"3480","8900"," Okay, let's see if we've been on a little bit late."
"22820","27320"," I didn't know that you could hear that echo to get out."
"27980","33740"," Good morning. "
"34340","35120"," Good morning, Jacob."
"35120","36160"," Good morning, Jacob."
"36620","37340"," Good morning, Jacob. "
"38360","39460"," Nick, Pinky, Joshua."
"40940","42120"," Good morning, Dougie."
"42720","44580"," Good morning, Mikey, the Fish. "
"46220","47640"," Hell's yay, boy, boy, friend."
"47860","48380"," Hit Mikey."
"49080","49780"," Sue, good morning. "
"50380","51080"," Jeremy, Patrick."
"52820","54280"," Sorry for the beeping in the background."
"54540","56000"," I've got a surprise for you all this morning. "
"57300","58820"," You should like this surprise."
"60880","63980"," I don't know if you like it or not, but good morning, Dylan."
"78560","82100"," I don't know about you all last night, but I didn't get any sleep. "
"82980","84600"," Good morning, Euro Boomer."
"85280","86660"," I got no sleep last night."
"86820","87360"," Good morning, Lucy. "
"88660","91600"," All I thought of was the market all day long."
"92860","93960"," Uh, we got a lot of money."
"93960","94780"," I'm not going to talk about this morning. "
"96200","98240"," So we're going to get started whether people are here or not."
"98360","98980"," Good morning, Frederick."
"99840","101240"," We have a lot to talk about. "
"103200","105000"," Yesterday, I was asked a question."
"105660","107160"," We'll get into the markets here real quick."
"107260","108200"," I'm going to make this real quick though. "
"108480","109560"," There's a need to get this out there."
"109820","111720"," Good morning, Mohan."
"111900","112600"," Good morning, Phaison. "
"112820","113460"," Good morning, Frederick."
"115100","116440"," Good morning, everybody out there."
"116560","119920"," If you're watching or listening right now, I hope you're having a wonderful morning. "
"120080","121380"," I hope that you got some sleep last night."
"121380","122360"," I didn't."
"122440","123540"," I was in panic all night long. "
"123960","124840"," Of course, right?"
"125320","126060"," Yeah, no sleep fluid."
"126180","128199"," All I do is stay on market all night long last night."
"128320","130180"," And then I had to play Captain Mom this morning. "
"130640","131220"," It was wild."
"131520","132480"," Good morning, goog."
"133080","135080"," Hell, hell yes, Adam. "
"135220","135560"," Good morning."
"135840","136000"," Okay."
"136380","137680"," So I'm going to get this out real quick, okay?"
"138620","139340"," LFGA, agree. "
"141480","142980"," We are in Euro Boomer."
"143180","144580"," That's our conversation this morning."
"145460","146560"," That is our conversation. "
"146880","148220"," We're going to make this really fast this morning, okay?"
"148600","149740"," One talk to you guys about some stuff."
"149740","150560"," Yes, there's that question."
"151100","152440"," Are you still bearish?"
"152760","154040"," And my response was yes. "
"154400","159880"," And I've seen a lot of mocking on social media on people with that response, which gives me some"
"159880","160980"," pause for concern."
"162340","171080"," If you follow me on Twitter, if you follow me on YouTube, there is some basic trading concepts that"
"171080","177980"," I need you to take on as a trader or as an investor that you should always be aware of"
"177980","180420"," in conscience of when you're investing in trading."
"181140","184560"," Euro Boomer brought up a really good point and it was actually the topic of our conversation this"
"184560","184720"," morning. "
"185000","186080"," It's important to talk about this."
"186480","187500"," We're going to make this really quick."
"187660","188160"," This is a lot. "
"188300","191800"," For a lot of you guys all understand this, but for some of you, whether forget it or you need"
"191800","196700"," a refresher or, you know, you get into that mode, whether you're bullish or bearish and you forget"
"196700","197340"," certain things."
"197700","200420"," So we're going to refresh it today and just to be clear, okay?"
"201160","203920"," As to why I said yesterday, I'm still bearish."
"204320","205960"," So we're going to make this a really quick, okay?"
"205960","208540"," And most of you know this, some of you don't, some of you forget, okay?"
"208880","214520"," So if we are in a accumulation phase on stock A, let's say, okay, we go up and then we"
"214520","216180"," move into a distribution phase, right?"
"217760","219040"," And eventually, there's no more buyers. "
"219320","223040"," We end up selling down, but then we find buyers at a lower level, right?"
"223200","224700"," We trade up again, right?"
"224860","226060"," We trade sideways like so."
"226340","229200"," Maybe we trade down and then we trade up like this, right?"
