"start","end","text"
"16070","17230"," Check 1-2, Mike."
"17430","17510"," Check."
"19130","19890"," Peter Piper. "
"21170","22270"," Peter Piper."
"25430","27110"," Go over trade today."
"27450","28650"," Have key for today. "
"29590","31250"," Do not over trade today."
"34650","35570"," Check 1-2."
"37210","38510"," Good morning everybody. "
"40150","41390"," I got some good news today."
"45260","45740"," Good morning."
"45900","47800"," I hope nobody's over trade this morning. "
"53640","54940"," Good morning out there."
"55000","56400"," Hope everybody's doing well this morning."
"59310","60210"," Welcome to the program. "
"60210","62110"," Hope everybody's out there doing very well this morning."
"62310","64230"," Hope you're not over trading this morning."
"65550","67690"," That was one of my fairs, believe it. "
"67850","69750"," I was going to get on at 9.30. I'm like, fuck this."
"69990","71790"," I know exactly what's going to happen."
"72270","73110"," People get over trade. "
"73350","76550"," I hope that if you were in calls that you took profit at the bell."
"77450","79950"," I posted that for you this morning."
"81590","84150"," That I was taking profit on that bell this morning. "
"84310","85370"," I hope that you did as well."
"85890","89250"," I hope you got that text or that text, that DM this morning."
"89370","90190"," That DM that post. "
"90190","90870"," This morning."
"93800","95260"," Hope everybody's doing well out there."
"95540","99060"," I hope everybody got that DM this morning where I said I was telling on the bell. "
"99280","102000"," Hope you sold on the bell if you were along this market."
"103600","104000"," Welcome."
"105680","106500"," Kyle in here. "
"106620","107020"," Get in here."
"107100","107660"," Good morning everybody."
"107800","108760"," Happy FOMC day. "
"108980","110680"," This is a big day for a lot of people in the market."
"111260","112160"," Huge day."
"113120","118300"," They might not tell you that on Twitter but if you're a finance guy or gal or them or whatever"
"118300","122280"," they trust is a big day for people in the market. "
"122280","123460"," They look forward to this day."
"124320","126100"," Big day for the bears today as well."
"129300","130900"," I got some good news for you too. "
"131080","132200"," I hope everybody's doing well this morning."
"132220","133300"," Let's not go through real quick."
"133320","134320"," This is a special day, right?"
"134800","137080"," I'm going to say hello to Gerald Ed Jafar. "
"137300","137840"," Pays on."
"138060","138620"," Biggie, baby."
"138860","139640"," Good to see you, Christian. "
"140240","141140"," Good to see you, Dan."
"141300","142240"," All the regulars are in here."
"142560","150020"," Matthew, Gerald, B.D. Dylan, Steve, Ravi, Harushi, Wolf got him up one bucks. "
"150760","151520"," Good morning to you."
"151860","152120"," Biggie."
"152120","153740"," We already said hi to Vicki. "
"153840","158280"," Iden, Brandon, Ryan, Jeff, Clapp, and Konstantinos, Jeremy, Winky."
"158860","159280"," What's up, brother?"
"160080","160300"," Fisted."
"161340","163600"," John Caprito, Chris, Brandon, Ed. "
"164560","166380"," Cory, Ben, God, pretty good to see you too."
"166660","167340"," Come read the loan."
"167540","168120"," Good to see you. "
"169000","170280"," Joe, Nick, Al, Christian."
"170820","171420"," Everybody's here, right?"
"171660","171780"," Brad."
"172220","173060"," Good to see you, my brother. "
"174240","175440"," Ed Medford guy."
"175940","177540"," The Medford guy's here from Massachusetts."
"178320","179460"," Oh, fuck, we're all fucked up. "
"179600","180320"," The Massels are here."
"181340","181940"," Good morning."
"182080","183080"," I should have said that, right?"
"183200","184320"," I said a fuck in the first minute. "
"184440","185340"," I'm going to get demonetized."
"185420","187520"," If I am demonetized, I have to delete that beep."
"188980","194760"," Biggie, Tom Pacheco, James, Charlie, Blind Nestle, Craig, everybody's here this morning. "
"195220","195580"," Wow."
"198140","200100"," He just closed some calls on some individual names."
"200320","200920"," Garrett, good morning. "
"201080","206180"," S.O.S. shouldn't took James, Dejan, Chase, good morning, Michael, Danny."
"206400","207600"," We have some time here this morning."
"208240","209660"," So we'll just take it easy here for a minute. "
"210220","212160"," We'll switch right over so you can see stuff."
"212360","212880"," What's going on?"
"213540","214660"," T-Chron, good morning."
"215280","217400"," Jasmine, Kalo, Scott, Ryan, Ignatio. "
"217720","219380"," Holy shit, people are showing up."
"220040","222180"," James Buchanan, the king cows here."
"222420","224200"," Matthew, Ali Baba. "
"224640","225180"," Good to see you."
"225300","226580"," R.S. Aussie, Medford guy."
"227680","227900"," Good morning. "
"228480","229660"," K.G.M. Good morning, Everton."
"231200","231720"," All right."
"231860","232000"," Let's talk. "
"232080","233100"," We're talking about Tesla today too."
"233960","235080"," So it's a big market day."
"236440","237500"," Let's see S&P 500 days. "
"237680","238680"," This is a NASDAQ day."
"239260","240980"," This is all your individual ticker day."
"241400","243620"," Backward-dation in the VIX day too, right?"
"243920","247520"," VIX bulls are like just cursing this morning. "
"248220","248960"," I bet, I think."
"250160","251780"," So we'll switch right over right now."
"251880","254480"," We're going to go to the livestream here. "
"255600","258399"," Let me put me post this to Twitter real quick."
"259079","263700"," The, hold on, let me just mute this here."
"264840","266400"," Am I in 1080p this morning?"
"267140","269000"," My fucking street, so I shouldn't be swearing. "
"270220","270780"," I'm not."
"271300","273420"," Again, I'm not in 1080p, whatever."
"273760","274700"," We'll let it slide one more day. "
"276080","277720"," But we'll share this."
"278040","278960"," I'm so pissed off."
"279960","282880"," It's like streamlabs need to get a shotgun like PayPal. "
"283700","285800"," I got a funny story for him before he gets started this morning."
"286160","293520"," I'll repeat this later but I won my fight with PayPal, which I'm pretty happy with."
"296020","303460"," I had a PayPal saga going on and I beat my case with PayPal, which is awesome. "
"303940","307020"," But still, I'm not on the fence if I stay with PayPal or not."
"308800","310500"," But PayPal, man, they're bad."
"310800","315520"," PayPal, at any moment they can just come right in and be like, we're going to seize everything you"
"315520","315740"," have. "
"316680","318380"," Really fucked up situation."
"323340","324480"," It's really fucked up."
"324660","326940"," So it's weird. "
"327220","332420"," I started refunding people and then I have to, I'll go through some names later to you who got"
"332420","333040"," refunded."
"337710","343220"," We'll go through, hold on here."
"347080","347940"," It's kind of crazy. "
"348320","352760"," So they didn't release all my money and told me everything was fine."
"352980","353180"," Whatever."
"354960","356340"," We'll talk about that another time. "
"356580","358340"," So if you donate, you can donate to PayPal again."
"358540","360340"," There's a little description and a little box down below."
"361800","364300"," Now, without it said, turn the old shit off. "
"364380","365240"," We're going to get right into it."
"367240","368740"," So you see this little bump down here."
"368820","369340"," We need to see this. "
"369500","371520"," Before we even get anything else, we'll end up talking about stuff."
"371720","373640"," But see down here is this 414 here."
"374340","375480"," We're going to support down here at 413. "
"376040","379560"," Then this weird wonky duck, kind of a thing down here, 412."
"380960","384940"," To be aware of that, I'm going to expect some grind down here."
"387210","389290"," You can possibly buy some spreads here right now. "
"391690","393230"," Better price is probably down to 412."
"394330","396130"," And there's nothing saying we can't trade lower."
"396810","398110"," Now, just looking at this right here, right?"
"398290","401170"," This support, you can see that this support is moved up here to 412. "
"402010","403370"," It's kind of a weird day with support levels."
"405310","409430"," Now, if we get some bad news, we'll talk about bad news, good news and how far down we can"
"409430","410070"," sell."
"410070","412070"," It is really weird down here too, 408. "
"413130","414770"," Lots of interest down there, 408."
"415410","418530"," Lots of interest down here, 404, not quite 405."
"420430","425050"," So I think that the implication behind this is even 398. "
"425630","430330"," The reason I'm going to point this out to you right off the bat this morning is that there's some"
"430330","435150"," implication that if we trade down levels, there's going to be some spikes from volatility."
"435150","438050"," You might see a spike down to 408 instead of 410."
"438770","440970"," You might see a spike down to 412 instead of 415. "
"441690","443710"," You know, repetitively down the list there."
"443870","445070"," To 405, it might be 404."
"445670","446650"," 400 might be 398. "
"447810","449810"," I'll tell you how the news comes out today."
"451430","452770"," So we'll get into that this morning."
"453410","456050"," I'll leave this up for you on the screen. "
"456210","457590"," We'll bounce around this morning."
"458430","460430"," And we're going to talk for the next about next hour."
"460430","463230"," So if you're out there, you're a trainer and investor, right?"
"463790","465890"," This is not the time to be fucking around the market. "
