"start","end","text"
"47500","48440"," Good morning."
"49540","59600"," Business app."
"59920","61380"," This is a Bloomberg business. "
"65300","66720"," Downgrades this morning."
"67280","67480"," Whoo."
"70020","70660"," One. "
"81970","83350"," Just one second here."
"94400","95400"," Good morning."
"96760","101620"," Kind of glad that I took some calls off yesterday. "
"102240","104660"," I actually started for the end of the day with a bunch of calls."
"104660","107180"," Left 25 on."
"107820","108760"," They're burning. "
"110540","113580"," At 1 30 in the morning they were selling futures."
"114780","115580"," Kind of gnarly."
"117020","118460"," One second here. "
"120280","122860"," Good morning church text group."
"125540","126520"," Oh, other."
"145970","147650"," Showing weakness this morning. "
"147890","148470"," Break below."
"149150","152550"," We're the daily trigger this morning and the hourly trigger."
"162060","162740"," Seven. "
"166070","167510"," Way up here."
"175000","177420"," We have the pre market low right now coming into."
"178720","181680"," And also the previous low from Friday here. "
"182100","184540"," And then we have another previous low going back."
"187100","189260"," Weakness on downgrades and yields."
"189600","189780"," Whoo. "
"197390","198590"," Is that it will be."
"198790","200150"," It's going to be pretty nasty here."
"200290","200510"," Hold on. "
"206560","208820"," This stream is sponsored by Ticksright."
"209340","213760"," Ticksright allows you to actually hear order flame futures, forex and stock instruments."
"214660","216940"," Get a free trial at Ticksright.com."
"227210","231330"," I've got a previous low from Friday there. "
"232790","235350"," So in 10 minutes time now at the top of the hour."
"235630","238890"," Do you get the U.S. wholesale inventory month over month June revised number."
"239390","241730"," So forecast minus 0 spot 3% on the prime. "
"242070","244330"," I actually have put the whole month over month."
"245310","248970"," Full cost minus 0 spot 2% on the prime minus 0 spot 2%."
"248970","251870"," All right. "
"255410","257930"," Just noting the S&P 500 to join."
"257930","258430"," Yeah, you got the."
"258529","259070"," There's one more. "
"259170","262930"," There's one down here and then we've got some more even lower down here."
"262990","263250"," 440."
"263890","264430"," 441. "
"265030","265210"," 82."
"266470","267030"," 443."
"267730","268850"," I just sold some puts. "
"272540","274120"," Paul's got trash in the open."
"274480","280100"," I'm glad though in the overnight had originally gone into the last 15 minutes."
"280100","285740"," With more calls, so not as angry as I could be this morning. "
"287260","292700"," I just sold some puts, but I am looking for at least."
"297560","302220"," See if we can catch a rejection up here and go even lower today."
"302320","304020"," We're going to find out here in just a second. "
"307000","308120"," Good morning."
"308120","309100"," How's everybody doing out there?"
"311100","311660"," Congrats."
"317390","320250"," I've got 432 still, but they're worthless. "
"320850","323190"," I'm hoping I have a hope and a prayer for him, but."
"334280","336620"," Yeah, I'm going to look for another spot up here."
"372660","377040"," This morning, the Moody's downgrades U.S. banks warns of possible cuts to others. "
"377560","382200"," And yesterday we saw that XLF was holding up just fine."
"382960","385440"," It got wacked this morning."
"386860","392780"," Moody's got a credit ratings of several small to mid-sized U.S. banks on Monday and said it may"
"392780","398200"," downgrade some of the nation's biggest lenders warning that the sector's credit strength will"
"398200","401940"," likely be tested by funding risks and weaker profitability. "
"402600","408140"," Yesterday, we were looking at the numbers that came out and at least on the consumer side, you"
"408140","411260"," could definitely see some of those numbers reflecting."
"412540","418020"," A crunch to regular people, just regular, regular old people."
"418440","419420"," Morning, Perry, how are you?"
"431890","438310"," Moody's cut ratings to 10 banks by one notch and play six banking giants, including Bank of New"
"438310","447150"," York, Mellon, U.S. Bank Corp, State Street, entrusted financial on review for potential downgrades,"
"447570","449490"," so State Street back in the news again. "
"451820","456640"," Many banks, second quarter results, showed growing profitability pressures that will reduce their"
"456640","458580"," ability to generate internal capital."
"460140","465000"," And there are guys this morning making the rounds claiming that regional banks are in danger."
"478490","479410"," Yeah, there's. "
"480310","484130"," That's barking says there's still time before the next meeting to see how the economy and inflation"
"484130","484830"," are behaving."
"487950","489850"," They are definitely making the rounds, right?"
"490030","490450"," All these guys."
"490450","495070"," First, you had the Moody's guys making the rounds with the State Street guys, or, yeah, State"
"495070","498710"," Street guys now you've got Moody's coming out with their own stuff. "
"504720","508520"," Now, many banks, second quarter results showed growing profitability pressures that will reduce"
"508520","510900"," their ability to generate internal capital."
"511940","517820"," The Moody's said in a note, this comes as a mild U.S. recession is on the horizon early 2024."
"517820","526400"," And asset quality looks set to decline with particular risks in some banks, commercial real estate"
"526400","527240"," portfolios. "
"528360","530520"," The smart nozzles into Bloomberg out of New York."
"531960","540460"," And the big conversation was work from home, still on the, still on the, on the table that people"
"540460","541980"," are still working from this point."
"551540","559570"," And I thought that the check right now. "
"570960","578640"," I've got some numbers from 2022 saying 22% of the, or 27% of the U.S. workforce is"
"578640","579800"," still working from home."
"585220","586420"," That's from 2022."
"586820","591760"," And says they're still competing output for the economy says one where inflation will glide down to"
"591760","592200"," 2%. "
"592200","593920"," And another way it remains persistent."
"599360","605320"," I'm reading another, some pure research claiming that it's gone down since then, but their numbers"
"605320","607720"," are slightly different from that first figure I gave you."
"612920","614120"," Yeah, unless you work at Zoom. "
"614900","618160"," Yeah, my wife works at home too."
"618360","621180"," Well, she is remote at this point."
"621860","627380"," Still, but they're saying, I mean, some other numbers I'm reading here are stating that work from"
"627380","639410"," home is decreasing, trying"
"639410","641130"," to get some hard numbers this morning on this. "
"652140","654300"," Dude, real market this morning woke up."
"654860","658060"," And while now woke up last night, late last night, they were trying to sell it down."
"658780","661680"," And they eventually just blasted it right through the floor in the middle of the night. "
"662220","663200"," Never came back."
"675750","681770"," Yeah, well, yesterday we were talking about it briefly, the whole work from home culture and the"
"681770","685890"," drum beat to get back into the office, right?"
"686190","687650"," And, you know, what are the reasons for that?"
"688310","689710"," This previous little Friday, I think."
"690470","691630"," Let me check that right now for you. "
"703750","705650"," Slammed into our one in the middle of the night."
"705870","706050"," All right."
"706210","707170"," Actually, we slammed into this. "
"707270","708850"," I believe in four 15 yesterday."
"709590","710950"," Four 14 in the afternoon."
"711310","713510"," Boom, sold it straight back down to the depths of hell. "
"714150","719290"," Just took out the previous low from Friday right here."
"721530","722970"," So new low at this point."
"725720","726700"," I'm flat right now. "
"726840","733740"," I'm looking to see if there's a way to trade a retest of this daily trigger up here."
"733740","736420"," I had some puts here on the opening bell, too."
"737700","739880"," Now I'm wondering if I should have just held on to him. "
"748600","749840"," That's two right here."
"758910","760370"," And this previous load down here."
"767960","768960"," One minute remaining. "
"769200","769680"," I'll lead with you."
"769780","771220"," We're at home five days."
"771380","772300"," We're coming down size. "
"772540","774060"," Office based encourages work from home."
"774160","775420"," The office has hotel spaces."
"776620","777500"," You have to reserve. "
"780950","782350"," I've got friends that required."
"783190","784750"," I've got a friend that has a software company."
"785130","787010"," He required all of his people to come back. "
"787750","791470"," And his thought was team building."
"791950","793870"," He wants to be there with his team."
"795310","796030"," I don't know. "
"796090","799150"," Part of it is that he's alone or he was alone during COVID."
"801010","802650"," He would actually go into the office."
"802890","804870"," I could not even when he sent people home. "
"809800","810760"," But I work from home."
"811060","816200"," I don't understand the economics of wanting to be in the office if it's not required."
"817260","818740"," I could see it in sales, I guess. "
"826370","827890"," Minus serious spot five percent."
"828110","829270"," Minus serious spot five percent."
"829430","829890"," Lower than forecast. "
"830250","831330"," Minus serious spot three percent."
"831590","833470"," With the whole sales month over month."
"833590","834950"," Minus serious spot seven percent. "
"835170","836370"," Minus serious spot seven percent."
"836910","837450"," Lower than forecast."
"837550","839050"," Minus serious spot two percent. "
"839970","841990"," Yeah, Dixie is still bullish right now."
"842830","844370"," Vix still blasting off."
"844630","846850"," Vix is trading 1731. "
"854930","859410"," I was using the delayed release of the US Red Book showing zero spot three percent."
"859910","860950"," Zero spot three percent."
"863140","865380"," This dream is sponsored by To The Tick. "
"865820","872220"," Get free daily points for Banachi and market profile levels by signing up at ToTheTick.com."
"879590","881710"," Yeah, that's what I was thinking about the real estate too."
"882330","883030"," Who owns it?"
"883930","885150"," One of the handouts coming."
"886390","887830"," The bank's got a bailout. "
"888150","891090"," So does commercial real estate get that same bailout?"
"893810","896330"," Man, I don't want to enter puts here yet."
"921010","921750"," Yeah, I think that too."
"921870","923650"," I think some people work better in person. "
"923650","926850"," Some people will work better in groups too, right?"
"928510","936750"," There is an idea behind some of this where, you know, some of high, if you're some of high school"
"936750","945260"," in colleges about you being an office worker too, right, part of that."
"946460","950720"," That education is teaching you to work in an office environment."
"976980","982900"," Yeah, I started losing money about a week and a half ago, two weeks ago, like hammering money on my"
"982900","983060"," puts. "
"983460","985660"," So now it's just leave them on until the end."
"995840","999300"," You're saying as a leader, it's difficult to form relationships with your team remotely."
"1000260","1001020"," I agree with that. "
"1001640","1004040"," I know some sales guys that say the same thing."
"1006150","1007570"," I think it depends on what you do."
"1008250","1015370"," My wife, you know, has appointments with clients and stuff and patients and so it's easy for her. "
"1015370","1025339"," But yeah, I think it has a lot"
"1025339","1027420"," to do with the mayors of these cities and the."
"1030500","1032380"," You've got like business groups in cities."
"1032560","1036319"," You've got small businesses, all this other stuff, tax revenues, of course. "
"1037900","1041180"," And then you, these people run around in the same circles with business people."
"1042579","1044040"," So I'm sure there's some of that too."
"1049240","1050900"," So my wife gets tons of work done. "
"1051820","1053020"," She loves working home."
"1060020","1060780"," Yeah, big brain hole."
"1062040","1075300"," I just"
"1075300","1079060"," close some puts chase had some on the on the bell there. "
"1080460","1081920"," But I'm not in a many more men."
"1082660","1086220"," You're saying you're you're saying that I should hold puts right here or no."
"1087060","1089500"," I don't feel like that's that's the trade. "
"1095720","1100460"," Yeah, part of our education system is built around you being an office worker, right?"
"1105420","1109460"," Are you still on puts here chase because I'm not feeling it until we can back up here and test"
"1109460","1109780"," this."
"1120470","1130000"," We also have Disney with their ER report coming out there after the close"
"1130000","1130520"," tomorrow."
"1130520","1131540"," So we'll take a look at them. "
"1133060","1135400"," Squeeze and I are right now trading 446 84."
"1136360","1144750"," If you're a bear out there, the hourly trigger is coming down right now."
"1144770","1145790"," It's coming in hot up here. "
"1145990","1149390"," So I'm interested to see if there's a rejection off that here."
"1149830","1154310"," That would give you a four trigger cluster where you have to wait for the retest above."
"1160900","1164240"," So we have 448 or 48 92 right now. "
"1193360","1193960"," Thanks."
"1194180","1194640"," Appreciate it."
"1195220","1196080"," Kind of switched it up. "
"1196200","1202280"," Matter of fact, put it on."
"1202660","1205320"," Yeah, Lily is clean and upright."
"1205600","1207360"," 16% on Lily. "
"1222050","1224710"," Last hour read across the board here."
"1227430","1228670"," Banks getting hammered."
"1230250","1231370"," In the overnight this morning. "
"1237960","1241320"," Health and technology is doing pretty well right now."
"1242440","1243920"," All the healthcare tickers."
"1244340","1275550"," We're not all but a good percentage of XPI"
"1275550","1277010"," looking strong this morning too. "
"1329780","1331900"," I'm watching the call side here and I'm like."
"1336650","1339550"," I'm watching 449 C's but there's no money in them."
"1342610","1345410"," 94,447 P's out there. "
"1345670","1347030"," They're $1.23 right now."
"1371260","1373160"," So Lily's up on the ozemic."
"1374660","1376160"," What is that the. "
"1378940","1387790"," I thought it was I thought that was related to I thought it was about people with diabetes or"
"1387790","1388150"," something."
"1411880","1413540"," Tyson food is not a good look on."
"1413640","1414940"," I still own Tyson foods. "
"1416020","1417860"," I haven't sold that ticker yet at all."
"1418060","1418880"," I'll still hold on to it."
"1426230","1428170"," Yeah, so the site is done. "
"1428790","1434650"," So the site is done right now and we're now testing the background on it."
"1436630","1439270"," Or the I don't know if the background with the UX on it."
"1441390","1442630"," The site is actually done. "
"1466340","1468960"," It's being used for weight loss to right."
"1469260","1470680"," Is that the stuff that Elon has taken?"
"1473280","1476480"," I thought he said that he was on one of those weight loss drugs too."
"1491890","1493790"," Yeah, I'm excited about the site being done. "
"1494130","1495090"," It's getting very close."
"1505610","1506630"," And look at that."
"1506910","1508750"," Just apply way down here. "
"1530840","1532160"," Hyg rolling over."
"1567720","1572080"," I wonder if we I'm wondering if Nasdaq can dump 300 points today."
"1575210","1576530"," Not 300 a hundred. "
"1576610","1587250"," Well, how about a hundred ninety one or hundred hundred hundred hundred ten more maybe 15 0"
"1587250","1587630"," 80."
"1587630","1588510"," Maybe can I get that."
"1595970","1597770"," It's another 110 points. "
"1613900","1615020"," 105 points."
"1615620","1616800"," More to go for Nasdaq."
"1638580","1640260"," Just waiting for the early on spa. "
"1653620","1654400"," Morning, Texas."
"1654600","1665340"," Only read some of"
"1665340","1665480"," this."
"1666660","1670600"," Rich people in LA caused the diabetes shortage by buying up all the zempic. "
"1670760","1676650"," Is that really what's going on a super super bowl old man?"
"1681520","1683360"," Yeah, there's two or three drugs right now."
"1693710","1694010"," I don't know."
"1694050","1695950"," I think it does a few different things. "
"1696790","1697790"," Still bleeding right now."
"1698770","1700730"," Not able to jump back in on this one here."
"1701230","1704030"," Just hanging right off that five minute EMA. "
"1713020","1714740"," Nasdaq in free fall right now."
"1716080","1716960"," Trading 187."
"1718220","1721600"," It looks like it wants to go down to 0 80. "
"1721940","1723220"," So another hundred points to go."
"1734760","1736140"," It's a glucose inhibitor."
"1782940","1784140"," There's that three man. "
"1801050","1803030"," Still blood in Nasdaq."
"1805560","1808560"," Dude, Nasdaq just hemorrhaging right now."
"1828760","1831860"," Nasdaq trading 15, 1, 7, 8."
"1832140","1842260"," It's looking for 15, 0, 8,"
"1842420","1842820"," 0."
"1853830","1856450"," So more blood to be expected in here right now. "
"1863180","1864460"," The yields up."
"1865680","1867840"," Coming down to the previous low right now."
"1868060","1871420"," Two targets down below 445, 21, 444, 89. "
"1873840","1880620"," Start breaking through this and we're going to head down to 441, 82, and 440, 97."
"1886430","1887970"," I got this right here."
"1888290","1889050"," Didn't take that. "
"1889270","1889890"," Missed this one."
"1915450","1917030"," Charlie's coming in right now."
"1917250","1919210"," Butch cross the daily in just a moment. "
"1934570","1939090"," Yeah, Vicks trading 17, 52, and there's a previous."
"1939750","1941890"," It was 20 we were looking at yesterday."
"1943290","1947030"," The next target for Vicks is 18, 13, and 18, 41. "
"1962700","1965780"," 432Ps for the 11th are on life support right now."
"1965800","1967180"," They're at 28 cents."
"1969300","1972420"," Even down here, 445s are not helping me at all. "
"1984140","1986620"," HYG is still not looking good here, still limping."
"1986760","1990500"," Actually, HYG is setting up a bear cross right now."
"1994890","1996350"," Dixie breaking out right now. "
"2003310","2004330"," Apple with a bounce."
"2032360","2036380"," Heads bark and saying there is still competing outlook for the economy."
"2036960","2040700"," One where inflation will glide down to 2% and another where it remains persistent. "
"2041740","2044640"," There was also the talking heads out this morning talking about inflation."
"2046100","2047560"," And that was a big topic."
"2049060","2051860"," How low do they need to get at the target at 2%. "
"2051860","2059219"," There's some people arguing that zero is enough to not need to get above the rate of inflation."
"2066949","2070770"," There were some comments this morning as well of a pause to be expected."
"2096400","2097960"," Man, I don't want to buy puts here. "
"2098100","2099860"," I don't want anything to do with this right now."
"2101160","2102760"," I don't want to get squeezed out."
"2130830","2131670"," Dixie bullish. "
"2133850","2135490"," We're going to get a bloodbath here."
"2135890","2136130"," Definitely."
"2138050","2139710"," Definitely going to get a bloodbath here. "
"2211540","2213340"," Yields have a little bit more to go this morning too."
"2214200","2215740"," I'm looking at yields this morning."
"2259140","2262160"," I saw the TLT push up last night. "
"2279520","2281460"," I'm watching TLT in the background too."
"2290960","2308800"," Let's see if there's a buy on 96.54. Yesterday,"
"2308840","2312980"," Paunter slides as AI fails to deliver strong sales outlook."
"2314620","2315380"," The PLTR. "
"2317860","2320100"," Disney reports after the bell tomorrow."
"2321040","2322580"," We got Moody's."
"2323260","2323660"," Downgrades. "
"2325820","2327680"," Lots of talk this morning about inflation."
"2347780","2349040"," I like that this morning."
"2349280","2351780"," Yesterday, I was looking at the market. "
"2352820","2356960"," I'm like, man, the only sector that's not down right now is banks."
"2357820","2359220"," It's the last one holding up."
"2359340","2360500"," I'm not too concerned right now. "
"2360980","2363000"," Overnight BAM downgrade."
"2365440","2367860"," I'm like, this is not perfect timing."
"2370360","2372660"," It's the only sector that was still holding up. "
"2375240","2377860"," Yesterday, we looked at it yesterday, right on the show."
"2378120","2381520"," It's like, the only sector right now is still cranking is banks."
"2382700","2384800"," First thing this morning, downgrades. "
"2386600","2387620"," Let's clip some banks."
"2387920","2389440"," Let's take some problem with the banks."
"2389960","2390880"," I was like, okay, here we go. "
"2397460","2398320"," No, I can't."
"2398340","2399320"," I haven't found an entry on puts."
"2399540","2402460"," I missed this one right here. "
"2402460","2407380"," So unless we start to retest this stuff above, no trade for me."
"2407680","2408980"," But tech looks pretty weak."
"2409980","2411460"," Get a little box right here to enter. "
"2412760","2413860"," Another one above it."
"2416590","2417790"," How do we get caught in a squeeze?"
"2418110","2423230"," So if we squeeze, I'll jump in another round here."
"2429680","2432200"," The tech looks like it's in a death's file right now. "
"2433020","2434720"," Tech is cooling off."
"2435460","2436760"," So we'll see what happens."
"2437800","2440220"," I want to see 15 zero eight zero. "
"2440280","2442600"," I don't know if we're going to see it or not, but I'd like to see it."
"2443140","2445480"," Down here at S three, crack a dawn."
"2449620","2452400"," 10 30 in the morning already blasting through S three. "
"2454680","2457320"," How previous lows back here, up here and here."
