"start","end","text"
"60","4940"," A big part of the picture going forward and how we solve some of these issues that we've been"
"4940","8720"," living with in terms of low investment and low productivity as well."
"9400","13840"," Trip Haller, do you think we've been over reliant actually on monetary policy, especially as a Fed?"
"14380","15059"," Yes, I do."
"15260","22340"," I would just say I think that in economic discussion generally there's much too much focus on"
"22340","31119"," demand management and not enough on things that will make us grow at the maximum sustainable level,"
"31119","32880"," sustainable growth in the longer run. "
"33040","34040"," There's not enough focus on that."
"34120","38100"," And that isn't the Fed's job, that's more the job of, again, elected governments, but I'd like to"
"38100","38580"," see more of that."
"38880","41520"," So how should governments be thinking about their economic policy?"
"41620","42040"," Do you?"
"42140","43680"," You guys even hear, can you guys hear me?"
"43840","44780"," Let me know if you can hear me. "
"44960","48120"," If, you know, if monetary policy is not going to be going down."
"49060","49680"," You're asking me that?"
"50080","50480"," Good morning."
"52420","55740"," I'm kind of out of the business of giving advice to the festival. "
"55880","56680"," Do you have the idea that I was on?"
"56720","63000"," So I would just say, I think it, when I get asked, I find it, what I say is focus"
"63000","66980"," on investing in people and investing in things that will increase the productive capacity."
"66980","68040"," Do you have to focus on where?"
"68280","69100"," That's what I say."
"69420","76900"," And in terms of, I think what a central bank should do is stick to its job and leave the"
"76900","78680"," nature of the way to the elected representative. "
"79600","80620"," You guys are hilarious."
"81760","82700"," Good morning, everybody."
"83260","84480"," So you got Jay Powell in the background. "
"84600","85520"," We have to stick to our knitting."
"85800","86300"," That's for sure."
"86480","87480"," We are all. "
"87700","88260"," Good morning, everybody."
"88460","88920"," We should give it."
"88920","89480"," We should give it. "
"89620","90140"," I think that."
"90440","91360"," I've been in the office much."
"91580","91860"," I've been in the office. "
"91860","92120"," I've been in the office much."
"92120","92940"," I've been in the office."
"93400","94500"," And I've been working on it. "
"94940","95680"," And to good effect."
"95880","97980"," So I'm like trading while working on this house."
"98500","102160"," How fiscal can leverage what we do in our community. "
"102720","103040"," We need it."
"103340","103480"," Let me."
"103560","106100"," This is, this is no longer the same. "
"106100","109840"," We post this video and it works that we used to do that."
"109840","111100"," Some reason I didn't post publicly."
"111260","111600"," I don't know why. "
"111880","113200"," I would give the same advice."
"113240","114680"," Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes."
"115200","121700"," We targeted and focused and in the medium term, you know, the fiscal space has to be just one quick"
"121700","122280"," second here. "
"122560","128300"," You know, made sustainable for all countries, certainly in the your area."
"128500","128820"," There we go."
"128940","129259"," Post this. "
"129600","133940"," It's a correct way of fiscal policy to help monitor."
"134920","138640"," Well, I would definitely ask."
"138680","140320"," Are you guys to see something that is resistance?"
"140840","141100"," Let's start. "
"141340","142400"," Let me just one second here."
"142400","147880"," But I would say more in different aspects that enhance the human capabilities."
"148300","149240"," Very specific. "
"149580","150900"," We'll be okay from this one."
"151520","157260"," I think what we have learned with the pandemic is that health systems are extremely important."
"157680","161680"," And I think to a large extent, we have under invested invested there. "
"162860","171520"," The other thing is that or just one quick thing, we close this out, a willing to imply a"
"171520","172240"," technology."
"172780","172860"," Okay."
"172860","173340"," So, welcome back. "
"173560","178900"," We will really impose very, very dramatic."
"179280","179520"," Good morning."
"179660","180180"," How's everybody doing?"
"180720","181140"," Great out there. "
"181300","182140"," You guys can hear me just fine."
"182360","184180"," I hope you guys can hear Jay about in the background."
"185000","186080"," And I think I think. "
"186080","188440"," Jay Ross, they heard a cat back, please."
"188640","189220"," That was an extensive."
"189440","190140"," It's very important. "
"190480","190720"," Very much."
"190920","192000"," Turn down the news feeds."
"192280","193580"," That is the answer. "
"193880","194500"," Thank you."
"195000","195680"," Many parts of the world."
"195680","195980"," Thank you. "
"196040","196280"," Thank you."
"196280","197280"," Thanks for giving us a wrap."
"197580","202160"," I think ladies, females into the labor force. "
"202320","204340"," I'm going to mute that right now just for a moment as well."
"204560","204980"," Not just that."
"205120","205480"," You're normally. "
"206180","207260"," So I rebooted."
"207400","215400"," I had to redo the OBS and I haven't done the plugin yet that I'll mute the background talking of"
"215400","216800"," the newscast."
"217040","220500"," But first off, good morning to all of you that are out there right now. "
"220680","221260"," Good to see you all."
"221600","222660"," I've missed all of you guys."
"224300","226760"," So let's just do some quick catch-up really quick, okay?"
"226980","229680"," Well, let's look at the market briefly here. "
"231360","234420"," And we'll just look on the small screen over here on the left-hand side."
"235260","241060"," I'll just want you guys to see where what you guys to see where support is."
"241540","243220"," Let me see if I can bring it up somewhere else. "
"244240","245720"," I'll bring it up over here."
"248780","253800"," Okay, so just so you know out there, if you don't know, support for today is at 380."
"255019","256800"," We've got some wonkiness up here. "
"257040","262120"," It's like 383, 385, somewhere where I see my cursor, some resistance here."
"263020","269620"," And this target above a 390 is probably 388, probably not that high at 390."
"269940","270960"," So we'll lower that one there. "
"273430","278770"," And this 383, it's 385, but it's somewhere between 383 and 385."
"279150","281670"," We need to break through that to get to 388, 390."
"281970","285850"," And I'll show you later on heat map or book map where why that's there, why it's like that above. "
"286590","287290"," Can we get to 390?"
"288430","289150"," Yeah, it's possible."
"289870","291650"," We're building up a reason here to go higher."
"291870","293190"," We traded as low as 378. "
"293910","300050"," Yesterday I think I tweeted that we should go down to 377, 378, 43 seems right."
"300310","304830"," You know, sometimes they'll still swing it back down, nail that bottom down here."
"305110","306690"," You can see as two down below. "
"307470","311390"," We're going to talk about a post that I made last weekend."
"311790","313850"," And then this morning I gave an update in that post."
"314170","318990"," And of course we did fail above and traded back down at some point. "
"319290","320110"," So we'll go through all that."
"320210","321570"," We've got a bunch of stuff to talk about."
"321890","324730"," And we're going to talk about why we are where we are on the market. "
"325030","325890"," We got so much stuff."
"325990","327470"," It's hard for me to put this stuff on Twitter."
"328770","332070"," So I've been about a house and I haven't been in my office. "
"333610","335170"," And I've been working on this house."
"335410","336530"," I didn't want to do a ton of work."
"336670","341250"," Now I'm fully wrapped up and doing work on this on this project. "
"341550","343550"," So it's what it's whatever it is."
"344870","346690"," So I'm just I'm very busy right now."
"346750","350770"," So it's hard for me to be consistent with what I'm putting out. "
"350990","353490"," And that's not that's not the good that's a good thing to be."
"354410","358650"," So anyways that's so if you don't if you want to know where some resistance levels are three eighty"
"358650","360390"," five is the technical resistance."
"360810","362990"," Three eighty three and some changes where it begins. "
"363110","367150"," You need to break through this to get higher to this three eighty eight three ninety level above"
"367150","367410"," here."
"367490","370110"," So this is kind of a moving target right here."
"370190","370370"," Okay. "
"370430","373470"," So be aware of that as we look towards the rest of the day."
"374790","377850"," Now on the bottom left hand side of the right hand side is to screen."
"378190","379230"," I just had to reload. "
"379290","383070"," So what I do is I wait for windows to on my on my desktop."
"383690","388070"," So I had to do I just downloaded book map once again."
"388370","390010"," I haven't messed with it at all. "
