"start","end","text"
"12810","14990"," Am I actually live right now or no?"
"17850","23170"," The Illuminati said it down."
"26110","35890"," So I just checked my processes in the background and it showed"
"35890","38790"," Microsoft Edge trying to do an update."
"46700","49140"," Why does this one say I'm live right now?"
"49700","54580"," Fuck is going on with some problems with YouTube right now. "
"54980","55640"," Hang tight here."
"90160","91220"," Let's try that again."
"94420","95320"," And I'm getting. "
"104490","106710"," So how is, let me ask you a question."
"106710","108270"," If you're a supporter."
"109290","110910"," If you are a supporter. "
"112370","113450"," Or higher."
"114330","116410"," How's this morning's chart."
"117630","121610"," Looking versus the chart that I posted for you last night. "
"123210","124410"," Pretty good right."
"125510","126570"," That's pretty good right."
"135020","136700"," I'd say it's pretty good right. "
"146080","147160"," Somebody want to."
"147560","148680"," Let me check the discord."
"153800","155120"," And back up again. "
"189370","190950"," Sorry about the delay."
"191710","204000"," I don't know"
"204000","207340"," what more you could ask for."
"207340","210300"," I don't know what more even if it goes against us. "
"210300","211520"," What more can you ask for."
"229870","232510"," So now no it's so big to avoid on stream."
"236770","237730"," I'm Drake. "
"238570","239670"," That wouldn't shock me man."
"240170","242090"," I really wouldn't."
"242090","243710"," Yeah, it's a good. "
"243830","244530"," Good point."
"244710","244970"," Andre."
"249910","253250"," Nice little back test trade right there on the hourly trigger. "
"253310","254970"," Looking for some more upside here."
"256170","259230"," Targeting next up side move targeting 513 12."
"260490","261550"," 513 50. "
"268290","270150"," I will be honest here."
"270150","273370"," There is probably some of that isn't there."
"274430","275770"," Probably is some of that. "
"276610","278350"," That shit wouldn't surprise me."
"280270","280850"," It's Andre."
"281310","281530"," Sorry brother. "
"282690","283630"," Thanks for the correction."
"284230","286070"," Every time I say and drag, I feel like it's Andre."
"286390","286650"," Shut up. "
"287150","288050"," Am I pronouncing that right?"
"288230","288570"," I don't know."
"288850","291290"," Let me know if I'm pronouncing that mispronouncing that."
"292190","293510"," No, it's Andre. "
"294730","295170"," Sorry."
"312910","313910"," It's perfectly OK."
"315510","316390"," All right. "
"316690","317870"," So give me."
"318350","319950"," Let me take a quick break here."
"320470","323690"," Give me like just five minutes to want to stand up. "
"324030","325190"," I'm going to get a cup of water."
"325350","327010"," I've got some coffee in front of me."
"327210","328390"," I need some water. "
"328990","330750"," So I just need like a five minute break."
"331750","333030"," I'm going to put on."
"333030","334770"," So down below, you've got NVDA. "
"337070","344850"," Did any of you get the update from last night on NVDA expect an upside move here in NVDA?"
"345790","348230"," And then a big roll down."
"349070","353010"," Some kind of big move like this and then an actual bigger move down."
"354290","355350"," So leave that there. "
"355550","356630"," I think that's what I expect, right?"
"356830","357510"," Things are great here."
"358290","360530"," A note on NVDA."
"360950","363550"," I should have told you this last night, but I didn't. "
"365790","369510"," NVDA is in a downward move right now."
"372270","374530"," But it is looking for a dip to buy."
"375230","380130"," So you are a buyer of dips on NVDA right now, but not yet. "
"381370","382150"," In my view."
"384150","387430"," But I think there is a buyable dip on NVDA."
"387650","388610"," I just don't think this is the one. "
"388850","393990"," So I'm still in the thought process that we're going down here on NVDA."
"394130","395130"," So just be aware of that."
"395890","397410"," If you're looking for the buy. "
"399570","400770"," You're going to get a coffee?"
"400990","401170"," Okay."
"401650","401990"," All right, right."
"402170","403010"," I'm going to do the same thing. "
"404270","405730"," I'll be right back with you guys in a few minutes."
"405770","407870"," I'm going to put on some CNBC in the background."
"408250","409470"," I'll be back in just a moment. "
"411310","412810"," I thought I had."
"414070","415570"," I had to lead some of this crap."
"419050","419770"," All right. "
"419990","420570"," Hold on here."
"425010","430030"," I'm going to put on a diarrhea TV for a few minutes."
"430490","434530"," I think you want to tag team on a reverse repo facility chart for tomorrow?"
"434770","435870"," Let's just think too. "
"436030","437090"," I want to say something here."
"437950","441490"," All that fucking doom and gloom between yesterday and today."
"442170","443010"," The market's still going. "
"443210","444150"," We're supposed to go, isn't it?"
"445450","446370"," Yeah, that's right."
"446550","447630"," But just a few blocks from here."
"448230","449230"," That's why we have you here. "
"449410","449450"," Hi."
"449790","450930"," Turning to the energy sector."
"451470","455790"," While tech has grabbed all the attention, the energy sector is actually the top performing sector"
"455790","456610"," in the past month. "
"457090","460930"," For more on the state of the energy market, the key themes we are seeing and what we're learning."
"461410","464950"," Let's bring in our Brian Sullivan live from the annual Sarah Week Conference in Houston."
"464950","468910"," He's been talking to energy CEOs for the past 24 hours. "
"468910","471790"," Brian, what have we learned about the sustainability of this rally?"
"473010","478510"," I think Sarah, you and Mike may have talked about AI or Nvidia a little bit today."
"478790","480690"," Just wild speculation on my part."
"481030","483950"," And actually, that's a huge theme here as well. "
"484330","488890"," Because artificial intelligence and the data centers needed to drive all that computing growth."
"489190","491510"," Jensen Wong of Nvidia was talking about just this."
"491510","496150"," That energy, that electricity has got to come from somewhere. "
"496350","502210"," And there's kind of this come to AI Jesus moment here at Sarah Week where suddenly everybody's"
"502210","506950"," realizing, oh my gosh, the estimates for power demand growth are so high."
"507430","510390"," We don't need to do this or that or that."
"511030","513929"," We need to do everything kind of this all in theme. "
"514610","518690"," And one other theme of this conference, Sarah, is that there's a lot of investors here."
"518690","521549"," I've been coming to this for more than, I don't know, 12, 15 years."
"522330","525630"," And this year has the most investors of any year. "
"526150","527450"," I've seen Carl Iles here."
"527970","528750"," Guggenheim is here."
"528910","534470"," And in fact, last night we sat down with Alan Schwartz, who is Executive Chairman of Guggenheim. "
"535010","543030"," And he talked about the mass amounts of money that are likely going to be made from energy and"
"543030","543370"," renewables."
"543870","543930"," Listen."
"546640","551400"," I've talked about how I've been leading a big focus from Guggenheim on sustainability. "
"552560","556740"," And we think it's going to be the biggest wave of capital expending in the history of the world."
"557160","561320"," The biggest wave of capital spending in the history of the world."
"561480","563300"," I mean, if that's not a headline, Sarah, I don't know what is. "
"563680","568080"," Okay, and by the way, another theme here is rising cost for electricity."
"569000","573860"," As we build out renewables, as we come back climate change, we're kind of doing double duty, right?"
"573860","575640"," Because you got to build wind, you got to build solar."
"576480","580440"," But you got to make sure that you also, the lights and the heater on, even if the sun is"
"580440","581880"," not shining and the wind is not blowing. "
"582500","587100"," And earlier this morning, we chatted with one of Canada's biggest pipeline operators, have huge U "
"587100","588060",".S. operations as well."
"588180","591020"," It's a company called Enbridge, who's building out the renewables business."
"591520","593040"," And I asked the CEO a very basic question. "
"594120","596460"," Why are natural gas prices going down?"
"597060","601280"," But all of our viewer and listeners' electricity prices going up."
"601440","602100"," Here's what he had to say."
"602960","606660"," So in some respects, we're asking consumers to pay twice. "
"607480","611880"," And I don't think policymakers and politicians have been forthright on that front."
"612340","615500"," Consumers are smart though, and they're saying, no, Maas, we've had enough of that."
"615920","622840"," Let us kind of do a transition that makes sense, realistically, economically, sustainably, and from"
"622840","623700"," a security perspective. "
"624040","624880"," So I think that's the issue."
"626120","631060"," So you're building two things, Sarah and Mike, effectively on top of each other right now, and"
"631060","633160"," that's why electricity costs continue to rise."
