"start","end","text"
"4870","9450"," See"
"37550","59710"," if"
"72480","72480"," we're live yet."
"81820","83000"," Good morning, everybody."
"88740","90020"," This is your daily brief. "
"92560","95780"," For January 10th, 2022, Monday."
"97240","98740"," Good to see everybody out there."
"108120","110060"," Hope everyone had a wonderful weekend. "
"117590","118750"," Good morning, Binky Ryan."
"119510","126230"," Hit Mikey, Ryan or Jafar, Guacata, CJ, Robert, Joe, Kari, Tegan, your wife's boyfriend, Eric."
"127110","131170"," All right, so we're going to get things started as quickly as possible this morning. "
"131690","133750"," We have a lot to get through before the opening bell."
"139710","147650"," So on Thursday, I was holding puts into Friday and some cheap calls."
"148530","149950"," The puts are doing pretty well. "
"150310","154050"," I ended up closing those Friday morning posts on Twitter for y'all to close."
"154310","156130"," You're having, excuse me, the puts are doing well."
"156310","157310"," They were expiring on Friday. "
"157850","160890"," Then I had some outside the money calls as protection."
"161230","162350"," Call it a call hedge."
"163730","166010"," The puts did okay overall. "
"166350","169850"," I ended up printing pretty well with the cost of the calls."
"170790","173810"," I think I made 20 cents on per put or something like that."
"174390","176890"," And I was able to sell the calls for a penny. "
"178390","183410"," So I think I made 30 bucks or something like that per call or some kind of nonsense."
"184950","186310"," But it wasn't a lot."
"186430","188590"," I ended up paying a lot more for those calls. "
"190190","195590"," Now, on Friday, I was expecting the dump that we got today this morning on Friday morning."
"195590","200310"," When we didn't get that Friday and the way the volume was Friday morning, I ended up going skiing."
"201830","205730"," So it took the weekend, worked on, let me go through what I worked on over the weekend. "
"206030","207810"," So I'm working on a website for everybody."
"207810","212830"," So they have a place to go to find all the information that you need."
"212970","214350"," Kind of a central place. "
"216310","219530"," And then I ended up working on a Discord this weekend as well."
"220390","222530"," I thought I was done with the Discord."
"222970","226690"," And then I'd watched a bunch of YouTube videos on how to create one. "
"227850","232450"," And once I ran through it to test it, I missed some stuff."
"232930","237950"," So if anybody knows anything about Discord's out there, if you could let me know, just DM me in at"
"237950","238790"," Captain's Alpha."
"239430","244650"," I need to run it through some more tests to make sure that it works properly before we release it. "
"245510","246830"," But I did do that work over the weekend."
"247690","251290"," Joe Donut actually helped a ton on creating a website for us."
"253370","256970"," And I want to talk about a few things to do this morning as we get started. "
"262100","263860"," So we didn't get the drop on Friday."
"263860","267320"," Now, we did get the drop this morning into Monday's open here."
"269640","276400"," And as we talked about last week, it was important to remember that we knew that no one believed"
"276400","278200"," that we would go above 500. "
"279280","281600"," No one's really thinking or in the mindset."
"282300","285460"," When we're at 480, no one's believing that we're going to 500."
"286880","290720"," So I'm going to keep that in mind as we move forward, the forward and the market. "
"292440","296260"," I also want you to realize that our keeps keep some perspective."
"297640","301660"," Now, this week, the economic calendar is booked solid."
"302880","305380"," If you take a look at today, we don't have much today. "
"305420","306680"," We've got wholesale inventories at 10."
"307900","311980"," But on Tuesday, we've got the Cleveland Fed President, the Kansas City Fed."
"312120","313840"," We've got your own Powell confirmation hearing. "
"314580","317440"," We also have Bullard at 4 p.m. So you got a full slate on Tuesday."
"318820","320780"," Wednesday, we have a full slate with CPI."
"323240","326920"," We've got the beige book at 2 p.m. So that's another big full slate on Wednesday. "
"327660","329920"," Thursday, we've got initial claims, continuing claims."
"331000","332560"," And then Friday, we've got retail sales."
"333580","335120"," University of Michigan, price and sentiment. "
"336140","338280"," Basically, volatility all week long."
"338760","341660"," And then we roll straight into the FOMC."
"342380","346480"," So what's the we talked last week as well about today being the 10th, right?"
"346480","353220"," We specifically noted that we didn't have a lot of runway coming into the 10th, how important it"
"353220","358360"," would be on the 10th, and leading up into the 21st, or that we needed to get to a certain"
"358360","360880"," price way before we got to the 10th. "
"360920","362260"," And you can see today is the 10th."
"362560","364920"," And of course, we're heading way down right at this point."
"366020","370460"," So I want you to expect high volatility into this next week. "
"371360","373700"," It's important for you to be aware of that as we move forward."
"373700","381920"," But though we are experiencing volatility right now, I also want you to be aware that we have to"
"381920","386320"," pay attention to global markets and what kind of speeches they are going to be making in the"
"386320","386940"," upcoming weeks."
"388360","398120"," And further, when it comes to rate increases, quantitative tightening, ending QE, tapering, all of"
"398120","402080"," that stuff that we've been talking about, none of that has actually happened at this point. "
"402080","410300"," So just be aware of that, that those things can even be used if we have a rally at any"
"410300","410640"," point."
"411820","414000"," You will see them noted in the news and news."
"414680","419820"," So I don't want you to get caught in any whiplash out there as we trade this market down. "
"420240","422280"," As we quote unquote, sell the rips."
"422760","427180"," I do want you to realize that there's always still going to be rips in what we're doing here."
"430900","434620"," Now, the next thing to talk about is called wealth preservation. "
"435960","442800"," I heard someone this weekend tell me they said, wealth preservation is more important than market"
"442800","443220"," gains."
"444080","447960"," And that was a pointy into moments for me to hear from someone out there."
"448560","453200"," When they had said wealth preservation is more important than market gains, since back in"
"453200","459900"," September, we've talked about taking cash out of the market cutting loose all of our longs and"
"459900","464260"," investments and waiting to deploy that cash at some point this spring. "
"465340","470680"," So though it might be important for some of you to be making market gains out there, it is more"
"470680","475420"," important for you to preserve your wealth when things get crazy like it is right now."
"476540","484860"," On Sunday, I posted on Twitter a post about put back spreads."
"485520","489660"," And if you do me a favor, head back on to Twitter on my regular handle. "
"490140","493280"," If you go to my profile, you'll see I posted about put back spreads."
"494280","495840"," It's a way for you to hedge the market."
"496280","500440"," You can do them three months out at a time, a year out at a time, however long you like. "
"501380","508740"," It's a trading plan where if the market goes up at any point, let's say we trade sideways this year"
"508740","515860"," or trade slightly up, you'll at least be breakeven or even make some money back from that trade."
"517000","522980"," But if the market sells off, if we have a 2008 kind of a moment where the entire market just"
"522980","524700"," sells down, you'll be protected."
"526340","529040"," So please go back into Captain Jim James. "
"529280","530940"," Not Captain's out, but Captain Jim James."
"531340","532300"," Check that post out."
"532880","537760"," There's also something else that's been going on, which is dispersion trading across the market. "
"537760","543580"," We're going to talk about some tickers that are up this morning, even though the market is down in"
"543580","544020"," a little bit."
"544260","547080"," I want to get through some things though with you this morning."
"547240","554740"," I want to show you some key support levels, key resistance levels as the market opens this morning. "
"555560","558820"," We know that there's hedge buying going on, put buying going on."
"559520","564160"," We know that when calls are first bought, you'll see a dip."
"564160","567180"," When puts are first bought, you'll see a slight rip. "
"567900","570800"," And we had an elevated put buying all last week."
"571240","576080"," We didn't really see that dip into Friday, but we are now seeing the effects this morning."
"576760","582120"," There are some high chance, there is some high chance this week that we're also going to start to"
"582120","586520"," see major hedging coming into the market between Monday and Friday. "
"587380","593380"," The difference between put and hedge flow is that the hedge flow really can disrupt the market."
"593380","595480"," It's almost like a cascading effect."
"596020","602040"," We talked about the cascading effect going back into the last two large megaphones that we were in. "
"602780","608220"," When you saw the extreme dumps, you'd see three days of dumping, and then that fourth day of major"
"608220","611640"," dumping was when massive hedging came into the market."
"612100","618060"," You'll also see that reverb into coins today, into crypto."
"618380","619040"," You'll see it in Bitcoin. "
"619040","623920"," People will be removing money from crypto to pay for market hedges."
"624300","626240"," We have a lot to talk about at some point on the road."
"626620","628820"," I want to get into the charts real quick with you. "
"629200","634460"," This weekend I posted basic support and resistance levels for the market."
"635140","643020"," You're going to have to also add into those support and resistance levels, cash gap closes from the"
"643020","646140"," day before, swing low, swing high levels on your own."
"646960","650520"," That's the first level of charting a market. "
"650520","652080"," That's their basic TA."
"652520","655880"," That's their basic charting techniques that old school traders use."
"656540","661080"," You did use those support levels on the spy chart this morning. "
"661500","662700"," We'll show those later on."
"663140","665440"," These are the volatility levels."
"665860","667420"," These are gamma levels for the market. "
"667820","668840"," This is layer number two."
"669320","671700"," This is the estimate I'm just showing you right now."
"671700","677420"," This is where I go to spot gamma and get a second layer of levels for the market. "
"678220","680640"," We're going to look between now and 930 real quick."
"681340","683420"," The SG levels, I chart these myself."
"683740","685100"," I don't use their actual levels. "
"686320","689400"," Then I'm also going to show you the volume profile this morning."
"689980","695100"," Once we roll into book map when the market opens, we can see where the real support and resistance"
"695100","699180"," levels are and how to trade that as we move forward this week."
"700800","706660"," Right away, I want to point out some levels to you that we have some firm resistance this morning"
"706660","707480"," at $4,700. "
"708420","712540"," That is right around this area right here where this volatility trigger is."
"712920","718480"," It's marked at $4,707, but we're going to bring this down to $4,700."
"720680","721840"," I want you to see that this morning. "
"721920","723560"," We've got some firm resistance here."
"726400","730600"," With this vol trigger, you can even type this into your own charting."
"730800","732520"," Just write firm resistance here. "
"735420","736860"," 4663, excuse me."
"739740","741180"," We're going to get rid of this one here."
"747720","751280"," We're going to make the put wall this morning right here at 4663. "
"752240","759240"," You are going to make that a little bit thicker."
"762060","769360"," We're going to call this the top today, $4,700, and some firm resistance at 4663 this morning."
"770140","771220"," Support this morning. "
"771620","786750"," You're looking at 4650, and"
"786750","791150"," then 4600, which is right about here."
"791730","793790"," We do have some issues here."
"798560","809840"," It's $45.80. I"
"809840","811700"," believe this is another combo level in here. "
"813820","815080"," You'll see this."
"815280","816200"," Let me bring this out farther."
"818860","822020"," This is a trend line going back all the way to 2020. "
"822660","824420"," You'll see this dotted line up here."
"825250","828660"," I want you to just have this for reference."
"836320","839180"," We're going to check these levels once the market opens. "
"839520","842420"," We'll see if there actually is by side supplied down here."
"843460","848000"," We'll recall back in December on the third on the 20th."
"848620","851640"," When we traded this low, we triggered hedging activity. "
"852480","855180"," That creates that megaphone pattern that we keep talking about."
"855180","861020"," That reverb or that feedback loop that happens in the market."
"861240","865520"," You'll see major hedging as we trade down here, or even if we trade down here this morning. "
"866440","873680"," Any kind of relief rally that we have, you want to watch for people trying to sell it this"
"873680","876980"," afternoon or this morning, however this plays out."
"877840","880000"," Let's say we break above 4700."
"880160","880860"," I don't think that we do. "
"880860","885880"," But if we do, we're going to be looking for another rejection above in this vicinity above here."
"886540","891680"," As before, at up at 47.89 up at 4800, we know that no one thinks we're going to 500."
"892260","895400"," The logical move is to trade down into this level down here. "
"895940","899200"," This is going to trigger hedging activity at some point today."
"900060","901800"," What are you going to be looking for right off the bell today?"
"902900","904520"," As usually, you look for the fakeout."
"904820","907280"," Maybe we trade slightly higher and then we dump down lower. "
"907280","912900"," If we just red bar it straight down, we're going to be watching for buyers or support down here."
"913140","918220"," If we don't find support down here, we'll start to look for where the support is below."
"918660","926160"," We'll open up a book map this morning and find out where the actual support levels are before 47 or"
"926160","927000"," 4580. "
"927500","930360"," Keep that in mind today, 4580."
"932920","937580"," And the support and resistance levels that I put out to you yesterday, you want to add those to"
"937580","938040"," these lines."
"938040","939480"," Next, I'm going to show you. "
"940300","942000"," Next, I'm going to show you NQ."
"942400","944360"," I know a lot of you guys are wrapped up in NQ."
"952340","955800"," We're having that same issue this morning with NQ. "
"955960","962440"," You've got a volatility trigger that we broke through last week up here at 15 or 5526."
"963200","965460"," We're now looking for some kind of a tag this morning."
"965880","967700"," It's probably slightly higher here. "
"967700","969500"," Call it 15, 256."
"970560","972820"," So we're going to be checking this level as well this morning."
"974480","976640"," I'm going to add another line of support in here. "
"982360","988660"," And I did check these charts against the 50, the 100 and the 200A moving averages."
"989320","990760"," You know, we kind of blast through them."
"990760","992360"," Sometimes they don't really tag them exactly. "
"993180","995380"," I think that's something like that's going to play out as well today."
"997420","998800"," So here are your levels as well."
"998800","1007180"," I'm going to be looking for a rejection this morning at 15, 256.75 or so on NQ. "
"1008240","1009800"," Then I'm going to bring up IWM."
"1010140","1013440"," I do want you to realize as well this morning that or RTY."
"1013800","1017420"," I do want you to realize as well this morning that there is major. "
"1017800","1024260"," We talked about this last week, even though I think on Thursday or Friday, RTY didn't look as"
"1024260","1025640"," unhealthy as it actually was."
"1025640","1030540"," We did talk about the major hedging that was taking place in the mini."
"1031480","1033819"," And then it wasn't showing itself as of yet. "
"1033940","1035260"," You can look right here on the seventh."
"1035780","1038160"," It didn't look as bad as it could be."
"1038540","1045900"," But in reality, there is major hedging on both RTY, the Russell and on NASDAQ. "
"1047780","1050140"," And so we're right on the volatility trigger this morning."
"1050180","1058660"," That's on at 215.8.4. And we're looking for no less than 2.1, 2.9.8. And I"
"1058660","1060120"," would be selling every rip in here."
"1060560","1064560"," I wouldn't be looking for any kind of relief rally in either RTY. "
"1064960","1067580"," I can't be a solid rip moment at some point."
"1068160","1070200"," And the same thing would be going for NQ."
"1070720","1072380"," And what does that ultimately lead up to?"
"1073020","1076560"," Well, we're going to have to start to plot today some real true support levels. "
"1076840","1078040"," We're going to go into book map today."
"1078440","1082620"," I'm going to show you deeper into book map where the real money flow is below."
"1082620","1087680"," And we'll start putting some price targets out there for the coming weeks and months. "
"1093240","1095360"," So I'll show you guys where the real money flow is."
"1095740","1099980"," Where the real supports are in the market when we open up here in the next six minutes."
"1112410","1116910"," Also, that post that I made on Twitter, that covers tailside risk events. "
"1116910","1120310"," There's a lot of traction right now in tailside risk events."
"1120950","1121250"," I'm not."
"1122630","1124070"," I don't know. "
"1124770","1127490"," You know, you can't cover every outcome within the market."
"1128230","1135250"," But sometimes when there's a cacophony of bad news in the market, they want to note this, OK, that"
"1135250","1142050"," even if we were to sell the entire year down, you can take that trade without losing that money."
"1142690","1145330"," But the reality is that the banks are always greedy. "
"1145330","1147530"," I want all of you out there to understand something."
"1147950","1154030"," And when we still look back in history at every moment where markets sold down, these banks"
"1154030","1158050"," destroyed the market before they made that happen."
"1158590","1165070"," So if you have the one viewpoint of doom and gloom, I want you to always keep the other if"
"1165070","1170010"," you had like a devil on one shoulder and you had an angel on the other. "
"1170010","1176630"," And you have the angel whispering in your air, saying this market's going to sell down to 250 or,"
"1176830","1179990"," you know, some 350 or 400 or something."
