"start","end","text"
"3660","30680"," Check one to check Mike check check one"
"30680","53460"," to oh Yeah,"
"53720","58200"," baby good morning What do I gonna do here?"
"58320","64960"," I gotta put the What the stuff is you feeling like this market open up for a minute let breathe"
"76580","90980"," I Tell you what be this single guy is that a weird Not"
"90980","99640"," easy be it's well, yes, it is easy here to go All I need I think is maybe a taco"
"99640","109560"," stand Some surf a quite calf I can pass Excuse run or something in my gut."
"109820","119600"," Thank God next to me Yeah, baby, let's do it"
"119600","133920"," every day"
"135800","145000"," We do it every day show goes on We'll give some love to vert in the"
"145000","162700"," stream this morning Okay here Let's"
"162700","170380"," share this Are y'all doing this morning everybody doing well are you guys all doing out there?"
"173140","176840"," All right, let's get right into this morning good morning."
"177220","185060"," I hope everybody's doing well out there Just a note on the open this morning. "
"185700","195520"," There's a giant gap over here The giant gap on 396 60 397 80 Let me move"
"195520","200860"," this this way here that needs to be filled this all needs to be filled down here Not doesn't need"
"200860","209320"," to be filled, but My expectation is that it's gonna get filled here Now You take the money and run"
"209320","215020"," there's your R2 almost a pit perfect pin strike you can see it from yesterday There's your R2"
"215020","220180"," almost perfect pin strike We'll move some of this stuff over here."
"220320","221260"," I'll move the pivot line up."
"221380","227940"," Whoa, whoa, whoa, hold on move the pivot line over here Good morning to all of you right now before"
"227940","234800"," I talk to you This morning we're gonna move some of this stuff over support lines resistance lines"
"234800","243520"," that sort of stuff We have our three being pretty close, right We got a bunch of work to do"
"243520","248900"," in here some cleaning up some house cleaning some vacuuming That kind of stuff. "
"249100","250540"," Let me check out the pivots real quick."
"251700","259860"," I'll tell you what you know what I did was I've got a I've got a king-sized bed in"
"259860","269640"," mattress and It's it's not old, but it's not brand-new"
"271400","281400"," and I have a daughter who Wanted me to Read her"
"281400","288900"," a bedtime story So I go and I read her a bedtime story when she has a she has this"
"288900","295900"," like full-size bed that was a it started out as like a I don't know it does like the"
"295900","300200"," desk and it's got it like converts in a different shit like you can do the desk you can do"
"300200","308180"," the The bunk bed and all that kind of stuff Like starts out with a full-size bed and a"
"308180","318480"," smaller bed a desk combination And she's getting a little bit older 395 26 Now"
"318480","323800"," here's pivot right here You would like that you I would like to see this gap get filled right off"
"323800","328600"," the bat We could sometimes we just gap and go and I can't say that we're not gonna gap and"
"328600","335260"," go here You know just start ripping face here and come back for this later But I always like to"
"335260","340820"," see this get cleaned up Now at 10 a.m. Right now we have a Senate hearing and they've got"
"340820","341360"," Jay Powell."
"341500","349440"," I'm gonna assume That those events clean this up at some point this morning Now our first"
"349440","358720"," resistance today is 396 On 385 it's 35 I get that wrong pivot point is 395 26"
"358720","368540"," the way down here So my daughter Has a full-size"
"370320","372280"," Bed and she's like it. "
"372400","373480"," Can you read me a bedtime story?"
"373600","378240"," I'm like sure sure sure you know I live stream every day I do my own research got wife kids"
"378240","382180"," got dogs Got people that I'm working with in the background."
"382640","386440"," I know I say that all the time you guys never see it But that's it really is happening in"
"386440","395500"," the background And So I'm tired right my my of course my daughter wants my attention I want to give"
"395500","400780"," my daughter the tension she needs I don't want to be an absent dad or anything like that."
"400940","405620"," So I make sure I can spend time with her when I can and I fell asleep. "
"406080","416040"," I read her a story and I was out cold Reading her a story like 393 390"
"416040","425680"," not 39 1963 So this should give you Just give you an idea that the"
"425680","436380"," options market today It says we're only going here This is our one our two are three for today It's"
"436380","441180"," our implied move for today We are higher than our implied move for today."
"441240","449180"," Just take that in a note this morning So I passed out like I think I read like This was"
"449180","453920"," a I don't know a few weeks ago And I slept like a rock."
"454380","461120"," Oh, I was out And the reason I I attribute it to was that I had bought my daughter a"
"461120","466940"," one of those memory foam mattress toppers like you get a kit of bed. "
"467100","476110"," They're good, but they're not like expensive beds and I bought her a mattress topper that That was"
"476110","482150"," no not too expensive and like memory foam And I was like I was like man."
"482430","488530"," I was like I slept so good on that bed and my wife had said what do you why do"
"488530","493630"," you were just overtired and I was like no I was like I think it was the I Just sunk"
"493630","499990"," into her bed and I passed out It's I'd like woken up like I'm like look like my clothes from"
"499990","508150"," the day before Just like curled up in the corner with my daughter fast asleep next to me And My"
"508150","509530"," wife was like you were really tired."
"509630","510730"," I'm like, no, I think it was that bed. "
"510910","521510"," So I went out and I bought a mattress topper for myself I think it was delivered yesterday and I"
"521510","527290"," didn't want to get out of bed this morning I slept in that thing last night and it was like"
"527290","532550"," I was being cuddled by some it was a thick one too It was like three inches thick and I"
"532550","536890"," was considering buying a new mattress But I'm like, yeah mattresses right now are like four five"
"536890","548780"," six grand minimum for a decent sized mattress This memory foam thing was a few hundred bucks And"
"548780","556620"," I've been been pretty stoked, excuse me here for a minute I Can't say that I'm not happy with it"
"556620","561340"," at this point Yeah, I'm not gonna tell you when I bought a ten thousand dollar memory foam mattress"
"561340","567080"," or something But I've got like a coil like an enclosed coil spring mattress got like it's wrapped"
"567080","573240"," each spring It's supposedly it doesn't like move if you jump in if they jump in the bed You're not"
"573240","579380"," gonna feel me jump in the bed or whatever, but it moves still a little bit And I was telling"
"579380","579940"," a buddy yesterday."
"579940","586620"," I'm like I've stayed at Airbnb's with cheap Like Airbnb's will tell you that they're nice stuff But"
"586620","590400"," then you get it looks great in pictures and you get there in the Airbnb This these are like"
"590400","595320"," Airbnb's that cost a lot of money you jump in the bed You're like this thing sucks like but they"
"595320","601620"," do they spent like five grand on pictures They spent 500 bucks on an IKEA mattress or something no"
"601620","608500"," offense to you if you like an IKEA mattress, but You know normally those beds and an I on an"
"608500","615980"," Airbnb's kind of suck But this man I stuck in this thing last night it was like it involved me"
"615980","621420"," it was it was like a It was like some some like hands just holding me all the way around"
"621420","627040"," my body as I slept last night and Felt great Called the dogs."
"627180","631720"," I was like come on over here and come sleep with me So the dogs kept me company all night"
"631720","638780"," long they passed out next to me And we just kind of just hung out And I passed out man. "
"638780","643000"," I was out cold What do you got there s1 s2 s3 down here?"
"643780","645260"," Make sure you got this right down."
"645380","649520"," This seems kind of odd, but Check this one more time."
"649520","656930"," Make sure you get this right So they got these levels right or from just talking out of my ass"
"656930","665920"," here this morning and Then I got other news this morning Read the news they say I'm getting more"
"665920","672400"," snow coming my way I'm like you got to be shit me Yeah, these are all right. "
"672920","682700"," He's all look right to me Excuse me So I'm looking for range expansion"
