"start","end","text"
"290","9690"," Being short in the decade ahead, all right, let's see, we're just going to open right on the"
"9690","10590"," opening screen here."
"38920","43940"," Good morning, everybody."
"43940","46240"," Good morning, blind out, blind nest out. "
"46460","53100"," Good morning, RS, good morning, Jake, you, Paul, John, Joshua, endless, Joe, Jafar, Yoruba, A.K.,"
"53100","54780"," Brian Martin, Chris S."
"55300","56560"," Dylan, Jacob, good morning."
"57120","57640"," How's everybody doing?"
"59660","60940"," Sorry, I'm a little late this morning."
"61920","63860"," I've got a breakfast with my babies. "
"66140","70120"," It's been a busy weekend, plus we had the superb owl this weekend."
"72360","75080"," Vodka, Johnny Five, Desperado, Chansu, Joe."
"75900","77620"," Happy Valentine's Day to you and your family, Joe. "
"79420","80180"," Eric, good morning."
"80940","82320"," Vegas, good morning, fell, Jen."
"82900","83500"," We've got a lot to get to. "
"83600","86220"," We've only got 13 minutes until the bell starts, just as it heads up."
"86720","91920"," You guys can see up here already that there's a short on the mark or there's a pin on the"
"91920","96540"," marker right now heading into the open bell, trying to keep it down into the opening bell."
"96540","101040"," More than likely, it's dealers trying to pin to weaken. "
"102960","108680"," I get more in Gerald, Brad, John, Ben, Paul, Mohan, good to see you, Joe, good to see you,"
"108900","109780"," Desperado, good to see you."
"110380","111680"," Yeah, it was a wild night, right?"
"113000","114400"," It was definitely a wild night."
"115460","121220"," It's funny because we have all this horrible news and it was intentionally pinned all weekend long. "
"121740","124920"," It's kind of disgusting when you see stuff like this in the market."
"124920","128479"," It shows how manipulated our market really is."
"130640","132400"," It's kind of gross when you see this stuff. "
"132840","135960"," And then, of course, I saw a tweet this weekend saying that when we smart people are making money"
"135960","138920"," in the market and it's not smart meat people."
"139060","140560"," It's powerful people making money in the market."
"140720","141300"," That's all it is. "
"142860","145080"," So I'm a little pissed off at that too as well."
"146000","147100"," Good morning, T-Chrone."
"147980","148580"," How'd it hurt?"
"148760","148980"," Good morning. "
"149620","152300"," That puts the little people at a disadvantage across the board."
"153060","156980"," You know, it's not just minutes or hours."
"157360","158800"," It's a whole plan, right?"
"159040","161920"," This whole entire market becomes manipulated and you have to figure it out. "
"162320","163340"," Figure it out on your own."
"163360","165240"," You can't trust anything that's out there."
"166920","170080"," Now, we've got a bunch of stuff to go through real quick here. "
"170240","177540"," I'm going to put some charts up for you on Twitter to show you levels for today."
"178020","181060"," But I'm going to get through a few things we have going on here."
"184730","189010"," I'm going to tell you to expect our put selling at the bell today. "
"189750","197030"," Now, we did break down to 435.20. And we didn't quite break."
"197690","198970"," I don't know if we did in the over."
"199090","207910"," I haven't checked the futures to see if we broke below 435.00. If we did break below 430, it"
"207910","211490"," does set us up for a move lower to 420. "
"212470","216610"," And then outside and look at, to be honest with you, I've been busy all weekend long."
"216910","220110"," But if we, if I'll take a look at it here just in just a moment."
"220550","226350"," If we did break below that, you are going to be looking for 4,200, right?"
"226530","227110"," Test 4,200. "
"227710","230730"," And then another issue that we have with this, I'm going to take a look right now and see if"
"230730","230970"," we did."
"231810","236970"," Another issue that we have with this is the gig is kind of up now."
"237830","242770"," If you guys recall, when we touched back to 420 back in January. "
"244490","247590"," I kept buying puts, put edges all the way up, right?"
"247850","255089"," And I had some, some real low ones print and then I had some for 44, 42s that wound up"
"255089","255950"," printing on Friday."
"256790","258269"," I didn't reload up on puts."
"258510","260910"," I took the long on Friday. "
"261170","261870"," I should have taken."
"262370","263490"," I don't know what I should have taken."
"263490","265470"," I know what I mean. "
"265550","267410"," I probably should have stayed flat into today."
"267430","268970"," I'm going to add to that position today as well."
"269070","269810"," I think we're going up. "
"270630","273650"," But I want you guys out there to all understand, okay?"
"273870","278910"," That every time we hear this story, this bull story, I keep asking you guys a bunch of questions."
"279050","279730"," They're simple ones."
"280210","282290"," Like, what do bulls have to look forward to?"
"282870","284210"," Give me something, right?"
"284390","287390"," That bulls have to look forward to and they really don't have anything to look forward to. "
"288530","291470"," And there's panic, of course, from bears that are short this market."
"291470","292570"," I want to be short this market."
"292570","296550"," I'm going to put another post on Twitter about the way the market's been trading. "
"297370","302290"," That doesn't mean we don't break out of this pattern that we're in right now, either."
"302730","305490"," But it does mean, you know, I'm asked, like, are you still bearish?"
"305530","307310"," How can you be bearish and we're trading up, right?"
"307770","310030"," I've been asked that ad nauseam."
"310050","316150"," I'm not quite impressed saying that President Putin is deciding on whether to make their response"
"316150","317170"," to the U.S. public. "
"318250","320230"," Yeah, so I've been asked that ad nauseam, right?"
"320230","323210"," How can you be bearish in the market?"
"323390","324310"," You have bullish same time."
"324490","325950"," I've been asked ad nauseam."
"325970","328430"," What do you mean we're neutral here and not bullish?"
"328830","331050"," And that played itself out on Thursday and Friday. "
"331430","337450"," The draft of the response to security issues prepared."
"339950","341970"," So none of that has gone away."
"342190","346630"," And just as an overall macro view of the market, I have to warn all of you that we will"
"346630","347390"," trade up of course. "
"347650","349370"," We're going to make money on both sides of this trade."
"349370","353970"," But I do want you to realize out there that you should be able to have both a bearish and"
"353970","354250"," a bullish."
"354690","355450"," I'll look at the market. "
"355850","357530"," There is one key problem though."
"358110","363930"," And that is at some point that at some point you can't trick bulls anymore."
"365430","371530"," And this was the move to tell bulls, you know, the gig is up. "
"371730","372890"," Basically the gig is up."
"372970","374290"," You can't just be bullish."
"374570","376690"," You can't just say we're going into all-time highs. "
"376690","380110"," If you are going to say that, then there's a major issue, right?"
"380310","385190"," You've got a functional issue with how you're investing in trading this market."
"385530","388170"," No matter where we trade to today, it doesn't matter where we trade to next month."
"389010","394470"," But this past week, especially Thursday and Friday, basically proves the theory that I've had right"
"394470","395890"," at this entire time. "
"397390","399050"," And we rolled over, right?"
"399230","401770"," We didn't break out of that major resistance channel."
"402710","405890"," At best, we were neutral heading over that resistance channel."
"406670","409290"," We wound up rolling over at that time period. "
"410850","412290"," So I just want to be aware of that."
"412350","417930"," I want you to be aware too that this move down Thursday and Friday has shaken the bulls, the last"
"417930","419050"," bulls to their core."
"420250","423370"," I saw them come out this weekend with YouTube videos all over YouTube. "
"423870","425410"," I saw the posts all weekend long."
"427630","428810"," There's panic out there."
"428890","430270"," There's panic hidden behind the scenes. "
"430270","434150"," I promise you that there is panic behind the scenes with bulls."
"434330","435570"," That doesn't mean we can't drive it up."
"435610","437350"," We're not going to go to all-time highs either. "
"437430","443710"," It just means that unlike before, there was this whole thing about hammering out a bottom that this"
"443710","448390"," is the only downtime we're going to have back in January and it's blue skies above."
"448950","449930"," And it just isn't."
"450210","452710"," And this move down Thursday and Friday proves that point. "
"454010","457810"," So we are right now still in negative gamma territory."
"457810","461250"," We are still below a volatility trigger."
"462350","464930"," We should expect to move up higher today off the bell. "
"465350","469850"," There should be some kind of a, kind of a, you can call it a dead cat bounce, whatever you"
"469850","470390"," want to call it."
"470790","473430"," But a 2% move really isn't a dead cat bounce."
"473850","474970"," It hasn't really moved 2% either. "
"475410","479270"," One of these things are absolutes, but I would expect us to move up today off the bell."
"479870","484510"," Even if we trade red bar off the bell or fake out and then we trade higher, you should expect"
"484510","487390"," us that we move up higher this morning."
"488550","491650"," I'm going to go over what spot gamma spec and put out a couple things. "
"491950","494850"," I'm going to post both of them on to the Twitter handle at some point."
"495150","498990"," I'm going to give you the AM report, but there are some functional defects within our market"
"498990","500750"," defects within our market."
"501090","507230"," So futures broke lower overnight and are currently trading at 43.75. The models we'll see continued"
"507230","513870"," volatility with a spot game implied move of 1.5%. One standard deviation we're open to close. "
"514150","521929"," The VIX currently at 30 implies a one day S&P move of 1.89%. Resistance lies at, write these"
"521929","524070"," down, okay, get yourself a piece of paper and pen out there."
"524650","530950"," Resistance lies at 4397.4410 and then 4500."
"531990","533710"," So that's those are your resistance numbers, right?"
"535850","537750"," 4397.4410 and 4500. "
"538630","539810"," That's your resistance levels."
"540970","546750"," And then on your support levels this morning, you've got 4344 and 4300."
"547730","552190"," I'll list those to you once more to give you guys just a moment here. "
