"start","end","text"
"0","290"," session."
"670","3250"," Here are three movers that we are watching for you."
"3510","7870"," One of the busiest days of earnings season, Honeywell, Merc, Shell, Deutsche Bank, and a whole lot"
"7870","8850"," more all reporting results. "
"8970","10930"," We're going to break it down for you this hour."
"11210","15570"," We're closely watching regional banks after coming up their biggest one-day percentage drop since"
"15570","16510"," March of last year."
"16890","20090"," New York Community Bank Corps down big again today. "
"20390","25090"," Moody's putting it on review for a downgrade after the company posted a surprise loss, cut its"
"25090","29730"," dividend, stock lost more than 30% yesterday down another 10% right now."
"29750","31930"," And big check and focus yet again."
"32310","37670"," Specifically, Apple, Amazon, and Meta, all three megacap names are higher ahead of their earnings"
"37670","38470"," after the belt today. "
"38610","40830"," We're going to get you ready for Apple in just a moment."
"41090","44610"," You can probably see equities reacting to some ISM data."
"44830","45430"," Let's get to Rick Stanton. "
"45750","46030"," Hey, Rick."
"47330","48070"," Yes, boy."
"48210","49390"," There's a lot going on here. "
"49530","55810"," First, let's start quickly with construction spending for December up 9% just the best since"
"55810","57510"," October of last year."
"57830","58710"," Now, let's get into it."
"58910","68830"," ISM manufacturing, the headline number 49.1, which means that is 15 consecutive months below 50. "
"69350","70230"," But here's the oddity."
"70570","76070"," 49.1 still is the best level since October 22 and it was 50."
"76710","79570"," That's how weak it has been in manufacturing. "
"80090","81630"," Okay, prices paid."
"82050","83010"," This is not good."
"83370","85690"," And this is what the markets are going to pay attention to. "
"85930","93470"," Prices paid for January expected to be 46.9. And that would have been, what, 9 in a row below"
"93470","95850"," 50, some good celebration there."
"95990","103310"," But it popped all the way up to 52.9. 52.9. That's the highest prices paid since April of"
"103310","103930"," last year."
"104390","109110"," And you want to keep an eye on that one 52.5 on new orders. "
"109110","110770"," That is a big surprise."
"110870","114850"," We had 17 consecutive below 50s, not anymore."
"115410","119150"," So 52.5, that's the best since May of 2022. "
"119610","121630"," And finally, employment."
"121910","124310"," And this is important because we have the big number tomorrow."
"124650","125630"," Jobs, jobs, jobs. "
"126330","132090"," 47.1, 47.1. That means the fourth consecutive month under 50."
"133230","134430"," 47.1 is the best."
"134790","144230"," Well, just since December, when it was 48.1, but that gets downgraded to 47.5, but still 47.1"
"144230","145290"," is comping to that. "
"145610","151290"," And it really is something incredible to watch to see that prices paid jumped the way it has."
"151650","154710"," I know it's not the favorite inflation indicator, nor is CPI."
"155490","160550"," But there are some metrics outside of PCE that are running a bit warmer than the Fed made. "
"161670","163670"," Yeah, so we'll be watching it."
"163790","168210"," Thank you, Rick Santelli, with better numbers there, pretty much across the board on manufacturing"
"168210","169690"," and prices paid."
"170310","173790"," The other data we got today, jobless claims, they did tick up last week. "
"173990","175690"," 224,000 was the total."
"176030","177990"," So it was about 12k more than expected."
"178750","181730"," We're continuing to watch that before we moving average moves up to 208. "
"181890","184770"," Nothing super worrisome there in terms of layoffs or stress."
"185270","191670"," But we watched the trend moving up is not exactly what you would want to see in a good economy."
"192250","193650"," But we're still at super low numbers. "
"193830","196710"," The only other one I would mention is we got the the challenger, Greg."
"196990","200570"," I love all the guys just a layoff from a private sector report."
"201310","202710"," I've been burning the catalytic. "
"202710","203030"," I'm crazy."
"203410","205470"," I went back at 630 to support it."
"205510","212530"," We'll back up at eight 30 percent increase from the cuts announced a month prior in December. "
"213410","215090"," Obviously, that was during the holiday season."
"215090","220730"," And they also said it was the highest number of job cuts announced in a January since January 2009."
"222170","227490"," As far as the reason, they quote mostly cost cutting, which is something we followed from a lot of"
"227490","227910"," tech companies. "
"228050","234130"," Any of you guys that follow any of those put spreads too major prints, you have to close any of"
"234130","234530"," those spreads."
"234530","240970"," If any of you guys had those out there becomes more widely adopted and potentially fits into the"
"240970","244630"," cost cutting narrative and the productivity narrative as a potential job replacement."
"244810","249690"," It's surprising to me given everything we've heard thus far in terms of the impact of AI and"
"249690","252510"," productivity that it would already be replacing jobs. "
"252910","254730"," We actually would take a little."
"254870","255029"," Yeah."
"255329","259850"," I mean, there's a big debate about whether it's just supply chain healing and full employment or if"
"259850","262910"," it's already getting in the mix, we talked to Lisa Sue yesterday. "
"262910","263750"," She said it's happening."
