"start","end","text"
"49440","60170"," Good morning."
"60190","61050"," How's everybody doing out there?"
"62710","68050"," We'll cut this morning and I'm like, I gotta close puts and buy calls."
"69170","72490"," I'm sitting in a ton of calls right now, making back a ton of money. "
"72750","73970"," So I'm pretty happy at this point."
"75410","76890"," One quick second here."
"78110","79390"," Get right over to it. "
"80090","82250"," We are coming into some resistance now."
"82470","85930"," So if you're going to take some calls off, this is kind of the place."
"97140","100640"," The right in here is where you're going to be taking stuff off right here. "
"101980","103180"," Small little gap."
"104420","107180"," Got a nice little pullback and rip higher here."
"108780","110740"," Or trigger a bull cluster this morning. "
"113120","114400"," Coming right on the open."
"114580","115560"," We'll talk about that too."
"116600","117960"," In just a moment here. "
"118020","118960"," Give me one quick second."
"120860","124850"," I got it one quick thing I got to do here."
"128930","130470"," Flat right now, so. "
"134560","139380"," I know you guys like take it deeper or hold it longer than"
"139380","146780"," I do."
"147480","148000"," Members."
"148700","149420"," Okay. "
"156500","160780"," Now actually didn't I sold on Twitter this morning."
"161540","164260"," Then we had a four trigger bull cluster on the open."
"164260","167720"," So the closed puts on the bell and open. "
"180710","184690"," Four forty two C's at thirty two subs and just got rid of them just now."
"184910","186030"," So we're good."
"186190","188010"," I'm very good right now. "
"189190","190190"," Hello one second here."
"201590","202910"," One quick second here."
"206150","206950"," Ten seconds. "
"210070","212330"," The home sales coming on just a moment."
"219860","225440"," Zero spot seven one four million zero spot seven one four million higher than the forecast and zero"
"225440","231160"," spot seven zero four million home sales month of a month four spot four percent four spot four"
"231160","233440"," percent higher than the forecast of one percent."
"236220","237640"," We need to get this to start. "
"247390","251730"," So the SEC is to impose new hedge fund and private equity fee disclosures."
"253790","259310"," And U.S. payroll will be revised down by three hundred six K in the preliminary estimate."
"266050","268250"," This stream is sponsored by Ticksright. "
"268830","271310"," Ticksright allows you to actually hear water flowing."
"271530","272210"," Oh fuck no."
"272210","272770"," Like this. "
"273610","274770"," We're going to go over right now."
"274770","278030"," So Ticksright dot com get a couple of things to go over here."
"278250","278810"," We want a quick second. "
"278990","281650"," I got like crap I got to do in the background here."
"284170","287610"," Well it was a good good position management."
"289150","292270"," So it makes a good position management tool. "
"293390","300680"," So right here post this on Twitter this morning."
"301760","305900"," It's like yesterday you're looking for yesterday's open right."
"306100","308540"," You're looking for a bounce off hourly trigger. "
"309020","312480"," It's got to go to a new home sales prior."
"312780","313760"," I paid that here."
"313860","316340"," Oh my people zero spot six eight four. "
"318920","319940"," So is that the one?"
"320160","320320"," Okay."
"323060","324720"," You need this here for a second."
"327340","332840"," U.S. non-farm payroll are to be revised down by three three and six thousand in preliminary"
"332840","333340"," estimates. "
"336500","337800"," Heads up on that one."
"339720","348240"," Okay so right here yesterday right we're looking for a bounce down here."
"348880","351060"," We're going to get a bounce and a trend day right. "
"351360","352520"," No bounce no trend day."
"353040","354900"," Keep selling off into this close here."
"355480","358900"," Now I had some calls here in the close got torched. "
"359080","362880"," I got I made a bunch of money yesterday but I bought a bunch more for this close up near"
"362880","366900"," and I got torched in that trade ended up buying some puts."
"368280","374040"," Right in here somewhere like right around I think it was a four or four or seven or something like"
"374040","374240"," that."
"375100","378500"," The key point here is that when we when we had closed yesterday. "
"380720","382460"," Then come back to this one really quick."
"385840","389260"," We closed yesterday we had this four thirty nine point six."
"390100","392020"," We had said bulls need to be above this. "
"392260","396880"," They don't have a choice unless they're above this and that's where we wound up this morning."
"397660","399680"," Was right on this open."
"402650","404790"," See that four twenty six right here. "
"405390","407230"," Four thirty nine twenty six excuse me."
"407850","410450"," We actually opened this morning right here."
"411310","413250"," One green bar right here. "
"413610","417730"," Actually see it to the tick here before the opening bell."
"418890","422330"," There's that four thirty nine twenty six high tick right before the open there."
"423050","424670"," So right when we opened right there. "
"425590","429090"," There was one other thing to show you which was we had a four trigger cluster."
"430530","432150"," Right on this bell right here."
"433190","434310"," You can see it right here. "
"434550","435990"," You have a one two three four."
"436930","440790"," And I think I posted it on Twitter this morning where I said you got a portrait of bull cluster"
"440790","441310"," ref bell."
"441330","448490"," So the idea here was to market sell puts and immediately open to long the market to the upside. "
"448850","449870"," Where is that going?"
"451430","453270"," So your first target is hit right here."
"454670","456490"," It's actually a first target right now."
"462840","471560"," And your next target is going to be right up here and then right up here. "
"473560","478760"," So four forty sixty nine four forty one fourteen four forty one ninety seven."
"479840","485960"," We're going to head back over to this main screen here."
"486100","488760"," We have our first target target hit of four forty sixty nine. "
"489500","490200"," Which is right here."
"495000","498520"," And then we've got two more targets up on high four forty one fourteen."
"499480","500620"," Move this one down. "
"501740","509380"," We have one more four forty one ninety seven."
"519419","520900"," You see one right here."
"528790","529550"," One second. "
"529690","530990"," I'm going to jump back in the calls."
"531030","532050"," I don't think we're done yet."
"532790","533890"," I want to see one more. "
"534630","536370"," Just sit there and put your main screen."
"539170","541670"," I want to see one more bounce down here."
"542010","542850"," So right down here. "
"543510","546230"," This is actually where I was going to add this morning if we had to add to it."
"546370","546890"," Didn't have to."
"547830","549470"," Still a gap down below waiting. "
"550290","551710"," Move these up right now."
"552570","555310"," See if I can jump in to grab this one here and this one here."
"573440","574840"," Right there's your extensions. "
"575600","577040"," And there is TT."
"580720","582060"," Or be right here."
"584060","587960"," A little bit more gap to close. "
"597890","602390"," Look at a seventy four seventy on H.Y.G. We're going to come up here and slam this one."
"603450","620280"," A little"
