"start","end","text"
"16390","16990"," Can you hear me?"
"17210","17550"," There we go."
"18410","20190"," All right, let's turn this on."
"29230","30750"," All right, we should be okay here. "
"30990","31729"," I think I can see everybody."
"36680","37420"," All right."
"39540","40840"," So I hope you guys can hear me. "
"42160","44540"," Start waiting for people to get in here."
"46500","47760"," If you guys can hear me, let me know."
"48180","48780"," So I'd say hello. "
"49160","49400"," Good evening."
"51460","52340"," Good evening, everybody."
"54260","55620"," Hey, John, how are you, Chaz?"
"57260","58260"," Good to see you here. "
"60180","62980"," My little late tonight, so I don't know how many people will watch."
"64560","69480"," I had to go to the, I had to go to the gym tonight with my, hey, buddy."
"71620","73300"," I got my dog here with me. "
"75300","75860"," Thanks, Rob."
"76020","76900"," I appreciate it."
"78080","80700"," Hey, how are you, loud and clear, right on. "
"83120","83720"," Good evening."
"84600","89060"," We will make this, we're going to make tonight somewhat brief."
"89260","91400"," We're going to talk about it, talk about stuff from today. "
"92680","93340"," Good evening, Omar."
"93640","93980"," How are you?"
"96820","104580"," All right, so we'll get started whether people are here or not, and they can play this back for"
"104580","104740"," themselves."
"105060","106600"," They can play this back for themselves and they arrive. "
"106840","107780"," I have to be slightly."
"108760","115620"," Make this kind of short tonight only because I, after a cash market."
"116880","120180"," I did a live stream or near the end of cash market, I did a live stream and then. "
"122680","125560"," I had to go to the gym with my children."
"126020","129060"," So we had to like walk to walk climbing and all that sort of stuff."
"129320","129960"," I'm kind of worn out. "
"131020","132100"," Hey, the king, Paul."
"132340","133940"," How are you coding?"
"134400","134740"," How are you?"
"136060","137500"," All right, people are starting to come in."
"137660","137900"," That's cool. "
"139520","141480"," Hey, Ben, you guys are all right."
"141640","142840"," I got some great news for you guys."
"144400","145260"," Well, I think I do. "
"145740","147600"," I think I do."
"148320","149500"," I think you guys are going to be happy."
"150520","151880"," So we'll talk about it. "
"151880","156300"," I'm going to show you guys some stuff that most people probably don't have that I need to show you."
"156840","157760"," We're going to recap."
"159000","161000"," What we're going to we're going to recap. "
"162540","163700"," Well, it's Thursday, right?"
"163800","164540"," So we're going to recap Wednesday."
"165340","170600"," Do you guys have poor yourselves a drink or some of you guys I know like water?"
"172060","173200"," Devin, how are you, Brent?"
"173440","173780"," How are you?"
"175080","176080"," Good to see everybody."
"177900","179200"," Hope everybody is doing well. "
"180280","186700"," It's funny too, because when I got off the live stream, I was in a discord and the bears were"
"186700","189540"," going crazy again, and I was all doom and gloom."
"189640","193140"," So I was like, you know, I'm just going to stay off the internet and go take my kids."
"193360","199130"," They're already asking, but I was like, I'm just going to go to the gym with the kids drum roll. "
"199350","199930"," That's right, Chaz."
"200170","200790"," How are you, John?"
"201370","203750"," What do you think with IWM support at two 13?"
"204290","204690"," Hey, Benny."
"204890","205170"," How are you?"
"207590","212550"," You guys, you guys, it's kind of funny because we have to go back and look at yesterday's video and"
"212550","213650"," see what we're talking about. "
"214130","216550"," Wednesday was a dumpster fire from my couch."
"217130","219010"," Love great news, better than a kick in the nuts."
"219090","219710"," Yeah, I agree. "
"219870","220350"," The bourbon is full."
"220470","221290"," I just poured my bourbon."
"221850","222950"," I just poured it right now. "
"223210","223990"," I needed one after."
"224190","224830"," It was a long day today."
"227230","227670"," Cheers, Matt. "
"227950","228650"," R.S. How are you?"
"229950","231670"," And so here's the deal."
"231890","234410"," So let's start with Wednesday."
"234750","234910"," Okay. "
"235930","237430"," I'm going to show you guys a couple of things."
"237630","238870"," We're going to, we're going to do what's going on tomorrow."
"239170","240030"," Well, let's start with tomorrow. "
"240950","241690"," How many people come back?"
"242210","248410"," So tomorrow we've got the economic calendar with the only things we've got on Friday."
"248950","255190"," We've got New York Fed President John Williams is interviewed at 8 30 a.m. That's not really a big"
"255190","255490"," deal."
"255829","257930"," He's he's not hawkish or davis. "
"258110","258810"," She's kind of a centrist."
"258810","259990"," He follows what?"
"260990","263650"," Fed Chair Powell says, what Jay Powell says."
"264550","265210"," Jay Powell. "
"266270","267490"," Good morning, Michael."
"268250","268450"," Good morning."
"268770","268970"," Yeah, Matt. "
"269230","269510"," How are you?"
"269790","270510"," Time to earn your eggs?"
"270990","271150"," Yeah."
"271350","272110"," So here's the deal."
"272110","274830"," So tomorrow we've got nothing on the on the menu, right?"
"275330","276750"," And we are an OPEC's. "
"276850","279070"," We know that we've been rebalancing since mid November."
"280810","281830"," And thank you, Josh."
"282010","283810"," I just pour a whiskey chairs to you with your water. "
"284370","285530"," I'm going to have a little sip here with you."
"289140","293900"," So when we were talking yesterday and yesterday's live stream and we were charting out yesterday's"
"293900","297800"," live stream, we're going to go through it looking again at it again for what we talked about"
"297800","298180"," yesterday."
"298920","305400"," Because it was important to today and it was important to what we discussed last night. "
