"id","start","end","text"
"86gUcwJPxyA","0","2000"," You"
"86gUcwJPxyA","30000","32000"," You"
"86gUcwJPxyA","54840","56840"," Hey wizard hey Omar"
"86gUcwJPxyA","60000","64560"," Zul what up"
"86gUcwJPxyA","70640","73800"," I'm ready to learn good afternoon Patrick"
"86gUcwJPxyA","78080","80080"," Wait everybody piles up in here"
"86gUcwJPxyA","81080","88200"," Hello x hello Adam"
"86gUcwJPxyA","91200","93600"," Hello Jordan they were getting fancy around here"
"86gUcwJPxyA","96480","98480"," Hey Omar Jacob Mikey"
"86gUcwJPxyA","100640","102640"," Turn this down here"
"86gUcwJPxyA","102800","105640"," Hello Fazifazan Billy smoke meat hello"
"86gUcwJPxyA","106440","108440"," Euro Boomer"
"86gUcwJPxyA","108440","110440"," You getting some market withdrawals now?"
"86gUcwJPxyA","116800","118800"," All right"
"86gUcwJPxyA","121440","127280"," I like that Euro Boomer getting some some market withdrawals Travis. How are you Eric? How are you?"
"86gUcwJPxyA","127960","131280"," Prophets in Henry. What's going on? Everybody's doing well out there"
"86gUcwJPxyA","134320","136320"," Feeling like a doorbuster event"
"86gUcwJPxyA","136840","139640"," Hello Ben, how are you John? How are you?"
"86gUcwJPxyA","141240","143240"," Good to see everybody"
"86gUcwJPxyA","145200","151000"," Hello Thomas everybody pile in here people. I'm so sure I'm sure we'll join at some point later on"
"86gUcwJPxyA","153840","155840"," Chris Stafford you like the intro"
"86gUcwJPxyA","157040","163400"," Saw that Google Doc. Everybody's getting spicy out there. I bet right. I know I am Euro Boomer"
"86gUcwJPxyA","163840","167080"," Has it correct? I think we're all ready to get back into it"
"86gUcwJPxyA","169960","172520"," You're gonna try to get this stream"
"86gUcwJPxyA","173480","180480"," Proper at some point hello Andy Jake. How are you? We have an intro now the discord is"
"86gUcwJPxyA","182280","184280"," Almost there"
"86gUcwJPxyA","184360","186360"," Hello, Exploriment"
"86gUcwJPxyA","188000","190000"," You guys I'm gonna play the intro again"
"86gUcwJPxyA","190840","194520"," Chris stuff Chris stuff. How are you brother?"
"86gUcwJPxyA","196200","198200"," You've got it. We've got an intro now"
