"start","end","text"
"650","2410"," Mic check, one, two, three, four."
"2650","2930"," Mic check."
"5990","6870"," Bull's ain't done yet. "
"6990","8130"," They got five days, brother."
"10870","12190"," What have you got going on here?"
"21030","22470"," Check one, two."
"22850","23110"," Mic check. "
"23590","24630"," Check, check, check."
"25130","29030"," I think I'm one of the most disgusting copies you can get because you're not busy."
"30110","34860"," I'm going to shut down a little bit. "
"35800","43720"," One, two."
"45560","46720"," Check one, two, baby."
"47480","49840"," Read through that as best you can please. "
"63120","64160"," Good morning."
"64340","64720"," Good morning."
"64820","65700"," How y'all doing out there?"
"67700","70780"," I was trying to start late this morning. "
"72240","73240"," What's going on?"
"74180","75120"," Hey, I'm doing out there."
"76340","80040"," I don't know, like, today I'm feeling pretty good today."
"82740","85460"," Let's see to get right into it, right in the main screen here. "
"88540","90280"," So, we got my camera working."
"90840","93280"," It was weird, like Streamlabs did a bunch of downloading."
"95980","97000"," You got golf today?"
"97180","98400"," Somebody say that golf day today?"
"98600","99760"," If you have golf day today, congratulations. "
"101780","102780"," Just heads up here."
"102900","103980"," We got a few things to look at."
"104340","106020"," So, we're going to start this. "
"106280","110240"," We're going to go over to me a second here."
"114800","116760"," I got a few things I got to do here."
"117240","118100"," Let me check something here. "
"119820","120680"," Okay, all right."
"121840","124880"," Let me just check one more thing here."
"127300","132940"," Okay, I think we're good. "
"133600","137180"," All right, so good morning to you all."
"138020","140420"," We're going to, we should be coming up here."
"141400","149520"," I posted this chart down below for you here, and we'll take a look at it and see what all"
"149520","150100"," this means. "
"150200","153840"," We should go up here and squeeze up into this green box up here."
"154480","155300"," Screen and gray box."
"155720","160420"," What we're looking for here is, if there's a reversal to the downside. "
"160420","162520"," Now, we can squeeze above that hourly trigger."
"164960","169460"," There's not a lot of resistance to the upside, so we might go up."
"169620","171000"," There's some stuff we have to go over today. "
"171200","178160"," So, here is book map."
"179340","182220"," We're pretty light here in market."
"184580","186100"," Not quite what rug pull. "
"186580","187800"," There's some levels in here."
"189060","192740"," They're just not that strong, and this is kind of, this is support."
"193220","193920"," This is it, right?"
"194060","195120"," This is kind of it right here. "
"196440","198020"," There's not much market to the upside."
"199100","200580"," There's not much, well, it shouldn't say that."
"200720","202440"," There is market to the upside up here. "
"202920","210640"," There's some more market down here, but outside of hidden levels and stuff like that, not a good"
"210640","211480"," sign in here, right?"
"211620","213160"," This is kind of it right here for support."
"215540","216400"," Hold on a second here."
"219440","224640"," On the trigger screen, let's go to the weebles chart. "
"225260","227300"," Let's look at this chart from yesterday."
"229600","231080"," And we'll take a look at this."
"231440","239740"," So, we talked yesterday about yesterday we looked at the weekly outlook, right?"
"243800","246300"," And yesterday we took some puts up here. "
"246780","249980"," For today, you know, grabbing some puts up here."
"250040","251240"," I was going to grab some calls up here."
"251260","252080"," We didn't grab any puts. "
"254460","256399"," Now, the bull run is not over."
"257079","261240"," There's a couple things I want to tell you this morning, which is, number one, the bull run is not"
"261240","261780"," over."
"262500","265100"," If you think that it's over, it's likely not. "
"266380","267200"," Let me see here."
"267500","268320"," Put my camera back on."
"269280","271300"," The bull run, they've got like five days minimum. "
"271820","272540"," Now, that could extend."
"273320","275820"," I'm always suspect to of."
"276100","279840"," There is a soft landing, of course, so that cannot be forecasted. "
"281420","284060"," I'm always suspect of what the pros tell you, right?"
"284220","286300"," They're not here to help you with you like that or not."
"286440","286620"," They're not."
"286660","287620"," They're really not here to help you. "
"287700","289900"," So, price action is king."
"290140","290580"," We know that."
"291120","293460"," I want you guys to understand something out there. "
"293800","294300"," Hold on a second."
"294360","295300"," Let me post this up."
"295460","296000"," Hold on a second here. "
"298480","300740"," Because I want to make sure people are here too."
"301980","304240"," They don't come back in and ask a bunch of questions."
"306180","308100"," Repetitive stuff that we're going over now. "
"308360","310320"," So, let me just post this up real quick."
"310320","320240"," And yes, maybe today we can go over soft hard landings, that kind of"
"320240","320740"," stuff too."
"321600","322800"," We'll go over Tesla too. "
"324140","326420"," Then we might go over, you know, make our GME today too."
"326600","328420"," Because I know that people are pretty pissed off."
"328420","330640"," I saw a bunch of people on Reddit. "
"331160","333780"," And they're fucking on fire on Reddit right now."
"335100","336040"," Let me see."
"336620","337640"," Live stream. "
"341220","342940"," People are pretty upset."
"343320","347300"," So, YT."
"348840","350980"," And then what else we got here?"
"352400","352640"," Switch. "
"360960","362200"," Give me one quick second."
"362400","364460"," I got to do this one quick thing here."
"367740","369760"," So, we were looking at this chart yesterday, right?"
"373100","375860"," And we can go back and look at SPX as well. "
"378850","381230"," And we'll show you those gamma levels."
"382050","385430"," Now, they're saying, all these people out there are saying, well, it's weird."
"386290","396010"," Last week, a famous fin Twitter, who claims to be a financial"
"396010","401890"," advisor, made a post on, as a matter of fact, they own a big website. "
"402070","403290"," One of the biggest websites out there."
"403510","404430"," I'm not going to say who it is."
"405330","408030"," It's probably not who you think it is, but they're famous. "
"408610","411830"," And they posted that CTAs were net short."
"412750","414790"," And they were not net short."
"414790","417450"," And there was nothing that came out of a Bloomberg terminal that said that either. "
"418570","423810"," Now, they had slowed down their buying, but they were not net short of the market."
"424010","424650"," That's a key point."
"425310","426890"," They had just stopped buying. "
"427450","430110"," I didn't say anything to the guy public on Fintuit."
"431670","436090"," Now, other people, other famous people on Fintuit posted that didn't post that."
"436150","436890"," They post something contradictory. "
"437850","438790"," But I didn't want to say that."
"438790","444450"," But it's fascinating because this morning, early morning, there was a fin Twitter that said, I"
"444450","446930"," caught some CTAs lying on Fintuit."
