"start","end","text"
"10","5370"," This leader is provided to permit the projectionist to complete adjustment of focus and sound level"
"5370","7109"," before the film begins."
"8570","10830"," Check 1-2, check 1-2, Mike check."
"43220","45320"," Check 1-2, 1-2. "
"46460","47660"," Happy Friday, everybody."
"50020","55140"," You didn't even wait, right off the bell here and just rip it some faces off."
"72730","73490"," Good morning, everybody. "
"74270","76350"," You're already piling in."
"77630","78770"," Love to see it."
"84550","86530"," Turn that right off and get right into it. "
"86990","88730"," Green bars right off the open."
"89330","90950"," So if you were in yesterday."
"93050","98450"," If you were in yesterday, we talked about grabbing a squ- or not a squeeze of strangle. "
"99550","104630"," Now to grab some puts up here, take them down and then at 4.15 to grab some calls."
"105410","109830"," So if you had some calls and puts in here, the puts are likely dead at this point."
"110650","113930"," But I would say do you leave them on or if it was me. "
"114270","116590"," I'm trying not to do the not financial advice thing."
"117170","119810"," The purpose of a strangle right here, right?"
"119950","120610"," Actually this is from yesterday."
"122070","126370"," The purpose of the strangle is actually this is the close in yesterday and then we talked about"
"126370","135470"," buying that 4.15. Call at the calls at 4.15 and the idea here is that"
"135470","141010"," when I say you buy zero dates and you close them and next day on strangles. "
"141710","143710"," You don't technically do that, right?"
"144510","147270"," You're going to hold both sides and manage both sides."
"148310","151130"," So hopefully you were able to grab some calls down here."
"151130","155530"," And you're realizing some profit to the upside. "
"156150","161570"," Now I want to make a note here that's last Friday."
"163690","165550"," We had one of those days, right?"
"165970","170170"," Rip faces off part of the day and then slammed into the close."
"171110","178890"," If you're on the call and put side at some point, whenever it is, you're going to take profit here. "
"180490","181630"," We've got this one."
"181830","182990"," Remember this one back here?"
"183210","185510"," 4.51.58. We talked about this yesterday."
"187350","196330"," And we talked about 4.2.07. 4.53.75 and your Valhalla target above it 4 "
"196330","205350",".55.15. There are some targets above that, but the point here being is"
"205350","208030"," these are directional trades. "
"208030","215390"," So if you wanted to take the money off the opening bell, squeeze on the call side and then leave"
"215390","220450"," the put side on as your hedge for Friday, right?"
"222430","227230"," And then reposition if we're going to have continuation to the upside."
"228210","230830"," Well, if you guys spend time with me, hold on one second."
"230950","232050"," I got some stuff to do. "
"232710","233870"," I got to do a couple things."
"234030","235470"," I'm trying to get ahead of myself there."
"236470","238710"," We've got, I've got all kinds of like pollen. "
"238890","247430"," We just had a big rain event that finally ended and now all these, all these like flowers outside"
"247430","254290"," in my garden is all blooming and we've got like pollen or whatever everywhere this morning."
"255589","256470"," Me a second."
"256709","258610"," Let me get some of the stuff posted on. "
"260930","264430"," On a fin twit and all that again, a little bit ahead of myself."
"269020","270120"," Give me a second here."
"275520","278500"," We're going to probably go over AMC and Tesla this morning. "
"286170","289330"," And you know, there are, there are some people that disagree."
"290850","296330"," With that assessment of how to manage a strangle personally, I would have taken the money right"
"296330","296530"," there."
"296530","297530"," I just talked to you about it. "
"297910","300090"," I wanted to get out there as quick as possible."
"300910","303410"," So if you took your calls there, congratulations."
"305170","306690"," But to continue that conversation. "
"309170","312610"," I think tight here to continue that conversation."
"314410","319910"," If you spend any time around here, you know, zero dates are directional normally."
"320610","325330"," There are other ways to manage a strangle where you just keep both sides all day long and see how"
"325330","325870"," they work out. "
"326030","327190"," People oftentimes do that."
"328010","334270"," They'll just hold both sides, see if they can get a max on either one of those or either side"
"334270","334810"," of that trade."
"336310","338510"," Personally, I look at zeronates like they're directional. "
"340350","345010"," As soon as I can pull some profit off one, I take them."
"346010","350430"," I leave the other side on as a hedge, whether that's calls or puts doesn't matter."
"352670","355130"," And they'll trade the market for the rest of the day. "
"356510","360190"," And directionally using the tools that we learn inside of this stream, right?"
"360910","363910"," You guys always, you guys always know what the tools say, right?"
"364790","367110"," We're buying a dip for bullish and for bearish."
"367490","369130"," We're in a five minute chart right here."
"369790","373390"," And so far prices above the twenty seven EMA, right?"
"374130","377770"," So right now we're bullish on this open. "
"378490","383070"," Another note here would be that there's no, there's a tiny gap down here."
"383630","387430"," See my cursor, but there was no gap ups in the overnight."
"388830","392590"," Yeah, if you're a believer in pivots. "
"393450","395810"," Or like, when does cash markets start?"
"396050","402690"," Some people are, I'm, I'm mostly a firm believer that cash market starts at 930, but there are some"
"402690","407410"," people out there that'll say, no, all this, all this is a gap right here, even if it started at"
"407410","407910"," six AM."
