"start","end","text"
"350","2690"," And sound level before the film begins."
"11550","12870"," This leader is provided."
"69520","71080"," Check one two check. "
"99230","100530"," Good morning."
"101130","102530"," How's everybody doing out there?"
"108400","109920"," Get right into it here."
"110860","111840"," Have a lot of time. "
"115340","117480"," Get some stuff to do here this morning."
"117480","118860"," How's everybody doing out there?"
"142480","143480"," Just a second here."
"154000","155440"," Think tight, just one second. "
"158110","158910"," Good morning."
"161050","161810"," How are you?"
"162950","164150"," I'm on a stream."
"164870","165090"," Hold on. "
"224150","225630"," All right, good morning."
"232090","233570"," You're all doing well this morning."
"233570","235090"," I'm assuming out there. "
"238990","242490"," I'm assuming you're all doing all right out there this morning."
"243170","244330"," See we got up here."
"244430","245470"," We got that one right there. "
"247030","248630"," Another one right there."
"250790","253050"," We got a pre-market high already."
"255250","256190"," That one yellow. "
"258810","261690"," You know, not financial advice, of course."
"263890","265350"," You guys know what I do."
"265530","266390"," I'm assuming at this point. "
"267350","268930"," There's a gap down below here."
"269370","270670"," If you can see there's a gap down here."
"272030","276970"," You can see that down there. "
"277050","277450"," There's a gap."
"277630","278630"," There's a bunch of stuff down here."
"279410","280510"," I got to go back through. "
"284510","290610"," I'm assuming here that a lot of people are happy this morning."
"293050","294150"," Can we get more upside?"
"294370","295690"," I'm assuming people are going to ask that."
"297870","299490"," They're more upside potential. "
"301010","305090"," We've got scenes of the, we got a gap above up here above our three, believe it or not."
"305750","308890"," I was going to give you guys some levels for NVDA this morning."
"309090","311950"," We'll go over that this morning if you're on NVDA. "
"313890","316430"," We'll go over if you want a short NVDA or not."
"317890","319330"," Nvidia, Nvidia."
"320890","322110"," This is what I like to call it. "
"323250","326710"," But S1, S2, S3 down there."
"326870","328690"," A bunch of gaps still left down below here."
"329710","331190"," The gap is right here. "
"332370","336950"," I'm sure people are going to try to come in and, and sure SPY."
"337610","339690"," We have five minutes left until the open."
"340730","341850"," Good morning out there. "
"342330","343550"," I hope you're all doing well."
"343770","345430"," Hope you all had a great night."
"349720","350620"," Good morning. "
"351580","353200"," Good morning to you all."
"353360","353860"," Good morning."
"354260","354640"," Good morning. "
"354640","355080"," Good morning."
"355140","355500"," Good morning."
"355640","355960"," Good morning. "
"357280","358040"," It's a Dorfa."
"358380","359540"," Good morning, Deckhand, Dougie."
"359640","360320"," Good to see you, brother. "
"360680","361840"," Good morning, G-Dad, Gold."
"363480","366720"," Check it in this morning and you're not a member on YouTube."
"366720","369860"," If you're watching on YouTube and want to be able to chat, there's two ways to chat. "
"370860","372860"," You can chat with a membership."
"373180","374200"," It's $5 per month."
"374540","376120"," It's cheaper than a bear, actually. "
"376780","378240"," If you're like, I'm never doing a tip, anybody."
"378680","380500"," I'm never going to support anybody doing work."
"381140","386240"," You can always go to Twitch and sign up to chat there via Amazon Prime. "
"387380","388720"," And it's a free option."
"389040","391340"," So there is a free option for you to chat in this stream."
"392320","393120"," If you like. "
"395940","400680"," Off this opening bell right here, nothing has changed the same every day, okay?"
"401080","402160"," This white line right here."
"403020","405600"," We'll see if we find support off of this white line."
"405780","408100"," There's going to be a lot of horse trading off of this open. "
"409220","412060"," You're going to see on this open."
"412680","413640"," You're going to see people."
"413640","415360"," You're going to see, I call them dipshits. "
"415680","416200"," They're going to come in."
"417220","420800"," The dealers are going to fuck around for the first."
"421120","422120"," It could be 40 minutes. "
"422600","424080"," It could be 5 minutes, 15 minutes."
"424980","425600"," 40 minutes."
"425620","432100"," They're going to take everybody's bets because they're going to get people rage rage this morning. "
"432660","433680"," You know, in this stream, right?"
"433880","437300"," I got nothing against bears or bulls or anybody, but I got to tell you."
"438100","442420"," If there was one ticker."
"444480","446100"," That a bear wants to short. "
"446880","450980"," This past three months in my chat when we have the chat open."
"451640","454200"," It's the high pens down."
"455620","458340"," The only ticker everybody talks about shorting. "
"458460","467100"," It's the only one."
"467100","472360"," Is it so for all the happiness that I have is when I make a ton of money this morning,"
"472360","473720"," but for all even for all that happiness."
"474780","481780"," I'm sure last night that I'm positive last night that some people's accounts were just shut down. "
"481960","486520"," They're going to get letters and all that kind of stuff and send me everything you own and all that"
"486520","486900"," kind of shit."
"486900","490200"," But they weren't even a choice."
"490620","495840"," I saw some people on Ben Twitch saying they had shorted NVDA and they were able to get out of"
"495840","496020"," it. "
"496080","497160"," Or I was like, no, you didn't."
"497520","498700"," That's not how that happens."
"500100","503740"," When you get when shit like that happens and you're short. "
"504740","505680"," Shut your ass down."
"506600","507740"," It's not how it happens."
"508120","511500"," So let's see what this open is right here. "
"511620","512620"," There's a couple minutes left."
"514200","515360"," And until the open."
"519400","521720"," And we'll wait and see what they're what they say we're going to make. "
"521900","523300"," You know what my take on this stuff is."
"523420","523600"," Okay."
"523940","525360"," You know how I feel about this stuff. "
"526900","530880"," So when I'm trading, especially one dates, zero dates, two dates."
"532140","533860"," It's always a directional trade for me."
"534240","536020"," I renegotiate the trade that kind of stuff. "
"537640","540120"," If I'm losing, I'll sometimes leave them on."
"541580","544120"," But if I'm winning, I take that money."
"544580","547000"," So let's say I let's say I make a trade for eight cents. "
"547160","547720"," It goes up $3."
"549300","550520"," I take that money and run."
"550740","553340"," If you think we're going to continue to go up or I think I'm going to continue to go up,"
"553480","554980"," I'll rebuy at eight cents. "
"557980","562820"," You know, if that trade loses and it's then worth four cents, I'm still a winner."
"563940","565320"," Does that money came from a winning trade?"
"565580","566000"," Does that make sense?"
"568580","573900"," When you're in those like using when you're using like weekly or weekly is one day, three day calls"
"573900","575060"," puts doesn't matter."
"575360","576980"," It's like a directional bias. "
"577200","578900"," We're going from point A to point B."
"579380","584580"," It's not point A to point B down to point A again and a half and then up to like"
"584580","584860"," D."
"585800","588140"," You'll get torched if you do that."
"594720","598980"," If you're if you're long and VDA, I got to let you know something else."
"599140","602980"," If you're long in VDA, I've been in that trade twice before. "
"604700","606360"," Exact, exact outcome."
"607760","613480"," If you are up significantly, if you're in the stream and you're up significantly right now on this"
"613480","615340"," open, I'm going to tell you something next 20 seconds."
"615340","621540"," You may not get fills at the ask or the bid or do not do market like go down in"
"621540","623820"," your in your limit order until it hits. "
"624180","628100"," It could be a jagged fill and you may not get a fill."
"628320","631200"," So let's say you're up 10,000%."
"631200","634480"," You might have to take 9,500%. "
"660560","661240"," I'm out."
"663380","663860"," Okay."
"668710","670470"," Thank you very fucking much. "
"675650","682920"," So if you're still trying to exit in an N VDA position, it's difficult."
"683420","684560"," It'll be like a jagged fill."
"685880","687040"," I'm fucking out. "
"687420","689620"," Oh man, that felt so fucking good there."
"714320","715100"," I'm so stoked."
"715100","716640"," Go on, take the money and run. "
"717400","721800"," Go on, take the money and run."
"723620","727520"," Yeah, go on, take the money and run."
"730040","737660"," Now, if you want to renegotiate this trade, there's step three. "
"737660","747060"," I just walked you through yesterday's clothes and just walked you through how to secure profit"
"747060","750860"," before it happens."
"751720","753140"," And now look what happened."
"755340","760820"," So it's time for you to renegotiate your thesis. "
"766880","768760"," It's fucking bear time, baby."
"768940","770240"," I shit you not, Lane."
"770720","775380"," I was like, I was like, do we even fucking trade today?"
"775680","778000"," Is there any need to trade today?"
"780260","782280"," I don't think there is. "
"784620","794410"," I don't think I don't think there is."
"795310","796410"," I think Lane is right."
"798450","800150"," I don't need a trade at the moment. "
"808850","810690"," Hope you're all doing well."
"810890","814050"," Hope you all got your money, took your profit on that fucking bow."
"815030","818310"," If you didn't, take it as a life lesson. "
"827880","830680"," Always a life lesson, secure profit."
"833840","837200"," Golden rule, renegotiate."
"839120","842520"," Sometimes with hindsight trading, I'll be like, I could have done this. "
"845640","847200"," Oh, I would have made more money."
"850200","851980"," I love securing profit."
"852820","853420"," Love it. "
"853820","854060"," Love it."
"854340","854580"," Love it."
"855000","855180"," Love it. "
"865420","867580"," Give a lot to talk about today one way or another."
"867700","872220"," I think we are going to drink beer early today, but we have a lot to talk about today."
"872540","880900"," We have to discuss a few things this morning at some point. "
"881000","882360"," We got a lot to discuss here."
"891790","893370"," That's like right off the bell, man."
"893810","897170"," That's like, that's like slam puts. "
"897770","903730"," And you have the crazy part about the slam puts right on the bell is they're still upside down in"
