"start","end","text"
"31330","33110"," Good morning, your wife's boyfriend."
"33390","34190"," Good morning, Dougie Dee."
"35290","36710"," Hold on a second, going forward. "
"36930","39370"," They do not intend to rely on a couple markets for growth."
"40010","40550"," Good morning, festive."
"40950","41270"," Good morning. "
"41450","41950"," Good morning, everyone."
"42230","42970"," Good morning."
"43170","43330"," Good morning, Ryan. "
"43550","43830"," Good morning."
"44590","48780"," Good morning."
"49000","49080"," Good morning, Jan. "
"49320","49720"," Mikey Connor."
"50140","50300"," Jeremy."
"50660","51180"," Good morning, Sue. "
"51560","52440"," How's everybody doing today?"
"54660","55380"," Morning, Jafar."
"56100","57200"," Not a suit, good morning."
"58260","59160"," Make a good morning. "
"59940","60780"," And just these wee truss."
"61540","62400"," Belgian, Nick."
"63620","64740"," Whole crew showing up this morning. "
"66200","66860"," Morning, X."
"68720","69580"," Morning, Captain, Ron."
"69840","70240"," Your wife's boyfriend."
"70760","71740"," There's some working early this morning. "
"72280","73680"," Hell, yeah, I went to sleep last night."
"73940","74380"," Morning, Gil."
"75040","75340"," Hi, Gil. "
"75520","76900"," Morning, I don't know if you're interested in replacing anything."
"77240","79020"," It should be a material teal wind to either die."
"79620","84700"," I ended up skiing Saturday, Sunday, worn out, slept all my long last night, woke up early. "
"85400","85880"," Good morning, Lucy."
"86020","86660"," Good morning, leaky face."
"88480","89680"," It was so good, you guys. "
"89880","90540"," That was a jag."
"90640","91780"," I didn't say you were a jag-ass."
"92660","92700"," I didn't say you're a jag-ass. "
"92700","94100"," I didn't say you're a jag-ass."
"94100","94640"," I didn't say you're a"
"94640","109000"," jag "
"109000","109000","-ass."
"109000","110240"," Tyler, GP, Mark. "
"110600","111060"," How's everybody doing?"
"112140","113340"," They're always doing well today."
"114920","119600"," PSCO, partner, supply partner, list, software, aging, integration, solution, single, Sierra,"
"119880","120260"," Charlie, Oscar."
"121740","122380"," All right. "
"122660","123480"," Yeah, we're getting everybody in here."
"125560","126340"," Hell, yeah."
"126920","126920"," Tesla. "
"128080","130460"," That's going to piss off, Winky today, saying Tesla."
"132300","135860"," I haven't read that story yet about good morning, Gil, Harbor."
"136370","137440"," I haven't read that story yet. "
"137560","139920"," It's more than that Tesla's been shipping cars without parts."
"141020","141760"," I don't see."
"142140","142660"," Good to see you. "
"144400","145240"," Good morning, everybody."
"145580","147460"," All right, we're going to go to the live stream here."
"148760","149660"," We're going to switch over. "
"149720","150360"," Good morning, James."
"150580","151100"," Good morning, Joe."
"151300","151660"," Yeah. "
"151720","155900"," John Deere, DE-Quine, majority of the leadership in Cressel Electric, Delta Echo."
"156900","159600"," All right, so we see that we see if I can have good morning chance soon."
"159600","162580"," The completion of the transaction announcement in December. "
"163200","165180"," I think, Tyler, let me see if I can turn this down."
"165780","168840"," We're going to get some before we start listening to my partner here."
"169560","170800"," Good morning, Sparky. "
"171000","171620"," Good morning, bulls."
"173000","177360"," Good morning, Vegas, Dylan, Detroit EV, Juice, good morning."
"178240","179020"," Everybody's doing well. "
"179340","180700"," Okay, we'll be quick this morning, okay?"
"181200","182300"," We're going to get a half an hour until we open."
"182940","183380"," Good morning, HP."
"183720","186720"," Hope everybody's had a great night where we got some sleep. "
"187480","189620"," Hope nobody bought that dip into the overnight."
"191720","192860"," Because it did an apron."
"193640","194920"," We got some thing of her in this morning. "
"196720","200180"," You know, I figured it would sell off, actually, in the overnight, and that is really what we, the"
"200180","203420"," conversation is this morning is we did not sell off overnight."
"203960","208500"," Last night was a prime opportunity to sell the market."
"209240","210320"," It's a perfect setup. "
"210460","213120"," We've done this many times in the past low liquidity environment."
"213120","214100"," You can swoop right in."
"214300","215100"," You don't need any news. "
"215140","216700"," You just sell this market straight down."
"217240","221860"," And there's still a chance of that this morning that we could sell the market down off the bell or"
"221860","223140"," at least to a support level."
"223420","226680"," Now, I haven't read the Spark yet this morning. "
"227640","233340"," I started reading the first paragraph of it, but it's interesting because it sets up to the same"
"233340","237460"," levels that I posted this morning on Twitter, like 4 a.m. or something like that."
"237540","239060"," It's the same same shit, nothing different."
"239660","242800"," But it's important because today they didn't do it. "
"242840","245820"," They didn't do it last night in the overnight, right?"
"246560","250600"," And so the bears have something that they need to do this morning."
"250620","253740"," They need to commit this morning at the cash open and sell this market down."
"254000","259899"," If they can't commit to it and get to certain levels, right, there's a fair chance as we head"
"259899","265720"," towards February 18th and as these puts start to lose their value that we're going to spring up and"
"265720","266220"," trade higher. "
"266940","269540"," Now, I don't think that we trade higher to all-time highs."
"269780","272700"," My viewpoint is still ultimately bearish right now."
"273080","276300"," If not somewhat neutral to bearish on the market. "
"277320","281240"," If we trade it over 4,600, sure, we can take a bullish stance and trade up to all-time"
"281240","281480"," highs."
"281940","285980"," I don't see the reasons why would we get that they hadn't shown themselves yet as well, would trade"
"285980","286640"," up to all-time highs."
"287240","292000"," But this still fits the narrative of, let's say we trade up to 456 or 460, we reject and then"
"292000","295600"," we trade back down and revisit those lower lows, right?"
"295720","298200"," Those four twenties, four thirties, stuff like that. "
"298320","301100"," We hammer out a second bottom in the market."
"301520","304120"," So just be aware of that as we head into the nine o'clock hour."
"304500","309680"," Yesterday I talked to you guys, we're going to briefly go through the economic calendar, right?"
"309840","310620"," It's kind of boring today. "
"311600","313000"," Today is Tuesday, the eighth."
"313720","315700"," We've got the small business index that already came out."
"315760","318520"," We've got trade deficit, real household debt, not much news today. "
"319160","322920"," We've got Michelle Bowman and Loretta Master tomorrow."
"323420","325200"," I think one's kind of bearish in one."
