"start","end","text"
"34430","35590"," My check 1T."
"82460","84300"," Alright, good morning out there."
"88340","90280"," Got a couple of things I got to do here. "
"90280","94560"," A few things for you to be watching though this morning on the open here."
"94780","104560"," Of course, take a look at that red bar on book map here in the center of your screen."
"104740","111020"," And then another key love will be looking at below here is the gamma flip on SPX. "
"111020","120940"," You can see this down here where my cursor is just right here where this yellow arrow is down here."
"121040","121840"," This is the gamma flip."
"122100","125120"," We did SPX open below the gamma flip this morning. "
"128039","131900"," So we are in negative gamma territory."
"132580","134460"," We've got S3 down below it."
"135280","136180"," 46968. "
"136640","139540"," The daily trigger on the top"
"139540","155060"," of"
"155060","155080"," the air."
"174050","175510"," You can get all that for you here."
"180150","182530"," You can get all this up on the screen for you here. "
"183770","185530"," Your hourly trigger is up high."
"185770","186610"," There you can see that."
"192480","195100"," Also down below in your screen here you see the cues. "
"195560","197480"," You'll see your daily trigger down below in the cues."
"197680","199360"," It's 39841."
"200600","204820"," You do know a couple notes here you may or may not know would be. "
"206220","215180"," We stay on trend as long as price remains above the daily trigger on SKUs and"
"215180","216640"," SPY."
"217460","226320"," So this down that we have today, if we stay on trend you should see price stay above the daily"
"226320","226620"," trigger."
"226620","231880"," You should see even if we break through a bounce and recovery on the daily trigger. "
"232720","237300"," If we begin to reject underneath the daily trigger we would be breaking trend."
"237740","241320"," That's important for you to an awareness for you to have this morning."
"242300","252160"," Now the expectation for the start to this year would be sideways and slightly up"
"252160","256000"," for cues and SPY, SPX. "
"256000","263160"," But not major trend to the upside and then an eventual roll down into mid March."
"263960","272120"," IWM in small caps should get bought an out-piece perform from now into March."
"272420","276940"," Now I think I heard I was watching CNBC yesterday or something. "
"276940","283400"," And they were talking about the doom gloom for small caps but the reality is with that out"
"283400","290480"," performance from small caps you should see big huge squeezes up and then giant pullbacks as that"
"290480","291440"," happens."
"291760","298780"," So if you're a small cap person or if you're wondering how will small caps continue to outperform"
"298780","301740"," even though it was down into the end of the year it should."
"302520","304260"," So keep an eye on that. "
"304740","311560"," The last note for you this morning would be the last note for you this morning would be about the"
"311560","314040"," expectations for this year."
"314640","316980"," I did write an extensive report."
"317640","319120"," It's almost done. "
"319440","320680"," I had a few more things."
"320900","325800"," They got some small technical things I want to clean up just so it's a nice clean report for you."
"325800","332640"," That report will be released today in the Discord today. "
"332820","341780"," So you'll be on the website with a link back from the Discord so that you can have access to"
"341780","342080"," that report."
