"start","end","text"
"2760","8300"," This leader is provided to permit the projectionist to complete a juxtapose focus and sound level"
"8300","9940"," before the film begins."
"10440","20180"," This leader is provided"
"20180","27460"," to permit the projectionist to complete adjustment of focus and sound level before the film..."
"49180","49820"," Yes."
"59830","65520"," Alright, let's get this rolling. "
"66220","67220"," I'm gonna fix this."
"71960","73180"," Turn that off."
"74860","77060"," Okay, turn this back on. "
"78160","78180"," Done."
"82600","83800"," Like, YouTube's kind of sketchy."
"83920","90950"," They're like, I want to hit people with non-skippable ads. "
"91190","91690"," We don't want to do that."
"93390","96090"," Hey, good morning, everybody."
"96210","96690"," How are y'all doing?"
"97590","98570"," Just a couple of seconds here. "
"100030","101610"," We'll switch right over to the main screener."
"104090","105470"," We kept selling overnight."
"106910","108850"," I think Ty won a quick second here. "
"115970","117470"," Let's take a look right here."
"120690","121590"," Positioning is short."
"121910","123510"," Kept selling in the overnight last night. "
"123970","126090"," We've got some stuff we had to look at this morning."
"126670","129330"," I would not be buying dips here if you try to buy an opening dip."
"129990","133350"," Even if the dip can be bought here, do not buy it. "
"135210","143490"," You have a target right down below here of 429.54. That is a target."
"144090","147250"," Regardless of any kind of squeezing that goes on, we are going there."
"147810","152570"," There's a high probability, like a 99% chance we're going to go down there and see that. "
"153550","154650"," Keep your eyes on this."
"154850","158290"," We have more than that to talk about though today."
"158530","161430"," I think this is Bailey says I'm not predicting what the next bank. "
"161710","163250"," Normally you get a..."
"164670","165750"," Hold on one quick second."
"165910","167710"," I've got some technical stuff I've got to do in the background."
"168890","170970"," Bailey says we've got a big job to do. "
"171490","172650"," Give me one quick second here."
"182060","184840"," I'm going to do one fast thing in the background."
"187100","193100"," This show might not be your day trading show they're looking for. "
"193180","194620"," I've got calls that are fucking..."
"195300","197120"," I just burned five..."
"197860","199820"," A little bit less than five grand."
"200020","201500"," There's still pennies left on some calls."
"202320","203400"," It's not that bad of a..."
"203400","210720"," I'm like angry about it this morning, but I made slightly over 15K the day before. "
"211280","213820"," On the close, I made a 300% trade."
"214100","219860"," I'm very happy about over 300% but I'm fucking furious that I bought calls for Friday in the close"
"219860","220600"," yesterday."
"222360","224840"," At the same time though, I got to get past all that. "
"225120","226380"," We'll talk about it this morning."
"226380","227160"," Give me just a second here."
"228100","228920"," They're still on. "
"229060","229740"," There's no point in sound."
"229940","231400"," I think they're two cents right now."
"234280","236440"," So they just stay on until the end. "
"237240","241280"," I got to get some quick things I've got to do here in the background."
"242540","248920"," So it's not terrible, but we have bigger fish to fry here."
"249280","257940"," I'm kind of scratching my head over how to present this to you because there's a bear count right?"
"258079","260480"," A bear wave count down to 430. "
"261600","263660"," You guys hear me talk about it all the time."
"265480","275320"," But after that bear count, we're supposed to go quite high and I disagree"
"275320","276420"," with that call."
"276820","281160"," So we're going to talk about that and what needs to happen for that to play out. "
"282860","285280"," After that bear count is finished at 430."
"287880","294560"," There's a thesis that we don't, not only do we go back up, but the correction is over."
"295860","301920"," I'm going to warn you of something alongside a caveat to that correction being over. "
"304680","310240"," And it's not what I'm seeing says, no, it's not a correction that the market's going to roll over,"
"310560","312540"," but it's not a reason to panic at the moment."
"313440","315900"," But you need to keep your eyes on this."
"317160","319640"," So we're going to that we're going to spend this morning. "
"321380","328820"," Going over that with you because on the closed yesterday, I talked about this last hour or so of"
