"start","end","text"
"650","6410"," It looks like I might be on my check feature one"
"8100","19260"," Let's"
"27710","38570"," go"
"59500","68230"," in our own baby Oh, oh boy, I gotta do some"
"68230","70990"," how's everybody doing out there?"
"72170","72590"," Oh?"
"72610","73390"," To train a podcast."
"73690","74450"," I gotta talk to you man."
"75590","76730"," I see him out there. "
"78130","84690"," I gotta talk to trader podcast All right, what's going on out there everybody we're gonna make this"
"84690","86990"," quick So just heads up."
"87190","96270"," I just placed in Mbi trade although I'm not completely happy with it But I did place my holiday"
"96270","97330"," trade this morning."
"97610","109090"," I got 1229 424 40 see for call spreads For"
"109090","114070"," debit call spread so I got those for the 29th of December, but we got to talk about them because"
"115010","125010"," there's likely going to be I Don't I wanted to name it like modified Mbi Trade but"
"125010","131170"," we'll look at it today anyways, I'm in this trade and I need you to know it because oftentimes I"
"131170","138510"," get asked After the fact I Didn't know that you place that trade or whatever so I just want you"
"138510","144350"," to know that I'm gonna post it on Twitter here in just a minute But I'm having Twitter wants to"
"144350","145890"," update a phone number and stuff like that. "
"146050","153010"," So give me just one quick second anyways We're sitting there right now and we had a little bit of"
"153010","157650"," a bloodletting to the downside just checking these previous lows down below here And we're gonna go"
"157650","163790"," over some earnings for next week as well We still haven't had a cross confirming any kind of a"
"163790","164890"," squeeze at this point."
"165070","169930"," We'll talk about a squeeze though where it should go What you're looking for for rejection points"
"169930","177370"," into next week We have a lot to actually go over so It's gonna be more of a Data-ish"
"177370","184310"," dump kind of day now setting up calendars for next week Now I tried to chew on over yesterday."
"185070","185930"," Hold on one second. "
"186090","190130"," I got I got something I got to do hold on one quick second here I got some crap I"
"190130","195950"," got to do in the background I got some stuff I got to do How's everybody doing though?"
"196050","196790"," Happy Friday?"
"197730","199350"," This has been a long week for me."
"200150","201670"," I feel very worn out."
"201890","205870"," I was at Football game last night with dude. "
"206010","211530"," Where is my Dude, what is going on with YouTube today hold on a second here."
"214790","224790"," I Don't know what is going on with YouTube here Um Fucks you know sometimes you too, but"
"224790","232690"," it's like it can be like that one thing that breaks the camel's back You're like Hold on here."
"232890","238910"," It's like that one thing where you just like you know My video is processing. "
"239370","240290"," What are you what is this?"
"242250","243310"," What is going on here?"
"244170","253970"," All right, this is driving baddie Boy thumbnail There's my"
"253970","259450"," thumbnail Okay, so that should be good go back."
"260029","269870"," Yes, the safe changes Dude seriously It's so archaic We want to take second here So the title of"
"269870","273590"," the video today I forgot to put the thumbnail up I guess or I did an upload or something like"
"273590","277010"," that is Second quarterly mbi trade."
"277610","285250"," That's market breath indicator indicator trade now I'm not as We'll look at it at this some point"
"285250","290130"," this morning It's I'm not as confident in this trade and I'm not as confident in how long it'll"
"290130","298810"," stay on But we're gonna Let's see that We're gonna take a look at it. "
"298890","309750"," I'm in 1229 420 and 440 debit call spreads they cost me $714 This"
"309750","317970"," morning, so give me one quick second and We'll talk about that trade because it needs to be managed"
"319890","328170"," Give me a second here I Know it doesn't even manage but Next week we've got a bunch of data"
"328170","334510"," dumping That Man, you know, it's like this weird thing."
"334750","342270"," Well, it's like this time thing if normally I would say I Would normally I would say I wait until"
"342270","346230"," we get the Fed rate decision Place that trade."
"346970","356830"," That's what responsible Jim should be doing here That are that and that's like the"
"356830","366770"," not financial advice Part of it is Hold on here Is that I should wait until"
"366770","376290"," the rate decision from the Fed but I think we actually squeeze up possibly into that Fed meeting"
"376290","384570"," and we'll talk about like Why I'm Placing the trade today and not waiting Even if it rolls back"
"384570","393710"," into That rate decision, I'm gonna still capture the theta burn so Yeah, there's this risk there"
"393710","398010"," But not as much as it might seem like and I don't want to catch just don't want to catch"
"398010","403490"," like a squeeze up into that event Or not be able to capture that squeeze up in that event. "
"403650","408870"," So I want some exposure to it I did not go as much as I would normally go in this"
"408870","409430"," trade normally."
"409670","416910"," I'm in for Multiple tens of thousands of dollars and I'm not in for that much this time as well"
"416910","418970"," So my risk is a little bit less than normal."
"419450","424590"," I already made this trade for this quarter and I'm done with it so we'll look at we'll talk about"
"424590","431050"," it and See what you guys think on it, but I am and that this is my holiday trade So"
"431050","443420"," I'm in my holiday trade as of today Well on here Give me one quick second And"
