"id","start","end","text"
"8nBeosnB3hc","0","10360"," Hey traders, this is Captain Jim James with your daily brief for August 24th, 2021."
"8nBeosnB3hc","10360","11360"," That's Tuesday."
"8nBeosnB3hc","11360","15640"," Now, some of you have been on this channel for a long time, well, a long time is just"
"8nBeosnB3hc","15640","21280"," a couple weeks, but you've seen this build up again, we are still where we said we would"
"8nBeosnB3hc","21280","22280"," be."
"8nBeosnB3hc","22280","27680"," So we'll continue to write this narrative as we go along until something changes."
"8nBeosnB3hc","27680","33400"," Just building upon these previous videos, all this leads and sets up to where we're"
"8nBeosnB3hc","33400","39520"," going, what's going to happen, and I'll keep adding these things in for you over time"
"8nBeosnB3hc","39520","42920"," so that you can start to piece the puzzle together."
"8nBeosnB3hc","42920","46160"," Now, before we get into this, I want to say something."
"8nBeosnB3hc","46160","52880"," I want you to know that I'm a trader, I'm not a bull, I'm not a bear, I can piss off"
"8nBeosnB3hc","52880","53880"," a lot of people."
"8nBeosnB3hc","53880","59360"," You need to understand that about me is that I can't take just one side."
"8nBeosnB3hc","59360","65000"," And if you're following me on Twitter or on YouTube, and if I'm rubbing you the wrong"
"8nBeosnB3hc","65000","70840"," way, you should probably start thinking about why I'm rubbing you the wrong way."
"8nBeosnB3hc","70840","77760"," If I'm not fitting your narrative, it's important for you to find out why I'm not fitting your"
"8nBeosnB3hc","77760","79520"," narrative, okay?"
"8nBeosnB3hc","79520","82880"," So you can hate me or love me at times."
"8nBeosnB3hc","82880","86880"," And then when you do hate me though, is when it's most important."
"8nBeosnB3hc","86880","89720"," When I have my, so let me go back for a minute."
"8nBeosnB3hc","89720","94960"," So if I'm not, if I'm fitting your narrative and then all of a sudden I'm not fitting your"
"8nBeosnB3hc","94960","98000"," narrative, there's a reason for that."
"8nBeosnB3hc","98000","101960"," And it's your due diligence to listen to that."
"8nBeosnB3hc","101960","107920"," If I want to listen to a bull all day long every day for the next year or a bear all day"
"8nBeosnB3hc","107920","113040"," long for the next year and I'm a bull or I'm a bear, it's always going to fit my narrative"
"8nBeosnB3hc","113040","118200"," of things, but it's not actually going to fit what the market is doing."
"8nBeosnB3hc","118200","121040"," So this applies to investors as well."
"8nBeosnB3hc","121040","127920"," How many times do you have investors telling you when, where, what, how or bulls telling"
"8nBeosnB3hc","127920","131040"," you where, when, how it's, it's so rare."
"8nBeosnB3hc","131040","137560"," It's sometimes, but it's rare to have like a permable, perm a bear or a perm a investor"
"8nBeosnB3hc","137560","144160"," telling you when to get out or strategies to make money as things go forth."
"8nBeosnB3hc","144160","146840"," That's what financial advisors actually do, right?"
"8nBeosnB3hc","146840","150200"," And we're going to talk about financial advisors later."
"8nBeosnB3hc","150200","154240"," It's important because it's part of why our market's going up right now."
"8nBeosnB3hc","154240","157240"," But before you get pissed off at me, you can yell at me on Twitter."
"8nBeosnB3hc","157240","159240"," You can yell at me here on YouTube or whatever."
"8nBeosnB3hc","159240","160240"," That's fine."
"8nBeosnB3hc","160240","164440"," And I do mock and make fun of both bulls and bears at times."
"8nBeosnB3hc","164440","168880"," So I know it seems like I'm making fun of bears more than bulls more recently."
"8nBeosnB3hc","168880","175360"," And the reason is, is because you can't be a fucking bear 100% of the time."
"8nBeosnB3hc","175360","179040"," Unless you're selling some shit, you just can't."
"8nBeosnB3hc","179040","180040"," You just can't."
"8nBeosnB3hc","180040","181040"," You can't survive like that."
"8nBeosnB3hc","181040","184960"," I guess I've heard some people say that you can go all in and big moves for this one"
"8nBeosnB3hc","184960","188640"," little moment and then be a bear, all that kind of fucking horseshit."
"8nBeosnB3hc","189120","193720"," I mean, why the fuck would you want to be trying to time some shit that's going to happen?"
"8nBeosnB3hc","193720","194720"," It's pure fucking insane."
"8nBeosnB3hc","194720","198280"," None of the math actually makes sense or is true."
"8nBeosnB3hc","198280","199280"," It just isn't."
"8nBeosnB3hc","199280","201960"," Most of those guys are just selling you shit."
"8nBeosnB3hc","201960","204000"," That's what it is, okay?"
"8nBeosnB3hc","204000","207240"," I want to take easy street whenever I can."
"8nBeosnB3hc","207240","211560"," And that's by mostly being a bull and sometimes being a bear."
"8nBeosnB3hc","211560","213320"," Now we have to talk about something."
"8nBeosnB3hc","213320","214320"," It's very important."
"8nBeosnB3hc","214320","217280"," We've talked about this about eddasium, right?"
"8nBeosnB3hc","217320","219320"," So we've got the economic symposium."
"8nBeosnB3hc","219320","224160"," It's important for new traders to understand if you're not from a background of owning"
"8nBeosnB3hc","224160","227160"," a business or being upper management."
"8nBeosnB3hc","227160","232840"," When these symposiums happen, these are when the big boys get together and they make decisions"
"8nBeosnB3hc","232840","233840"," in person."
"8nBeosnB3hc","233840","239080"," These are when like grown men and grown women, people with power, people with money, they"
"8nBeosnB3hc","239080","241880"," start to say, we're going to do this and we're going to do that."
"8nBeosnB3hc","241880","245640"," You might get three or four guys that are gang up on one guy."
"8nBeosnB3hc","245640","250680"," And then by the time it gets through three or four meetings, they're sitting with 15"
"8nBeosnB3hc","250680","255360"," women or men or whatever in a room and telling somebody what's going to happen."
"8nBeosnB3hc","255360","259480"," So when Jay Powell is going to do a zoom call and call it in and then all of a sudden he"
"8nBeosnB3hc","259480","264920"," switches it to nobody's showing up, that's because of power, there's money, power, and"
"8nBeosnB3hc","264920","265920"," that's what it is."
"8nBeosnB3hc","265920","271800"," So that was an original signal to say whether you like it or not, you know, you have your"
"8nBeosnB3hc","271800","274760"," main street hat and you've got your trader hat."
"8nBeosnB3hc","274760","280400"," That was the trader hat saying, nothing's fucking happening right now and you need to"
"8nBeosnB3hc","280400","283040"," hear that as a bull and a bear."
"8nBeosnB3hc","283040","289120"," And we got further reconformation of this from Kaplan, who's the bear about peace saying"
"8nBeosnB3hc","289120","295960"," what this guy says, he's watching Delta variants and says he may need to adjust his view."
"8nBeosnB3hc","295960","296960"," That's not his view."
"8nBeosnB3hc","296960","300840"," Now, let me get through all this, especially if you're a bear because you have to hear"
"8nBeosnB3hc","300840","302640"," this important."
"8nBeosnB3hc","302640","308520"," Because then you've got Yellen saying she's going to report our backs reappointing Fed"
"8nBeosnB3hc","308520","310360"," Chair Powell, right?"
"8nBeosnB3hc","310360","312200"," That doesn't happen until February."
