"start","end","text"
"2780","8300"," Hey, traders, Captain Jim James here, and spent a little while, I am here with another daily brief"
"8300","8800"," for you."
"9100","11420"," This one will be focused specifically on Tesla."
"12400","18180"," I do want to start by apologizing for not making videos consistently. "
"19140","20560"," It's been a challenge lately."
"21440","29020"," I purchased a house, well a few houses, but one specifically that I've wound up being more involved"
"29020","31360"," in the renovation that I anticipated."
"32100","36680"," Also the time that it takes to make these videos consumes a large part of my day. "
"37120","41720"," These videos can take anywhere from two, three, four hours of work to put together."
"42300","47020"," I don't make the money off of making these videos, like some of the other ones that you see out"
"47020","47300"," there."
"47780","50900"," I make my living trading, that's what I do. "
"51420","56280"," I try to make these for you guys out there, especially new traders, so that they can make a living"
"56280","56940"," like I do."
"56940","58320"," So I'll try to put more out."
"58820","61240"," I ended up getting kicked out of my office. "
"62700","70580"," My children stayed in homeschool, and so they eventually took over my office."
"70640","74020"," It just became just a little bit too much, right?"
"74220","79440"," Too much noise, too many people coming and going, and then the other work that I have going on,"
"79720","81580"," coupled with trying to trade every day."
"81900","85200"," So you don't need to hear any of this, probably don't want to hear any of this, we'll move on"
"85200","85680"," from here. "
"85680","89520"," I want to bring up something important, and that is back in May."
"89980","99520"," I called for the reversal on Tesla when it was creating whatever one was calling a death cross,"
"100160","106640"," and I told all of you that it would go to 900, if not 1,000 before end of the"
"106640","106920"," year."
"107500","110540"," I think at that time I was the only one making that call. "
"110940","115040"," I recall that it was all doom and gloom back then, right?"
"116020","120320"," And it's tracked where we've always discussed it would go."
"120680","129340"," It dragged down to the seasonal downfall of the market, and yet I even said that stocks that were"
"129340","133880"," down would continue to go up no matter what the market did."
"134640","139540"," And that's part of the hints behind the market not crashing, right?"
"140180","145460"," Is Tesla continued to go up and do well in this seasonal downturn?"
"145860","150000"," And I told you that there would be stocks that would continue to go up in this downturn. "
"150520","151640"," So this has proved itself."
"152260","159640"," But I'm making this video specifically because Tesla is at a point that it is reminding me of one"
"159640","164680"," of my other favorite stocks that I've played for a long time, and that's Apple."
"165360","172860"," And what makes this important and special is that we're going to take a look here at this at this"
"172860","173460"," Apple chart. "
"174420","184840"," In this Apple chart, if you follow my cursor over here, you can see that we had this huge incline"
"184840","193460"," on Apple leading to their or from their stock split leading up into September of 2020."
"193460","203620"," And what's important about this is that in this area here between August and September, there"
"203620","205560"," was FOMO, right?"
"205760","213120"," There was this thought that Apple was going to trade at a much higher trading rate."
"213940","218080"," And what happened instead was everyone bought this top here. "
"218540","220940"," You can see here at September 2nd."
"220940","223120"," And there was a collapse in the stock."
"223600","229640"," Now, everyone, I mean, it was the same FOMO as Tesla had. "
"229940","235700"," And when this stock fell, people were locked into some long-term leaps."
"237100","239620"," Some, you know, leaps are like six, seven months or more."
"240020","247280"," But a lot of three month out calls, five month out calls, year out calls on Apple. "
"248480","257459"," And what's important about when this took place was you can see this fall, this gradual hook"
"257459","258360"," recovery, right?"
"258500","265300"," You can see how this took place into January, and you can see where it beat, I'm going to put"
"265300","268560"," some lines up here for you just to take, just so you can see here."
"271320","274560"," You can see this horizontal line."
"274560","280080"," And this recovery took place over here, and it briefly touched, right?"
"280740","286000"," This previous new high, this new all-time high was touched once, and then it's sold off. "
"286540","289180"," We are just about here right now with Tesla."
"290000","297700"," See this fall off, come up once more, and this kind of completes this ascending triangle, right?"
"298640","300460"," This completes this move here."
"300460","306060"," We could measure this and I could show you how this move completes this push. "
"306760","310640"," But then you can also see a gradual sell-off here, right?"
"311280","319360"," So anyone that was trapped here expected to make their money over here in January, even though we"
"319360","322260"," had this sell-off, well that didn't take place."
"322920","331340"," It came back down, went sideways, and wound up burning off all the way into September."
"332000","335100"," So you can see that this was nine months or so, right?"
"335360","342120"," From the pull-off, nine months, let's say this is January, and this is September, so that's the"
"342120","348660"," nine-month mark, and this is the full year then, took an entire year, right, in this movement here. "
"349160","350500"," And there's a reason for that."
"350500","358100"," And the reason for that is that you have all these buyers with big money, big retail buyers that"
"358100","360940"," are betting that Apple's going to continue to go up."
"361480","368000"," And then when we came here, retail thought they were starting to break even, or maybe they're down"
"368000","372500"," now only 20%, 40%, and it fell off once more. "
"373380","379920"," And this move here is to kill a lot of the options market and to cause Max Payne to a"
"379920","380480"," lot of retail."
"381880","387840"," So they eventually, when this position comes down, right, they lose hope and sell out of their"
"387840","393760"," positions, doesn't matter if it's stocked, doesn't matter if it's options, and it comes back down"
"393760","396360"," here, this is part of capitulation here."
