"start","end","text"
"61640","62820"," Good morning, everybody."
"68920","70240"," How's everybody doing this morning?"
"77420","81120"," I almost said, I almost said no to streaming this morning."
"85410","90210"," I Bet everybody's I bet everybody's a while in this morning, right?"
"90510","91210"," Good morning. "
"91410","91970"," It's a rooster."
"92130","92450"," You good morning."
"92670","93610"," Jelly Paul Gerald. "
"94050","96750"," Hey srsx Little big bear."
"96970","97490"," Jill Nietto."
"97750","98570"," How are you or tell her?"
"98690","100530"," I mean John Alexander Roushey?"
"100810","101130"," Dougie D."
"101610","106470"," Chris Teigen James Keith Paul Troy hot hot hot Daymax James B."
"106610","106690"," D."
"106830","111330"," Mikey Tomos a binky not a suit was garage Chris. "
"111450","112790"," I'll run what Robert L."
"113610","119850"," What garage good to see you getting brother Chris who else we got in here Liam fisted one day at"
"119850","126990"," a time John Mogg's Terry Santini Jeremy Binky good morning Binky."
"126990","127630"," How you doing, bro?"
"128090","131450"," Chris Ed James one day at a time Carly."
"131710","135270"," Good morning, everybody Everybody well this morning. "
"135630","139410"," We're gonna turn this shit off get right into it this morning We didn't get much time left here"
"139410","140330"," before the open here."
"140570","146510"," I'm just gonna blast right into it Good morning everybody Remember yesterday's live stream."
"146770","147110"," We were talking. "
"147270","148850"," I gotta put something up real quick here."
"148850","151110"," I gotta get the options flow up and rolling."
"151590","153170"," I'm running a little late here. "
"154590","160690"," I got a Missy's like market screener pink today."
"160770","161790"," They're gonna throw this flow up here."
"161870","168490"," So you guys can see it for today All right I think at the volume on their tilt. "
"168730","176250"," I don't we'll try to turn it off today Okay, got it all right I don't know how much time"
"176250","183220"," there do we've got a 11 minutes left well the first thing we'll do is we'll look at We'll look"
"183220","189320"," was a couple things you got Speaking twice we'll go over that a little bit We'll go over the spot"
"189320","192560"," cam report for this morning another report that they put out yesterday."
"192860","198440"," We'll take a look at today as well In terms of today, we're gonna get Tesla We'll get the spy"
"198440","202840"," real quick one thing I want you to key you in on it as we start the day off is"
"203320","210540"," Just start thinking about channels on the spy, okay Just keeps that keep some eyes open on"
"210540","210860"," channels."
"210880","215080"," There's a little bump down here We could get down here, but generally speaking you're gonna be"
"215080","220980"," looking for Trend channel one thing on this morning's open as well to keep in mind. "
"221120","221420"," You saw it."
"221500","225580"," I think there's a little bit of a sell-off And Tesla not too big of a deal."
"225860","231980"," It should continue to go up today Now just the just basically getting started for the open this"
"231980","236220"," morning now you're gonna look for a trend channel It's possible at some point. "
"236540","240300"," You could see a trapping of bears It will go on a second here."
"240360","249610"," We'll get rid of this You could see some you could get that quick break up to 450 If we"
"249610","254210"," don't get the quick break up to 450 and we trade down I wouldn't I wouldn't doubt it that we"
"254210","261029"," come back up and at least touch 450 at some point Now with that being said 450 of course is"
"261029","261750"," the target, right?"
"262370","267990"," We'll look at below load book map here in a few moments That's we can look for that 450 resistance"
"267990","275430"," now if we do trade below Be careful if you're bare you might get a bear trap down here one"
"275430","279490"," two and then that rip higher up here too Later in the day."
"279570","285150"," So just be careful of this conscience of this we know about the vault figure being down below here"
"285150","290630"," and We know ultimately we'll talk later on this morning as well about some price targets above"
"290630","295890"," around 4 16 4 70 And how we get there if we can get there when we'll get there It's"
"295890","297590"," funny funnily enough yesterday. "
