"start","end","text"
"70680","72080"," Check one, two, check."
"74700","75980"," Oh, yeah, baby."
"78740","79860"," Mike is hot. "
"89120","91220"," What do you got going on here?"
"93820","94880"," Good morning, everybody."
"95140","95940"," How's everybody doing out there?"
"97380","98920"," Got the hair down this morning."
"100400","101380"," Got it flowing, baby. "
"102000","104080"," Flowing, flowing for pow."
"106900","108000"," Big day today."
"118210","119570"," Yep, hold on. "
"122050","125250"," All right here."
"129800","130640"," All right."
"131840","132600"," Here we go. "
"132720","132960"," Good morning."
"133680","134860"," Hold on, say let me check something out here."
"139980","141840"," Okay, hold on here. "
"143720","145700"," All kinds of stuff to do this morning."
"147080","147920"," We'll get into it."
"148020","149320"," We'll just get right into it right now. "
"149880","151020"," I just need a moment here."
"151180","151820"," I'm a little behind."
"157480","163940"," Some technical stuff I have to do to start the day that YouTube is being kind of wonky right now"
"163940","164500"," in the background. "
"168430","169470"," All right."
"169670","169950"," It's weird."
"170130","179710"," My thumbnail this morning was my thumbnail this morning was flagged for"
"179710","183650"," review, which is kind of funny. "
"183730","184970"," It says it's not for children."
"186590","193390"," So I'm like, okay, subscribers, any duration, save."
"195270","196230"," Well, that's fine. "
"196930","198050"," Whatever they want to do."
"201050","204520"," Kind of wonky."
"205640","211020"," I wonder if it's like an algorithm or something that picked that up. "
"214960","219260"," Okay, so this morning, we're trading up on the open this morning."
"221640","228980"," Typical not not assuming that some of you guys out there closed your puts on the bell this morning."
"230180","232220"," That you did not hold. "
"233660","236420"," We're going to chart this out to start the morning."
"236420","237840"," And then that way."
"241070","241910"," Let me see here. "
"246300","248060"," I'll put up a book map for you."
"258970","260350"," Let the morning open up."
"260570","262090"," I'm going to chart this with you this morning. "
"262370","264450"," I was going to chart it and then come into the live stream."
"264750","271310"," But some days I like to do it with you so you can see how I go about my mornings,"
"271310","271890"," my day."
"272830","274610"," So some mornings I'll chart it with you. "
"275310","277870"," I'll put the pivots in on live stream."
"277870","280450"," So just for today, let the market open up right now."
"281210","282410"," We'll do that together. "
"284350","289750"," And before we even do that, we're going to review what we had done yesterday."
"291270","292750"," How we had set up for today."
"294490","296250"," So we'll look at SPX real quick. "
"299730","301870"," I think we might be able to get in some."
"302030","303890"," You guys already know about the one minute chart."
"304070","305070"," You don't need me to tell you this. "
"305570","307130"," You can trade right off typically."
"307830","309150"," You're looking for a set up here."
"309890","312090"," This blue line is underneath the green line. "
"312430","313610"," I don't never like to see that."
"313650","315030"," I always like to blue over the green."
"315970","317670"," So I want to see this happen here. "
"318450","320550"," If you're looking for a target above remaining."
"321530","326390"," Just quickly, I'll give you a quick target above and that would be we already tagged the overnight"
"326390","327270"," highs here."
