"start","end","text"
"260","8480"," Focus and sound level before the film begins check check Mike check all right."
"9680","11300"," Let's see what's going on here."
"14600","16080"," Check one. "
"36830","37490"," Check one."
"37490","37490"," Check one."
"37670","38050"," Check one too, baby. "
"38350","38790"," Let's do it."
"59000","59400"," Hells."
"59560","59720"," Yeah. "
"67720","69240"," Where are we doing here?"
"72960","74280"," What's going on here?"
"77440","78180"," All right."
"78520","80620"," So we'll get right into it this morning."
"80760","81340"," Hold on a second here. "
"82100","83140"," Couple things got to do."
"83600","85300"," Good morning to y'all out there."
"85880","87060"," Hope everybody's doing well. "
"87600","88840"," Everybody's having a good morning."
"88840","90280"," Good morning to y "
"90280","113300","'all."
"114890","114890"," Good morning to y'all. "
"114950","120390"," Good morning to y'all."
"120390","120390"," Good morning."
"120390","122950"," Pre-market sellers right up in here. "
"122950","124430"," Just be aware of this one as we come up."
"126190","128410"," This stream is sponsored by Tickshrike."
"129009","132130"," Tickshrike allows you to actually hear all on here in a second. "
"138710","141910"," A couple of things I got to do here in the background."
"148970","150190"," Save that."
"154000","156300"," And new chat live chat. "
"158200","161940"," That was Twitter."
"164120","168280"," Made a post this morning for Z."
"168820","170260"," Holy crescendo."
"171080","173080"," Hope that he saw it on Twitter. "
"176220","178420"," That's trade number two."
"181000","183000"," And we'll do Tesla."
"183940","186440"," Today we'll do GME today. "
"188120","189880"," We'll do the queues today."
"193080","197460"," So far I am two for two right now."
"199020","202100"," So I said I would take ten trades with croissant. "
"206160","208240"," Hopefully is still long right now."
"209920","213500"," And we're going to talk about today what to expect today, what to expect tomorrow."
"216840","218620"," How do you become a winning trader. "
"224560","230080"," How do you rebuild an account after suffering major losses."
"231480","233320"," And some weirdness going on."
"233440","239860"," I've got like Google like labs or whatever is turning all my shit like gray or whatever. "
"243200","247080"," So hopefully somebody got in touch with croissants Z."
"247200","252200"," Holy croissant and let him know that I had a trade on for him."
"256269","258649"," Those are printing quite nicely right now."
"259269","263550"," 4.41 is now trading 41 cents for tomorrow. "
"264310","266550"," 42 cents for tomorrow."
"267370","269430"," I guess we could have made that a zero date trade."
"269830","273410"," But I wanted some safety like that. "
"273650","276790"," We'll make the trade and we'll just stare at it all afternoon to the close."
"285840","286740"," Make it easy."
"289460","293020"," I want to remind you that these sellers right here. "
"297880","299700"," They're hiding out right here, right?"
"301200","304480"," We had a bear playing in pre-market."
"305360","309840"," Now supposedly we're trying to find this out."
"310160","313560"," Can we trade XSP in pre-market?"
"314500","318220"," Because I'm not seeing a pre-market on XSP anywhere. "
"319100","320960"," Someone was making that claim the other day."
"320960","322600"," I was like, I don't know."
"322900","326940"," So I suppose you can trade XSP options in pre-market. "
"326940","328460"," Maybe somebody can enlighten me to that."
"332200","335120"," We're going to take a look at something together here."
"340020","342640"," So if you're watching Z."
"342820","343460"," Holy croissant. "
"344780","346580"," You can take the money and run here if you want."
"346940","347780"," It's up to you."
"347980","348400"," I don't care. "
"348660","351540"," The only thing that I care about is that I take 10 winning trades."
"353560","356500"," However long you want to hold them, you can hold them as long as you want."
"356980","363460"," I'll do 10 winning trades with you in a row before they happen. "
"365420","375770"," And then when I want you to take classes and follow the program, you"
"375770","376310"," do that right?"
"377030","379970"," Rather than being consistently losing big trades."
"383330","385990"," There's like no reason to be losing money in this market."
"386210","388890"," Like you can lose a little bit or have a bad trade or two. "
"391330","395050"," Or if you're trying to buy a bottom or sell a top and you get cut up doing it."
"397070","397970"," That's not so bad."
"401950","406690"," You know, like things like, I'm short here and I get run all the way up here. "
"406850","409790"," That kind of stuff is just, you know, it's not the way to trade, right?"
"411630","413870"," So we're going to take a peak here at something."
"417650","425550"," Now, of course, like past the past performance is not indicative"
"425550","429110"," of future performance, right?"
"431090","433970"," But I want to show you guys something here."
"435290","437270"," It's pretty, this is pretty common. "
"447600","464690"," It's the end of quarter, end"
"464690","465770"," of Q1 right here."
"468070","489050"," It's the 28th, 29th, 30th, 31st, weekend"
"489050","489750"," right here."
"491650","501570"," So if this would were to be, let's say, say you consider this 4th of July weekend. "
"503290","505350"," This is end of quarter right here."
"507490","511010"," We had this blast up dip and then rip into the bell."
"513770","518090"," Could kind of consider this area kind of where we are right now, right?"
"525460","527220"," We've got the 30th. "
"527340","527620"," That's it."
"527780","528940"," That's all we've got left, right?"
"529680","529940"," That's it."
"530120","537660"," So when we have just this kind of shit left here, you've got boom. "
"539180","540800"," The low of the day."
"540800","546040"," And then we crank up here."
"547200","549580"," Keep on cranking, right?"
"549880","550120"," See that?"
"550680","557500"," Keep on cranking, keep on cranking window dressing into end of quarter. "
"560440","566480"," So right now, where are we?"
"567400","569080"," It's looking kind of similar, isn't it?"
"572500","573840"," It's kind of similar to me."
"580000","582480"," There's a nice dip to bite out here this morning."
"583100","584500"," Gorgeous dip down here. "
"585680","587480"," Got the double bottom right here."
"587820","589460"," Got another double bottom right here."
"591040","593160"," Just keep on cranking, right?"
"593520","594520"," Boom, come on, back in. "
"594520","595320"," Grab another one."
"595540","596620"," Yee-haw, daddy."
"599920","601420"," We're going to talk about that too. "
"602760","605860"," So yesterday I had, so I'm losing my voice, by the way."
"606320","609800"," So yesterday I had no idea that my daughter got on the stream."
"612120","615120"," She admitted it to me late last night and I was like, what?"
"619760","624160"," So yesterday I was leaving yesterday morning and she walked into my office. "
"624160","626680"," She goes, oh, daddy, are you leaving?"
"626820","627600"," I go, yes, honey bear."
"627880","630720"," She goes, can I sit in your office today?"
"630960","633800"," Of course I'm like, yeah, of course, if you want to sit in daddy's office."
"634440","635660"," You want to be like, daddy, of course. "
"636160","636500"," Heck yeah."
"637340","639860"," So I'm like, I get the stream on, but you can't touch it."
"640500","642300"," I was like, there's a button there for the microphone. "
"642560","643140"," Don't touch that."
"644000","646800"," I was like, do not touch this cursor that I have."
"647160","649620"," I was like, you can use that computer over there, though. "
"651740","653000"," Like that one's fine."
"653860","656000"," You can use these two monitors over here."
"656240","658280"," So I got cleaned up the two monitors for it to use. "
"659280","660680"," And I left, right."
"661060","662640"," So I'm doing a presentation yesterday."
"664320","668040"," And I didn't realize that she had gotten on the stream yesterday. "
"669540","671580"," And I guess some of you tipped her."
"671860","677100"," So I think today at some point or tomorrow I'm going to go down to like an ATM."
