"start","end","text"
"730","2010"," Mike, check one."
"4050","7010"," Alright, let me check that up there."
"8350","9650"," Well, he's green. "
"10490","11270"," Oh, dude, I'm late."
"11750","13130"," Fucking computer sucks."
"13590","15350"," I shouldn't be swearing. "
"16010","18150"," Check one, two, Mike."
"30870","32150"," Two dollars a day."
"32630","32870"," Three dollars a day. "
"32890","33170"," Turned mine."
"33310","34610"," One forty three four."
"34950","35990"," This is not the thesis. "
"36150","36750"," We don't want the thesis."
"37370","38770"," We truly truly..."
"38770","39730"," Good morning, good morning."
"39930","42590"," One sixth second error. "
"43310","46550"," I mean a strong dollar having its impact perhaps felt in energy."
"46910","49350"," Jim Orwell was trying to defend 70 again."
"50170","53250"," As OPEC rushes out their demand forecast for next year. "
"53810","54910"," Good morning out there."
"55070","55870"," Give me a quick second error."
"55970","56930"," I've got some stuff I got to do. "
"56930","64250"," You are my use for for mad money says this does hold it's 70 71 holes, but I think it's"
"64250","64930"," been pretty shocking."
"64930","72150"," There we go Good morning everybody how y "
"72150","86910","'all"
"86910","94990"," doing out there So it's not so heavy and I just don't think we've realized that this Rich with oil"
"94990","104410"," and stop thinking about who's the consumption side What's amazing is that the retail sales number"
"104410","114350"," would have been even better had we not had some of the declines in gasoline Good morning"
"117150","122410"," It's doing pretty well still the oil price guys are doing well But you never repealed the gap"
"122410","127070"," remade or Macy's give some of those big games We had I'm seeing a lot of you all right here"
"127070","134090"," That's here are slowly being repealed You take a look at Schwab this morning Get a little let's"
"134090","135670"," talk a bit about Schwab this morning."
"135730","140750"," The company did report earnings The stock is down about six percent Jim I'd obviously love to get"
"140750","145350"," your take as we listen almost looks like forty seven hundred is the target, right?"
"146930","156550"," They're they're commentary on it fuse blasting down off the bell right now SPX a couple things"
"156550","189170"," we're going to talk about here One second It's"
"189170","195130"," catching people perhaps unaware Alright, so we're gonna turn that off for just a minute here. "
"195210","202570"," We're gonna take a quick look at the market and I have to take a call This morning with my"
"202570","208950"," general ever attorneys after speak to this morning I don't have a choice in this it's not the right"
"208950","214970"," time to be making this call, but I have to take a call this morning Good morning to all of"
"214970","215050"," you."
"215150","215510"," They're out there."
"215610","216590"," Good morning bliss a wits. "
"217010","218090"," What's going on everybody?"
"219470","220790"," Good bliss a wits man."
"221010","222030"," What's going on brother?"
"222910","231090"," Tell them bro Tell them I mean seriously Sorry You"
"231090","239170"," know what I'm saying bliss I mean seriously, right?"
"239830","242830"," I mean how many people were on that train with me not too many, right?"
"243470","245510"," Joey donut was on that train with me."
"245590","247270"," Who was on that train with me this morning?"
"247410","248890"," So let's take a look at this really quick, okay?"
"249970","253890"," So we're gonna take a look at the trigger screen really quick Yeah, right. "
"254070","256350"," We don't even have to you just I want you to know something, okay?"
"257110","261530"," You've got the daily trigger down here at four sixty nine thirteen, all right?"
"263910","269810"," And You got s2 right here Let me see I bring that over a little bit for you All right"
"269810","277590"," coming on down to tap into s2 We've got s3 down below here at four sixty nine fifty seven ish"
"277590","283910"," somewhere down in this zone right here The key point for you though is the gamma flip is this is"
"283910","288970"," the one that I want you to pay attention to here Okay, the gamma flip is up high here at"
"288970","296810"," four seventy four seventy three forty two somewhere up in here and Keep track of this hourly and"
"296810","298450"," half hour trigger."
"299030","305650"," Okay, so we're gonna switch over really quick To the trigger screen here my dude my camera to so I"
"305650","311870"," think my cat was in my office or something my camera is knocked off the desk It's all stupid."
"312090","317630"," So give me one quick second here Turn that off and that off so you can take a look at"
"317630","317890"," everything. "
"318050","322290"," Okay, so This is a one-minute chart."
"322510","323270"," We're gonna get up first."
"323410","329030"," I want to scroll out a little bit here And just take a quick breather here, right?"
"329650","338330"," Just take a look at the market here and Kind of come back in line with this is what this"
"338330","343170"," is there's a couple of things I want you to be aware of here, okay, so just some market awareness"
"343170","352700"," stuff Now if you're gonna be out there talking to an Elliott waver All right, you see that that"
"352700","361500"," nice little clean little Be wave right there come up come down come up and we're jumping back in"
"361500","362740"," line right now, right?"
"363740","373500"," now This daily trigger right here If we get that bounce down there, right We don't continue to"
"373500","381380"," reject off of the the gamma flip if we do not we regain that gamma flip down there Maybe careful"
"381380","383380"," of a V shape recovery in here. "
"383960","392880"," Excuse me V shape recovery in here now your local bear out there is going to be looking for the"
"392880","399360"," rejection on that gamma flip right here For continued downside over here."
"399520","402120"," Okay, so just be aware of that right there."
"402220","406680"," There's a trap for bulls Right up in here. "
"406920","414020"," Okay now When I was talking to Joe donut about was a reset, right?"
"415160","421780"," So you remember we top take this up here like way up there top ticked it and This train is"
"421780","423160"," now dead in my view."
"423360","431320"," Okay as we come down here, and I'm gonna be looking for a second leg to this trade For more"
"431320","435040"," downside now do we get all the way down here?"
"435400","442220"," It's to be it's to be determined Once we reject the gamma flip here So if you're if you didn't"
"442220","447080"," take any of this leg right here You're waiting you could probably jump in a little bit more if you"
"447080","454380"," wanted to but you're looking for a reset up here For this next leg to the downside now if price"
"454380","458460"," recovers above the gamma flip We'll talk about that for more upside to come."
"458780","466820"," I'm going to show you at some point The seasonality calendar says that this next leg down is not"
"466820","473420"," don't expect as much on this leg That you might be expecting but we don't always trade exactly what"
"473420","479120"," the flip is or the seasonality is so This is still the door is still open for all this to"
"479120","480000"," happen down here. "
"480300","483560"," Where's where's the expectation for that trade?"
"484460","493640"," We're talking about about for 60 down here for 60 The really sketchy part in here too is that gamma"
"493640","502400"," flip is still looming So if we do continue to the downside down here We bounced start to wake our"
"502400","509680"," way higher Are we developing more levels for put gamma bear gamma down here right negative gamma"
"509680","510940"," being developed down here?"
"511240","515039"," If they don't develop any gamma down here, we should be able to come right back up again regain"
"515039","524260"," that Regain that gamma flip and get back to positive again, and I really do believe that We do"
"524260","526440"," I am not on the bear trade."
"526600","532180"," Well, I'm on the bear trade, but not like a lot of you are I'm on the trade of a"
"532180","539620"," recovery at some point where I blast down here come back up and whatever this is Is either going to"
"539620","542280"," reverse up here or it's going to reverse down here."
"542500","550100"," So Personally, that would be tempering Your expectations to the downside and do not forget that you"
"550100","555460"," still have earning season Okay, so you might be wanting this crash and all this kind of stuff not"
"555460","562740"," this but a like a bloodbath crash And that likely will not Happen in my viewpoint now. "
"562820","567640"," I'm going to show you why that is here in just a minute For that reversal to the upside to"
"567640","573960"," take place But truly for myself what I am looking for is something more like this Where you come"
"573960","579160"," back down here touch that daily trigger You're going to get a revert or a rejection on this gamma"
"579160","585660"," flip and then it's going to be like walk the plank of some kind Uh for earning season in here."
"585800","590820"," Okay, it's not going to be as bloody or as brutal as you might think that it is It's just"
"590820","595860"," being patient with it Note also that if you miss this trade like you're going to get another chance"
"595860","600520"," to catch catch that trade one more Time and we're going to take a look at the seasonality calendar"
"600520","606040"," this morning to show it to you Uh the expectations and that kind of stuff and remember don't fuck"
"606040","609900"," that don't fuck with the daily trigger Just that that is there."
"610120","614640"," This is a real support in here I don't you can see we bounced right down here back here. "
"614800","617400"," You don't want to be that bear down here Do you right?"
"617700","617780"," Yeah?"
"618060","618060"," Yeah?"
"618300","618300"," Yeah?"
"618340","619000"," Yeah, fuck captain."
"619380","620600"," He doesn't know what he's talking about."
"620780","622640"," Oh my shits on fire Oh, god. "
"622800","625100"," I'm all fucked up over here You know what I'm saying?"
"625240","631400"," So you got to respect that to some extent Now there are a series of lower highs on the daily"
"631400","634160"," trigger On a on a 30-minute basis."
"634160","641080"," I want to show you that really quick Right, we did bounce right here Right and be you know right"
"641080","641360"," here."
"641520","646920"," You're like we were still positive gamma on that daily velocity So i'm going to give it to the"
"646920","652580"," bulls to some extent Uh that we should bounce off that daily trigger, you know, even if we break"
"652580","660240"," here i want to show you this here You know one two we're still bouncing up still bouncing up Uh"
"660240","669180"," you really want if you're really that bearish If you're really truly that bearish Right, you end up"
"669180","675820"," watching this you know watching this bounce up right you get the confirmation And let's say we"
"675820","680960"," start coming back down underneath the daily trigger You want to remember that you're taking profit"
"680960","688080"," here and then you are Waiting for the rejection to enter the second or third stage of that trade We"
"688080","695960"," got you know stage one right Reset stage two Right and then look for the rejection then you have"
"695960","703320"," stage three so one two and three Not just all willy nilly blind like because if you get reversed"
"703320","705900"," here You get fucked you get reversed here. "
"706140","714000"," You get fucked so take a one stage at a time uh Uh as steady as she goes, I should"
"714000","721600"," say On this downward move how deep it goes and be tactful in your trading when it comes to this"
"721600","727220"," stuff Okay, i'm going to give you a quick um, i'm going to leave this up quickly here for you"
"728040","732420"," You want to take a snap of this i don't know if this helps at all for you at home"
"733760","739880"," Maybe that right there will help you take a quick snip That helps right there maybe So you just"
"739880","745400"," take a peek at that snipping for yourself and holding that kind of stuff right there, okay Now in a"
"745400","750660"," smaller uh time frame smaller time frame smaller basis that kind of stuff in a one-minute chart"
"750660","759300"," here We'll head back over here so you can see this Get some context right You got s2 here."
"759320","767080"," Let me let me get this the spin up here for a minute You got your s3 down here, right?"
"767080","772160"," I'd really like to see it something like, you know, I'd really like to see something like That"
"772160","779720"," right s2 I'd really like to see either this here and the continuation to the downside Right"
"779720","780500"," something like that."
"780640","788640"," I'd really like to see or I'd really like to see continued blood here We just keep blasting through"
"788640","793800"," get underneath right a little bit more rejection here boom And then it that this is my favorite one"
"793800","799480"," right here come back up into that gamma flip and just confirm Uh that we're going to continue to"
"799480","806020"," head higher here, okay and start blasting down this way over here Makes sense get your get your uh"
"806620","811360"," Well your s3 And then back up in here over the weekend and then we start to begin to roll"
"811360","818360"," down with some more continuation I'm going to show you guys that right now in just a moment here I"
"818360","824620"," Bring that one down right there They can bring this uh, yeah, that's I think that's good right"
"824620","831580"," there All right, so we got that going on right there right to get your spy daily trigger Uh, you've"
"831580","836420"," got the uh, you've got the the price target of 469 57. "
"836660","842260"," You all have to consider here Uh, what does the uh, what does opex mean here?"
"843000","851520"," 4700 looks like the target on spx Whoopsie right there i'm going to leave that one open there and"
"851520","860880"," the daily trigger on cues Is right here 401 89, okay 401"
"860880","868480"," 89 on on cues We're going to take i'm going to load something up for you really quick."
"868480","878870"," Let me just give me a quick second here I Pull"
"878870","889600"," on one quick second here Put some"
"889600","897520"," gamma levels in for you your gamma flip is right here, okay Gonna flip right here."
"897640","904300"," You've got your target down below as a matter of fact on uh on spy Your next level is right"
"904300","911460"," down at 4700 So I want you to pay attention to this bottom part down here. "
"911840","919300"," You see this green to this green line right here Right down there, okay, and then your gamma flip"
"919300","920320"," is right here."
"920740","926240"," Okay, so there's a gamma flip So right there this whole line right here and then this line down"
"926240","932980"," here So we could even break slightly lower than this this uh spy that's written right here today,"
"932980","935220"," okay Uh, what else we got here?"
"935940","947280"," We're going to take one more quick look at This"
"947280","955920"," is what I want to show you this last point right here Tap screen, okay So we're still following"
"955920","960000"," along quite nicely I want you to see down here."
"960160","966880"," You got one more bump right whoop And then more downside to come over here, okay So I just want"
"966880","975020"," you to draw your attention to this little dip right here, okay, this is going into the Thirteenth"
"975020","984900"," day the thirteenth training session a pump up into the thirteenth training session Where's my"
"984900","994700"," where's my uh hot men calendar here And that is into the uh 19 So"
"996070","1001990"," you're looking for some kind of a bottom and rip Just pay attention right here. "
"1002010","1007630"," So kind of a bottom some kind of a bottom today A rip up into the 19th and then blood"
"1007630","1013730"," into the beginning of next week Okay, so what does this translate into over here?"
"1014190","1016670"," How or how does that translate into over here?"
"1017210","1026430"," We're going to go back to the uh main screen here and that is implying here let me see This"
"1026430","1039260"," is today is Wednesday right at 1600 And"
"1039260","1045339"," these don't always follow exact but this is the end of today So you'd be looking for some kind of"
"1045339","1054620"," more continuation of blood down here Right and then a pump up into friday Right whoop right up in"
"1054620","1054780"," here."
"1054780","1063060"," There's a gamma flip and There's your next leg down Uh some at some point into friday And then into"
"1063060","1069460"," early or mid next week more blood to come just be aware of that These don't always line up exactly"
"1069460","1076660"," there can be over like an over push to the downside But then then some kind of recovery and then"
"1076660","1086400"," down into the middle of next week Once we get into that middle of next week though So Whatever"
"1086400","1093660"," that blood is this is where the tempering comes in of expectations right You're all bared up when"
"1093660","1099720"," you should be looking for another entry to get super bared up We come back down right you're back"
"1099720","1107000"," on that second trade But then the real uh freaky thing is that at some point into next week We're"
"1107000","1114480"," going to expect a run up here Uh for the real true correction That comes into play for march So"
"1114480","1122020"," this is all like you got one more one more bump one more little bump More down right Big big"
"1122020","1127840"," you remember this is where the high is right 4,800 So you're looking at a big push up higher"
"1127840","1134280"," a big squeeze and then the blood to follow Uh into mid march over here."
"1134320","1140980"," Okay, so be ready to be be quick in here And don't come back if we have this big giant"
"1140980","1148920"," squeeze So sometime next week if we start ripping faces off to the upside You know, don't be coming"
"1148920","1154420"," back here and being like, you know, no one told me someone told me cap was both our bearish Or"
"1154420","1162840"," whatever so be quick be aware of this pump and dump Right confirmation of more lows to come and"
"1162840","1170720"," then a dip to buy uh to the upside for uh one last spring Uh push to the upside up"
"1170720","1172080"," here, you know, this is pretty big here. "
"1172360","1177980"," So don't get caught in this stuff Okay, this one specifically a specific year of bear This will"
"1177980","1179240"," wreck your day right here."
"1179340","1187340"," This whole move Uh right here starts on I believe the 15th trading day of the year No, no, sorry"
"1187340","1194720"," get that wrong the 19th trading day of the year right here Uh, this gets pretty nasty to the upside"
"1195260","1201880"," Uh, so just be just be aware of the 19th trading day of trading session of the year of some"
"1201880","1206140"," kind of a uh pump Uh to the upside Be careful."
"1206340","1206920"," Okay, please. "
"1207260","1207400"," Please."
"1207620","1213380"," Please you know, this could be like tech Ears probably some something something like that's coming"
"1213380","1219960"," around and then you you get torn up as we squeeze up here Let's be aware of it."
"1220080","1220280"," Please. "
"1220940","1226910"," Okay Exactly estimates are dropped."
"1227030","1232130"," Everyone gets prep participation trophy and other and you know another who's just said that bull"
"1232130","1232590"," for trading."
"1232590","1240090"," Okay So I want you to also think about this too Let's go back to um cap screen here, right?"
"1240490","1246690"," So think about something else here too, right I You get that last little bump earnings come in"
"1246690","1253570"," looking like shit or we're just monetizing earnings season Expectations get lowered and you're all"
"1253570","1257930"," bared up down here And you're like, yeah, we're getting a market crash, right?"
"1258590","1259830"," And it's corrective in nature. "
"1260110","1263010"," It's pretty nasty, but at the same time, right?"
"1263290","1265030"," Even though this is pretty nasty right here."
"1265430","1269690"," They buy the fucking dip You know, you don't want to get caught in this either for the rest of"
"1269690","1277910"," the year So if you're a bear out there right if you're a bear like a real true bear Remember"
"1277910","1285830"," what I talked to you about Uh with unemployment inflation the velocity or the speed of inflation"
"1285830","1292010"," coming down at two percent And then rates cuts when that takes place and we get that corrective"
"1292010","1302090"," action in the marketplace uh be wary of the uh Be wary of the coolade you're drinking Uh"
"1302090","1311530"," remember that we will likely stay corrective and not crash Uh without those thing those other macro"
"1311530","1312890"," things taking place."
"1312890","1320650"," Okay So whenever that roll down is that that correction that we get For that springtime roll if you"
"1320650","1328510"," don't see us bouncing off of inflation You don't see a velocity to unemployment And jobs numbers"
"1328510","1334230"," getting really shitty and you don't see rate cuts by the fed Uh that we're we're going to remain"
"1334230","1341050"," corrective and not crash territory, okay, just be aware of that Uh, and I say this you guys hear me"
"1341050","1346410"," on this program speak to Uh speak to bulls about this, right?"
"1346950","1354250"," You know bulls sometimes get a little too feverish a little too Um You know, we're going not the"
"1354250","1354590"," only though. "
"1354730","1355890"," We're not only we're going to 480."
"1356130","1363750"," We're going to 5 000 like tomorrow, bro As we're hitting highs the same thing will apply to the"
"1364460","1371370"," bears when we're being corrective into Late spring right into march as we're heading down there"
"1371370","1377550"," keep us soberness to yourself Because remember the money matters more than anything."
"1377730","1385990"," Okay any conviction Let's just be aware of that Just be aware of that as that correction takes"
"1385990","1390330"," place Uh, you know, I don't want to I hate being on the program with people I'll be honest. "
"1390530","1392190"," I hate being on the program people when we're coming down."
"1392450","1397870"," We don't have the uh rate cuts We don't have the uh the inflation and the employment numbers"
"1397870","1402730"," cooperating And we're about to bounce and i'm telling a bear like close take the money and run"
"1403710","1404790"," Right take the money."
"1404950","1405750"," We're at a bottom get out. "
"1405910","1410330"," Let's get out of here and just wrap it up And they're like hell no cap The crash is coming."
"1410330","1415170"," They're telling me and fin Twitter think about that for if this that was a bull situation be the"
"1415170","1421370"," same type of a thing Just hold tight here."
"1421390","1427310"," Okay, just hang tight Hang tight if you mess if you miss the move down the first move down you're"
"1427310","1433310"," going to get another chance I promise you you're gonna get another chance for another leg down Uh,"
"1434710","1439470"," when we break the gamma flip there's always a recheck of that gamma flip now You could I guess"
"1439470","1445570"," count this here you could I guess count this here as the check To the gamma flip for that"
"1445570","1446990"," continuation down here. "
"1446990","1452470"," I guess you could count that to an extent And we've already checked it But even if we had you"
"1452470","1459910"," already know as a seller That once we start selling that we come back and trade that half our"
"1459910","1465170"," trigger Right the more aggressive the selling is the more it comes back down Then the half our"
"1465170","1469090"," trigger comes down we come back up and tag it again Right for each leg."
"1469270","1473590"," So you're gonna get you're gonna get your chances here is my point Okay, you're gonna keep getting"
"1473590","1483590"," chances for more downside to come Be tactful as a seller Hold on here Get rid"
"1483590","1491530"," of that right there Slide all that bad stuff closer to you so you can see this That That s2"
"1491530","1498050"," right there and that s3 lining up nicely right there You got our one over here another thing too is"
"1499190","1506210"," oftentimes on opex you'll get the move in the morning And then it's just nothing for the rest of"
