"start","end","text"
"53140","54540"," Check one two tech."
"57990","59150"," Alright here."
"61290","63930"," Pile on in and see what's going on this morning. "
"66610","67630"," Alright here."
"67750","68670"," Hold on one second here."
"85520","86720"," Alright here. "
"87080","90000"," Let me just one more second here my brothers and sisters."
"93020","108660"," All right."
"109120","109580"," Details. "
"110180","112540"," I swear I'm customization."
"114320","115640"," Live commentary."
"116140","121040"," I swear I could do a life to replay details. "
"121720","123300"," I don't know what I'm fucking doing here."
"123920","125160"," I'm like awful at this."
"126400","127199"," Save. "
"128919","131980"," These guys they're trying to get me to insert ads right now."
"132120","134360"," They're like they're really bad."
"138660","148420"," Like YouTube in the background is let me see here supposedly I can change this"
"148420","151440"," to sort by newest got it. "
"151840","154080"," Okay starting to figure out YouTube here in the background."
"154640","156360"," It hasn't been easy trying to figure out YouTube."
"159180","161340"," We're going to roll right into it this morning. "
"162520","163380"," Hold on here."
"163580","165340"," Oh man you guys are tipping in the morning."
"166160","167020"," My God. "
"169840","171440"," Guys are tipping right on."
"173060","175000"," Right out the gate this morning."
"176460","177020"," Savages. "
"179940","180500"," Savages."
"181960","183720"," Good morning everybody out there."
"183880","184900"," Whoever's joining us right now. "
"184980","185300"," Good morning."
"188160","192800"," Okay so we're gonna let me go to live chat here in the back end here."
"194060","196480"," Just right away as we open up the morning. "
"196900","198220"," I was scared of this this morning."
"198360","200620"," I posted that if we start selling we'll know right now."
"200720","203520"," You guys should already know at home if you're trading what happened. "
"205500","206120"," Thing tighter."
"206740","209560"," So we were coming down here and you know that we broke above."
"209600","211660"," In the moment we did you put the stops in. "
"212460","216120"," I wasn't actually I was on fin to it and said if we start selling you're going to know it."
"217020","218040"," And we didn't."
"218240","220080"," So you already know to put your stops right here. "
"220440","222340"," This is why we put stops on the market."
"223360","224800"," Just right here you can see it."
"224860","228760"," We squeezed it up and you guys already know where to take your losses in there. "
"229580","231680"," So we just squeeze it right up like it was nothing."
"231940","233320"," Crazy part is this morning."
"234400","240660"," That's the our part our targets man are out of control there for 2021. "
"241300","244500"," Uh four twenty six ninety six."
"245440","247600"," Uh and we're getting FOMO."
"247800","249780"," We're getting like all the Euro buyers. "
"250260","251300"," We're getting foreign buyers."
"251820","252060"," We're getting."
"252940","254700"," This is all FOMO at this point. "
"255079","256060"," Is it a bad thing?"
"256240","256300"," No."
"256980","257899"," I don't blame it."
"258459","262820"," I can't blame anyone for wanting to do the FOMO like all the hard work has been done. "
"263000","263160"," Right."
"263440","264740"," So you know that."
"265400","267240"," Uh this is going to happen. "
"267240","267660"," Right."
"267820","270700"," We're going to squeeze out some we're going to squeeze panic some people."
"271260","273120"," We're going to figure some stops above. "
"273120","277620"," Uh we're going to look at it on a one month time frame here real quick."
"278060","279900"," You can just see the squeeze is happening."
"280100","280180"," Right. "
"280620","285000"," We know the top of the key is actually way up here like four thirty nine."
"285900","288640"," Uh we could explode there if we could."
"288880","290420"," I don't I mean I don't think we're going there. "
"290600","292360"," I think we're going to like four twenty ish."
"293980","298800"," Uh we had four oh three I think as the first target then four ten and then four twenty."
"299000","301020"," I think I posted that on fin twit at one point. "
"301020","303280"," I was unsure if it would happen this morning."
"304120","304800"," On Thursday."
"305460","308300"," I'm going to I'm still going to expect some profit taking. "
"308780","310060"," I was talking to Joe this morning."
"310220","314640"," I'm like probably we're either going to get profit taking right off the bell or we're going to get"
"314640","316260"," it by Friday for Monday."
"317360","318780"," And they didn't even wait man. "
"318920","321100"," They just they just started fucking ripping it."
"321380","325120"," Sorry for swearing right off the open here but let's take a look."
"325460","331000"," Uh let's take a look. "
"331000","332680"," If this works for you."
"332800","334140"," I mean this is what they're going for right."
"334360","339300"," This is a four hour or they're going to promise you that we're going to you know four forty five"
"339300","339680"," four sixty. "
"339780","340420"," Probably not."
"340820","342760"," But this is resistance on the channel."
"343520","348260"," Uh I know these channels don't mean anything but you know there are bulls out there that are like. "
"348940","352180"," There are some FOMO or is there like we're going here eventually."
"352640","354320"," So they're going to try to drive it there."
"355000","355500"," Right now. "
"355620","356740"," Do I think we go there right now?"
"356920","357080"," No."
"357620","357940"," I don't."
"358080","359200"," We're we're frothy right now. "
"359200","360920"," I want you to understand that."
"360940","363180"," Okay you're probably going to get a pull back at some point."
"363720","365620"," There are some air gaps down below. "
"366160","367640"," 420 seems logical."
"368620","370780"," And then you'd have some kind of a move higher possibly."
"371340","372560"," Uh and hit. "
"372820","373800"," This is insane."
"373800","377800"," And try to slap that four forty five or something."
"378220","380580"," Do you release the bulls the bulls start running. "
"380700","381700"," That was the one thing too."
"382160","383600"," This morning before the open I'm like."
"384240","386880"," Do we get another two percent and we're fucking. "
"387520","388880"," That's a bull run boom."
"389220","389780"," We nailed it."
"389960","391400"," Twenty percent run is a bull run. "
"391820","393760"," It's not a bull market but it is a bull run."
"394480","398620"," Uh we're like two percent away from that move right now and why not slap it up there."
"398620","401660"," We also have an air gap above here at four twenty one. "
"401860","406640"," I want you to see it up here or yeah right here is a air gap at four twenty four"
"406640","407600"," twenty ninety three."
"408260","410380"," I apologize for my voice this morning."
"411120","412700"," You can see it right here. "
"412860","418860"," We'll we'll draw this in for this little put this little air gap above here."
"419160","420640"," See if it shows up in the fifteen minute."
"421140","422700"," And they just don't care right. "
"423840","427280"," We knew yesterday it's right up here and we knew yesterday."
"428400","432940"," The closed yesterday is two things that we knew yesterday is closed we knew two things remember"
"432940","435740"," when I was in here and I'm like this is bear capitulation."
"438300","438980"," Excuse me. "
"439840","446920"," And I'm like I'm like price is not following in spy right now to ES and SPX."
"447420","452480"," They were pinning this into the close yesterday like real price if you looked at real price on SPX"
"452480","453040"," down here."
"453520","458060"," And you looked at real price on SPX and ES here it didn't follow higher and it should have into"
"458060","464520"," the close and it didn't it got pinned so we're getting squeezed up to where that was right now on"
"464520","464960"," the spy. "
"466580","467820"," That's happening right now."
"467940","470380"," There's that gap above four twenty one."
"470620","472760"," I expected this but I didn't expect it today. "
"472860","473560"," I'll be honest with you."
"473640","474300"," I was like yeah."
"475000","478460"," I was like hopefully we can get down here to this five minute candle maybe. "
"479380","481020"," We're not this spot that not that one."
"481240","481860"," I was whole second."
"482140","484800"," I was thinking I'm like oh my God please just let me get a buy. "
"485600","489640"," And they just didn't they just ripped it like the one and five minute down here as soon as they"
"489640","491860"," got down to this five minute it was gone off and running."
"491860","494340"," Didn't wait for the hourly didn't wait for anything."
"494340","496960"," They were just like let's go up there and fucking tag it. "
"497560","498080"," Okay."
"498600","499780"," Good enough for me."
"500460","505720"," I mean whatever you want to do you can see it right now right it's happening right now. "
"505720","506640"," It's playing out."
"506780","507680"," It's mind blowing."
"508800","512600"," I'm going to post on fence with that they didn't even wait. "
"513220","514320"," Didn't even wait."
"521159","522059"," Just ripped it."
"526740","530180"," Okay so so we know that they ripped it up here. "
"530280","531160"," We squeezed it up higher."
"531240","533760"," We know we've got the gap above it for twenty one and some change."
"534760","539740"," We know that our to you know that it's going to be sellers waiting above here at some point trying"
"539740","540600"," to sell this down. "
"541460","542660"," Do we get there today?"
"543580","545960"," I mean dude what today is Thursday right."
"546500","549180"," You know we've got a I mean this is insane."
"549960","550620"," Can't even. "
"550900","552780"," This is the I'm in shock this morning."
"552780","553760"," I got to be honest with you."
"555400","558340"," We got non farms tomorrow at eight thirty in the morning. "
"558660","559520"," I'm in shock right now."
"559620","560840"," I'm telling you I'm in full boat."
"561460","562920"," Full blown shock. "
"563700","565340"," This was a lot of hard work man."
"565620","566380"," This started back"
"566380","575800"," in October."
"577180","581180"," And it's brutal like to meant that you're inside your head you're you know you're constantly"
"581180","582220"," battling with yourself. "
"583720","587300"," And you're my doing the right thing by doing the wrong thing or you go in there we not going"
"587300","590820"," there and I was a little emotional this morning when I get on because."
"593660","599800"," You know you got if some of you guys have been following me for a long time."
"606680","609060"," Some of you guys have been following me for a long time and. "
"627350","628150"," Hold on a second."
"628390","629090"," God damn it."
"633820","634580"," Hold on a second. "
"636120","637660"," Come on get over it."
"647400","648540"," We're down here right."
"650500","653120"," I made some videos about buying this bottom down here. "
"654160","656360"," And then back over here too."
"667620","668020"," Fuck."
"679320","680280"," Give me a second here. "
"686970","688950"," Told you the DCA down here didn't I."
"692350","694550"," And I told you that if it came back down here."
"697270","701090"," I told you the spots right told you we got down at three thousand."
"701750","703310"," And I told you not to miss it right. "
"704010","706370"," You'd rather you'd rather be DCA and down here."
"708230","709030"," And."
"715220","716020"," Shit. "
"746970","749730"," You know this was death and destruction down here."
"757020","757820"," Man."
"773450","774470"," Hold on one second. "
"798680","800280"," All right."
"800280","806340"," I'm like I'm sober but I have to like calm down here because way back in."
"807340","808420"," Man I remember. "
"812360","819380"," I remember way way way over here man."
"819500","820000"," This was like."
"825820","827360"," Way down in here man. "
"827460","829440"," This is like the depths of the market held down here."
"829920","830720"," Three forty five."
"831760","835740"," I remember when I was like I came out one morning and said buy this shit. "
"835840","837100"," I got so much shit on Fintuit."
"838220","840940"," Like the first one and then I said buy this one too."
"842240","845820"," It went on these like rant raves and shit about we're at three fifty. "
"847060","848840"," I was like if we go to three thousand."
"849820","852820"," You're in on the fucking spy fucking thirty one hundred."
"855280","859080"," Like how do you not like people are people are buying the fucking spy at a top. "
"859580","863220"," I'm like how do you not buy the spy at some kind of a bottom at some point."
"863460","865660"," If I were buying it five hundred and I'm saying no."
"866000","867240"," Same on Tesla on highs. "
"870650","872630"," You want to be a buyer down in Lowe's."
"874590","875290"," Oh I got."
"876510","877770"," God damn it's good. "
"894900","896340"," Gotta be cool here for a minute."
"898860","900440"," Let's look at Tesla real quick."
"908360","910060"," One ninety four forty two. "
"912660","913280"," God."
"918250","919910"," Look at that."
"921150","922790"," The thing of beauty right there. "
"924790","927230"," I don't care if it only lasts for today."
"927830","928490"," Feels good."
"931150","932710"," That feels fucking good. "
"932850","933210"," I'm sorry."
"934930","935970"," That feels good."
"936390","939150"," Can't take that shit away for today. "
"940290","941090"," Hell no."
"943830","945270"," Let's look at Tesla real quick."
"947770","948310"," Okay. "
"950190","952990"," To get rid of my little my little yellow line right here."
"958690","961570"," Like a looks like a like a baby or something."
"964150","965190"," As we come up here. "
"965370","968150"," I want you to see this blue line right here."
"970290","972930"," You're likely going to get a reaction as we trade up here."
"972930","974550"," I want you to be aware of that. "
"974650","976490"," It doesn't mean we don't break through this blue line."
"976570","979610"," If you're a Tesla Tesla investor or whatever."
"980810","983690"," You need to want to talk about a few bigger things. "
"983910","987210"," But I do want you to know that you should buy bottoms."
"987930","989370"," You can decide what you do."
"990330","991750"," If you're going to take the money and run. "
"991990","994190"," If you're not going to take the money and run you have to head your positions."
"995410","996690"," It always really is that okay."
"996870","997470"," Protect your money. "
"997630","999650"," Protect your investments the stuff that you do."
"1003340","1005220"," So you get this number up here."
"1005320","1009040"," 195 86 normally it starts to you don't always get to this line. "
"1009200","1009340"," Okay."
"1010960","1012420"," So you know we could roll right here."
"1012640","1016140"," This is like a time and a place for you to protect your investment. "
"1016140","1017420"," If you're not going to sell your underlying."
"1018000","1019140"," You need to put a hedge on."
"1020200","1021680"," If we do break through this line. "
"1025630","1029390"," If price breaks above and wants to hold and make the next trade up higher."
"1030430","1032369"," This is not the place for you to be unprotected."
"1033069","1034270"," This is not the place for you to be long. "
"1034490","1035530"," It'll be long after this."
"1035770","1036630"," This here."
"1036810","1036970"," Okay. "
"1039050","1040310"," If we reject here."
"1040970","1041710"," We come back down."
"1042569","1042990"," Right. "
"1043290","1046849"," You're going to wait to position to get some confirmation that we're heading back up."
"1046849","1048950"," To retest and break through this level."
"1049830","1051130"," You need to be tactful. "
"1054690","1058850"," In protective of the money that you make and the investments that you make and stuff like that."
"1060650","1061650"," Next target above."
"1062110","1063950"," If we do get above this blue line and we hold it. "
"1066130","1068770"," 221.05. Do I think we go get straight to there?"
"1068890","1069590"," Probably not."
"1070430","1072290"," Now there's work to be done above here."
"1072690","1074970"," And I want to show you on a larger time frame what I mean. "
"1074970","1078390"," And you know that there's going to be bears above waiting for you."
"1079090","1079850"," That's legitimate."
"1080190","1082070"," Real sellers will be there waiting for you. "
