"start","end","text"
"98630","101110"," Yeah, there we go."
"101510","102290"," Oh, yeah."
"103570","104390"," Oh, yeah. "
"106290","107430"," Good morning, everybody."
"109930","110890"," What's everybody doing?"
"111590","113030"," Yeah, it makes us back up here."
"115350","117390"," We bring up here to bring this one up. "
"119230","120230"," How's everybody doing today?"
"120690","126550"," Let's see if we can get the comments there and bring that one up."
"129570","130430"," How are we getting there?"
"130810","131130"," We're getting closer."
"133930","134930"," Everybody's doing well this morning. "
"135430","136330"," You guys saw him hit me out there?"
"138130","139370"," Hope you guys can get me out there."
"139790","142230"," So, I'm still working on, uh, I got a bunch of stuff."
"142430","146370"," We're working on here, but it's like my game's a little high this morning. "
"146630","147170"," We'll turn that down."
"149430","150770"," Let's see what's in here right now."
"152070","152590"," Good morning, Gerald. "
"152850","153470"," Good morning, Crossy."
"153650","154870"," Good morning, not a super engine bar."
"154870","157510"," John Smith, Jake Euthist, and Eddie Lee's. "
"158270","164250"," Marcus Stevens, and then he got three Danny, Dan Cornish, Pathen, Gerald, Sheeshiner, Richard."
"165070","169210"," He's on Hot, Hot, Hot, X, 3 of a blind nest that was moved."
"169770","172270"," Marcus, Thomas, 3-3-3-4, Dan. "
"172970","175090"," Good morning, music's a bit too loud."
"175470","176330"," We'll send that down a little bit."
"176670","178210"," I think my microphone's really high, too. "
"179430","180710"," Turn that down a little bit."
"184690","186750"," A bunch of different ways to go around here."
"187330","188990"," I got some mixer issues this morning. "
"189150","190690"," I've got, like, double stuff going on."
"191650","192510"," Good to see everybody."
"192670","194550"," Good morning, Pathen. "
"194670","195310"," Good morning, Marcus."
"195590","197210"," Coach, thanks for saying our good morning."
"198390","199550"," Marcus sold the clothes. "
"200390","203570"," Marcus must be stoked this morning without"
"203570","213750"," a"
"213750","213770"," doubt."
"216070","217630"," Starting yesterday at some point."
"217890","222570"," I took the rips up higher, but I was buying puts all the way up into four today. "
"223390","226570"," So Samuel, Jeremy, Dejan, JB, James P."
"227730","228970"," Microphone is lower than the music."
"229190","230410"," Yeah, I just lowered the mic real quick."
"230510","231190"," I probably shouldn't have. "
"231890","233410"," So we're going to turn the music off anyways."
"234070","236130"," What we're going to do is we're going to have a quick talk this morning."
"236130","236250"," Good morning. "
"237770","238550"," I'll be tested."
"239050","247230"," I muted my, what I'm doing was muting my, I forget what it's called, but my monitor this morning."
"247650","249690"," So what I'll try to do is I'll turn up my mic a little bit here. "
"250530","252050"," I had turned it down slightly."
"252710","253530"," See if that helps."
"253990","259450"," So if any guys, I know some of you out there have PCs or phones that don't play too loud,"
"259630","261170"," so it's back up. "
"261170","268790"," I think I have the live stream up and running inside of discord this morning."
"268790","269810"," It's on a voice channel."
"270750","274530"," I think it's on the stock market chat voice channel inside the discord. "
"274990","276750"," So you do have live stream."
"277550","282330"," You just make the screen large and it'll give you real time options flow."
"282890","284330"," It's 903 this morning. "
"285170","287350"," We're going to get some stuff out of the way and we're going to talk about the market."
"287350","290110"," We're going to talk about how to trade quad-witching."
"290590","293250"," What you guys are always should always be looking for in quad-witching. "
"293250","296010"," We're going to address 4050 4000."
"296270","298270"," We're going to address 4510."
"299950","302910"," We're going to address some stuff here and do some talking. "
"303690","312030"," Now I have not, so I had set up a, I haven't set up with one of the interns plugging"
"312030","315750"," this stuff in for me for trading view to share with you every morning, but I will have that by"
"315750","316210"," the weekend."
"316210","321190"," I'm going to have to get her on teacher how to input the data every day."
"321450","322290"," So you'll have that by Monday. "
"322690","326910"," Until then, right now, I just want you to look and see these levels here."
"327630","332170"," You can come back in the video, pause it, come back as I close these out so you can see"
"332170","334930"," the gamma levels for the market."
"335190","339270"," This is of course RTY, the rut, the Russell F and crow. "
"340510","343690"," Then here we have NDX, NASDAQ."
"344170","345630"," The next one here is spy."
"346130","349850"," So you have your spy levels for 40, for 42, 45, for 50. "
"354350","355710"," And hold on a second here."
"359640","360780"," Spring time's coming."
"361520","363200"," And then this is the spy of course. "
"364040","365200"," And this is the SPX numbers."
"365440","368980"," You can always pause this broadcast, come back to them until they have them on trading view in a"
"368980","369640"," script for you."
"369640","370920"," I did make the script. "
"371240","374540"," I looked at it last night and I think I might have fucked up the script."
"375480","378860"," I was trying to adjust the script or something like the kind of nonsense like that."
"378960","386540"," Anyways, today from the economic calendar we had existing home sales this morning at 9am. "
"387080","390600"," My original outlook on existing home sales would be that they would trail off."
"391380","393160"," I've changed my viewpoint on that."
"394060","398280"," I think with the Fed trying to manipulate the market for the next year or two, believe it or not. "
"398280","400000"," There's some disagreement on that."
"400360","404420"," That we might have a decent housing market for the next year or two."
"404640","405860"," I think it's going to extend. "
"407140","410720"," We had an 815, excuse me, that's, I was just trying to hear."
"413220","419220"," And then at 9am, excuse me, 1130am, we've got the Fed, the Fed, little chair, bark and speaking."
"420600","422040"," So keep an eye on the 1130 hour. "
"422040","424240"," We've got Evans speaking at 1pm."
"424820","427600"," Then we've got Bowman speaking at 2pm."
"428340","431420"," So there is some volatility slated for today. "
"431920","435040"," Of course, the other big news today is we've got OPEC's today."
"435960","440160"," We've got those, OPEC's really should can't extend into the month, believe it or not."
"441700","446020"," How I trade OPEC's typically is if I'm already in a position. "
"447140","449540"," Let's say I'm in a position, doesn't matter if it's long or short."
"450220","453780"," You should get good opportunities today to close those out."
"454420","457980"," So if you see you're in a position and you're not quite happy with it. "
"458400","460360"," Sometimes at some point today."
"461240","463120"," You may see that position improve."
"463640","466300"," So don't lose hope whatever position that you're in out there. "
"466680","471660"," As people are closing their positions for the quarter and reopening new positions for the next"
"471660","473460"," quarter and what their plan is, right?"
"473600","478400"," What the position is leading up to the next quarter or for the next three months."
"478400","485300"," So you might see a wild action within the market today and furthermore, with that, you'll see you"
"485300","486880"," should typically see a high volume day."
"487300","490060"," This doesn't always work out well for day trading. "
"490800","496820"," But if you're in current positions, you'll sometimes see your positions improve wildly at different"
"496820","497920"," points in the day."
"498320","505240"," You will see moments where the market is quiet and then you'll see moments of of hectic volume in"
"505240","505640"," the market."
"505640","510940"," The next thing that I want you to realize today is on quad wakes, which is typically between the"
"510940","514659"," hours of three and four p.m. We have the highest volatility of the day. "
"515159","517679"," Now JPR spark Amazon has an implied move."
"517780","521000"," They have only a think point eight six percent, not too bad."
"521440","524900"," But I don't know if I believe that that will be the case at all times today. "
"524920","526780"," I think you will see some violent moves."
"527540","534440"," There's sometimes an opportunity here to look for stocks that have maybe been beaten down for a"
"534440","535260"," year three months."
"536000","538440"," And see some of the shorts lifted off those. "
"538840","543840"," You might even see an aggressive short on those stocks for a capitulation move down."
"544160","549160"," And the point in that is if you've had your eye on a stock, keep your eye on it today,"
"549540","550820"," because you might have that moment."
"550960","552900"," You like a perfect one be like paramount, like by com. "
"553220","555620"," I'm not saying that stock specifically, but a stock like that."
"556020","562840"," You might see a capitulation move way, way deep, deep down or a squeeze higher today."
"562840","567340"," But if you see like that move way down, you might want to grab a stock like that. "
"567680","572560"," If you see a stock like that instead that squeezes higher, it might be time to take some profit on"
"572560","573220"," a stock like that."
"573660","578660"," So just be patient in your positions that you're already in today, because you might get some"
"578660","582720"," closure to some longs that you have or even some shorts that you have in this market."
"583340","584700"," So I'll be paying attention to that. "
"584960","585700"," Be patient."
"586240","589620"," Friday, Opa, quad, quad, which is always a time to be patient."
"590060","594680"," I've seen Tesla in the past, it just dropped 90 points on a quad, which. "
"595040","596400"," So just be patient."
"596720","599040"," Sometimes that first dip isn't the dip you're looking for."
"599200","603400"," And then sometimes it's that time of the day you're looking for that high volume moment in whatever"
"603400","604720"," stock they're moving in and out of. "
"605480","609760"," And repositioning and you might see stocks that have been, that have been huge for a year and start"
"609760","611080"," selling off at some point today."
"611080","614260"," Okay, something you've been in for nine months or a year."
"614940","616540"," You might see it got actually grip higher. "
"616920","621120"," You'd want to take profit at that point in case they dump it at some point later today."
"621820","625140"," Spock again, this morning, this morning is saying futures were quite overnight."
"625820","626640"," Not so right. "
"627100","628200"," We're holding near 4380."
"629100","634180"," Our volatile expectations decreased dramatically today, but then she implied move of 0.86%. Opened"
"634180","636000"," to close versus 1.40% yesterday."
"636200","638760"," We see resistance at 4400 and 4425. "
"638760","640320"," I'll show you those marks."
"640660","645020"," I posted that that on at captain's captain's off this morning with the new support and resistance"
"645020","645460"," lines."
"646000","648880"," And support shows at 4380 4350. "
"649140","650240"," Op X day has finally arrived."
"650660","655560"," Our models show roughly one third of the total SB QQ's options positions expiring today for both"
"655560","656260"," the SPX by."
"657500","659540"," The 4400 strike is dominant. "
"660280","662000"," We look for a pinning around this area today."
"662500","666460"," The chart here shows just how large this 4400 call position is."
"666460","669160"," So right now we're trading low, right?"
"669280","669860"," We're trading 435. "
"670400","672540"," We idea would be that we're going to pin 4400 today."
"672560","673680"," That's what Spock Emma's saying."
"673880","675200"," Now there's a flip side to this. "
"676220","678420"," It was the spy flow, which was most interesting yesterday."
"678640","681140"," Large volumes of 4400 and 4350."
"681460","687620"," But interestingly, despite over 35 or 30 or 350,000 contracts right at 440 C."
"687860","690280"," We talked about that strike yesterday all day long. "
"690760","693760"," The net open interest change was minus 1277."
"693760","699380"," Further open interest change table will show spy calls for net clothes that strikes less than 438."
"700440","703240"," We suspect this trading is tied to the spy dividend. "
"703900","706860"," Now remember yesterday when I talked to you and said, Hey, look, at some point."
"707060","711060"," Remember at some point yesterday, I said to you, Hey, do you see the premium slipping off this"
"711060","712000"," small move down?"
"712380","716800"," That was closure of those 440 calls before they came to fruition, right?"
"716980","722380"," We actually saw that happen yesterday where I said, Hey, you're seeing a premium kick off of this"
"722380","723740"," of this strike right now."
"724360","726720"," This is broken as we're making our dips. "
"726720","730480"," We weren't really losing a lot of premium, but then at some point we did later in the day."
"731120","732540"," And so that's what they're talking about here."
"732960","736500"," Because of the steps of central rally in the market for the past few days, the money of X hedge"
"736500","737740"," clearing day is a bit more cloudy. "
"738760","743000"," Okay, this is if you don't understand this, we'll discuss it this in the broadcast today."
"743040","744420"," I'll explain it deeper if you'd like."
"744780","749580"," This is because large propositions have been crushed before OPEC's before OPEC's not leading into"
"749580","753140"," OPEC's, but before, which may reduce the related hedge unwind for Monday. "
"753600","757880"," Meaning they may not get that continued ripping rally on Monday."
"758640","762740"," Recall back to January when the market was screening lower into Friday, OPEC's midday on Monday,"
"762780","763320"," the market's bounced."
"763800","765340"," This time the OPEC's energy show speaks. "
"765420","769900"," Matter of fact, this bounce on that Monday, if you bought the first one, you got fucked."
"770200","772320"," It kept selling off on that day."
"772420","773380"," I remember this day clearly. "
"774240","776340"," This time the OPEC's energy show speak has already been discharged."
"776340","781700"," Therefore, we will enter Monday with a reduced notional gamma, which applies less dealer hedging"
"781700","782140"," impact."
"782520","784960"," If markets retain the 4400 level, this is key. "
"785980","786200"," Okay."
"786580","788980"," Then a grind higher up to 4500 seems likely."
"789320","790240"," We'd have reduced volatility. "
"791200","792540"," It'll take time though."
"792900","798080"," Good time to put some spreads on if we can maintain 440, some call spreads to go north to 4500."
"798800","802400"," Probably not a good time to buy weeklies or monthly calls at 450. "
"802960","804660"," Probably a ground up on the way there."
"804660","810920"," This is due to the fact that the 4400 seems, we see positive gamma starting to build and deflating"
"810920","812400"," implied IV right?"
"812600","817620"," Then a support note as we discussed last night, we've seen IV is currently fairly valued and so for"
"817620","818380"," all to reduce."
"819300","821900"," It's likely to likely a drain, not a flush. "
"822960","827720"," Yesterday in the broadcast back with the VIX, VIX was trading down like 25 bucks or something."
"828040","832940"," It wasn't a lot of room for it to fall more down to that $20 level to get to 4500."
"832940","838440"," And furthermore, you'd need the VIX at like 35 for us to make a move currently where we're at,"
"838900","839020"," right?"
"839160","842640"," Maybe even higher, 36 for us to make this ripper move higher again to 450. "
"843320","844360"," Just be aware of that."
"845100","847780"," That means it would to be a slow run up to 4500."
"848740","852740"," For the downside, under 4400, there is a slipstream down lower. "
"853580","857340"," This OPEX is reducing a lot of high delta and the money puts, but it also removes a lot of"
"857340","859960"," puts less or equal to 4300."
"859960","861500"," Therefore, we think of selling arrives."
"861900","866680"," A lower bound that is that was near 4100 has moved down baby down to 4000. "
"867720","868660"," What does that mean?"
"869160","875540"," It means cheap puts got cheap means that when I was buying calls three, four days ago and selling"
"875540","876580"," out of my call positions."
"877860","883520"," Yesterday and starting to add some short positions that there's a chance that not only am I doing"
"883520","887680"," that, but so are some fucking hedge funds and banks means that people out there."
"888100","892940"," See that puts are getting cheaper that they can reposition shorts that were at an OPEX that they"
"892940","894900"," can put some slap some puts on. "
"895180","897400"," Let's say they put them on for the three months away from that, right?"
"897780","900580"," Let's say they put them on from from now right into June."
"901520","904740"," And then we have dealers needing to hedge that stuff."
"905380","909200"," And so we could drift down lower to that 400 or 4000. "
