"start","end","text"
"2810","3890"," Here we go, B."
"5030","6130"," I-W-M."
"6390","7850"," Now looking so good right now."
"10090","12010"," Squeeze my roll over I think. "
"14310","15790"," We got some brain share."
"16550","18810"," We are higher though, we are higher than 5 and 10."
"24350","25750"," Check 1, 2, make check. "
"85600","87280"," Check 1, 2, almost there."
"93600","95400"," Well, if you have a little bit of..."
"95400","96740"," We got something to talk about today."
"98700","101800"," We have something to talk about today. "
"102400","106320"," Now I can't guarantee this, but we do have some to talk about."
"106740","116200"," The price is what matters."
"116420","117440"," Is that the camera not on?"
"118940","119460"," Okay. "
"120800","128060"," What's going on up there?"
"131280","133960"," We do have a slight tummy."
"135560","138900"," There's a first question about momentum earlier today."
"140140","141640"," We are going to break that up to you. "
"141880","143420"," We just switch right into the market brief here."
"150840","152620"," Good morning out there, how are you all doing?"
"152800","155720"," We are going to go straight into the market brief this morning as we are a little bit late."
"155720","157840"," I've got some meeting coming up I got to get to. "
"158160","161440"," I thought it was going to be earlier, but I've been waiting and waiting and waiting has not"
"161440","162160"," happened yet."
"162760","168400"," But right off the start here this morning, breaking stocks rise for the first day and three after"
"168400","173280"," FBI or FBI, February, CPI is about as expected."
"174320","178100"," Not too much here this morning in terms of news. "
"178560","181520"," We are going to likely talk about two big things today."
"181520","186280"," And that is momentum in the market."
"186280","188520"," I saw some talk about it this morning. "
"189340","195420"," There is some flattening of momentum, but it's more towards a corrective environment, not"
"195420","198020"," necessarily the entire market rolling over."
"198020","202500"," I think that's going to become a topic of conversation."
"203420","211060"," Now, even so that topic of conversation coming up, it's more relevant towards a broadening of"
"211060","214820"," price, where we get new highs, some significant lows. "
"214820","222300"," You should see traders be able to trade this larger range than we've had, but that doesn't"
"222300","226040"," necessarily mean the market is rolling over permanently or anything like that."
"226360","229020"," So we'll take a look at momentum today and see what you guys think of that."
"229600","233180"," We also had a slightly hot inflation print this morning. "
"233720","236320"," We'll look at that as well today at some point."
"236740","244360"," So give me just a few moments here."
"244360","250700"," The question about whether we're going to raise or cut rates in March, we'll discuss that, discuss"
"250700","253560"," that as well in this upcoming rate decision meeting. "
"254380","258760"," Most people are not expecting a rate cut at this meeting."
"259519","266000"," I think 75% of respondents to a poll I saw yesterday that was presented on CVS to the to"
"266000","269980"," the to the main street crowd right said, no one's expecting it."
"269980","271880"," This rate decision. "
"272260","273820"," So, and I'm not either."
"274000","276780"," They've been the Fed has been anti adversarial."
"277020","280060"," They have telegraphed what to expect. "
"280160","284720"," You figure at least two rate cuts this year, likely not back to back."
"285040","288180"," And there's a key point in this discussion about inflation here."
"289280","296780"," If they're all eyes are watching, if they do one cut, then no cut, then a cut, everything is OK. "
"297460","301700"," And the longer that they go without making a cut, everything is OK."
"302240","308900"," If you see any sort of emergency cuts or panic cuts, that's never a good sign."
"309140","309940"," You never want to see that. "
"310040","314240"," You want to see the Fed and the Treasury Department acting all common cool."
"315020","321820"," With that said, if you if you start to see those, you start seeing like a or cut this March,"
"321820","328920"," that's not going to likely be taken as a positive sign for the stock market economy."
"329360","333940"," More specifically, something being broke that we don't see. "
"334600","340680"," So the key point here in this in this question of whether we get rate cuts or not is this."
"342380","349260"," Differentiate between betting on a rate cut or not know that that's one thing on its own that has"
"349260","352760"," nothing to do with whether we actually raise or cut rates."
"353180","357620"," The second part would be if they take their time. "
"358760","362680"," Cutting rates or even raising rates, either or it doesn't matter."
"362680","363680"," Just just the."
"363680","368980"," The way that they do it does matter. "
"369340","371680"," The last part part on this too would be."
"372940","379640"," Well, well, the last part that I get into in this that not doesn't really matter here, but the"
"379640","389000"," velocity of inflation of unemployment of jobs of the yield curve, all those things."
