"start","end","text"
"21900","22500"," Morning."
"22600","23320"," How are you?"
"46300","47320"," Good morning out there."
"47420","47740"," How y'all doing?"
"47740","48540"," Just getting set up here. "
"48740","49220"," Couple seconds."
"90200","99140"," All right, good morning."
"101660","103040"," Got a couple quick things to do here. "
"110780","114320"," And then I got a couple quick things go right into here."
"115880","116780"," Good morning, everybody."
"117260","118520"," How y'all doing this morning?"
"120140","124320"," We have got one quick thing to do here. "
"131420","133300"," And we'll look at this this morning."
"134020","136320"," It's a good night so far to hold overnight."
"137780","146000"," Though I saw some people noticing there was there was a gunshot in the market this morning. "
"146000","147380"," You can see it right there in the chart."
"148600","154470"," And that was a reaction from the daily."
"157930","161500"," From the daily gun, right?"
"161820","163360"," I am like a shot this morning. "
"165300","170380"," And we're going to take a look at it."
"172460","176200"," And we're going to staff some lines here so you can see it."
"176280","177540"," First off, just starting out this morning. "
"178500","179620"," Just so you can see."
"180580","182080"," We've got a pre-market high here."
"182260","184740"," We've got the clothes over here and down below here. "
"184800","185660"," We've got the pre-market low."
"186420","187480"," Sometimes we're at the bell."
"189080","190800"," I've got some I got a bunch of puts out here. "
"190920","193660"," So I got to deal with those here in the next couple minutes."
"193660","194760"," Don't eat minutes or so."
"194760","196840"," You're not going to have me with you here for the second of the bell. "
"197400","201800"," Sometimes I'll come back down and test this pre-market low."
"203260","205400"," If we green bar it up, we'll come back down here."
"205660","208920"," Now we'll take a look at where I expect us to go off the bell briefly. "
"209420","213940"," We'll look at it just so that you have some idea where I think we're going to go off the"
"213940","214120"," bell."
"215300","218540"," I am not one that is known for."
"218840","225920"," So let's say I'm holding calls right here, right?"
"226380","229460"," And I even expect we're going to go up here holding calls. "
"230100","235620"," I will still take the money and run and look for an entry for that rip higher."
"236400","238980"," I never lose some."
"239520","244100"," But you know, for me, money made, like every single day, I'm going to take a look at it. "
"244100","251440"," So every time I hold overnight on a 0-8, up or down, the longer I hold, the more risk"
"251440","252100"," I take on."
"252380","253880"," It's a directional trade, right?"
"255660","263700"," Let's not say I win 70% of these, just by holding them, hoping myself up to new risk, like"
"263700","265560"," rolling the dice the second, third time."
"265840","267120"," We're gonna talk about that today. "
"267220","272640"," We're gonna talk about the 0-8 gamblers and who they are and are they us, which I don't think"
"272640","275100"," that they are, but we'll talk about it."
"275520","281900"," And maybe some of you might be because I do see some people on social media that remind me of"
"281900","282260"," gamblers."
"282820","289020"," And we'll talk about what to look for, how to identify that this morning as well as it being a"
"289020","289240"," Friday. "
"291140","292620"," We'll review this kind of stuff."
"293460","298040"," And as a matter of fact, I was talking to a buddy and some of you guys out there know"
"298040","300020"," how I make most of my money in the market."
"300840","304820"," And then what I do to day trade, what my day trading rules are. "
"307140","308580"," Some of you don't, but some of you do."
"309160","312020"," Now, we'll go over that this morning, if you have a moment."
"312660","314640"," And we'll take a look at something here. "
"314800","321100"," I'm gonna close some stuff up and just give you a a brief look here, okay?"
"321900","322780"," As we open."
"325300","333280"," Now, as we open here, we've got kind of close here, right?"
"334340","336300"," We've got the pre-market low below."
"336840","342160"," I believe that at a pre-market low here. "
"343400","344500"," We'll get rid of this one."
"346860","348320"," And we have a pre-market high."
"349160","350160"," Let's see if I can look at this. "
"353730","369510"," 408.32. 405.01. So that's 405, not 43, but 405.01. The"
"369510","373990"," charts from Trading View don't do the best job."
"375710","378990"," I don't know, maybe some of the data I'm not paying for or something."
"379930","381470"," And then we've got 408.01 up here. "
"382650","383470"," We have that right there."
"384210","384910"," Just check that again."
"386810","395590"," 408.32. So we've got way up here. "
"404750","406790"," Now, what do I think happens off this bell?"
"407010","408230"," We've got four minutes left."
"409470","410630"," I think we squeeze higher."
"411810","413410"," Off the bell, I think we squeeze higher. "
"413690","415570"," I'd like to see a squeeze higher off the bell."
"416490","420830"," Come back down, catch this, and then make that run in failure on 410."
"421530","423990"," We could just start running right off the bell as well. "
"423990","424810"," We'll find out."
"425730","429270"," I think Jenny Marcus said something and double cap crimping or something."
"429670","431510"," People are noticing this off the bell. "
"432590","436530"," And now that the funny part is now that Marco has said something and prior to that some other"
"436530","439190"," people had said some stuff, cats out of the bag now, right?"
"439710","443570"," You know that your intent is to say don't, it's just like Mike Barrie, right?"
"443750","445210"," He shouldn't come out public and say sell."
"445910","447570"," He just kept his mouth shut."
"448070","450430"," Probably sold, but now you've got the cat out of the bag. "
"450990","453170"," We've got zero to call buyers in the market."
"453170","456350"," And so now you're going to have everybody out there trying to buy fucking zero dates."
"456990","457710"," So whatever. "
"458110","464750"," If I was going to be scared of that because you're going to get an unintended consequence of, hold"
"464750","484040"," on a second, I had"
"484040","488380"," to get ready for a, I don't get, I don't get fucked over over here."
"489520","494920"," Ain't to blab my mouth off and end up getting torched."
"498570","501130"," So if I had to guess here, we're going to, we're going to, we're going to. "
"501190","502590"," So right here, just coming in the bell right here."
"502650","503930"," See the one minute here."
"506310","507030"," 406 36. "
"508730","509090"," So."
"512409","513130"," 406 36."
"518390","519370"," Right off the bell. "
"527190","528210"," The two minutes left."
"528530","529870"," We can stay above this right here."
"533740","536400"," We should, we should run higher off the bell. "
