"id","start","end","text"
"BDkVo3_KcxI","0","2000"," You"
"BDkVo3_KcxI","30000","44880"," Expect to wake up to this"
"BDkVo3_KcxI","51480","56420"," All right, I don't know if any guys can hear me out there. Sorry. I'm just getting set up right now"
"BDkVo3_KcxI","60480","62640"," Morning Binky"
"BDkVo3_KcxI","62640","67580"," Yeah, I didn't expect this little enough you guys can hear me because I wasn't expecting to come on live this morning"
"BDkVo3_KcxI","67580","69580"," I just woke up"
"BDkVo3_KcxI","71160","73160"," You guys hear me out there"
"BDkVo3_KcxI","76960","78960"," Yeah, I can hear myself"
"BDkVo3_KcxI","79320","81320"," All right"
"BDkVo3_KcxI","83840","89440"," Now you might get some you might get some jit the the video when it starts this morning"
"BDkVo3_KcxI","91000","93740"," I might be jittery to begin with I"
"BDkVo3_KcxI","94760","100200"," Have book map running on the computer that I'm live streaming from"
"BDkVo3_KcxI","100920","106540"," So what I'll do is I'll turn book map on first for you, and then I'll cut it loose so that I can get"
"BDkVo3_KcxI","112680","115320"," Well do is I'll have book map on"
"BDkVo3_KcxI","116160","119800"," So you guys can see where the liquidity is"
"BDkVo3_KcxI","120920","125800"," The market the supply on the south side and the liquidity on the buy side"
"BDkVo3_KcxI","127080","129080"," Good morning everybody. Hope you're all doing"
"BDkVo3_KcxI","129800","135440"," Hey, yeah diamond hands. So all right. Let's get started. I wasn't expecting to come on live"
"BDkVo3_KcxI","135440","140080"," I was expecting to make you guys a video when I woke up this morning, but instead of that we'll go live"
"BDkVo3_KcxI","140080","145920"," All right, so I'm gonna make this really fast because it's 855"
"BDkVo3_KcxI","145920","150560"," I want to get you guys a ton of information before 930 this morning. So I'll be quick, okay?"
"BDkVo3_KcxI","152920","156600"," I'm just good. Just waking up here chugging coffee try to wake up"
"BDkVo3_KcxI","157000","159960"," I ended up going out with some family and friends last night"
"BDkVo3_KcxI","160640","163080"," Okay, so we're gonna start here with"
"BDkVo3_KcxI","163840","170480"," Where we are this morning now in absolute terms before the start of market open"
"BDkVo3_KcxI","171760","174680"," There's a few things you need to know I want you to know that"
"BDkVo3_KcxI","175760","182240"," Traditionally on the Monday following OPEC's on Friday. We tend to sell off in the overnight"
"BDkVo3_KcxI","184320","189040"," This is traditionally every year if you go back to last year the year before"
"BDkVo3_KcxI","189680","191680"," 2019 doesn't really matter"
"BDkVo3_KcxI","191680","196920"," We typically sell down heavily in the overnight and then swing much higher"
"BDkVo3_KcxI","197720","199520"," into the daytime"
"BDkVo3_KcxI","199520","205320"," Typically or today versus historically we should swing back up to 465"
"BDkVo3_KcxI","206080","209240"," Although believe it or not the sellers are at 470"
"BDkVo3_KcxI","209880","215040"," The major sellers are at 470 in this flip. So if you're a bear be aware of that today"
"BDkVo3_KcxI","215680","217680"," If you are a bull"
"BDkVo3_KcxI","217800","220400"," Hopefully you bought protection as we've always talked about"
"BDkVo3_KcxI","221120","223120"," In case we have moments like this"
"BDkVo3_KcxI","223560","227520"," Now on book map this morning, you should be able to see on a larger time frame"
"BDkVo3_KcxI","228400","231880"," We have a supply a steady supply of buyers between"
"BDkVo3_KcxI","232680","236320"," 450 there's a little bit of 450 but the majority at 452"
"BDkVo3_KcxI","236680","239800"," There are some sellers at the 456 area"
"BDkVo3_KcxI","239800","248880"," Which is kind of wonky because the major sellers are really up here at 470 you can see the the the sellers and the buyers here"
"BDkVo3_KcxI","249880","253080"," To me this looks like previous years where"
"BDkVo3_KcxI","254000","259200"," You have a continuation of sellers from Friday that are being absorbed this morning"
"BDkVo3_KcxI","259840","264720"," For a move higher to 470 now we do have some major issues this morning"
"BDkVo3_KcxI","264720","270600"," This will be good for the bears overall in that context, but I do want you to realize that in previous years"
"BDkVo3_KcxI","271520","274960"," Not just previous but every previous year on December opex"
"BDkVo3_KcxI","275040","281600"," We typically sell down in the on the Sunday to Monday. It would have been normal to have done this this morning"
"BDkVo3_KcxI","282520","289040"," But we do have some problems in this morning specifically in the mechanics of this morning now we have to watch"
"BDkVo3_KcxI","289600","295200"," For sure to find out if we have bearish or bullish flow into the rest of today"
"BDkVo3_KcxI","295600","302400"," That would confirm the bears thesis at this point because we are heading lower into bear country"
"BDkVo3_KcxI","303280","310560"," But do not be surprised if you were to see us swing up today to this 470 level. It's definitely on the table this morning"
"BDkVo3_KcxI","311200","313200"," The bears want to be getting below"
"BDkVo3_KcxI","314080","318560"," I'll show you here on the chart, but they want to be getting below 4500 this morning"
"BDkVo3_KcxI","318640","320320"," That is their whole mission"
"BDkVo3_KcxI","320320","326680"," But you can see on the right here the buyers are stepping in in mass to take this much higher this morning"
"BDkVo3_KcxI","327160","330000"," some expectation just by looking at book map as"
"BDkVo3_KcxI","330960","334320"," You might see a small quick tag at the open this morning"
"BDkVo3_KcxI","335040","344000"," But if the if you get these buyers so these buyers were in here on friday into the clothes and the buyers are absorbing sellers no matter what anyone tells you"
"BDkVo3_KcxI","345280","350480"," From I think it was like for no 330 into 6 p.m"
"BDkVo3_KcxI","351040","355360"," This the buyers were absorbing all the sellers the moment that the market closed"
"BDkVo3_KcxI","356240","358480"," It looks like to me that that liquidity was thin"
"BDkVo3_KcxI","359120","364480"," You've got probably have hedge funds trying to drop it and spook the market"
"BDkVo3_KcxI","365600","368320"," And then of course this morning once the cash market opens"
"BDkVo3_KcxI","368800","374560"," Liquidity ramps back up the buyers ramp back up and you should see something like that at the open this morning"
"BDkVo3_KcxI","374960","378800"," That's just from book map i'm going to turn it off right now and i'm going to talk to you about"
"BDkVo3_KcxI","379120","382080"," I'm going to talk to you about because this book map takes up a ton of"
"BDkVo3_KcxI","383040","386320"," Computing power. So that's what I wanted to show you in book map"
"BDkVo3_KcxI","386320","388320"," And"
"BDkVo3_KcxI","388320","393920"," Then i'm going to show you what you need to be looking at and that would be this article came out"
"BDkVo3_KcxI","394400","397680"," I always like to read articles that are meant for main street people"
"BDkVo3_KcxI","398640","402880"," And last night there's an article that came out at 930 in the evening on cnn"
"BDkVo3_KcxI","403440","410160"," Now I like reading articles like this briefly because it's it's not for consumption of traders and invent or"
"BDkVo3_KcxI","411120","413600"," It's meant for investors and not traders"
"BDkVo3_KcxI","414480","419040"," And you've you've got it all being tied together where all of a sudden joe mansion"
"BDkVo3_KcxI","419600","423360"," And you've got the bbb as negative growth implications"
"BDkVo3_KcxI","424080","430480"," This is all bullshit by the way. You've got the bank gs has trimmed back their expectations"
"BDkVo3_KcxI","431200","434960"," Uh for forecasts for the second quarter of 3 from 3.5"
"BDkVo3_KcxI","434960","436400"," percent"
"BDkVo3_KcxI","436400","437840"," Yadda yadda yadda"
"BDkVo3_KcxI","437840","440320"," This morning, it's funny too because at the end of this article"
"BDkVo3_KcxI","441120","443360"," Gs says but the door is reopened"
"BDkVo3_KcxI","444560","447760"," That we still might have 3.5 percent on the menu. So"
"BDkVo3_KcxI","449760","455040"," This looks like a lot of hot air and I wound up this morning briefly looking back at"
"BDkVo3_KcxI","456080","458080"," CNBC last year in this date"
"BDkVo3_KcxI","459120","463840"," And on the date in 2019 and it was the same it was the same bullshit being talked about"
"BDkVo3_KcxI","463920","468320"," Of course end of the day next day you check and all the losses were recovered"
"BDkVo3_KcxI","468800","471840"," So be careful if you're a bear today on that note on the news"
"BDkVo3_KcxI","473040","479040"," Uh, but we do have volatility. I expected us to have an update today or this to be the downest day of the week"
"BDkVo3_KcxI","479600","487040"," With and with an update by end of day. Now on today. We have not many not many uh economic news points"
"BDkVo3_KcxI","487360","490160"," But tuesday, you know, we have biden coming out"
"BDkVo3_KcxI","490640","493200"," Uh, which will add volatility of the market"
"BDkVo3_KcxI","493600","499840"," Wednesday is a volatility day and thursday is probably the biggest volatility day that we have this week"
"BDkVo3_KcxI","500000","502960"," So my expectation was today would be the the high of the week"
"BDkVo3_KcxI","504560","507280"," Uh, but that's not looking like it this morning before the open"
"BDkVo3_KcxI","507840","512240"," Us being this low and want to show you now is is bad is bad for the bulls"
"BDkVo3_KcxI","512720","515600"," And we're going to talk about why right now. Okay, so"
"BDkVo3_KcxI","517360","519360"," This morning when we had tagged below"
"BDkVo3_KcxI","520240","522240"," Or excuse me when we sold below"
"BDkVo3_KcxI","522780","525680"," 4600 you can see right here. We broke below 4600"
"BDkVo3_KcxI","526480","528000"," in the overnight"
"BDkVo3_KcxI","528000","530000"," Regardless if it's low liquidity"
"BDkVo3_KcxI","530480","536640"," When we start to break below here. We this is your gamma flip area. So we are a negative gamma at this point"
"BDkVo3_KcxI","536960","542000"," This introduces volatility or negative volatility into the market"
"BDkVo3_KcxI","542880","546080"," And you're going to want if you're a bear out there listening to this broadcast"
"BDkVo3_KcxI","546640","549520"," You are going to want to see a retest this morning"
"BDkVo3_KcxI","550160","553760"," Of the previous low down here at 4490"
"BDkVo3_KcxI","554400","556400"," Want to say that's at 4490 right now"
"BDkVo3_KcxI","557120","559920"," You want to see a break below this 44?"
"BDkVo3_KcxI","561360","567280"," 91.25 on the es I know the number i'll look at the number on on spy this morning"
"BDkVo3_KcxI","567280","572240"," But you want to see at the battle if you're a bear a push down you want to see red bars down here"
"BDkVo3_KcxI","572560","574560"," You want to see a break below this 449"
"BDkVo3_KcxI","575360","577360"," 1.25"
"BDkVo3_KcxI","577920","581520"," To signal a move a d away deeper move our wave"
"BDkVo3_KcxI","582080","585920"," larger move down lower to we'll start at"
