"start","end","text"
"55500","56540"," Good morning, everybody."
"56840","57720"," Let's get hearing me out there."
"59340","66520"," Good morning, wife's boyfriend, Marcus, Jasmine, Bill, Matt, Doug, Christina, Jafar, Fazon, Chris,"
"66720","67000"," good morning. "
"68460","69760"," Turn this down here."
"78880","86340"," Good morning, Chris, good morning, Steven, Dragon Wolf."
"91860","94280"," Chris, Dragon Wolf, yeah, I think you, baby, good to see you. "
"94280","97820"," And this is, we trust a little big bear, Mary Garrison, good to see you."
"99420","104820"," Ryan, Todd, Mario, and Quiz of again, I'll take that name, by the way."
"105760","106220"," Okay, brother. "
"106960","108040"," Blindness target to see you as well."
"108220","108420"," Good morning."
"109020","109680"," Good morning. "
"110380","111120"," How's everybody doing out there?"
"113880","116080"," I'm running a little late at that one daughter with me."
"117600","120120"," She's sticking around beside me here doing her morning work."
"122840","126400"," Yeah, PPI is definitely hot this morning without a doubt. "
"128620","130020"," Yeah, we're doing it this morning."
"130240","131840"," We've got a good 20, maybe 18 minutes or so."
"132020","135860"," Good morning, Mr. Brown, five hertz, good morning, Dan, good to see you brother Mary. "
"138000","143260"," Yeah, the, the, the gross, we were talking about the groceries, right?"
"143460","148940"," About a week ago, we were talking about how I went out grocery shopping to a few different grocery"
"148940","149720"," stores."
"150540","151600"," Mary just brought that up."
"151740","154580"," I can't believe the, the inflation. "
"155100","156580"," I, we'll talk about that today too."
"156660","157560"," We get a minute here today."
"157700","158240"," We'll talk about inflation. "
"159120","159360"," It's wild."
"159360","162760"," I, I brought a house that I had a business plan for."
"164820","167740"," And I wrote the business plan when we had some high inflation. "
"168400","169720"," It's insane right now."
"170560","171080"," It's double."
"172260","173260"," And that's with no pitfalls. "
"174920","176580"," It's, it's, it's so razor thing."
"176760","177760"," And I can't pass that along."
"177940","181760"," If I ever had to, I was talking to Joe Doney yesterday, I said, if I have to turn that"
"181760","184760"," house, I don't, that'll keep it right. "
"185800","190600"," I want to keep it, but if I have to have the liquid in it upside down, we no way,"
"190760","200800"," no way for me to, to realize my realized games, it's,"
"200880","205400"," it's, it's not, you know, of course you've got taxes associated if it don't hold up for two years"
"205400","205800"," or whatever."
"206020","208900"," And it's, it's not a win-win."
"208940","212020"," But it's definitely used to hold the situation. "
"214180","215400"," So we'll switch over right now."
"216200","221020"," I haven't moved any of the, the support levels yet on this chart."
"221200","222080"," It's not really transferring. "
"224440","232980"," We'll take a look down so put some new support and resistances in this morning."
"233920","237360"," We know that, uh, support is general."
"237760","240180"," We'll talk about down here. "
"240360","245680"," There's some support in down here as well, like 436, 437."
"246200","247520"," We already know about this somewhere in here."
"248680","249620"," Call it right here. "
"250820","253020"," Matter of fact, we'll get rid of this one, whatever that line is."
"257360","259019"," We'll turn this one under a yellow one."
"263040","264960"," We know the collars down here, 434. "
"267040","268160"," Well, we'll look at this."
"268720","269300"," Look at this."
"269720","270740"," It's interesting too. "
"270840","273020"," This is the same line from yesterday."
"273140","280180"," We bounced, we ricocheted right off at this morning to make this S1."
"281120","285000"," We already know that our two is up here at like 445 or so. "
"287160","288400"," That's some pretty big resistance."
"288700","293560"," We talked about that yesterday at the end of the day."
"293560","297300"," I would like to see a step, the 450 still still on the 450 train. "
"297660","302840"," You know, like whenever you're trying to hold a short or take a short position on the market, you"
"302840","306380"," know, you end up taking like the first one and the better one was here, right?"
"306540","307560"," So look, my cursor right here."
"308080","309260"," You think this is it?"
"309860","316020"," In reality, it was up here and I'm always looking for that kind of a, um, I don't have S2s"
"316020","316680"," in here or not."
"316760","317220"," We'll take a look. "
"319340","320500"," There's S2 down there."
"320500","324800"," There should be some decent support down here."
"325100","326360"," I think this can break though. "
"326580","327900"," We can come down here and hit this channel."
"328080","329700"," We'll look at, look at the economic calendar."
"329860","331180"," We got some more stuff coming out today. "
"332100","336080"," You can see, I may have been showing you guys this for a couple of weeks now, posting this on,"
"336080","340400"," uh, yeah, R3s somewhere up in here."
"343120","346840"," R4s somewhere, maybe slightly lower, but the GPM collars down here."
"347420","351140"," There's one thing to note this morning is that you can see, you know, as we, as we come down,"
"351580","353860"," you're starting to see a coiling down here. "
"354440","359300"," Uh, my assumption is it's going to be a trade higher and not the trade lower."
"359580","365300"," We might get a brief moment of weakness here, or we do a technical touchdown below."
"366280","371220"," Uh, the concern here is, or the thing that we'll be watching today is if you're not in the discord"
"371220","377980"," watching the options flow today, you need to because today and tomorrow, I think we have expiries"
"377980","382340"," today and tomorrow, uh, because we have Friday off of the holiday weekend. "
"383640","389320"," The key would be that as these puts that are in the money or deep in the money expire, uh,"
"389480","394960"," the hope is that, uh, most of these puts are taken for profit at some time, even with all the"
"394960","396340"," doom and gloom that you'll hear today and tomorrow."
"396860","403140"," Usually it's weird because usually you'll get like maybe a fast move down and then you'll get, uh,"
"403740","407920"," uh, the realization of profit from those puts as they expire."
"407980","412700"," And then if you figure who's going to hold puts over the weekend, you take the money and run. "
"412700","414420"," This is a nice move down here."
"414780","417500"," It's been going on since the 29th, right?"
"418580","423000"," So 13, 14 days of down moves, very profitable."
"424440","430100"," And as those puts roll off the market, well, we should see a spike higher today tomorrow Monday. "
"430840","431780"," How do you trade that?"
"431940","435620"," It's hard because it could come today because tomorrow might not be realized till Monday."
"435820","441120"," The key is to find a low, if you can, grab some call spreads expire either Friday or expire on"
"441120","443580"," Monday, and you make the decision when you're going to close them out."
"443660","449320"," Some of the money call spreads at some point today and tomorrow on a low and see if they can"
"449320","450180"," print for you. "
"450540","455480"," Now with that being said, uh, we should we have a, we've implied move to anything of like 1.6,"
"455700","461140"," 1.7%. There should be some large moves here, uh, this morning, and you can kind of see why now,"
"461140","465860"," though what I'm saying to you about discord is they should keep your eyes on the options."
"465880","466260"," Slow."
"466580","472180"," If we don't see continued hedging and put buying today, uh, that would give you the nod that we're"
"472180","473040"," going to go higher today. "
"474140","475520"," So be conscious of that."
"475640","482240"," If you do sit, though, see, uh, the more puts being bought or if you see, uh, futures being"
"482240","486560"," shorted, right on a farther out contract, uh, we should go lower."
"486780","491400"," And my overall take in the market right now is still bearish. "
"491940","494340"," Um, my take on the market is still bearish."
"495640","502960"," I'm looking for a rejection for a better positioning at 445, possibly 450 for the next leg down."
"503380","509260"," And that, it's further backed up by just, just by looking at the market breath indicator, forget"
"509260","512440"," all the news that you're hearing out there, forget all the headline news that's out there right"
"512440","512659"," now. "
"513020","514820"," Just know that the market is rolling."
"514940","518320"," It's, it's rotating, but also rolling over at the same time."
"519580","521200"," Even if you're a bull, just be aware of that. "
"521620","522760"," What do we know where the price is?"
"522940","523020"," No."
"523179","524520"," Does it matter where the price lines up?"
"524740","527020"," Well, winds up once we do liquidate?"
"527300","531720"," No, the only thing that matters is that you know where that where that moment is and what that you"
"531720","534260"," can safely take along at that time."
"535540","536940"," And we're almost there. "
"537080","542080"," So when we get there, we're going to be throwing on some June, uh, some June spreads, right?"
"542220","547440"," That's going to come on to the, I'm going to post that live live stream and imposed it on Captain"
"547440","548480"," Captain's trades."
"549640","552500"," That'll be your first trade for this year, right?"
"552640","553260"," We're going to hopefully trade."
"553380","558420"," If we can get them in this year, we'll get 10 trades in this year in relative safety for 100 "
"558420","562660","% print, probably a month, like two or 300% print and we'll call them at like 100% so"
"562660","565680"," we're not fucking with the market when we place those trades. "
"566520","567600"," Uh, but we're almost there."
"567680","568600"," We're getting close, which is good."
"568760","570620"," If you're a bull, uh, be happy, right?"
"570960","574480"," We know that the market environment that we're in that we're going to have to buy bottoms and we're"
"574480","575120"," going to sell tops. "
"575340","576980"," We're not getting to all time highs."
"576980","578580"," We know that we know the regime."
"579040","584760"," We know that everybody's thought process is that don't don't be expecting all time highs early this"
"584760","586380"," year, first three quarters, let's say. "
"586600","589760"," And we know that if we do hit all time highs at any point this year, it's going to roll"
"589760","590340"," hard, right?"
"591640","592700"," We're aware of that."
"593020","597940"," We know that the noise that we find in social media, the news is not always accurate, but we also"
"597940","604360"," know that, um, that the general consensus tends to work itself out."
"604460","605300"," We can see it right here. "
"605300","607520"," We're still rolling over down here, right?"
"608160","611980"," Still rolling over, still looking for that green by zone down here, 250."
"612960","614360"," And when we've seen this, right?"
"614700","618340"," We remember we started talking about this and we were up here with the follow my cursor right here."
"618640","620700"," You remember right up here, we started following this way. "
"620740","626020"," I said to you, you will start to see, uh, less breadth to the market and we have come down"
"626020","628140"," and we'll continue to go down."
"628240","633500"," And so we have that, that quick moment, that quick first down, it'll be safe for us to buy some"
"633500","636120"," kind of a longer and over so oversold type condition."
"638520","641000"," So next, we're going to look at the economic calendar for today. "
"641000","642120"," We already know what the PPI numbers are."
"642260","642800"," They're hot, right?"
"643280","644900"," I post that this morning on Twitter for you."
"645400","650440"," Um, you saw how hot they were with 10 year ball bond auction coming up at 9 30. "
"652560","655100"," And then I think we've got some oil stuff later on today too."
"655220","657840"," I'm assuming that there's some, that might not be in here."
"657900","658960"," I'm not seeing the oil stuff. "
"659120","660400"," I think that's in there like 10 30."
"661140","662840"," That's not, for some reason, it's not in here."
"662960","664760"," It's say the 13th, right?"
"665440","667240"," I don't know why it's not on this, the second on my calendar. "
"667280","669440"," I haven't used, uh, in quite some time."
"669700","675140"," I think we also have, uh, we also have, uh, some, some Fed speakers coming out today."
"675220","676320"," I want to say at 12 30. "
"676980","680040"," Oh, I'm, I'm looking at the wrong, uh, give me a second here."
"680340","681780"," I'm going to do a different economic calendar."
"687390","690470"," Maybe I'm a, maybe I'm a, I'm looking at the wrong one, maybe. "
"692390","694530"," So we had CPI at 8 30, right?"
"695190","696990"," We've got, uh, wrong one."
"697430","701080"," We look at PPI right here."
"701180","701840"," This shows PPI. "
"702080","705540"," I'll find the, the times, but we've got another Fed speaker today at like 12 30."
"705720","708980"," We've got some oil news, uh, at 10 30 this morning."
"709200","710460"," So be careful if you're in oil trades. "
"710820","715680"," Uh, you might want to step away from those around 10 15 or so and then get back into around"
"715680","716260"," 11 45."
"716920","720020"," Uh, one key thing though, is we've got retail sales on Thursday."
"720520","725020"," So whenever trades that you're making, just be conscious of retail sales, retail sales can be very"
"725020","725460"," dangerous. "
"725800","728880"," Uh, a very dangerous trade is a bull, uh, the market can flip."
"729020","734700"," So let's say today we went up until we go up today, we, we snap higher, and then, uh, we're"
"734700","735640"," weak into tomorrow."
"735640","739040"," So any kind of a trade that you're in today, consider closing them. "
"739180","744480"," I know I say buy some call spreads or at least diamond hand them into Friday that we're considering"
"744480","749760"," maybe even just waiting and taking, seeing how today plays out, maybe even just taking, uh, a call"
"749760","752860"," spread on weakness generated from retail sales tomorrow."
"754200","757520"," Uh, because this is the thing, retail sales is, this is going to show tomorrow."
"758180","763540"," Uh, Mary was talking about, uh, to a grocery shop and couldn't believe the price of goods. "
"764620","768740"," This will show if there's any impact right now on what you're spending your money on."
"769060","774780"," Are you still spending money out there going to Disneyland and partying with your friends, or are"
"774780","779500"," you saying, I'm going to, I'm going to buy that cream cheese that's three times the price, or am I"
"779500","781140"," going to buy the knockoff brand?"
"781320","787720"," Am I going to, uh, stop spending money on steak and start buying spam, you know, just using this as"
"787720","792680"," a, as a silica, but, uh, just so you have that idea of retail sales coming out tomorrow, eight"
"792680","795740"," thirty, the morning be conscience of that on the economic calendar."
"796780","800760"," Spock, every point this morning, futures have bounced back up to four forty two, zero. "
"801720","803860"," Vol estimate for today comes in higher versus yesterday."
"804480","809540"," So that move yesterday was nothing compared to a one point five four percent, uh, is the figure for"
"809540","809760"," today."
"810620","814000"," There also remains a heavy, uh, negative game position, both buying and queues. "
"815420","816440"," I want to talk about that too."
"816540","821080"," The queues have a, remember we had that, uh, huge bounce last time in the queues when we finally"
"821080","821780"," came back up."
"822120","826780"," If you're able to time a bounce, uh, in the market coming up here, it's this week, next week,"
"826800","832220"," whenever, if you don't want to trade the spy, you could trade the queues for even better gains. "
"832520","835700"," If you're going to follow me on that trade and you want to trade the queues, that might even be"
"835700","840840"," a better trade than the spy must be aware of that as well because of the steep selloffs and the"
"840840","845860"," steep spikes in the cues we talked about that yesterday, uh, that you should be buying the cues"
"845860","852020"," when they bottom out rather than value when they bottom out and value in the cues and spy all go"
"852020","857780"," up together and down together, generally when market, when the market conditions move together in"
"857780","858360"," unison, right?"
"858700","864140"," Not in the rotation trade, but in the up and downs of the market that you're going to still see"
"864140","866300"," better gains out of the cues than you are in the value trade."
"867960","871240"," Resistance holds, uh, at 4, 4, 5, 0."
"871380","872780"," So not quite 4, 5, 0."
"873160","879340"," So you may want to close longs if you pull one today slightly below 4, 4, 5, not 4, 4,"
"879680","882980"," uh, not 4, uh, not 4, uh, not 4, uh, 50, right?"
"883560","885100"," We're talking about that for 50 up here."
"885640","888760"," 4, 4, 5 here is the actual, uh, upper resistance, right?"
"891310","892330"," Yesterday's flow was quite interesting. "
"892590","896830"," We saw it on the 20k each of puts and calls added to the 4, 4, 5 and over 445 "
"896830","900310",",000 puts trading at the 440, uh, strike, right?"
"900590","905630"," Yesterday, remember we were seeing the yesterday we're seeing right in here, we were watching, uh,"
"905870","912710"," the hero indicator showing call buyers and I kept noting to you yesterday that, uh, someone was"
"912710","919830"," coming in and buying 440p yesterday, like big, big, big positions of 440p, uh, for yesterday's"
"919830","924490"," strike and Friday's strike, uh, in the market yesterday, which was completely against, remember,"
"924570","929110"," remember we were forming that bull flag yesterday and I'm like, if we shouldn't be, this bull flag"
"929110","933870"," is going to fail because someone's in there, uh, pushing the system, right?"
"934050","938070"," Someone in there with his hand on the scale, uh, rolling it over yesterday, and sure enough, that's"
"938070","939710"," what took place at the end of the day."
"940390","945590"," Despite this very large volume, open interest at the 440 put line went down 3,000."
"946190","950970"," Generally, you'd expect large change and open interest when there is such large volume and because"
"950970","955630"," this didn't happen, we're closing up large positions, right?"
"955790","957430"," That's this day trading thing that we've been doing, right?"
"957810","961670"," You're watching the market, the gamma and delta that's out there and then you're watching day"
"961670","965830"," traders come in and basically manipulate the market to where they want it to be. "
"966390","968830"," This could, this probably isn't high frequency trading firms."
"969290","971050"," This is probably large banks doing this, okay?"
"971870","975350"," Uh, here, it could be fucking soft, uh, uh, soft bank for all we know."
"975630","980070"," Here it may, uh, have been traded, but maybe everyone's figuring out that day trading is where"
"980070","980650"," everything is at. "
"981830","983170"," Maybe got four minutes to the open."
"983610","986870"," Here it may have been traded versus another fund instead of a dealer or a market maker."
