"start","end","text"
"15510","20810"," This specific livestream, if you could just repost it that way, no one's like, hey, didn't say this"
"20810","21790"," or didn't say that or whatever."
"22230","23250"," We have to talk about it."
"23330","23550"," It's important. "
"24310","30630"," This is an important moment to the market for you as a participant, even if you're a seller,"
"30630","37330"," there's a lot of important information you need to have or where we are and what's taking place"
"37330","38050"," this morning."
"38050","43650"," Sometimes I'll say these things and we come back and people say, yeah, you said this and we're"
"43650","47930"," going to look at December, if we have, let's see if we can look at December really quick."
"50350","52350"," I think 30 minute chart is fine for December. "
"53010","57170"," We're going to look at December, hold on here, we're going to go to a full trigger screen."
"57170","64470"," I think it was December, yeah, right down in here, right here."
"64790","70130"," I said December, my fact this, I think this is the December move right here. "
"70270","74290"," I want to talk about two important timeframes."
"76410","83890"," We can look at, we can actually look at, so this is December right here."
"84750","85950"," This was actually it. "
"86190","87210"," I think this was the big one."
"92640","93980"," This was the big one right here."
"95220","97020"," I don't know if you guys remember that. "
"100640","104360"," This one right here and then this one right here too is kind of big as well."
"106840","116760"," Now we can look back over here and we're going to talk about, what is"
"116760","117340"," this right here?"
"117500","120140"," This is March, right?"
"120140","121600"," So let's start back here, okay?"
"125620","132280"," So I want to, it's easier to show this on a daily chart, a one day chart."
"132920","134180"," Let's stick it to the one day chart. "
"141080","142340"," There's a one day chart here."
"142460","146720"," We're going to look at, I don't know if we should look at SPX maybe, well we can do it."
"146860","148380"," It's maybe it's better to show on SPX. "
"162710","164690"," Okay, right here."
"166880","173610"," Now let's look back in time here and whenever we break below, whenever price breaks below, or not"
"173610","183070"," price, whenever the daily trigger crosses, whenever the daily trigger crosses the monthly over"
"183070","183630"," here, right?"
"184210","184890"," Watch right here."
"187630","194350"," Now we go into a risk off type scenario for major downside moves. "
"194630","197730"," It's very, very dangerous in here when we break through this."
"197910","205590"," So if you're watching this cross, nope, not that cross, that one right there."
"207450","212310"," That usually signifies high risk to the market for major downside to come. "
"213030","217230"," Now, we don't always have follow through."
"218290","225110"," You can see this pull back up here, we got above right, bounced around, started rocking off, came"
"225110","228570"," back down to check it, and then we're off and running again."
"229250","231030"," But you have to think about it, okay?"
"231570","238950"," My point here being that, so you get the cross right here, you see that cross, see"
"238950","244470"," the first cross here, right?"
"244710","246730"," So this is a time for warning. "
"247630","252230"," Not necessarily, hey, we're going to crash, but risk off warning, okay?"
"252750","255110"," So the other break is right here."
"255709","258310"," You're automatically in a risk off warning."
"258709","263050"," Now if it resolves itself, everything is fine and you don't have to worry about it, okay?"
"263810","268870"," If we rejected to the downside, you would have been warned in case if you had more downside to"
"268870","269070"," come. "
"269750","272070"," Does that example make sense to you at least?"
"272770","276910"," And then when we're over here, I'm going to show you some other examples of this too."
"277550","282470"," You get the big cross right here, you get the big giant cross here, and then a bloodbath down."
"283010","286030"," Same thing over here, bloodbath down on the monthly trigger. "
