"start","end","text"
"21810","146140"," Let's get right"
"146140","147100"," into it over here."
"149060","157160"," See if I can, uh, see if I can, uh, see if I can, uh, see if I can, uh,"
"157160","158400"," see if I can, uh,"
"158400","169860"," turn"
"169860","180220"," the"
"199360","207520"," Mik damn UK time."
"212720","222700"," I'm about to or I am this is my first live stream on a good morning to all of"
"222700","234220"," you out there see making a I have some adjustments to do here just a"
"234220","243750"," second here this is my first some weird stuff going on here"
"243750","250430"," it's my first live stream on Twitch this morning I think I'm I think I'm live streaming on Twitch"
"250430","257570"," this morning we'll find out I've got some it looks like I have some adjustments to do I think I"
"257570","265850"," can see hey I think I can see some of you commenting right now on twitch so this is really"
"265850","274730"," cool good morning twitchers if you're on twitch showing up this morning welcome good to be with you"
"274730","284710"," kind of stoked here right on John M good morning good"
"284710","289350"," morning good morning everybody's I can see you guys you're new to twitch I'm on my spare laptop I"
"289350","293750"," can see it collapse left lane make more space I've explained the right panel find chat and that"
"293750","301370"," tracks things you know time stamps thanks J TW twitch yeah good morning twitchers I'm not familiar"
"301370","309310"," with twitch so please bear with me as we make that transition and try to you know it's really what"
"309310","318190"," we'll talk about twitch today at some point too because I was watching a guy went down a rabbit"
"318190","323430"," hole and he was right you know it's funny because I talked all right talk about I get frustrated"
"323430","331930"," with the bread it to some extent but I went through the phase where Google had lost its ability to"
"331930","338430"," find answers to questions then read it became that place years ago and there's a whole new"
"338430","344710"," generation of people that are now switching though they're trying to find the new place to find"
"344710","350010"," answers on the internet it's not an easy thing to do and people are turning to twitch so I want"
"350010","357130"," those places man where yeah it's a whole whole other kingdom within within the internet so I look"
"357130","365990"," forward to live streaming every day with you guys on twitch man I'm stoked if you don't know me I'm"
"365990","374830"," on YouTube normally and then I've got a discord and Twitter stuff going on and some I'm really"
"374830","380210"," excited to be with you here in twitch they're with me though because I don't know what the I don't"
"380210","387490"," know what the F I'm doing here trying to try to see here okay so we're on the opening bell"
"387490","401830"," here I got to do some real quick here hold on that's right"
"401830","410710"," by my calls this morning shocker okay interesting thanks for showing up if you're on twitch or if"
"410710","416610"," you're on YouTube however you're watching I think I'm right I think right now I can see both of you"
"416610","425430"," commenting at this point asking questions good morning to all of you out there yeah and we'll talk"
"425430","430110"," about weight that one of the cool things I think Winky was talking about this is I know some of"
"430110","436310"," you so this is a free what I do is free and so this is another way to to support"
"436310","443770"," the channel without donating so if you're like poor your poor trader or new trader you're like man"
"443770","447850"," I can't support the channel I'll give you a lot of likes all day long there's ways there's ways"
"447850","454210"," through twitch to support the channel don't cost you a dollar so that helps too so anything you"
"454210","459850"," guys can do out there and appreciate it and we're opening up this morning we're gonna talk about"
"459850","464950"," where we are we're gonna talk about a bunch of stuff I know you guys are looking for positioning"
"464950","473450"," that kind of stuff let me bring up just a second here I'm gonna bring this up here"
"473450","480730"," in the background see the market is we have some stuff to look at we got a lot going on"
"480730","488750"," an ice storm last weekend it was really bizarre too it's like I lost power I think on Thursday no"
"488750","495430"," Wednesday night then I lost internet Thursday or Friday morning and then Friday I had power but no"
"495430","504310"," internet was really wonky and a ton of where I am at is still losing power or internet at this"
"504310","513570"," point so can I lose power possibly I talked to winky about possibly finding a way to still stream I"
"513570","520549"," have a generator but I'd have to do some kind of like cloud-based stream and then with the"
"520549","525490"," generators that I have that kind of stuff and even another possibility would be to have a second"
"525490","531290"," host that could fill in whatever I'm not here with you so you what you might have another post"
"531290","539230"," something like that so you can see these sellers in book map already this morning right you can and"
"539230","544550"," we should have some volatility to follow volatility this morning you have a gap above that need to"
"544550","552710"," be closed but we've got gaps everywhere these are gaps in and low low volume environments too the"
"552710","560830"," selling off that took place on Thursday all this gap here was low volume environment right then"
"560830","565450"," we've got another gap down below here at the same kind of stuff and they're kind of littering the"
"565450","571690"," chart right now up and down we're not so much down at this point but at least up there's a"
"571690","576550"," bunch that was going on back here as well you can see what you do according to all this nonsense"
"576550","585370"," back here never got filled not showing up on this chart right now and you can see where the sellers"
"585370","591770"," had stepped in on Thursday kind of teed off here teed off here in this close we had that nice"
"591770","599970"," little test down below here and we talked on Thursday about how we have to get above to 410 it's"
"599970","606530"," kind of a required thing after the damage that was done down below on the weekly a monthly triggers"
"606530","614550"," right and we talked about how the Swellers were above here right some Thursday right the Swellers"
"614550","619610"," are up here just trying to sell and then between here and 410 into the 28th that's they're going to"
"619610","625950"," attempt to do now they're going to try to try to sell from above they've got no other choice it's"
"625950","631290"," the only way that the market goes down is for sellers just we're gonna tell what's on a grander"
"631290","639730"," scale here sitting above here on this on these on this weekly a monthly trigger down here sellers"
"639730","645930"," need to to to attack it right and attack it and attack it they don't really have a choice but"
"645930","650490"," to break through these last two levels for the market to go down significantly"
"650490","660250"," if we likelihood of the market going"
"660250","669530"," down is much less than then closing below these levels or not being able to attain 410 by the end"
"669530","678050"," of the month so what what happens here is this I'm gonna show you another chart here for you excuse"
"679550","686720"," me for just a minute I'm actually gonna bring one more tool up for you to see too they try"
"686720","696690"," to kind of visualize this for you one of the most for you to"
"696690","705910"," visualize this in terms of of what's happening in the background here or a visual representation"
"705910","718020"," maybe it's better to say yes the"
"718020","725840"," weekly is looking strong here man it really is the monthly is looking horrible right now daily is"
"725840","732600"," doing great the one hour is what you're concerned with we're showing weakness in the one hour right"
"732600","748270"," now see if I can show this in a better it's not"
"748270","753930"," so weak depends we could go either way right here but what I want to show you guys is this"
"753930","758010"," actually we're not looking that week I'll show me give you a second me a second here I'll show it"
"758010","767830"," to you guys you book that here I was bring"
"767830","774830"," this over for you now I'm trying to explain let me try to explain this in a better way for"
"774830","784660"," you here okay so these this is a weekly and a monthly trigger down below here"
"784660","792120"," and the bears are trying their best right that they want to break through or at least sell into"
"792120","799200"," these buyers so much so that these levels become much weaker we know that the monthly is nowhere"
"799200","805840"," near as strong as the as the weekly I can show you that another chart but the point here is"
"805840","812080"," that they're they're selling right into these buyers and the key here is that for the key for you"
"812080","818660"," that you need to know is that you see these bumps here right every every week and every month these"
"818660","827300"," triggers come to come higher and coming into the end of the month if you see I'll say come into"
"827300","833640"," the 28th over here that's 27th but if we come into the end of the month and you start to"
"833640","840140"," see these monthly is turning down and these weekly is turning down it opens the door trap door"
"840140","847780"," basically for us to trade much lower on on spy on the market at least and so all this all"
"847780","855160"," this damage that's being done can repair itself but so this is this implies that sell side knows"
"855160","861240"," that if they if we can't get above like 410 for eight somewhere in there by in a month that"
"861240","869900"," the trap doors open down below for lower lows into end of quarter banks know this hedge funds know"
"869900","878420"," this colors on the market know this little bit too risky for sell side to say okay well if we're"
"878420","883760"," not going down and let's say sell side can't get down below here into end of month then the the"
"883760","893480"," obvious answer is that we're going higher and truthfully if if we don't get down below these"
"893480","900500"," levels you know let's look at this from a perspective of profit right are we going up just to 420"
"900500","908180"," is if we're being told we're not going down then 420 is not enough you need three 400 points maybe"
"908180","914240"," even higher to confirm this move higher and you're talking about a longer period of time to if we"
"914240","919680"," can't break these levels in February we're likely not going to break through them in March if we"
"919680","925600"," have that repair that's done for the month of March you're not going to see crazy lows like you"
"925600","931700"," know we were before we're talking about 3200 right or 3,000 or 2,800 and now we're just saying"
"931700","938500"," can we get down to 3,600 and 3,600 is almost rear-view mirror if you can't close the"
"938500","944660"," month below these weekly and monthly triggers for the month of February that we always talk about"
"944660","950640"," price and rear-view mirror with it and we start say we don't start saying market crash market crash"
"950640","955980"," but where's that number and that's a that's been a moving target right of where that is is it 20 "
"955980","962040","% another 20% down there's another 30% down from what price is it down those things kind of"
"962040","967680"," matters so you're seeing that you're seeing that right now heading in and if February so sellers"
"967680","975380"," trying to come in and we could weaken the market to actually get some much lower lows and what's"
"975380","983460"," not surprising here is if you get the close below the monthly at least if you get the close you're"
"983460","993000"," actually opening up a doorway like 3,300 it's open then right there's actually a chance of getting"
"993000","1001360"," there in March believe it or not there's a chance to get down here in March now you'll there are"
"1001360","1006160"," some out there that'll say well we've you know we've got we had support here and we had major"
"1006160","1012560"," support right here which I agree with right in here and right in here we had some major support"
"1012560","1020300"," come in and fascinatingly enough on into Friday's close I spoke with a few people off Twitter off"
"1020300","1026640"," YouTube and I was like man I was like back in December there was a Friday close that we had"
"1026640","1036020"," right in here where we were showing we were flashing a crash and this Friday's close same shit"
"1036020","1043900"," same same shit as a matter of fact we're flashing this same kind of a consolidation here"
"1043900","1052560"," is very similar to what we were showing in December as well not too far off from it"
"1052560","1058620"," so what are you looking for if you're a bull into the end of the month is you're looking for"
"1058620","1066460"," a market breath to go down and price not to follow is really what you're looking for the all the"
"1066460","1072020"," oscillators are out there PPOs PPMs are a hot mess right now they look really bad they look like we"
"1072020","1078800"," can go down significantly more and so we really need if you're a bull we really need time here we"
"1078800","1087300"," need time to consolidate time for rotation and to go higher very similar to what took place here in"
"1087300","1094560"," December and what's fascinating is you were able to see and watch after that Friday close you're"
"1094560","1101900"," able to watch the actual rotation in the market take place and when people were calling for a crash"
"1101900","1107980"," here I think this is a week or maybe eight sessions later you knew we were going up you could"
"1107980","1117160"," see that we had rotated and not and consolidated and rotated and not began to sell down to where we"
