"id","start","end","text"
"CtQ6ckFYGm4","0","10560"," Happy Ground Dog Day Traders! I'm sure you didn't want to hear that this morning, or some of"
"CtQ6ckFYGm4","10560","16000"," you didn't want to hear that this morning. Or should I just say good morning traders? This is Captain"
"CtQ6ckFYGm4","16000","22720"," Jim James. Welcome to your daily brief. This week's been quite fruitful overall. I held some calls and"
"CtQ6ckFYGm4","22720","27760"," I think some of you did as well over the weekend. Some call out these on the spy. Let's print it"
"CtQ6ckFYGm4","27760","34960"," quite well. And then yesterday we had some puts that we bought at early morning or late morning,"
"CtQ6ckFYGm4","34960","39360"," early afternoon. Those printed quite nicely as well. I hope you all took profit yesterday."
"CtQ6ckFYGm4","41120","46320"," And Tesla range supreme in the market. Or at least for me and for some other traders."
"CtQ6ckFYGm4","47680","52720"," I hope you were all able to get profit off that yesterday as well. Though that Tesla did hit my"
"CtQ6ckFYGm4","52720","59440"," price target around, I think it went up to $7.27. But right around $7.20 you should have been starting"
"CtQ6ckFYGm4","59440","67280"," to collect profit on your trades. And it did settle in slightly below the $7.20 mark yesterday."
"CtQ6ckFYGm4","67280","74320"," So looking forward to today, the spy is starting to look very bearish, even though volume is dropping"
"CtQ6ckFYGm4","74320","81120"," off. This is going to become a tough market to trade unless you are trading individual stocks"
"CtQ6ckFYGm4","81120","86320"," with some volume in them. This could continue on the rest of the week, although I am going to"
"CtQ6ckFYGm4","86320","93840"," anticipate some weakness leading up into Friday. But if you are a bear or a bull, there is a good"
"CtQ6ckFYGm4","93840","99680"," chance that we trade inside of this zone right here or from now until Friday, if not Monday."
"CtQ6ckFYGm4","99680","105360"," So be aware of that as you're trading. Now we do have factory orders coming out today and we do"
"CtQ6ckFYGm4","105360","112480"," have some volatility that should be kicking in on the ADP payroll. I think that's on Wednesday."
"CtQ6ckFYGm4","112480","118240"," And we do also have unemployment numbers coming out and continuing claims and then"
"CtQ6ckFYGm4","118240","122960"," unemployment numbers on Friday. So the volatility should pick up as we move through the week."
"CtQ6ckFYGm4","122960","131360"," I am expecting spy to trade within the range of $4.35, $97 and $4.38, $92. We can stop some lines"
"CtQ6ckFYGm4","131840","137120"," in here. In fact, spy to trade down today into close. If we peek up or even push up here,"
"CtQ6ckFYGm4","137120","142800"," it's a great opportunity to grab more puts and to sell these tops. We could also bounce back up"
"CtQ6ckFYGm4","142800","147840"," here, but maybe we bounced down, hit this bounce back up and then sell off into the close here."
"CtQ6ckFYGm4","147840","156480"," So my call for today is that we sell down to $4.3778. We come back up and hit some resistance now at"
"CtQ6ckFYGm4","156480","164560"," $4.39 point or $4.38.92. Then we come back down and settle in at the close down here."
"CtQ6ckFYGm4","165200","170480"," If you are a bear, some of the price targets that you're looking for are going to be $4.34.34."
