"start","end","text"
"19020","21260"," Good morning, trainers."
"21720","23000"," This is Captain Jim James here."
"23180","24160"," I don't know if I'm live right now. "
"24220","33480"," I'm gonna check check on another another laptop this morning now this chart that I have up right"
"33480","36580"," here is on another computer on a different heart."
"36820","42020"," I had to put in a land line so I could get the data up to you as fast as"
"42020","42460"," possible."
"42520","49160"," So I'll probably open this up right now and another window on a different computer. "
"49160","50080"," Just give me a second here."
"50920","52320"," Oh, yeah, baby."
"52320","53640"," This is Captain Jim James here. "
"53780","54780"," I don't know if I'm live right now."
"54800","55140"," I'm gonna check."
"55320","57280"," I can see there's 11 of you out there. "
"57560","58280"," You hear me?"
"59280","60060"," Awesome sauce."
"60560","61620"," I can see it."
"63440","68040"," I can see you guys out there already. "
"69000","72800"," Now, sorry, you're gonna have a little bit of feedback."
"76470","79730"," You're gonna have a little bit of feedback right now, but it'll go away in just a moment."
"79850","82950"," I have to get a link for this inside of the sub. "
"83450","85750"," Now, this is, this is gonna get better over time."
"88970","90530"," Maybe just a second here."
"92210","93810"," Make sure I get everything I need. "
"106600","107400"," Okay, tight."
"112120","112960"," This is working."
"114480","117760"," You guys, just let me know if you can hear me again one more time. "
"118040","119520"," Just be like, hey, I hear you, Cap."
"120400","123080"," Oh, right there, Benny Mack just said he heard me right on."
"123680","125320"," Okay, so we're heading into the open right now. "
"125400","127440"," I'm gonna give everybody a couple seconds to get in here."
"127440","130600"," I want you to be able to see what's going on."
"130920","132960"," Now, I have two rig setups. "
"133240","137200"," I've got the one that I'm trading on and I'm trying to set this new rig up with a different"
"137200","137580"," platform."
"137860","144720"," So all these goofy lines, stuff that you see here that I'll go away over time and you'll get a"
"144720","146440"," better experience."
"146440","152400"," I think of this as a test this morning for future live streams. "
"152700","157220"," And what I'll do is I'll trade live with you guys Monday through Friday, open and close."
"157580","162100"," Or if you see, if there are any key pivots where, let's say we're selling off like crazy or moving"
"162100","168860"," up like crazy and you're in that panicked state, I will try to go live at that moment to trade"
"168860","176420"," with you or find out what you guys think are going on."
"177000","178260"," Right on, right on. "
"179260","180460"," This is great."
"181000","182180"," It's making my day right here."
"182640","183160"," Hilarious. "
"183920","185660"," All right, so there's a few other things."
"186100","192440"," So I ordered a headset so that you won't hear background noise, but I've got two daughters that I"
"192440","192920"," homeschool."
"193540","197340"," So at times they'll come around me and they'll ask me a bunch of questions. "
"198000","202500"," I've got two dogs that will sometimes want to chase other dogs that kind of stuff outside."
"202500","205960"," So if you're here, you won't shouldn't hear that stuff as I ordered some headphones."
"206440","209940"," I said I was going to did order headphones last night off eBay, but you never know with eBay. "
"209940","212480"," That stuff never comes in where it comes in next day."
"213020","217580"," So at some point you won't hear that background noise, but I have that kind of stuff going on in"
"217580","218260"," my life right now."
"218560","219260"," So just heads up. "
"219660","220660"," Good morning to all of you guys."
"220820","226440"," Good morning, Omar, Matthew, endless research, MA, Benjamin, Kathar, Binky Gallagher, Christopher,"
"227020","231660"," Charles Wong, Teagan, Anthony Chavez, PSG, Dragon Wolf, Benny Mac, baby."
"232260","234060"," Any of you guys out there right now?"
"234960","235940"," Good to see you. "
"236020","236200"," Okay."
"237040","237780"," Right on."
"238840","239360"," All right. "
"239500","240600"," So here's the deal for this morning."
"241260","244520"," When I talked about this yesterday, would we sell off in the middle of the night?"
"244700","245060"," We didn't."
"245160","245460"," That's good. "
"245600","248500"," We bounced off 4710 in the middle of the night."
"249260","250360"," What's key about that?"
"250620","254460"," That we've got that bounce and we didn't sell off is that the banks are in."
"254600","255980"," The institutions are in right now. "
"255980","262900"," We had those hard sell offs previously in trading sessions where in the middle of the night we'd"
"262900","266240"," hit that resistance and we would sell down huge right in the overnight."
"266540","267220"," Big, big drops."
"267780","268460"," Another note. "
"268680","274640"," Look at my cursor over here yesterday as we sold down into this area below here rate this 46625."
"275240","278640"," We thought we'd go down to 4650 and liquidity."
"279060","283220"," Liquidity like this big giant whale just came raging right up right and bought it. "
"283220","283920"," Boom."
"284420","285240"," Right into the close."
"286160","289960"," We see that we didn't sell off, as we said, right up here at 47100. "
"291080","294120"," So what are we looking for this morning as we head into this open the next seven minutes?"
"294760","297280"," Well, we're looking for more of that liquidity."
"297580","302260"," We're looking for that big giant whale to come up this morning, grab down below over here and send"
"302260","303880"," us up to this 47100."
"304680","309560"," Now the one thing I want you to understand is that there are bulls trapped from way back two, three"
"309560","310460"," weeks ago out there. "
"311000","312660"," They want to get out of their positions."
"313160","318540"," They're just waiting and dying at this moment this morning for us to go up and for them to unscrew"
"318540","318860"," themselves."
"319460","321120"," So that's what we're looking for this morning. "
"321260","326440"," We're looking for some support down below here to take this much higher and grind these sellers out"
"326440","326980"," of the market."
"326980","328360"," These people are panicked."
"328880","330400"," These people don't care about profit. "
"330720","333200"," They just need to get on F themselves."
"333840","334840"," I don't want to sway this morning."
"335200","338660"," And I will keep the swearing to a minimum in case you were in front of your friends in office"
"338660","340000"," space or your family or whatever. "
"340560","342260"," You guys like that like in this so far?"
"342700","343560"," Yeah, that's right."
"344000","344900"," We're going to do this."
"345060","345600"," I kid you not. "
"345740","346040"," This is amazing."
"346620","347900"," It makes me very happy to see this."
"348020","348560"," I'm very excited. "
"349580","350680"," Kind of overexcited right now."
"351200","352100"," So here's the key."
"352100","355900"," If you went long here overnight, let's say you bought some FDs in here. "
"356820","359120"," There's nothing saying you shouldn't take profit at the bell."
"359780","364520"," And I thought if we had opened higher at this 4.70, and I think in the video I said"
"364520","367020"," this morning that I would call profit right at that number."
"367160","371380"," Now that we're slightly lower on the open right here, there's a fair chance that we're going to get"
"371380","372900"," green bars right off the bell. "
"373120","377120"," We might just go straight rocket ship up to 47.100 and then sell down."
"377720","380160"," I do want you all your bulls out there right now."
"381120","381720"," Me too. "
"381800","382340"," I'm so too."
"382760","383380"," Good morning."
"383920","384400"," Good morning. "
"384600","384860"," All of you."
"384940","386280"," I can see you guys posting right now."
"387900","389760"," Let me see if I can tag you guys. "
"393260","393900"," Let me see."
"394100","396080"," You are all awesome sauce."
"399820","401080"," Right on, right on. "
"402380","403180"," There we go."
"403440","405520"," I didn't know if I'd get this stuff and running this morning."
"405740","407080"," I was pretty sure. "
"407080","408320"," I wasn't sure."
"408740","416860"," I had to run through OBS stream labs again because I haven't done a live stream in some time."
"417380","418920"," So that's what we're looking for. "
"419480","423100"," I think there's a delay in how fast I'm getting this information you guys."
"423400","428420"," I drilled holes in my floor to go with the landline across the house."
"428880","429560"," I shouldn't have done this. "
"429840","430880"," I don't care."
"431220","434020"," I'm just more excited about trading with you guys every day."
"434800","435700"," So here we are. "
"436160","439960"," I will be with you this morning until the market either calms down."
"440640","442300"," It should be every morning."
"442480","447680"," Let's say I'll try to get on at nine o'clock and be done by 10 a.m. And then"
"447680","449640"," I'll try to get back on here every day. "
"449920","454380"," Let's call it like 3 p.m. And hey, hey, I lost the toad."
"454760","456240"," I lost the toad."
"456660","466460"," Cal, Adam, Zach, Konstantinos, X, King 14, Michael, Matthew Hoffman, Angie, Adam, Jared, Hay"
"466460","468800"," Kant, endless research bro. "
"469020","469640"," Good to see you."
"470140","471480"," Michael, no, King 14."
"471780","473840"," I don't see how you guys are out there. "
"474560","475120"," Right on."
"475360","477740"," Hey, forever learning trader."
"477740","479140"," I know who you are. "
"479960","483860"," H.P. This is crazy."
"484500","485580"," I can't believe this is happening."
"486380","488120"," All right, so let me take a peek here. "
"488880","489460"," Do we?"
"490380","491300"," Let's see what we got."
"492900","494220"," Oh, yeah, I see all you guys."
"495240","496700"," All right, so let's check this bell. "
"497520","498460"," 927, right?"
"499140","502900"," If I was long with that, I didn't, I was cash gang last night, but if I was long last"
"502900","508020"," night, I would, because of where we are, I'd probably be holding looking for that 471."
"508260","510500"," That 471 would be looking for 470."
"510740","511820"," They put that on there for you. "
"513080","513880"," Let's make this."
"514039","521860"," If you're an F.D. holder, you are looking for that line right here to sell your F.D.'s. Hopefully"
"521860","524000"," you can get this on the bell this morning."
"526830","529250"," Let me see if I can put a drawing here. "
"531090","533070"," Let's see if you guys diamond hit or not."
"533150","537650"," I don't know if you'd get this, but if you can, F.D. holders."
"539930","541990"," That would be me right now this morning. "
"542370","545730"," If I was looking for a tag above here, that's what I want to see."
"545990","554150"," If there is brief momentary weakness down here to this 46784, or if we tag the cash gap, let's say"
"554150","557150"," the cash close yesterday was, where was it exactly?"
"557590","558270"," Let's take a look in here."
"558850","561930"," It was somewhere, yeah, somewhere right here. "
"562230","563950"," We were right there."
"564490","568290"," I'm going to be looking to grab that this morning, if this happens."
"568750","570410"," So, take this auto off. "
"571110","575110"," I'm going to get this over here for you guys, and you can see the bid coming in right before"
"575110","575510"," the bell."
"575630","576590"," That's always a good sign."
"577370","582290"," You know bulls are down here that didn't, like me, guy like me, wasn't able to buy this into the"
"582290","582430"," clothes. "
"582430","586170"," Just here's too fast for me to get into that."
"586210","588370"," I'm going to be looking at anything down here, anything."
"588590","589890"," You know bulls are doing that this morning. "
"590830","591270"," Absolutely."
"592830","593270"," 928."
"593450","594190"," We got two minutes left. "
"594690","595130"," Y'all ready?"
