"start","end","text"
"210","2770"," This and sound level, before the film begins."
"11360","16640"," This leader is provided to permit the projection as to complete adjustment of focus and sound"
"16640","18780"," level, before the film begins."
"133110","136150"," Holy shit, Verizon, you dirty dog. "
"140430","142350"," Verizon, what the fuck are you doing?"
"145950","148770"," Alright, I got crap I gotta do here."
"158380","160720"," So I don't know if I have any viewers in here or not."
"165520","169700"," Hello, hello, happy Friday to all of you out there, if anybody's watching right now, if you're just"
"169700","171200"," joining us, if you're watching this later. "
"172600","182600"," Anyone can subscribers, can comment, anyone that wants to comment, can comment, this is what"
"182600","183340"," I got going on there."
"184880","193830"," I should have like this, I should have like this screen up while, let's make sure I got this right."
"202250","202950"," Okay, we're good. "
"205450","206590"," I think we're good."
"207510","209830"," Let's get rid of the main screen, switch over here."
"210670","219070"," Okay, what is going on, like I'm missing. "
"223710","228350"," What in the fuck is going on here?"
"238840","239900"," Do you activate?"
"245020","246540"," Okay, we're back again."
"255899","257420"," Hey, what's up, Virgo, I can see you."
"258820","260660"," Good morning, Virgo and Brian Smith. "
"261460","261900"," How are you?"
"262800","264340"," Sorry if you're just joining it right now."
"265660","268540"," Let me see if I, let me see if I post this inside of a discord."
"269860","271280"," One quick second here. "
"271740","273000"," Dude, what is going on with this?"
"275920","279100"," I don't know, I don't know what the fuck is going on with this."
"279620","287740"," I think I allowed everyone to comment this morning, so let's"
"287740","290420"," start with this here."
"292580","293780"," I got some weirdness. "
"293780","299040"," I had to like sign out and then sign back in for just YouTube and not switch today."
"299040","318720"," I don't know"
"318720","320140"," what is going on with this."
"339300","342000"," Yeah, I've got some walking that's going on with the stream in the background. "
"342760","344480"," So I don't know what the fuck is going on."
"345020","347520"," Okay, we're going to, this is the third."
"348620","349460"," Hey, what's going on?"
"349520","349720"," Come out. "
"349840","350040"," How are you?"
"351320","352020"," Could be back."
"352240","356340"," So this is, we're going to make the, I'm going to start this stream because I have another meeting"
"356340","357320"," at 12 people."
"357840","362460"," I've got, I don't know if I have a meeting with Quinn and Joe, but I have another meeting too"
"362460","365240"," around 12 that I have to get to between 12 and four. "
"365740","370780"," So I make this short and not short and sweet, but probably an hour, hopefully an hour, an hour, an"
"370780","372140"," half, two hours, something like that."
"372140","380900"," And we'll do like the third part of this series of recorded videos for members inside the discord."
