"start","end","text"
"493640","494380"," Is that better?"
"494500","495460"," I bet you guys can hear me now."
"496320","498440"," I just been talking for the past 10 minutes here."
"499820","503360"," And I've been talking to myself. "
"518880","520500"," Okay, so we'll start with."
"526440","527640"," So it looks like the late."
"528420","529940"," So it looks like the latency. "
"533420","534380"," You can hear me now."
"534640","534800"," Okay."
"535300","539100"," Yeah, so it looks like the latency problem is being solved. "
"539780","541040"," So let me start at the beginning."
"541720","546200"," I read down, we downloaded Java to my computer."
"547180","552680"," And then I went to book map and they upgraded me to a better version of our newer version of"
"552680","553200"," book map. "
"553780","559940"," And the old version of book map was only allowing me to use two to four gigabytes of RAM and"
"559940","562180"," I have 16 gigs available to use."
"563200","569940"," So the new version automatically provides them with four gigs to run book map."
"570440","574820"," So there shouldn't be any issues with book map at this point crashing. "
"578020","585600"," And then I called my internet service provider and they upgraded me to the fiber type connection."
"586380","589320"," So supposedly I've got the best internet I can get."
"590180","592360"," So this should work at this point. "
"592720","602300"," And it looks like on, it looks like on from what my monitor is saying that my YouTube is within"
"602300","603740"," a minute right now."
"604280","607820"," You guys are, the delay right now is less than a minute."
"608140","610000"," So this should be a better set set up. "
"613590","615790"," Yeah, so let's talk about, let's talk about this stuff."
"616330","619270"," So let's start with, there's a few things you guys got to understand."
"619270","627010"," Right now, what's going on just at a baseline is you've still have consolidation in the markets. "
"627010","629350"," You look at something like spy over here."
"630230","636450"," And you still have, well, we're down on buyers right now, but it's even Steven on buyers, basically"
"636450","637670"," the markets are moving sideways."
"638450","646130"," We're not catching a bit on popular tickers to expand volatility. "
"646130","650470"," So you've got a compression of volatility right now in the market, which means it's going to go"
"650470","654370"," sideways means that buyers are replacing sellers."
"656170","662010"," And until the market has a direction, I'm assuming that the markets waiting for the banks to place"
"662010","662590"," their hedging."
"663450","669770"," Then we'll find, we'll find that the rest of the buyers and sellers will decide if they're going to"
"669770","674310"," go long or short this market, which will expand volatility in the market so we can make some moves. "
"676190","682290"," Now, on a more granular level, you can play individual tickers."
"683390","690470"," If, if you see expansion, you want to be seeing calls or puts that are dated farther than this"
"690470","690750"," Friday."
"691430","694370"," So you'll see some of that in flow, I'll go, I've posted some of that today. "
"695750","697010"," MU is one of those tickers."
"699890","704930"," But otherwise, if everyone's playing the same 480 calls expiring Friday, you're not going to see"
"704930","706790"," any movements in the market."
"708050","710070"," So basically, it's just sideways right now. "
"710270","711810"," That same thing is happening in Tesla."
"714420","721420"," Everyone's playing, everyone's buying the dip down at 1040, 1050, 1070, 1080, 1090, and then you've"
"721420","724720"," got a wall above it at 1100 and 1120."
"724720","731160"," And none of the calls that I've seen on Tesla is outside the money either. "
"731320","733580"," There's no, there's no put flow that's outside the money."
"733940","738780"," All the put flows in the money, all the call flows in the money, all of it is expiring this"
"738780","740420"," Friday, which is not good enough."
"740420","744660"," It just lends more credence to the compression of volatility in the market. "
"745520","749340"," Now, as an example, slightly different is MU."
"749340","752980"," You can see that the hero indicator is much higher here."
"753420","755460"," You've got a rating of 9653. "
"756000","757280"," It's been like that all day long."
"757840","759600"," That's a very good for MU."
"760840","764580"," Their wall is at 100 and they're just grinding through 97. "
"765180","766460"," That's what's been happening all day long."
"766960","771900"," My assumption for what we have in front of us for data is that whether it happens today or"
"771900","775480"," tomorrow, that there should be a push to 100 at some point today."
"775480","782040"," Now, if you guys are tracking call flow out there, there are, we've talked about what you're"
"782040","782620"," looking for. "
"782720","787140"," You're looking for calls or puts."
"787840","793940"," So if you started to see puts that were outside the money dated into January, February, March, if"
"793940","800940"," you started to see call flow that was dated at 500, 520, 530, that would start to lend expansion to"
"800940","801460"," the market."
"801460","809780"," So what you're just seeing is you're seeing this grind take place Monday, Tuesday, Wednesday. "
"810200","819120"," The only fear that I have at this point would be that this continues in the popular retail tickers"
"819120","820460"," in two Thursday, Friday."
"820760","823540"," If that's the case, you'll see us slowly drift down."
"824240","831000"," Though there is a, there is an idea in the market that JPM is not selling calls above that they're"
"831000","831560"," actually buying. "
"832140","836560"," So if they're buying, if they put 10, 15 billion into this market, it should go up."
"836980","839840"," Now, with the hedges falling off, there will be some weakness from that."
"840000","841360"," It could be temporary over the weekend. "
"841920","843280"," We talked about Friday into Monday."
"844460","846780"," But, you know, of course, no one's doing anything."
"846780","848740"," It's this feedback. "
"848820","850140"," It's like the feedback loop again."
"850280","853820"," It's all retail are playing the same stocks as the hedge funds."
"853980","860920"," The hedge funds are playing the same stocks as the banks, and then we're playing ETF space and"
"860920","861720"," ETFs. "
"862880","868420"," And so everybody knows where we are in the market and no one's willing to take some risk in either"
"868420","868860"," direction."
"868860","871220"," And what is that?"
"871300","872040"," Where does that leave us?"
"872440","875640"," It leaves us in a part of the market where we're just going to go sideways."
"876660","877080"," It sucks. "
"877420","879060"," Unless you're playing the individual tickers."
