"start","end","text"
"91150","92470"," Check one to check check."
"93670","94070"," Okay."
"95890","96910"," How y'all doing out there?"
"97110","97930"," Everybody's joining us right now. "
"99350","100290"," Give me a second here."
"103090","103750"," All right."
"108650","109590"," Just a second here. "
"114690","115430"," All right."
"115630","118280"," All right."
"118400","119500"," Let's see what's going on here this morning. "
"120040","120620"," Welcome back."
"120760","120980"," It's Monday."
"121700","124020"," I was trying to be here before the open. "
"124540","129560"," This morning, I was hoping I could get back to spend an hour or so with you before Monday morning"
"129560","131240"," for the open this morning, believe it or not."
"133480","134900"," And I didn't get that chance."
"135400","137400"," We're looking at Tesla right now, not spy. "
"137780","138860"," We can look at spy if you'd like."
"140640","143820"," We are extremely well."
"144580","145520"," Hold on a second here. "
"146340","148600"," We are extremely bullish right now."
"151460","155100"," We're going to talk about the weekend the last week."
"155920","157860"," You should have been able to have seen. "
"159800","160640"," Hold on here."
"161140","163560"," Let me make sure we don't get any of those Russian hookers in here."
"167660","168140"," Okay. "
"170280","174480"," Now, just briefly, I want you to see."
"175140","178660"," I hope I'm not something weird going on my mic this morning."
"179860","181100"," Hang tight here for a second. "
"181320","182320"," Check one to check."
"182900","184440"," Get some weirdness going on my mic."
"185180","185620"," Okay. "
"185920","185940"," So."
"190310","191490"," I do want you to."
"192010","193950"," So this is where now inspire right now. "
"194010","195430"," I haven't put up any of the levels yet."
"195430","196610"," Not that they matter right now."
"197370","200950"," You want to see a new high right now so you make where my cursor is right here. "
"201670","203630"," We have a high of three ninety six sixty four."
"204290","205790"," We want to see a new high right now."
"206310","209270"," Even if we come back down to the one minute to go higher to four hundred. "
"210930","215190"," And I'll start snapping in some support and resistance lines for you this morning."
"216030","217370"," We're going to go over the monthly weekly."
"217710","218730"," A whole bunch of stuff for you to look at. "
"219190","220410"," See why we're bullish here."
"220410","221430"," How long we're bullish."
"222470","226110"," What's actually setting up in the market. "
"226110","231090"," And we'll talk about some of the reasons why and depending on how high we go."
"231770","234970"," What could be the catalyst for those moves higher."
"236870","238750"," Here it's the audio sounds found and you're okay. "
"238970","239470"," That's good to hear."
"239750","240730"," So I did see that comment."
"241430","245990"," For my so my friend I've got a sound mixer and then I've got a where these headphones. "
"246850","251610"," And it loops back volume into my ear so I can hear you guys."
"253970","258370"," Or here with the broad how the broadcast sounds to you and right now and I've got a monitor for"
"258370","258890"," that as well."
"259390","265110"," And so in my end I think it's just what I'm hearing from you guys sounds a little tinny. "
"265290","267550"," I don't know exactly why that is right now."
"268670","271650"," Not that matters the moment you guys are probably here to find out what's going on."
"274290","278410"," So we'll look back at last week we've got some time here isn't all over. "
"278750","282330"," I didn't have a chance to go over this this weekend."
"285670","291330"," To get on fin to it or talk to anyone to let you guys know how bullish we actually were"
"291330","293150"," until the open this morning."
"293150","296370"," I mean a couple phone calls this morning to talk about it. "
"297110","301650"," Well a couple followers but I didn't go public with it until just before the bell."
"303690","307350"," So the pivot this morning was that we'll take a look right here."
"308450","309510"," Scroll this up here. "
"313030","315390"," Pivot this morning was that a 39343."
"316890","321770"," I was close enough."
"322650","324170"," I'll go to the five minute real quick. "
"326330","328410"," Give me a second here."
"333590","334890"," Oh there you delete these."
"334990","335850"," Maybe I already deleted these. "
"336170","336950"," Okay that's good."
"344240","346440"," There goes 400 right."
"348420","350740"," They tried to get it in the overnight on Friday. "
"350980","352840"," They got to 396 I think."
"353500","355120"," And they weren't giving anything away for free."
"356560","357780"," We'll put our three up there. "
"360620","363920"," On Friday I wanted them to give something away for free and they weren't giving it to me."
"364700","365680"," So we don't know what the pivot is."
"366980","369000"," Our one is 39849. "
"374670","376030"," So right there that's our one."
"377570","383950"," And you could have seen the implied move this week was very bullish if you had some keen some keen"
"383950","388830"," traders out there should have seen that the implied move this week was going to be quite high."
"392010","401880"," Our two is 401.9. That's our"
"401880","402140"," two. "
"414520","415120"," Pull in there."
"426790","427510"," Oh yeah."
"430750","431470"," 406 15. "
"435110","436070"," Is our three."
"436330","437510"," There's a little yellow line right here."
"437610","439290"," This is the previous high that I want to show you here. "
"443370","446910"," I got these in the wrong spot."
"447370","447870"," Move these over."
"449770","451590"," Or one or two or three. "
"454750","456770"," Oh, this is the pivot down below here."
"466290","471540"," Just left that behind."
"474200","476280"," Maybe to put the supports down below here. "
"476660","478340"," They're not as important today for you."
"480120","482400"," Well, I guess we can really want to."
"483040","484560"," Let me get rid of this box here. "
"486220","491720"," And then I will put S one is 390 83."
"494260","496580"," I gave you some of the critical numbers."
"496680","498100"," We first opened this morning. "
"498360","502860"," I went on to thin to it and tried to drop the time."
"504260","506480"," Time sensitive numbers for you this morning."
"506960","510760"," You saw that we won the five the one we won the one minute and the five minute was off"
"510760","511100"," and running. "
"511100","512780"," It was pretty simple."
"514340","514900"," 3577."
"517559","522500"," And even these this S two like S two S three. "
"522700","523700"," I mean, if we sell S one."
"524740","525300"," It's all over."
"525600","526480"," So I'll let you know that. "
"527100","528080"," 33 17."
"529560","534100"," Don't even be considering S one or S two and S three."
"534280","535940"," If you lose it, it's not going to be good. "
"536640","538160"," It's very bearish."
"541340","546500"," But the weekly in the monthly chart tells a different story of where we're going."
"547100","551120"," And the volume last Friday told a different story that we were in rotation. "
"553380","555980"," We'll go back to the one minute so you can see it again real quick."
"558740","562980"," Now, how bullish we are off of this open right here."
"564740","566860"," You are looking for for continuation. "
"566980","569300"," You are looking for you see how we got this."
"569540","571000"," We are holding a second here."
"573940","574340"," Okay. "
"574500","575480"," Watch watch my cursor here."
"576020","576180"," Right."
"576320","577300"," Like Mr. Yen come up here. "
"577440","577540"," Right."
"578580","579640"," We touched the one minute."
"579840","580320"," We got it. "
"580460","583700"," We actually got a new high and that showed continuation higher."
"583700","584080"," Okay."
"585440","587000"," We didn't get the new high right here. "
"587420","591260"," So I don't have as much faith for where we are right now."
"591260","595240"," I think we're going to come back down and test this five minute right here, but I'm not positive."
"595680","600540"," I'm going to take a look for you on spy and see where we are where we should be coming"
"600540","601020"," back to. "
"602300","603720"," Now my phone is now blowing up."
"605620","606560"," We have a second here."
"608020","608560"," We'll take a look. "
"609880","610500"," Oh, yeah, we're good."
"612060","612820"," We're real good."
"614540","615640"," We're cranking right now. "
"618380","620280"," Spy is super cranking."
"622020","622900"," So I'll bring up."
"629780","630180"," Okay. "
"630440","633420"," So this is the open right here, I think."
"635580","638380"," As soon as soon as we won this open right here was off and running."
"639120","639520"," Boom. "
"640120","640160"," Right."
"640940","641420"," Above again."
"642280","644400"," And we're looking to see if we can hold this right here. "
"644400","646420"," So if you're if you're a bull, right?"
"648560","649680"," Velocity is on our side."
"649760","655680"," You can take a take another long right here and have a stop loss right here."
"655680","655940"," Okay. "
"657020","661780"," You can see here, this 39387 that's moving up right now."
"662200","662840"," Hold on."
"665080","666560"," Let me do something here. "
"666840","668860"," You can see right where you are, this 39786."
"669880","672880"," I've got the the wrong."
"674540","675180"," Let's see there. "
"675560","676280"," Right here."
"676440","677340"," So 39786."
"677720","680760"," If this breaks, we'll come back down and retest below, but I don't think that we are. "
"681580","683520"," We're all over this one minute right now."
"684320","688820"," And the other thing to pay attention to is these three lines down here."
"688880","689980"," This is huge right here, right?"
"690140","692520"," This is extremely bullish for the bulls. "
"693040","695520"," This break above on Friday was massive."
"696680","700500"," When we broke above here on Friday, this was this was the move right here."
"700500","705100"," We'll look back on the weekly and the monthly and show you why this mattered and why we didn't sell"
"705100","708780"," down right at this point at 2 o'clock in the afternoon. "
"709220","710360"," It was game over."
"711160","712820"," It was pretty much game over."
"713060","715900"," It just shows that the continuation would continue to close. "
"716580","717900"," We didn't sell off over the weekend."
"718020","718900"," There was no unknown news."
"719680","720900"," And so we're going to blast off. "
"721220","725280"," We might get 400 today and then 403 come Monday."
"726000","728100"," This would be a natural place to sell 400."
"729820","737620"," You might see a run to 400 reversal, but 403 is on board between today and tomorrow. "
"737640","742660"," This week at some point, I should say, maybe a little bit more cautious, I guess, in what I say"
"742660","752120"," to you guys, but 403 is definitely on board for a move here to get to the top of that"
"752120","753720"," top that expanded wedge."
"753720","755840"," That's kind of growing, right?"
"756480","757760"," You can kind of see it right here."
"760600","762100"," No follow through by bears. "
"762540","763240"," No follow through."
"763380","764360"," The key was this too."
"764840","765660"," Here's the key, right?"
"765740","767500"," We sold off, right?"
"768340","770920"," And you want to recheck. "
"771240","777140"," So if you go back to just Thursday, this Thursday, Friday right here, the key was this."
"780020","781380"," Bull's had nothing here, right?"
"782400","786080"," So we sold down below and then same thing, right?"
"786700","793200"," Oh, blasted down between Wednesday and Thursday to try to get down here, which we know this was"
"793200","793640"," oversold."
"793980","795800"," We knew that we know this is oversold at this point. "
"797240","798440"," There's two keys here."
"799400","801920"," The first recheck here, this wasn't held, right?"
"803900","807040"," And we came back up to right where this level was right here."
"808320","809900"," And this wasn't held, right?"
"809900","813020"," So the moment that that didn't hold, we blasted off into the bell. "
"813880","821100"," So you should already know that the next cell signals right here, okay?"
"822320","823920"," And we're coming into it right now."
"824140","831250"," I'll show it to you where these sellers were prior to."
"832270","834410"," 423, you can call it. "
"835650","840150"," And I guess if you're a bear, you're going to think, you're going to think, oh, yeah, we're just"
"840150","841370"," waiting to take it over again."
"841370","842350"," That's just not the case."
"843830","846450"," This is considered a rotation right here. "
"848310","851210"," What bears wanted to do is to defend that position."
"851730","853970"," So they're either going to defend it here, right?"
"854130","854870"," Or they're going to defend it here."
"855870","857630"," If they're not going to defend it there, right?"
"859570","860630"," We're going to go higher. "
"860810","861830"," Does that make sense to you?"
"862310","868370"," Even if we just do the 100% today and then trade higher here, it shows weakness in bulls here."
"868370","869570"," Arm bears, not bulls."
"870430","873430"," It shows the rotation, the volume yet on Friday as well. "
"873850","875890"," Or the volume in here was massive, right?"
"876350","879230"," Only to see this volume down here and this volume down in here."
"879730","881430"," The market was bought down here."
"882970","888970"," So you're going to expect on Friday you would have wanted to have seen the rejection. "
"889570","891210"," You would have wanted to see the rejection again."
"891850","896270"," I'm assuming if you're a bear, the only thing a bear really could say right here, the only thing"
"896270","901530"," that a bear could say right here is maybe GPM is just looking for liquidity to keep selling."
