"start","end","text"
"5130","6550"," All right, what do we got a minute left?"
"11050","11330"," Sorry."
"11450","13670"," I'm munching on some breakfast that you can hear me out there."
"25900","27300"," You all watching this right now. "
"48410","49710"," I hope you're all watching this."
"50850","51290"," Who's here?"
"52290","54450"," We got 39 right away right on it."
"54610","55310"," Good morning, everybody. "
"57610","59090"," Let's say it's Kristoff or Phillip."
"60710","63170"," F1, A darts, Chaz, Biki."
"63890","65310"," I lost the toe to X, Henry. "
"66330","67150"," Good morning, y'all."
"69230","70550"," Y'all watching this right now."
"78130","78930"," Ben, Charles, John. "
"80470","81670"," Good morning, Belgian."
"81910","82230"," Good morning."
"82630","83170"," How y'all doing?"
"85250","88450"," All right, so what I'm going to do is I'm going to start off this morning. "
"89730","92430"," We'll talk to you guys about what the plan is here."
"92650","96290"," So we have, if you guys have the charts from last week."
"98370","100630"," We've got some clear skies above. "
"100810","106500"," We're going to take a look right now and find out where we are."
"106640","113660"," Okay, so we're breaking through any semblance of a wall on spy right now so that you can see right"
"113660","114240"," out the gate."
"114260","124180"," We had supply at 471.99, 472.23. And you can actually see this morning that sellers"
"124180","129740"," are, you just got to turn, you just got to turn bull, I guess, right?"
"131020","135360"," You're going to see our first, our first top here is going to be 473. "
"136160","137420"," This is where we should bounce."
"139830","141810"," I got to check my calls right now."
"156480","159080"," And you can see that big green bubble right there, right?"
"160240","162760"," I'm sure you guys are watching this trading right now. "
"173920","174640"," Come on now."
"176180","177500"," Where is my money?"
"183080","184140"," I'm going to print this morning."
"184280","184820"," I can already tell. "
"185700","187200"," I don't exactly what's up this morning."
"189960","190780"," Oh, yeah, baby."
"191800","193080"," That's what I'm talking about. "
"201800","207420"," You guys want to see where all of the, where the real wall is."
"207700","208740"," You guys want to know where the real wall is."
"208760","209360"," This morning. "
"212360","216440"," So you can see right now that sellers are being absorbed."
"216540","216860"," Okay."
"217400","221920"," You can see that because of where this red line below and the red line above is right here. "
"223340","226240"," That from below the liquidity is coming in."
"226500","229300"," You can see that there's just a small wall at 475."
"230120","231520"," I mean, we're not even talking a big wall. "
"232200","234260"," So what are we looking at above from there?"
"235620","237840"," Clear skies to almost 480."
"238320","242560"," So we'll call that at, let's see where the, where the wall actually is."
"245160","247500"," I'm going to log in on this, this brokerage too. "
"250800","253360"," Yeah, 480 is, you can see it right here."
"253480","253720"," We've got."
"254340","258339"," So we're starting to eat through some sellers where we are right now. "
"258360","264200"," And then the next, the next minor resistance will be 475 and then 477."
"276800","277940"," Let me just second guys."
"278100","279360"," I got to check my account here. "
"279900","280860"," I got a bunch of."
"284730","285730"," Oh, yeah, baby."
"285950","287130"," Look at that money. "
"290090","293970"," Yeah, 477 should be the price target for this week at minimum."
"294170","298310"," If not a little bit higher, you'll see this grind up during the Christmas rally."
"299270","301310"," It won't stop until it hits up there. "
"301470","303510"," I shouldn't stop until it hits 477."
"311230","312930"," We've just got grind right now."
"313650","314250"," Let's see. "
"314250","320660"," We get slightly more sellers than buyers, but it doesn't matter."
"320660","324020"," You're going to get a kick in here normally like we're at 935."
"326060","333920"," So you figure day traders are always waiting to see if we get the fake out bounds below or if"
"333920","342560"," we start ripping above and then they wait to enter until we take a look here. "
"344020","345620"," But yeah, we're going straight up today."
"345740","350160"," We'll probably moon shot Tesla's moon shotting right now 1000 87."
"351140","352500"," We're going to get that 1100. "
"352840","360520"," We talked about today then without a doubt and the spies going to go straight up as well."
"360920","362960"," So you've got some resistance above."
"363020","364180"," We talked about this right. "
"364320","370400"," We got some resistance at 473 40, but you can see these nice big green circles here."
"370860","372620"," These are the sellers being absorbed."
"373120","375540"," You can see down below here that the buyers are stepping in. "
"375740","378780"," They're going to FOMO because there's no selling today."
"379540","380920"," So we're going to go straight up here."
"380960","381860"," You can see this, right?"
"382960","387900"," And you can see down below on the right hand side that we have 209,000 sellers, but the buyers"
"387900","390160"," are just about to consume the sellers. "
"390720","392860"," We're just a few moments away from that happening here."
"399730","400050"," Nice."
"402030","403370"," Always like seeing this. "
"410850","414710"," Yeah, and those calls was 480 C's off the belt."
"414870","415930"," Well, they're 26 cents."
"416170","417810"," They're now up to 40 cents right now. "
"418310","426570"," And you've got a bunch of interest in 479 C for the 31st looks like there's someone bought 8000 of"
"426570","431650"," the 479 C's aspiring on December 31 that 56 cents right now."
"431650","435590"," That's where all the interest is for weeklies, just as the heads up."
"436970","439370"," So someone thinks we're going to 479. "
"439710","443270"," Let's look at the December 29th expiry."
"444170","453550"," There's a bunch on 473, 474, 475, and then for zero dates today, everybody's on"
"453550","454970"," 475s."
"455290","457330"," Those are 27 cents. "
"458830","467720"," And that's surprising because the real sailing here is, well, yeah, I guess that is the first"
"467720","469500"," sailing is 475 for this morning."
"470720","472760"," And the next one is at 477."
"473140","474680"," This is actually a better chart right here. "
"475480","479040"," And I'll bring up Tesla right now, too, for any of you out there that are trading Tesla."
"479940","481740"," The Christmas rally is today."
"481920","489280"," In case any of you didn't know, no matter where we went up into Christmas from now into end of"
"489280","491580"," year, we are in the Christmas rally. "
"492000","495040"," This is when the window dressing comes into the market."
"495420","501440"," So if any of you guys don't know that, this is where I want to look at Apple too right"
"501440","508840"," now because I'm going to assume that the banks want Apple to print handsomely for them."
"508840","514100"," Yeah, and Apple is already at 178.32. It looks like it's just ripping. "
"521520","525120"," Let you guys know where the real money flow is this morning."
"527590","530790"," Where the ceiling is on Tesla, you guys want to know, right?"
"531530","534030"," You've got support stepping right in on Tesla."
"537810","543410"," This is the same wall that we talked about on Thursday, 1100, minor wall at 1099. "
"544410","545990"," It's only another dollar, right?"
"546570","547950"," And we bounced off that."
"548170","549050"," You can see back here."
"549090","550430"," We bounced off that 1099. "
"551610","557330"," So you might be asking where the buyers and you can see currently they're stepping right in."
"557450","558750"," You see this red line down here."
"559150","562290"," And you've got this yellow line at 1090, 1088. "
"567850","571270"," And then again down below here at 1077."
"571470","573270"," Let me find out what number that is there."
