"start","end","text"
"98500","99860"," Good morning, Lucy."
"100100","100540"," Good morning, Brian."
"101060","102500"," Gary, the fire of Mid-Dot. "
"105200","106500"," Good morning, Jeremy."
"107340","108580"," Good morning, thank you."
"108860","109860"," Hope you all had a great weekend. "
"110100","120050"," Jake, you had tornadoes"
"120050","120770"," down in Texas."
"122170","124050"," We're going to have some..."
"124050","126570"," I got stuck in a tornado in Texas once."
"127570","128110"," I was..."
"128110","130210"," I was heading over, I think, from Oklahoma. "
"130810","132590"," I was going to go hiking down in Big Bend."
"132770","133090"," That's my park."
"134070","136170"," I had old school red box, Winnebago. "
"136170","139630"," And I wanted to have an arcade underneath, put it over the pass."
"139930","141250"," And that hit me right over."
"141370","143090"," I think I'm direct hit, but I was pretty close. "
"143290","143770"," It was wild."
"144330","149470"," But I got out of an army and climbed up underneath the girders."
"150230","153270"," With the girl that wound up becoming my wife. "
"155970","157470"," So stay safe, Patboy."
"159030","160130"," Not to suit the morning."
"160550","161930"," At a Z's, good morning, huts, good morning. "
"163010","163830"," Everybody's doing well."
"164350","167190"," I didn't bring up my bike in the body."
"168310","168810"," Okay. "
"169710","170890"," We have a lot of time."
"171030","175930"," I was having some technical difficulties, but I was trying to hook up a microphone today."
"176310","179270"," Obviously, you guys have put a microphone directly into airport. "
"179630","181470"," You should also listen to me there."
"181670","182170"," I've heard that."
"183190","185590"," We've had a..."
"186490","188890"," Or it's a faster feed in there, I guess. "
"192230","198910"," So one note this morning, if you are tuning in, if you have a lag on YouTube, if you just"
"198910","207330"," speed up the broadcast down in the little settings icon or hamburger or gear, just two times it"
"207330","208630"," fast and then it stays."
"209050","215610"," It will sound like a, you know, talking after hopping some nitrous or whatever."
"217830","220050"," But it'll eventually catch up and sound normal. "
"221510","225350"," And if you're listening to me live right now in Discord, then you don't want to listen to me on"
"225350","225770"," both sides."
"225770","226810"," Just mute one of the other."
"227490","228690"," And you should be good to go. "
"228990","234970"," But I know that there was a few people that just wanted to listen in Discord while they watched the"
"234970","235630"," flow come in."
"236890","244870"," Now we did have some puts come in after the belly yesterday on spy for April 14, 423 P, IWM"
"244870","247850"," as well, 197 P for April 14."
"248170","248870"," Just be aware of that. "
"249510","254390"," This morning it seems like we're gaining back all of our losses from the overnight."
"255649","258690"," Also another note on the show is..."
"259410","265750"," So rather than going back to trade the news, I went back or trying Ben Zinga one more time for"
"265750","266630"," live news today."
"266870","267690"," We'll see how that goes. "
"267690","274170"," I might also try to put like a live news feed in the broadcast at some point if that's possible."
"274450","277250"," So we'll try Ben Zinga Pro one more time."
"277270","280770"," I've got the options squawk on and the equity squawk on this morning. "
"281270","283070"," So we'll listen into that as the day moves forward."
"283070","284910"," If that works for you guys, we'll keep it."
"285270","288110"," If not, last chance will be back to trade the news. "
"288970","290330"," I just want to give them one more shot as well."
"290330","293910"," So I'm just going to give them a shot today and this week and we'll see how that goes."
"293910","296930"," So we've got that loaded up. "
"297070","299310"," Now for the economic calendar, we don't have a bunch going on this week."
"300130","301970"," Specifically today, we don't have a ton going on at all."
"302070","305050"," We've got nothing until 12 PM. "
"305190","307590"," We've got Bostick speech at 12."
"308050","310190"," So look for some volatility around him."
"310610","311190"," We know he's going to be..."
"311190","312130"," What do you think he's going to be a bear?"
"312910","313910"," Everyone's going to welcome out. "
"314750","317290"," Flip the script and turn bullish believe it or not."
"317290","321410"," T.S. car parts and answers termination of its at the market equity offering program."
"321410","329090"," Shares spiking here moving above the 770 level up at 779 up 4%. "
"330710","333210"," Papa Romeo, Tango Sandy, PRTS."
"334390","336210"," Car parts, PRTS."
"337310","338290"," We've got a..."
"338290","340970"," that's a termination of its at the money equity offering program. "
"342950","343510"," PRTS."
"346270","349730"," Quote, as we previously discussed in our most recent earnings call when we think about it."
"349730","350730"," We've got a number one inventory and safety stock. "
"350950","352950"," Number two, our currently undrawn line of credit."
"353350","354850"," Number three, our free cash fully feel confident."
"355030","358950"," Our ability to execute our strategy of right part, right time, right place, given our currently"
"358950","359350"," quiddity. "
"359890","362450"," And that lends itself to the inflation trade."
"364030","367230"," So we don't have much going on until Fed Chair Powell speaks at 4 PM."
"367890","369770"," And the rest of the week, we've only got..."
"369770","371990"," we've got some stuff going on, but it isn't that..."
"371990","374670"," isn't headline type news stuff. "
"374850","377830"," So we'll be looking for headline news events this week."
"377830","380990"," They should be important as we move through the week here."
