"start","end","text"
"39750","42290"," Alright, I think you guys can hear me."
"43410","45190"," Hey, Phil, if you're first right on."
"45770","46850"," Ben, how are you?"
"47010","50270"," Drew, Joey, Adam, Scott, good to see you, Jasmine. "
"52210","53130"," Good to see you all."
"55350","55930"," Hi, Omar."
"57190","59930"," I apologize for the low quality audio at the moment. "
"60270","61210"," I have a headset on."
"62150","64790"," I'm with family right now, friends."
"64790","68370"," And so it's a little too loud here. "
"68730","71870"," So I apologize right off the bat for the sound quality."
"72530","74870"," I don't have my normal condenser mic."
"79360","86200"," Frockenstein, B.O., Brad, Matt, Bo, Josh, Benjamin, Patrick, Omar, Danny, David West. "
"86600","87400"," Good to see all you guys."
"89440","90520"," You guys hear me now?"
"91740","92820"," Gerald, good afternoon."
"94540","95780"," Everybody doing well with today?"
"96960","97300"," Hey, King. "
"98980","99820"," Zio, how are you?"
"101260","102020"," Good to see you."
"102200","105060"," Joe, Mr. Brown, ACAC."
"106140","106700"," Right on. "
"107020","113160"," It might sound a little weird because it's the kind of headset that I don't know."
"114340","116300"," Someone need to speak to it, Amazon or something."
"117540","118960"," It's an old headset for my wife. "
"121960","122760"," Meliella, how are you?"
"122980","123280"," Matthias?"
"123700","124580"," Sue, how are you?"
"125060","125280"," Carrie?"
"125620","126060"," Good to see you."
"128479","130380"," Hope everybody is well this morning or this afternoon."
"130700","132080"," We have afternoon, 12 o'clock. "
"132240","132980"," Hey, X, how are you?"
"133380","133380"," Paul?"
"134560","137200"," Jarcan, Nate, Danny, Patrick?"
"138120","138340"," Right on."
"138980","140660"," Why are there so many red bubbles but no green?"
"141060","141800"," Okay, that's a good question."
"142780","143080"," Great question. "
"143500","146440"," So just right now, let's take a look at what's happening."
"146440","155700"," Okay, so we are at a resistance point as we move up into the market."
"156640","161060"," And so what you're seeing right now is resistance. "
"161060","167220"," You're seeing sellers coming in and triggering their sellers, right?"
"167220","174040"," They may have been in at 450 and they want out at 460 and you're looking for the buyers to"
"174040","177340"," step in that want to or believe that we're going to 470."
"180520","182160"," Now, excuse me for a moment."
"183000","187340"," So down here at 455, you see this is becoming new support. "
