"id","start","end","text"
"Eusprf1wXKA","0","8040"," Happy Sunday Traders, this is Captain Jim James coming to you with your daily"
"Eusprf1wXKA","8040","13240"," brief. This is going to be for the week of the 13th through the 17th. I've been"
"Eusprf1wXKA","13240","17480"," cutting down some of the videos that I make mostly just due to time available"
"Eusprf1wXKA","17480","23320"," though I will post more videos if I see the need at any point through the week."
"Eusprf1wXKA","23320","28260"," Last week played out like I expected it to and as well as the week or the two"
"Eusprf1wXKA","28300","32500"," week prior before I took vacation. So unless something changes this week this"
"Eusprf1wXKA","32500","37340"," will be the only video though I do expect some another video probably on"
"Eusprf1wXKA","37340","42500"," Wednesday. We'll get into that later with the ES chart so probably expect a"
"Eusprf1wXKA","42500","48180"," video on Wednesday and then one on Friday. Unless something huge changes in"
"Eusprf1wXKA","48180","52340"," the market, some unknown that we don't know about, this will be your video. And"
"Eusprf1wXKA","52340","56700"," they've worked out very well making these videos just once a week. If"
"Eusprf1wXKA","56740","60900"," anything changes during the day I'll post on Twitter so please check me out"
"Eusprf1wXKA","60900","64940"," there it's Captain Jim James just search for me. But you know let's quickly"
"Eusprf1wXKA","64940","68540"," rehash before we get into anything here let's just talk about you know all the"
"Eusprf1wXKA","68540","73100"," videos that I make for you guys. We talked about de-risking ourselves from"
"Eusprf1wXKA","73100","78180"," the market if you're long in stock. I don't really care what Jim and Mary do"
"Eusprf1wXKA","78180","84980"," out in Iowa with their 401k or you know I don't know some person that's just"
"Eusprf1wXKA","85060","89980"," buying stock every day on an app. You know those people they don't care if the"
"Eusprf1wXKA","89980","94420"," market goes up and down. I guess they'll care when it happens but you know those"
"Eusprf1wXKA","94420","97260"," are long-term investors. Those are people who are going to buy stocks and hold"
"Eusprf1wXKA","97260","101900"," them for 10-15 years. They really don't impact you and I right? And like if"
"Eusprf1wXKA","101900","106660"," you're a new Tesla investor, new Apple investor, something like that and you"
"Eusprf1wXKA","106660","110580"," want to grow your accounts even if you're buying just stock. There are times for"
"Eusprf1wXKA","110580","116180"," you to buy stock, times for you to sell stock and get back in and there you know"
"Eusprf1wXKA","116180","121380"," more risk comes on as time passes in those stocks as well and we talked about"
"Eusprf1wXKA","121380","125180"," that in one of the videos where I thought the market is going to head and I"
"Eusprf1wXKA","125180","128940"," think it's going way higher. We're going to talk about that too today at some"
"Eusprf1wXKA","128940","134180"," point but except for seasonal doubt, downward moves I think we get a big move"
"Eusprf1wXKA","134180","138740"," up and we'll talk about why too but even even in that context let's say you're"
"Eusprf1wXKA","138780","143900"," an Apple let's say you're like I love Apple right? There's a time to buy Apple"
"Eusprf1wXKA","143900","147860"," and there's a time to sell Apple. Some some investors will tell you that you"
"Eusprf1wXKA","147860","152420"," know they'll sell calls on the stock that they own. There's all kinds of"
"Eusprf1wXKA","152420","157220"," complicated strategies you can use as an investor. I'm a trader so I don't"
"Eusprf1wXKA","157220","162340"," really deal with those people too much. I deal with growing accounts fast. I deal"
"Eusprf1wXKA","162340","166140"," with you want to see someone that has real money come to the right place because"
"Eusprf1wXKA","166180","170340"," this is how you make real money in this market. This is how you stop working a"
"Eusprf1wXKA","170340","175180"," real job and you start doing the things that you want to do. So from that"
"Eusprf1wXKA","175180","178540"," perspective we talked what two three weeks ago we said I think we've been"
"Eusprf1wXKA","178540","182540"," talking about it for four weeks now. Start de-risking yourself that the"
"Eusprf1wXKA","182540","185020"," market's going to head higher even though you're going to de-risk yourself"
"Eusprf1wXKA","185020","189660"," that this is the time to be you're kind of in my world right now right? If you're"
"Eusprf1wXKA","189660","192700"," going to be a bull you're going to day trade and you're going to or you're"
"Eusprf1wXKA","192700","196060"," going to buy a weeklies you're going to de-risk yourselves from overvalued stock"
"Eusprf1wXKA","196060","200380"," as we take a seasonal hit right? That's what we're going to do. I mean you"
"Eusprf1wXKA","200380","204540"," don't have to but that's what I'm going to do you know and that's what most of"
"Eusprf1wXKA","204540","210900"," the big market players do right? So when they buy into Apple all year"
"Eusprf1wXKA","210900","214900"," long they need to sell out of that position so they'll raise the stock"
"Eusprf1wXKA","214900","219980"," price sell out of it raise it some more sell out of it raise it some more and sell"
"Eusprf1wXKA","220060","224380"," out of it into a seasonal low and then go all in if you get stuck you know buy"
"Eusprf1wXKA","224380","227260"," let's say you bought Apple last I think it was last spring or summer it was"
"Eusprf1wXKA","227260","231100"," that 130, 140 or something you'll be back towards that you know back at"
"Eusprf1wXKA","231100","235740"," 140, 130 again you know it only go up incrementally every"
"Eusprf1wXKA","235740","240140"," year because funds need to make money traders need to make money you know"
"Eusprf1wXKA","240140","243420"," traders run this market right now too that's the other thing I haven't"
"Eusprf1wXKA","243420","248380"," really talked too much about is that the traders are in charge of this market"
"Eusprf1wXKA","248780","253740"," and I don't know if you know that or not but you can tell you can not just I"
"Eusprf1wXKA","253740","258460"," shouldn't say the traders and I posted this on Twitter I post these crayon"
"Eusprf1wXKA","258460","261900"," drawings where I show you how the market used to act and then how it's changed"
"Eusprf1wXKA","261900","267100"," over time right now you've got these high frequency trading firms that are"
"Eusprf1wXKA","267100","270940"," controlling the market you've got day traders controlling the market you've"
"Eusprf1wXKA","270940","276140"," got small hedge funds controlling the market you have foreign entities"
"Eusprf1wXKA","276140","281340"," controlling the markets and then you have behind all that you've got"
"Eusprf1wXKA","281340","286860"," gem mary sue you've got retail increasing its power in the market"
"Eusprf1wXKA","286860","291500"," and then you have 401ks and you've got pension funds you've all these"
